date, pm25, o3, co
2020/1/2, 20, 29, 5
2020/1/3, 16, 31, 3
2020/1/4, 19, 31, 3
2020/1/5, 23, 22, 3
2020/1/6, 15, 28, 3
2020/1/7, 12, 30, 4
2020/1/8, 21, 21, 4
2020/1/9, 40, 26, 3
2020/1/10, 19, 28, 4
2020/1/11, 23, 29, 3
2020/1/12, 21, 25, 3
2020/1/13, 36, 27, 3
2020/1/14, 30, 30, 2
2020/1/15, 18, , 
2020/1/16, 6, , 
2019/10/1, 53, 15, 6
2019/10/2, 46, 24, 2
2019/10/3, 24, 16, 3
2019/10/4, 21, 14, 4
2019/10/5, 29, 12, 4
2019/10/6, 43, 27, 3
2019/10/7, 21, 24, 3
2019/10/8, 31, 23, 3
2019/10/9, 37, 20, 4
2019/10/10, 50, 16, 7
2019/10/11, 53, 19, 5
2019/10/12, 59, 22, 4
2019/10/13, 57, 16, 5
2019/10/14, 61, 16, 6
2019/10/15, 55, 28, 5
2019/10/16, 29, 26, 3
2019/10/17, 19, 24, 4
2019/10/18, 26, 22, 3
2019/10/19, 23, 28, 3
2019/10/20, 33, 21, 3
2019/10/21, 26, 25, 3
2019/10/22, 43, 14, 4
2019/10/23, 43, 4, 6
2019/10/24, 47, 28, 5
2019/10/25, 45, 25, 4
2019/10/26, 33, 22, 4
2019/10/27, 53, 17, 4
2019/10/28, 60, 28, 4
2019/10/29, 60, 18, 4
2019/10/30, 62, 14, 7
2019/10/31, 70, 14, 4
2019/11/1, 69, 10, 5
2019/11/2, 90, 7, 5
2019/11/3, 89, 7, 4
2019/11/4, 84, 7, 4
2019/11/5, 65, 9, 4
2019/11/6, 69, 10, 7
2019/11/7, 76, 4, 8
2019/11/8, 69, 14, 4
2019/11/9, 47, 11, 4
2019/11/10, 48, 13, 6
2019/11/11, 47, 7, 4
2019/11/12, 48, 7, 4
2019/11/13, 46, 5, 7
2019/11/14, 44, 26, 4
2019/11/15, 32, 22, 5
2019/11/16, 34, 28, 4
2019/11/17, 20, 22, 4
2019/11/18, 35, 22, 3
2019/11/19, 34, 29, 3
2019/11/20, 45, 10, 8
2019/11/21, 73, 2, 8
2019/11/22, 64, 22, 6
2019/11/23, 48, 32, 4
2019/11/24, 43, 31, 3
2019/11/25, 32, 25, 3
2019/11/26, 36, 28, 3
2019/11/27, 29, 24, 2
2019/11/28, 65, 22, 4
2019/11/29, 79, 19, 5
2019/11/30, 95, 20, 5
2019/12/1, 74, 17, 8
2019/12/2, 60, 9, 5
2019/12/3, 52, 24, 4
2019/12/4, 44, 9, 5
2019/12/5, 59, 5, 7
2019/12/6, 51, 2, 4
2019/12/7, 35, , 4
2019/12/8, 51, , 3
2019/12/9, 31, 9, 4
2019/12/10, 35, 21, 4
2019/12/11, 27, 27, 3
2019/12/12, 29, 24, 4
2019/12/13, 32, 18, 4
2019/12/14, 56, 19, 5
2019/12/15, 63, 22, 4
2019/12/16, 34, 16, 8
2019/12/17, 61, 23, 7
2019/12/18, 46, 24, 3
2019/12/19, 21, 23, 5
2019/12/20, 21, 29, 3
2019/12/21, 29, 19, 3
2019/12/22, 40, 15, 4
2019/12/23, 48, 16, 6
2019/12/24, 46, 16, 4
2019/12/25, 71, 16, 6
2019/12/26, 58, 19, 5
2019/12/27, 36, 13, 4
2019/12/28, 61, , 
2019/7/1, 15, 20, 4
2019/7/2, 12, 23, 5
2019/7/3, 20, 22, 5
2019/7/4, 31, 16, 5
2019/7/5, 63, 20, 4
2019/7/6, 20, 19, 3
2019/7/7, 22, 19, 5
2019/7/8, 17, 20, 5
2019/7/9, 23, 16, 4
2019/7/10, 13, 13, 4
2019/7/11, 12, 12, 4
2019/7/12, 14, 16, 3
2019/7/13, 15, 17, 3
2019/7/14, 17, 13, 4
2019/7/15, 14, 19, 4
2019/7/16, 14, 17, 3
2019/7/17, 10, 20, 2
2019/7/18, 16, 15, 3
2019/7/19, 19, 20, 3
2019/7/20, 23, 21, 4
2019/7/21, 23, 20, 4
2019/7/22, 19, 22, 3
2019/7/23, 13, 22, 3
2019/7/24, 15, 17, 4
2019/7/25, 16, 13, 4
2019/7/26, 17, 21, 2
2019/7/27, 11, 20, 3
2019/7/28, 18, 21, 5
2019/7/29, 16, 23, 4
2019/7/30, 19, 19, 4
2019/7/31, 15, 26, 3
2019/8/1, 11, 25, 3
2019/8/2, 16, 22, 3
2019/8/3, 46, 21, 4
2019/8/4, 42, 21, 6
2019/8/5, 34, 21, 5
2019/8/6, 32, 19, 4
2019/8/7, 35, 21, 4
2019/8/8, 19, 21, 4
2019/8/9, 12, 19, 11
2019/8/10, 18, 19, 8
2019/8/11, 19, 18, 8
2019/8/12, 13, 23, 4
2019/8/13, 20, 19, 4
2019/8/14, 22, 19, 4
2019/8/15, 16, 21, 4
2019/8/16, 24, 20, 4
2019/8/17, 29, 20, 4
2019/8/18, 24, 25, 3
2019/8/19, 18, 26, 5
2019/8/20, 27, 22, 4
2019/8/21, 23, 18, 5
2019/8/22, 27, 16, 4
2019/8/23, 26, 19, 3
2019/8/24, 26, 21, 3
2019/8/25, 21, 24, 3
2019/8/26, 31, 19, 4
2019/8/27, 32, 12, 5
2019/8/28, 28, 25, 4
2019/8/29, 31, 15, 4
2019/8/30, 24, 14, 4
2019/8/31, 27, 17, 3
2019/9/1, 19, 14, 4
2019/9/2, 25, 17, 5
2019/9/3, 19, 19, 4
2019/9/4, 19, 15, 4
2019/9/5, 35, 19, 5
2019/9/6, 31, 18, 4
2019/9/7, 19, 16, 3
2019/9/8, 10, 10, 4
2019/9/9, 8, 15, 4
2019/9/10, 12, 16, 5
2019/9/11, 24, 11, 3
2019/9/12, 20, 14, 4
