date, pm25, pm10, o3
2020/1/2, 29, 8, 
2020/1/3, 29, 4, 
2020/1/4, 16, 5, 
2020/1/5, 21, 6, 
2020/1/6, 18, 8, 
2020/1/7, 23, 7, 
2020/1/8, 18, 8, 
2020/1/9, 21, 15, 
2020/1/10, 37, 10, 
2020/1/11, 23, 4, 
2020/1/12, 14, 6, 
2020/1/13, 17, 3, 
2020/1/14, 13, 6, 
2020/1/15, 14, 9, 
2020/1/16, 25, , 
2019/10/1, 50, 19, 41
2019/10/2, 53, 15, 49
2019/10/3, 42, 13, 45
2019/10/4, 32, 11, 30
2019/10/5, 13, 10, 30
2019/10/6, 18, 9, 32
2019/10/7, 18, 9, 28
2019/10/8, 11, 8, 34
2019/10/9, 14, 8, 35
2019/10/10, 18, 6, 38
2019/10/11, 20, 12, 40
2019/10/12, 35, 6, 17
2019/10/13, 22, 8, 37
2019/10/14, 27, 9, 40
2019/10/15, 19, 6, 31
2019/10/16, 18, 5, 30
2019/10/17, 10, 6, 31
2019/10/18, 23, 11, 33
2019/10/19, 36, 5, 27
2019/10/20, 18, 4, 25
2019/10/21, 18, 5, 22
2019/10/22, 18, 9, 31
2019/10/23, 19, 11, 35
2019/10/24, 21, 14, 28
2019/10/25, 27, 15, 34
2019/10/26, 31, 9, 28
2019/10/27, 16, 9, 34
2019/10/28, 15, 15, 22
2019/10/29, 28, 13, 14
2019/10/30, 33, 11, 21
2019/10/31, 19, 9, 19
2019/11/1, 26, 17, 
2019/11/2, 43, 11, 
2019/11/3, 28, 15, 
2019/11/4, 36, 16, 
2019/11/5, 37, 13, 
2019/11/6, 27, 18, 
2019/11/7, 44, 10, 
2019/11/8, 19, 14, 
2019/11/9, 41, 23, 
2019/11/10, 57, 16, 
2019/11/11, 41, 10, 
2019/11/12, 25, 8, 
2019/11/13, 22, 21, 
2019/11/14, 51, 15, 
2019/11/15, 36, 14, 
2019/11/16, 22, 10, 
2019/11/17, 15, 10, 
2019/11/18, 17, 14, 
2019/11/19, 35, 16, 
2019/11/20, 37, 14, 
2019/11/21, 30, 20, 
2019/11/22, 48, 12, 
2019/11/23, 22, 8, 
2019/11/24, 19, 12, 
2019/11/25, 25, 17, 
2019/11/26, 40, 19, 
2019/11/27, 45, 7, 
2019/11/28, 13, 9, 
2019/11/29, 22, 16, 
2019/11/30, 41, 11, 
2019/12/1, 22, 7, 
2019/12/2, 12, 8, 
2019/12/3, 13, 9, 
2019/12/4, 16, 10, 
2019/12/5, 22, 21, 
2019/12/6, 42, 16, 
2019/12/7, 36, 14, 
2019/12/8, 33, 17, 
2019/12/9, 40, 16, 
