date, pm25, pm10, no2, so2, co
2020/1/2, 56, 21, 12, 3, 
2020/1/3, 62, 35, 12, 3, 
2020/1/4, 89, 20, 10, 3, 
2020/1/5, 59, 21, 12, 3, 
2020/1/6, 56, 21, 11, 3, 
2020/1/7, 43, 88, 12, 3, 
2020/1/8, 82, 10, 12, 3, 
2020/1/9, 34, 8, 12, 3, 
2020/1/10, 28, 4, 9, 3, 
2020/1/11, 17, 3, 10, 3, 
2020/1/12, 13, 7, 10, 3, 
2020/1/13, 26, 12, 11, 3, 
2020/1/14, 39, 35, 11, 3, 
2020/1/15, 86, 15, 10, 3, 
2020/1/16, 50, , , , 
2019/12/10, 119, 27, 9, 3, 
2019/12/11, 70, 8, 11, 3, 
2019/12/12, 30, 22, 11, 3, 
2019/12/13, 36, 19, 11, 3, 
2019/12/14, 57, 14, 10, 3, 
2019/12/15, 45, 12, 10, 3, 
2019/12/16, 39, 8, 8, 3, 
2019/12/17, 27, 12, 6, 3, 
2019/12/18, 35, 14, 8, 2, 
2019/12/19, 43, 16, 10, 3, 
2019/12/20, 46, 10, 10, 3, 
2019/12/21, 31, 16, 10, 3, 
2019/12/22, 46, 14, 9, 3, 
2019/12/23, 41, 19, 10, 3, 
2019/12/24, 54, 12, 9, 3, 
2019/12/25, 36, 17, 10, 3, 
2019/12/26, 50, 20, 8, 3, 
2019/12/27, 58, 27, 10, 3, 
2019/12/28, 69, 14, 8, 3, 
2019/12/29, 50, , , , 
2020/1/1, , 18, 12, 3, 
2019/12/9, , 50, 10, 2, 
