date, pm10, o3, no2
2020/1/7, 22, 27, 2
2020/1/8, 21, 25, 5
2020/1/9, 21, 25, 2
2020/1/13, 21, 32, 3
2019/10/1, 36, 32, 1
2019/10/2, 36, 30, 2
2019/10/3, 32, 33, 4
2019/10/4, 31, 29, 1
2019/10/5, 26, 30, 1
2019/10/6, 36, 30, 1
2019/10/7, 33, 33, 2
2019/10/8, 29, 36, 3
2019/10/9, 29, 29, 1
2019/10/10, 28, 31, 4
2019/10/11, 31, 34, 2
2019/10/12, 31, 33, 2
2019/10/13, 31, 37, 4
2019/10/14, 46, 33, 1
2019/10/15, 34, 36, 5
2019/10/16, 18, 39, 5
2019/10/17, 18, 40, 6
2019/10/18, 22, 45, 1
2019/10/19, 27, 43, 1
2019/10/20, 28, 31, 4
2019/10/21, 23, 29, 1
2019/10/22, 33, 35, 3
2019/10/23, 43, 33, 4
2019/10/24, 18, 29, 3
2019/10/25, 14, 31, 2
2019/10/26, 17, 30, 1
2019/10/27, 20, 30, 4
2019/10/28, 23, 33, 4
2019/10/29, 23, 34, 5
2019/10/30, 23, 29, 4
2019/10/31, 27, 31, 1
2019/11/1, 24, 27, 2
2019/11/2, 22, 28, 1
2019/11/3, 22, 29, 3
2019/11/4, 18, 30, 2
2019/11/5, 19, 27, 3
2019/11/6, 12, 28, 3
2019/11/7, 18, 29, 1
2019/11/8, 19, 28, 1
2019/11/9, 18, 28, 
2019/11/10, 19, 26, 1
2019/11/11, 22, 31, 1
2019/11/12, 24, 71, 5
2019/11/13, 22, , 
2019/11/15, 20, 29, 1
2019/11/16, 19, 29, 1
2019/11/17, 20, 27, 2
2019/11/18, 20, 27, 5
2019/11/19, 22, 26, 6
2019/11/20, 22, , 
2019/11/22, 31, 26, 1
2019/11/23, 31, 27, 1
2019/11/24, 24, 26, 1
2019/11/25, 24, 24, 5
2019/11/26, 30, 24, 3
2019/11/27, 36, 24, 4
2019/11/28, 33, 23, 5
2019/11/29, 34, 26, 2
2019/11/30, 32, 27, 1
2019/12/1, 35, 22, 2
2019/12/2, 27, 24, 2
2019/12/3, 30, 22, 2
2019/12/4, 36, 22, 5
2019/12/5, 36, 21, 2
2019/12/6, 31, 22, 3
2019/12/7, 30, 24, 3
2019/12/8, 31, 24, 2
2019/12/9, 34, 27, 2
2019/12/10, 30, 26, 5
2019/12/11, 27, 25, 2
2019/12/12, 27, 24, 2
2019/12/13, 36, 25, 2
2019/12/14, 33, 25, 2
2019/12/15, 32, 26, 4
2019/12/16, 39, 22, 5
2019/12/17, 71, 21, 2
2019/12/18, 50, 25, 4
2019/12/19, 44, 22, 3
2019/12/20, 44, 21, 1
2019/12/21, 50, 28, 1
2019/12/22, 39, 30, 1
2019/12/23, 32, 21, 5
2019/12/24, 33, 20, 3
2019/12/25, 33, 23, 2
2019/12/26, 33, 25, 2
2019/12/27, 28, 23, 1
2019/12/28, 19, , 
2019/7/1, 20, 43, 2
2019/7/2, 21, 40, 2
2019/7/3, 22, 34, 2
2019/7/4, 21, 33, 2
2019/7/5, 23, 23, 2
2019/7/6, 45, 26, 
2019/7/7, 61, 28, 
2019/7/8, 51, 34, 
2019/7/9, 44, 36, 
2019/7/10, 26, 37, 
2019/7/11, 17, 33, 
2019/7/12, 8, 30, 
2019/7/13, 3, 25, 
2019/7/14, 9, 33, 
2019/7/15, 17, 34, 
2019/7/16, 19, 37, 
2019/7/17, 15, 37, 
2019/7/18, 14, 34, 
2019/7/19, 24, 33, 
2019/7/20, 27, 37, 
2019/7/21, 27, 33, 
2019/7/22, 29, 31, 
2019/7/23, 30, 26, 
2019/7/24, 30, 34, 1
2019/7/25, 33, 36, 3
2019/7/26, 29, 33, 1
2019/7/27, 32, 29, 1
2019/7/28, 29, 30, 3
2019/7/29, 26, 31, 2
2019/7/30, 25, 31, 
2019/7/31, 35, 34, 
2019/8/1, 32, 40, 1
2019/8/2, 33, 43, 3
2019/8/3, 31, 27, 2
2019/8/4, 27, 39, 2
2019/8/5, 27, 34, 4
2019/8/6, 30, 28, 4
2019/8/7, 43, 28, 2
2019/8/8, 42, 28, 2
2019/8/9, 44, 24, 1
2019/8/10, 39, 31, 
2019/8/11, 40, 29, 1
2019/8/12, 39, 28, 1
