date, pm25, pm10, o3, no2, so2, co, aqi
2020/1/2, 160, 113, 5, 40, 9, 14, 
2020/1/3, 179, 85, 10, 37, 7, 9, 
2020/1/4, 143, 75, 4, 35, 7, 12, 
2020/1/5, 155, 64, 7, 31, 3, 10, 
2020/1/6, 154, 29, 21, 14, 3, 4, 
2020/1/7, 61, 41, 19, 17, 2, 8, 
2020/1/8, 79, 78, 19, 28, 3, 18, 
2020/1/9, 134, 105, 12, 30, 4, 24, 
2020/1/10, 179, 22, 23, 10, 2, 3, 
2020/1/11, 34, 56, 10, 27, 3, 11, 
2020/1/12, 99, , , , , , 
2020/1/14, 95, 152, 4, 43, 5, 17, 
2020/1/15, 230, 93, 12, 28, 7, 9, 
2020/1/16, 150, , , , , , 
2019/10/1, 131, 72, 102, 8, 2, 5, 
2019/10/2, 140, 88, 123, 12, 2, 5, 
2019/10/3, 154, 34, 31, 5, , 2, 
2019/10/4, 59, 19, 33, 13, , 2, 
2019/10/5, 35, 56, 15, 20, 1, 3, 
2019/10/6, 87, 57, 31, 15, 1, 4, 
2019/10/7, 110, 34, 29, 13, 1, 2, 
2019/10/8, 40, 70, 55, 20, 5, 4, 
2019/10/9, 104, 46, 30, 11, 1, 3, 
2019/10/10, 95, 64, 24, 18, 2, 4, 
2019/10/11, 94, 63, 11, 23, 4, 4, 
2019/10/12, 75, 66, 8, 20, 3, 8, 
2019/10/13, 81, 28, 24, 16, 2, 3, 
2019/10/14, 44, 57, 22, 20, 2, 3, 
2019/10/15, 78, 64, 15, 22, 3, 4, 
2019/10/16, 103, 58, 9, 16, 1, 5, 
2019/10/17, 132, 76, 24, 19, 2, 7, 
2019/10/18, 155, 111, 33, 27, 3, 8, 
2019/10/19, 179, 130, 26, 27, 2, 6, 
2019/10/20, 145, 60, 25, 24, 2, 3, 
2019/10/21, 62, 86, 34, 26, 3, 4, 
2019/10/22, 122, 114, 51, 35, 4, 7, 
2019/10/23, 162, 93, 17, 25, 3, 5, 
2019/10/24, 139, 21, 25, 10, 1, 2, 
2019/10/25, 32, 69, 27, 19, 5, 4, 
2019/10/26, 97, 90, 24, 28, 5, 5, 
2019/10/27, 140, 98, 28, 15, 3, 2, 
2019/10/28, 74, 83, 30, 23, 5, 3, 
2019/10/29, 89, 123, 18, 38, 5, 6, 
2019/10/30, 151, 92, 30, 34, 4, 4, 
2019/10/31, 111, 78, 16, 30, 5, 7, 
2019/11/1, 103, 59, 12, 28, 2, 3, 
2019/11/2, 67, 60, 18, 18, 3, 4, 
2019/11/3, 96, 76, 24, 20, 3, 6, 
2019/11/4, 150, 78, 22, 20, 3, 6, 
