date, pm10, o3, no2
2019/4/10, 17, 33, 4
2019/4/11, 24, 35, 6
2019/4/12, 26, 38, 4
2019/4/13, 14, 39, 5
2019/4/14, 12, 40, 13
2019/4/15, 21, 42, 9
2019/4/16, 16, 42, 11
2019/4/17, 20, 44, 13
2019/4/18, 32, 45, 11
2019/4/19, 23, 50, 7
2019/4/20, 23, 46, 3
2019/4/21, 20, 45, 2
2019/4/22, 18, 53, 5
2019/4/23, 26, 62, 8
2019/4/24, 39, 56, 7
2019/4/25, 52, 47, 9
2019/4/26, 42, 48, 7
2019/4/27, 35, 42, 4
2019/4/28, 28, 36, 8
2019/4/29, 22, 38, 8
2019/4/30, 24, 35, 4
2019/5/1, 16, 31, 4
2019/5/2, 6, 31, 3
2019/5/3, 5, 34, 3
2019/5/4, 5, 40, 1
2019/5/5, 6, 35, 2
2019/5/6, 10, 29, 2
2019/5/7, 10, 34, 4
2019/5/8, 12, 39, 4
2019/5/9, 18, 32, 14
2019/5/10, 20, 30, 5
2019/5/11, 14, 32, 2
2019/5/12, 9, 27, 3
2019/5/13, 7, 35, 4
2019/5/14, 10, 36, 9
2019/5/15, 14, 37, 13
2019/5/16, 18, 38, 7
2019/5/17, 16, 36, 11
2019/5/18, 18, 30, 12
2019/5/19, 17, 36, 15
2019/5/20, 22, 37, 13
2019/5/21, 25, 40, 7
2019/5/22, 25, 25, 6
2019/5/23, 16, 42, 6
2019/5/24, 16, 29, 2
2019/5/25, 8, 27, 2
2019/5/26, 7, 24, 3
2019/5/27, 5, 31, 2
2019/5/28, 7, 31, 2
2019/5/29, 12, 35, 2
2019/5/30, 17, 32, 2
2019/5/31, 12, 30, 2
2019/6/1, 10, 29, 1
2019/6/2, 10, 34, 2
2019/6/3, 12, 36, 3
2019/6/4, 15, 48, 8
2019/6/5, 21, 46, 5
2019/6/6, 23, 42, 4
2019/6/7, 23, 48, 2
2019/6/8, 16, 36, 1
2019/6/9, 11, 36, 2
2019/6/10, 10, 31, 16
2019/6/11, 18, 28, 3
2019/6/12, 12, 25, 7
2019/6/13, 19, 33, 3
2019/6/14, 11, 44, 3
2019/6/15, 9, 45, 2
2019/6/16, 7, 38, 2
2019/6/17, 10, 33, 2
2019/6/18, 13, 47, 3
2019/6/19, 14, 47, 3
2019/6/20, 15, 36, 1
2019/6/21, 13, 31, 
2019/6/22, 8, 30, 1
2019/6/23, 6, 28, 4
2019/6/24, 9, 29, 3
2019/6/25, 10, 21, 10
2019/6/26, 11, 23, 3
2019/6/27, 7, 28, 2
2019/6/28, 5, 29, 3
2019/6/29, 14, 33, 3
2019/6/30, 10, 40, 1
2019/1/1, 6, 31, 1
2019/1/2, 10, 26, 14
2019/1/3, 6, 23, 5
2019/1/4, 5, 25, 5
2019/1/5, 5, 18, 6
2019/1/6, 7, 11, 10
2019/1/7, 5, 19, 7
2019/1/8, 4, 27, 4
2019/1/9, 3, 22, 11
2019/1/10, 11, 32, 4
2019/1/11, 10, 31, 4
2019/1/12, 8, 21, 7
2019/1/13, 10, 29, 5
2019/1/14, 6, 30, 7
2019/1/15, 9, 23, 15
2019/1/16, 13, 24, 7
2019/1/17, 6, 25, 5
2019/1/18, 4, 27, 5
2019/1/19, 5, 30, 4
2019/1/20, 5, 24, 23
2019/1/21, 11, 23, 10
2019/1/22, 10, 12, 10
2019/1/23, 9, 8, 22
2019/1/24, 21, 14, 22
2019/1/25, 18, 21, 11
2019/1/26, 10, 22, 8
2019/1/27, 8, 26, 8
2019/1/28, 10, 12, 10
2019/1/29, 9, 18, 10
2019/1/30, 8, 14, 15
2019/1/31, 12, 25, 5
2019/2/1, 9, 14, 6
2019/2/2, 6, 14, 3
2019/2/3, 6, 16, 10
2019/2/4, 9, 19, 7
2019/2/5, 6, 18, 9
2019/2/6, 7, 17, 8
2019/2/7, 7, 26, 5
2019/2/8, 7, 23, 2
2019/2/9, 5, 29, 2
2019/2/10, 6, 25, 7
2019/2/11, 8, 31, 5
2019/2/12, 9, 32, 4
2019/2/13, 7, 31, 6
2019/2/14, 7, 23, 4
2019/2/15, 8, 28, 5
2019/2/16, 15, 28, 6
2019/2/17, 20, 23, 5
2019/2/18, 15, 23, 6
2019/2/19, 17, 33, 4
2019/2/20, 18, 30, 6
2019/2/21, 23, 29, 10
2019/2/22, 29, 27, 2
2019/2/23, 18, 22, 1
2019/2/24, 10, 30, 4
2019/2/25, 20, 33, 9
2019/2/26, 27, 27, 5
2019/2/27, 27, 33, 3
2019/2/28, 33, 33, 6
2019/3/1, 25, 31, 3
2019/3/2, 18, 28, 4
2019/3/3, 9, 25, 6
2019/3/4, 4, 31, 3
2019/3/5, 11, 29, 8
2019/3/6, 15, 31, 6
2019/3/7, 9, 28, 3
2019/3/8, 7, 29, 3
2019/3/9, 7, 33, 3
2019/3/10, 9, 31, 4
2019/3/11, 20, 31, 8
2019/3/12, 30, 29, 5
2019/3/13, 22, 25, 4
2019/3/14, 10, 19, 7
2019/3/15, 7, 26, 4
2019/3/16, 6, 29, 3
2019/3/17, 7, 31, 4
2019/3/18, 5, 29, 6
2019/3/19, 13, 27, 9
2019/3/20, 21, 28, 6
2019/3/21, 12, 35, 6
2019/3/22, 16, 36, 1
2019/3/23, 21, 36, 1
2019/3/24, 17, 31, 4
2019/3/25, 19, 33, 5
2019/3/26, 21, 31, 9
2019/3/27, 27, 34, 12
2019/3/28, 39, 36, 1
2019/3/29, 33, 36, 1
2019/3/30, 23, 33, 1
2019/3/31, 13, 33, 4
2018/10/1, 10, 20, 9
2018/10/2, 9, 24, 5
2018/10/3, 4, 21, 6
2018/10/4, 7, 26, 3
2018/10/5, 7, 25, 2
2018/10/6, 7, 24, 6
2018/10/7, 6, 23, 4
2018/10/8, 7, 22, 4
2018/10/9, 11, 26, 3
2018/10/10, 10, 22, 4
2018/10/11, 10, 26, 6
2018/10/12, 19, 34, 3
2018/10/13, 24, 36, 3
2018/10/14, 26, 34, 4
2018/10/15, 27, 23, 9
2018/10/16, 23, 18, 7
2018/10/17, 17, 21, 9
2018/10/18, 15, 19, 15
2018/10/19, 12, 21, 12
2018/10/20, 10, 17, 2
2018/10/21, 7, 27, 2
2018/10/22, 5, 26, 4
2018/10/23, 5, 28, 4
2018/10/24, 3, 20, 12
2018/10/25, 11, 19, 9
2018/10/26, 9, 23, 2
2018/10/27, 6, 24, 3
2018/10/28, 6, 25, 7
2018/10/29, 8, 20, 2
2018/10/30, 8, 16, 3
2018/10/31, 11, 21, 9
2018/11/1, 13, 16, 4
2018/11/2, 22, 19, 2
2018/11/3, 11, 24, 2
2018/11/4, 6, 21, 7
2018/11/5, 6, 12, 4
2018/11/6, 12, 12, 6
2018/11/7, 16, 15, 10
2018/11/8, 17, 9, 6
2018/11/9, 11, 17, 3
2018/11/10, 6, 18, 3
2018/11/11, 13, 12, 3
2018/11/12, 9, 14, 8
2018/11/13, 8, 22, 6
2018/11/14, 9, 15, 6
2018/11/15, 9, 15, 5
2018/11/16, 13, 15, 5
2018/11/17, 13, 26, 2
2018/11/18, 9, 25, 6
2018/11/19, 8, 22, 11
2018/11/20, 10, 23, 7
2018/11/21, 10, 26, 4
2018/11/22, 8, 18, 4
2018/11/23, 7, 17, 7
2018/11/24, 6, 18, 8
2018/11/25, 6, 21, 8
2018/11/26, 8, 21, 14
2018/11/27, 12, 15, 19
2018/11/28, 14, 25, 3
2018/11/29, 12, 21, 3
2018/11/30, 12, 15, 3
2018/12/1, 12, 17, 3
2018/12/2, 13, 13, 5
2018/12/3, 11, 20, 6
2018/12/4, 6, 28, 4
2018/12/5, 6, 20, 12
2018/12/6, 12, 21, 8
2018/12/7, 8, 21, 4
2018/12/8, 4, 23, 2
2018/12/9, 3, 9, 6
2018/12/10, 4, 13, 5
2018/12/11, 7, 18, 7
2018/12/12, 7, 17, 7
2018/12/13, 7, 16, 10
