date, pm25, pm10, o3, no2, co
2017/12/10, 12, 1, 14, , 
2017/12/11, 7, 2, 14, , 
2017/12/12, 8, 9, 14, , 
2017/12/13, 16, 4, 19, , 
2017/12/14, 21, 10, 14, , 
2017/12/15, 20, 4, 16, , 
2017/12/16, 17, 3, 15, , 
2017/12/17, 45, 68, 14, , 
2017/12/18, 388, 8, 12, , 
2017/12/19, 15, 43, 18, , 
2017/12/20, 25, 2, 16, , 
2017/12/21, 11, 13, 15, , 
2017/12/22, 19, 15, 12, , 
2017/12/23, 26, 15, 11, , 
2017/12/24, 31, 11, 12, , 
2017/12/25, 18, 12, 10, , 
2017/12/26, 20, 9, 12, , 
2017/12/27, 19, 8, 13, , 
2017/12/28, 14, 10, 12, , 
2017/12/29, 20, 8, 12, , 
2017/12/30, 21, 4, 11, , 
2017/12/31, 19, 7, 13, , 
2017/7/1, 18, 22, , , 
2017/7/2, 28, 51, , , 
2017/7/3, 21, 11, , , 
2017/7/4, 20, 12, , , 
2017/7/5, 25, 15, , , 
2017/7/6, 28, 15, , , 
2017/7/7, 25, 22, , , 
2017/7/8, 29, 16, , , 
2017/7/9, 24, 17, , , 
2017/7/10, 30, 11, , , 
2017/7/11, 67, 18, , , 
2017/7/12, 35, 14, , , 
2017/7/13, 27, 10, , , 
2017/7/14, 24, 12, , , 
2017/7/15, 30, 64, , , 
2017/7/16, 53, 26, , , 
2017/7/17, 100, 23, , , 
2017/7/18, 29, 8, , , 
2017/7/19, 15, 12, , , 
2017/7/20, 17, 16, , , 
2017/7/21, 20, 11, , , 
2017/7/22, 17, 13, , , 
2017/7/23, 18, 14, , , 
2017/7/24, 18, 4, , , 
2017/7/25, 13, 9, , , 
2017/7/26, 18, 11, , , 
2017/7/27, 20, 15, , , 
2017/7/28, 20, 29, , , 
2017/7/29, 31, 10, , , 
2017/7/30, 15, 80, , , 
2017/7/31, 10, 10, , , 
2017/8/1, 16, 15, , , 
2017/8/2, 17, 8, , , 
2017/8/3, 13, 4, , , 
2017/8/4, 12, 10, , , 
2017/8/5, 28, 10, , , 
2017/8/6, 25, 8, , , 
2017/8/7, 18, 9, , , 
2017/8/8, 13, 10, , , 
2017/8/9, 15, 7, , , 
2017/8/10, 14, 18, , , 
2017/8/11, 20, 11, , , 
2017/8/12, 15, 10, , , 
2017/8/13, 16, 18, , , 
2017/8/14, 24, 20, , , 
2017/8/15, 20, 13, , , 
2017/8/16, 12, 7, , , 
2017/8/17, 9, 6, , , 
2017/8/18, 8, 7, , , 
2017/8/19, 10, 11, , , 
2017/8/20, 15, 6, , , 
2017/8/21, 62, 3, , , 
2017/8/22, 8, 42, , , 
2017/8/23, 11, 9, , , 
2017/8/24, 15, 51, , , 
2017/8/25, 55, 3, , , 
2017/8/26, 10, , , , 
2017/8/29, 86, 12, , , 
2017/8/30, 18, 9, , , 
2017/8/31, 16, 8, , , 
2017/9/1, 17, 12, , , 
