date, pm25, no2, so2, co
2020/1/2, 25, 5, 1, 
2020/1/3, 17, 19, 1, 
2020/1/4, 46, 15, 1, 
2020/1/5, 34, 25, 1, 
2020/1/6, 41, 39, 1, 
2020/1/7, 117, 27, 1, 
2020/1/8, 90, 32, 1, 
2020/1/9, 123, 31, 1, 
2020/1/10, 127, 29, 1, 
2020/1/11, 121, 32, 1, 
2020/1/12, 133, 27, 1, 
2020/1/13, 131, 25, , 
2020/1/14, 106, 15, 1, 
2020/1/15, 46, 10, , 
2020/1/16, 45, , , 
2019/12/10, 30, 16, 1, 
2019/12/11, 30, 20, 1, 
2019/12/12, 47, 23, 1, 
2019/12/13, 61, 15, 1, 
2019/12/14, 43, 15, , 
2019/12/15, 26, 23, 1, 
2019/12/16, 77, 18, 1, 
2019/12/17, 43, 18, 1, 
2019/12/18, 45, 24, 1, 
2019/12/19, 67, 26, 1, 
2019/12/20, 86, 18, , 
2019/12/21, 56, 7, , 
2019/12/22, 28, 19, 1, 
2019/12/23, 65, 19, 1, 
2019/12/24, 109, 15, , 
2019/12/25, 44, 12, , 
2019/12/26, 34, 16, 1, 
2019/12/27, 58, 18, 2, 
2019/12/28, 99, , 2, 
2019/12/29, 133, , , 
2020/1/1, , 11, 1, 
2019/12/9, , 19, 1, 
