date, pm25, pm10, o3
2019/4/8, 32, 25, 47
2019/4/9, 55, 28, 48
2019/4/10, 36, 21, 36
2019/4/11, 21, 18, 34
2019/4/12, 18, 25, 35
2019/4/13, 63, 12, 37
2019/4/14, 25, 10, 42
2019/4/15, 20, 13, 38
2019/4/16, 28, 17, 33
2019/4/17, 36, 9, 37
2019/4/18, 15, 9, 39
2019/4/19, 16, 14, 45
2019/4/20, 28, 12, 37
2019/4/21, 22, 14, 31
2019/4/22, 26, 8, 28
2019/4/23, 24, 12, 30
2019/4/24, 37, 11, 41
2019/4/25, 24, 14, 44
2019/4/26, 26, 14, 39
2019/4/27, 25, 15, 38
2019/4/28, 25, 11, 28
2019/4/29, 27, 17, 18
2019/4/30, 48, 15, 28
2019/5/1, 33, 10, 28
2019/5/2, 28, 10, 28
2019/5/3, 26, 9, 30
2019/5/4, 25, 10, 35
2019/5/5, 25, 12, 42
2019/5/6, 29, 14, 33
2019/5/7, 37, 8, 40
2019/5/8, 17, 5, 30
2019/5/9, 5, 7, 33
2019/5/10, 17, 6, 30
2019/5/11, 16, 8, 39
2019/5/12, 19, 10, 36
2019/5/13, 23, 11, 42
2019/5/14, 24, 11, 43
2019/5/15, 27, 16, 38
2019/5/16, 41, 16, 31
2019/5/17, 41, 13, 42
2019/5/18, 28, 9, 40
2019/5/19, 14, 20, 29
2019/5/20, 46, 20, 43
2019/5/21, 23, 24, 29
2019/5/22, 47, 24, 26
2019/5/23, 55, 18, 29
2019/5/24, 46, 14, 28
2019/5/25, 37, 13, 26
2019/5/26, 34, 16, 25
2019/5/27, 39, 17, 25
2019/5/28, 45, 13, 24
2019/5/29, 32, 11, 39
2019/5/30, 21, 10, 26
2019/5/31, 20, 11, 40
2019/6/1, 25, 8, 44
2019/6/2, 21, 10, 34
2019/6/3, 22, 9, 32
2019/6/4, 20, 10, 27
2019/6/5, 24, 8, 39
2019/6/6, 15, 12, 49
2019/6/7, 26, 14, 46
2019/6/8, 35, 13, 42
2019/6/9, 28, 16, 41
2019/6/10, 31, 18, 42
2019/6/11, 39, 14, 36
2019/6/12, 27, 12, 41
2019/6/13, 17, 16, 45
2019/6/14, 32, 14, 40
2019/6/15, 32, 9, 44
2019/6/16, 24, 9, 48
2019/6/17, 19, 12, 48
2019/6/18, 25, 10, 52
2019/6/19, 22, 17, 33
2019/6/20, 42, 24, 27
2019/6/21, 54, 21, 30
2019/6/22, 45, 20, 33
2019/6/23, 46, 12, 45
2019/6/24, 22, 14, 48
2019/6/25, 32, 24, 33
2019/6/26, 39, 38, 26
2019/6/27, 59, 34, 29
2019/6/28, 57, 24, 32
2019/6/29, 47, 18, 36
2019/6/30, 39, 22, 38
2019/1/1, 29, 12, 18
2019/1/2, 29, 11, 16
2019/1/3, 36, 11, 26
2019/1/4, 32, 13, 24
2019/1/5, 32, 10, 29
2019/1/6, 24, 10, 29
2019/1/7, 19, 12, 28
2019/1/8, 14, 10, 31
2019/1/9, 15, 14, 20
2019/1/10, 21, 9, 17
2019/1/11, 24, 6, 21
2019/1/12, 21, 12, 24
2019/1/13, 44, 15, 23
2019/1/14, 51, 19, 14
2019/1/15, 52, 15, 15
2019/1/16, 45, 12, 23
2019/1/17, 38, 15, 21
2019/1/18, 43, 8, 27
2019/1/19, 20, 8, 27
2019/1/20, 22, 9, 32
2019/1/21, 24, 11, 26
2019/1/22, 29, 10, 28
2019/1/23, 27, 15, 25
2019/1/24, 26, 18, 24
2019/1/25, 44, 19, 28
2019/1/26, 48, 7, 33
2019/1/27, 13, 11, 29
2019/1/28, 14, 15, 27
2019/1/29, 16, 16, 26
2019/1/30, 24, 14, 26
2019/1/31, 33, 13, 28
2019/2/1, 38, 16, 26
2019/2/2, 46, 14, 27
2019/2/3, 43, 21, 19
2019/2/4, 39, 26, 8
2019/2/5, 63, 16, 2
2019/2/6, 44, 9, 24
2019/2/7, 26, 13, 28
2019/2/8, 25, 9, 27
2019/2/9, 21, 9, 17
2019/2/10, 34, 10, 13
2019/2/11, 33, 5, 35
2019/2/12, 17, 9, 33
2019/2/13, 14, 19, 31
2019/2/14, 20, 20, 24
2019/2/15, 47, 18, 20
2019/2/16, 54, 16, 29
2019/2/17, 44, 17, 29
2019/2/18, 43, 13, 27
2019/2/19, 42, 11, 31
2019/2/20, 34, 10, 34
2019/2/21, 28, 7, 20
2019/2/22, 24, 17, 32
2019/2/23, 26, 10, 36
2019/2/24, 26, 9, 37
2019/2/25, 19, 22, 23
2019/2/26, 47, 20, 25
2019/2/27, 52, 16, 29
2019/2/28, 44, 22, 24
2019/3/1, 61, 30, 22
2019/3/2, 72, 20, 32
2019/3/3, 51, 11, 33
2019/3/4, 18, 16, 38
2019/3/5, 36, 20, 40
2019/3/6, 40, 16, 33
2019/3/7, 30, 25, 23
2019/3/8, 57, 15, 41
2019/3/9, 25, 12, 32
2019/3/10, 34, 15, 30
2019/3/11, 46, 10, 21
2019/3/12, 33, 41, 39
2019/3/13, 40, 9, 37
2019/3/14, 12, 8, 37
2019/3/15, 12, 11, 41
2019/3/16, 22, 12, 43
2019/3/17, 26, 16, 49
2019/3/18, 37, 19, 41
2019/3/19, 45, 15, 41
2019/3/20, 37, 16, 43
2019/3/21, 29, 23, 52
2019/3/22, 51, 13, 41
2019/3/23, 35, 15, 35
2019/3/24, 43, 15, 36
2019/3/25, 46, 22, 44
2019/3/26, 58, 16, 46
2019/3/27, 42, 16, 37
2019/3/28, 43, 16, 33
2019/3/29, 39, 7, 32
2019/3/30, 18, 8, 36
2019/3/31, 18, 13, 41
2018/10/1, 24, , 26
2018/10/2, 22, , 25
2018/10/3, 25, , 27
2018/10/4, 23, , 26
2018/10/5, 22, , 17
2018/10/6, 16, , 26
2018/10/7, 8, , 23
2018/10/8, 17, , 27
2018/10/9, 14, , 18
2018/10/10, 7, , 27
2018/10/11, 6, , 20
2018/10/12, 19, , 27
2018/10/13, 13, , 18
2018/10/14, 6, , 24
2018/10/15, 11, , 25
2018/10/16, 18, , 33
2018/10/17, 24, , 23
2018/10/18, 18, , 23
2018/10/19, 13, , 3
2018/10/20, 24, , 36
2018/10/21, 25, , 33
2018/10/22, 23, , 33
2018/10/23, 27, , 29
2018/10/24, 10, , 30
2018/10/25, 14, , 32
2018/10/26, 22, , 33
2018/10/27, 23, , 30
2018/10/28, 18, , 31
2018/10/29, 15, 19, 23
2018/10/30, 21, 15, 19
2018/10/31, 20, 8, 30
2018/11/1, 13, 7, 32
2018/11/2, 12, 8, 29
2018/11/3, 15, 5, 22
2018/11/4, 8, 9, 30
2018/11/5, 13, 13, 33
2018/11/6, 16, 13, 28
2018/11/7, 20, 12, 20
2018/11/8, 25, 10, 25
2018/11/9, 23, 11, 28
2018/11/10, 28, 11, 27
2018/11/11, 27, 10, 25
2018/11/12, 33, 9, 28
2018/11/13, 29, 13, 29
2018/11/14, 38, 13, 32
2018/11/15, 30, 16, 31
2018/11/16, 25, 16, 31
2018/11/17, 34, 11, 14
2018/11/18, 34, 14, 21
2018/11/19, 33, 13, 27
2018/11/20, 20, 17, 27
2018/11/21, 32, 15, 31
2018/11/22, 35, 11, 31
2018/11/23, 24, 14, 31
2018/11/24, 20, 16, 25
2018/11/25, 20, 11, 27
2018/11/26, 26, 18, 29
2018/11/27, 24, 20, 27
2018/11/28, 28, 26, 32
2018/11/29, 32, 31, 24
2018/11/30, 48, 17, 31
2018/12/1, 27, 3, 28
2018/12/2, 5, 9, 19
2018/12/3, 20, 23, 14
2018/12/4, 50, 23, 22
2018/12/5, 50, 19, 19
2018/12/6, 38, 25, 17
2018/12/7, 56, 22, 14
2018/12/8, 56, 23, 24
2018/12/9, 58, 21, 26
2018/12/10, 48, 16, 25
2018/12/11, 45, 14, 20
2018/12/12, 42, 11, 22
2018/12/13, 29, 9, 28
2018/12/14, 14, 7, 30
2018/12/15, 10, 12, 23
2018/12/16, 21, 20, 17
2018/12/17, 32, 18, 27
2018/12/18, 42, 22, 14
2018/12/19, 61, 8, 30
2018/12/20, 7, 8, 26
2018/12/21, 9, 13, 26
2018/12/22, 20, 9, 25
2018/12/23, 17, 12, 28
2018/12/24, 29, 20, 19
2018/12/25, 54, 9, 26
2018/12/26, 27, 6, 23
2018/12/27, 15, 8, 23
2018/12/28, 18, 10, 21
2018/12/29, 32, 13, 15
2018/12/30, 40, , 
2018/7/1, 71, , 43
2018/7/2, 62, , 37
2018/7/3, 55, , 38
2018/7/4, 54, , 35
2018/7/5, 44, , 39
2018/7/6, 43, , 44
2018/7/7, 32, , 42
2018/7/8, 36, , 43
2018/7/9, 39, , 44
2018/7/10, 31, , 40
2018/7/11, 47, , 39
2018/7/12, 45, , 38
2018/7/13, 42, , 39
2018/7/14, 46, , 35
2018/7/15, 37, , 40
2018/7/16, 64, , 39
2018/7/17, 85, , 44
2018/7/18, 83, , 47
2018/7/19, 60, , 44
2018/7/20, 43, , 51
2018/7/21, 43, , 55
2018/7/22, 48, , 49
2018/7/23, 40, , 52
2018/7/24, 39, , 50
2018/7/25, 39, , 55
2018/7/26, 48, , 52
2018/7/27, 40, , 68
2018/7/28, 47, , 54
2018/7/29, 50, , 52
2018/7/30, 25, , 46
2018/7/31, 22, , 55
2018/8/1, 35, , 68
2018/8/2, 26, , 67
2018/8/3, 35, , 62
2018/8/4, 35, , 38
2018/8/5, 39, , 35
2018/8/6, 37, , 38
2018/8/7, 25, , 43
2018/8/8, 26, , 48
2018/8/9, 26, , 50
2018/8/10, 33, , 44
2018/8/11, 27, , 34
2018/8/12, 16, , 23
2018/8/13, 21, , 25
2018/8/14, 51, , 42
2018/8/15, 65, , 40
2018/8/16, 42, , 39
2018/8/17, 33, , 41
2018/8/18, 33, , 39
2018/8/19, 14, , 42
2018/8/20, 48, , 44
2018/8/21, 65, , 44
2018/8/22, 50, , 41
2018/8/27, 24, , 32
2018/8/28, 29, , 34
2018/8/29, 37, , 39
2018/8/30, 21, , 44
2018/8/31, 22, , 44
2018/9/1, 28, , 37
2018/9/2, 26, , 27
2018/9/3, 14, , 26
2018/9/4, 17, , 27
2018/9/5, 16, , 29
2018/9/6, 17, , 20
2018/9/7, 14, , 20
2018/9/8, 10, , 31
2018/9/9, 10, , 30
2018/9/10, 18, , 25
2018/9/11, 26, , 25
2018/9/12, 26, , 31
2018/9/13, 25, , 31
2018/9/14, 33, , 26
2018/9/15, 21, , 37
2018/9/16, 44, , 31
2018/9/17, 35, , 27
2018/9/18, 17, , 31
2018/9/19, 23, , 30
2018/9/20, 21, , 27
2018/9/21, 17, , 30
2018/9/22, 10, , 23
2018/9/23, 11, , 22
2018/9/24, 18, , 35
2018/9/25, 21, , 24
2018/9/26, 7, , 32
2018/9/27, 12, , 40
2018/9/28, 37, , 29
2018/9/29, 53, , 27
2018/9/30, 16, , 29
2018/4/1, 13, , 22
2018/4/2, 21, , 12
2018/4/3, 28, , 39
2018/4/4, 16, , 41
2018/4/5, 29, , 32
2018/4/6, 39, , 35
2018/4/7, 15, , 30
2018/4/8, 23, , 41
2018/4/9, 29, , 39
