date, pm25, o3
2019/3/12, 86, 24
2019/3/13, 94, 26
2019/3/14, 115, 16
2019/3/15, 90, 19
2019/3/16, 89, 11
2019/3/17, 107, 20
2019/3/18, 130, 22
2019/3/19, 98, 22
2019/3/20, 72, 21
2019/3/21, 92, 15
2019/3/22, 104, 13
2019/3/23, 127, 9
2019/3/24, 110, 10
2019/3/25, 144, 10
2019/3/26, 135, 8
2019/3/27, 98, 10
2019/3/28, 84, 18
2019/3/29, 116, 15
2019/3/30, 121, 10
2019/3/31, 110, 13
2018/10/1, 160, 
2018/10/2, 136, 
2018/10/3, 122, 1
2018/10/4, 146, 1
2018/10/5, 153, 
2018/10/6, 162, 
2018/10/7, 128, 
2018/10/8, 102, 1
2018/10/9, 142, 
2018/10/10, 123, 
2018/10/11, 138, 
2018/10/12, 92, 
2018/10/13, 85, 
2018/10/14, 82, 
2018/10/15, 84, 
2018/10/16, 118, 
2018/10/17, 117, 
2018/10/18, 97, 
2018/10/19, 94, 
2018/10/20, 93, 
2018/10/21, 116, 1
2018/10/22, 96, 
2018/10/23, 86, 
2018/10/24, 88, 
2018/10/25, 108, 
2018/10/26, 126, 
2018/10/27, 111, 
2018/10/28, 112, 
2018/10/29, 85, 
2018/10/30, 80, 
2018/10/31, 96, 1
2018/11/1, 98, 
2018/11/2, 106, 
2018/11/3, 100, 
2018/11/4, 71, 
2018/11/5, 94, 
2018/11/6, 145, 
2018/11/7, 106, 
2018/11/8, 23, 
2018/11/9, 17, 
2018/11/10, 16, 
2018/11/11, 18, 
2018/11/12, 14, 
2018/11/15, 102, 
2018/11/16, 90, 
2018/11/17, 102, 
2018/11/18, 88, 
2018/11/19, 85, 8
2018/11/20, 79, 16
2018/11/21, 68, 
2018/11/22, 86, 
2018/11/23, 98, 
2018/11/24, 87, 
2018/11/25, 88, 11
2018/11/26, 50, 18
2018/11/27, 62, 19
2018/11/28, 77, 22
2018/11/29, 110, 15
2018/11/30, 82, 12
2018/12/1, 83, 20
2018/12/2, 99, 16
2018/12/3, 106, 20
2018/12/4, 130, 12
2018/12/5, 99, 16
2018/12/6, 109, 17
2018/12/7, 130, 16
2018/12/8, 98, 16
2018/12/9, 66, 17
2018/12/10, 73, 15
2018/12/11, 68, 17
2018/12/12, 71, 6
2018/12/13, 90, 
2018/7/1, 153, 
2018/7/2, 166, 
2018/7/3, 176, 
2018/7/4, 165, 
2018/7/5, 162, 
2018/7/6, 167, 
2018/7/7, 171, 
2018/7/8, 173, 
2018/7/9, 180, 
2018/7/10, 178, 
2018/7/11, 172, 
2018/7/12, 169, 
2018/7/13, 163, 
2018/7/14, 161, 
2018/7/15, 156, 
2018/7/16, 130, 
2018/7/17, 119, 
2018/7/18, 142, 
2018/7/19, 165, 
2018/7/23, 121, 
2018/7/24, 108, 
2018/7/25, 114, 
2018/7/26, 147, 
2018/7/27, 133, 
2018/7/28, 130, 
2018/7/29, 201, 
2018/7/30, 307, 
2018/7/31, 284, 
2018/8/1, 162, 
2018/8/2, 136, 
2018/8/3, 102, 
2018/8/4, 120, 
2018/8/5, 143, 
2018/8/6, 151, 
2018/8/7, 139, 
2018/8/8, 136, 
2018/8/9, 186, 
2018/8/10, 154, 
2018/8/11, 154, 
2018/8/12, 158, 
2018/8/13, 149, 
2018/8/14, 142, 
2018/8/15, 155, 
2018/8/16, 156, 
2018/8/17, 157, 
2018/8/18, 166, 
2018/8/19, 156, 
2018/8/20, 152, 
2018/8/21, 141, 
2018/8/22, 150, 
2018/8/23, 156, 
2018/8/24, 139, 
2018/8/25, 134, 
2018/8/26, 128, 
2018/8/27, 124, 
2018/8/28, 133, 
2018/8/29, 121, 1
2018/8/30, 144, 
2018/8/31, 130, 
2018/9/1, 152, 
2018/9/2, 150, 
2018/9/3, 139, 1
2018/9/4, 161, 
2018/9/5, 138, 
2018/9/6, 136, 
2018/9/7, 130, 
2018/9/8, 137, 
2018/9/9, 154, 
2018/9/10, 133, 
2018/9/11, 123, 
2018/9/12, 116, 
2018/9/13, 150, 
2018/9/14, 157, 
2018/9/15, 150, 
2018/9/16, 120, 
2018/9/17, 124, 1
2018/9/18, 116, 1
2018/9/19, 139, 1
2018/9/20, 132, 
2018/9/21, 145, 1
2018/9/22, 143, 1
2018/9/23, 130, 
2018/9/24, 125, 
2018/9/25, 153, 
2018/9/26, 122, 1
2018/9/27, 134, 
2018/9/28, 116, 1
2018/9/29, 125, 
2018/9/30, 126, 
2018/4/1, 135, 
2018/4/2, 91, 
2018/4/3, 90, 
2018/4/4, 122, 
2018/4/5, 146, 
2018/4/6, 157, 
2018/4/7, 151, 
2018/4/8, 109, 
2018/4/9, 155, 
2018/4/10, 159, 
2018/4/11, 145, 
2018/4/12, 116, 
2018/4/13, 135, 
2018/4/14, 125, 
2018/4/15, 112, 
2018/4/16, 88, 
2018/4/17, 151, 
2018/4/18, 115, 
2018/4/19, 88, 
2018/4/20, 97, 
2018/4/21, 117, 
2018/4/22, 139, 
2018/4/23, 138, 
2018/4/24, 134, 
2018/4/25, 142, 
2018/4/26, 153, 
2018/4/27, 157, 
2018/4/28, 156, 
2018/4/29, 132, 
2018/4/30, 123, 
2018/5/1, 116, 
2018/5/2, 99, 
2018/5/3, 109, 
2018/5/4, 115, 
2018/5/5, 152, 
2018/5/6, 128, 
2018/5/7, 136, 
2018/5/8, 155, 
2018/5/9, 163, 
2018/5/10, 185, 
2018/5/11, 140, 
2018/5/12, 142, 
2018/5/13, 273, 
2018/5/14, 150, 
2018/5/15, 140, 
2018/5/16, 87, 
2018/5/17, 76, 
2018/5/18, 99, 
2018/5/19, 111, 
2018/5/20, 125, 
2018/5/21, 132, 
2018/5/22, 130, 
2018/5/23, 137, 
2018/5/24, 138, 
2018/5/25, 137, 
2018/5/26, 104, 
2018/5/27, 118, 
2018/5/28, 137, 
2018/5/29, 154, 
2018/5/30, 161, 
2018/5/31, 171, 
2018/6/1, 172, 
2018/6/2, 171, 
2018/6/3, 176, 
2018/6/4, 161, 
2018/6/5, 157, 
2018/6/6, 137, 
2018/6/7, 140, 
2018/6/8, 173, 
2018/6/9, 157, 
2018/6/10, 125, 
2018/6/11, 102, 
2018/6/12, 119, 
2018/6/13, 121, 
2018/6/14, 119, 
2018/6/15, 115, 
2018/6/16, 89, 
2018/6/18, 128, 
2018/6/19, 149, 
2018/6/20, 161, 
2018/6/21, 170, 
2018/6/22, 126, 
2018/6/23, 115, 
2018/6/24, 155, 
2018/6/25, 156, 
2018/6/26, 159, 
2018/6/27, 164, 
2018/6/28, 166, 
2018/6/29, 165, 
2018/6/30, 167, 
2018/1/24, 167, 
2018/1/25, 169, 
2018/1/26, 164, 
2018/1/27, 164, 
2018/1/28, 138, 
2018/1/29, 67, 
2018/1/30, 76, 
2018/1/31, 63, 
2018/2/1, 80, 
2018/2/2, 92, 
2018/2/3, 97, 
2018/2/4, 103, 
2018/2/5, 111, 
2018/2/6, 115, 
2018/2/7, 143, 
2018/2/8, 158, 
2018/2/9, 150, 
2018/2/10, 143, 
2018/2/11, 142, 
2018/2/12, 149, 
2018/2/13, 146, 
2018/2/14, 130, 
2018/2/15, 116, 
2018/2/16, 125, 
2018/2/17, 154, 
2018/2/18, 157, 
2018/2/19, 142, 
2018/2/20, 144, 
2018/2/21, 157, 
2018/2/22, 147, 
2018/2/23, 118, 
2018/2/24, 116, 
2018/2/25, 74, 
2018/2/26, 64, 
2018/2/27, 81, 
2018/2/28, 96, 
2018/3/1, 99, 
2018/3/2, 87, 
2018/3/3, 83, 
2018/3/4, 103, 
2018/3/5, 121, 
2018/3/6, 136, 
2018/3/7, 156, 
2018/3/8, 152, 
2018/3/9, 149, 
2018/3/10, 155, 
2018/3/11, 163, 
2018/3/12, 137, 
2018/3/13, 121, 
2018/3/14, 81, 
2018/3/15, 103, 
2018/3/16, 132, 
2018/3/17, 136, 
2018/3/18, 132, 
2018/3/19, 76, 
2018/3/20, 101, 
2018/3/21, 115, 
2018/3/22, 108, 
2018/3/23, 154, 
2018/3/24, 128, 
2018/3/25, 109, 
2018/3/26, 103, 
2018/3/27, 122, 
2018/3/28, 151, 
2018/3/29, 164, 
2018/3/30, 152, 
2018/3/31, 150, 
2020/1/1, , 19
2019/10/5, , 15
2019/10/16, , 20
2019/10/17, , 27
2019/10/18, , 26
2019/10/19, , 25
2019/10/20, , 27
2019/10/21, , 29
2019/10/22, , 24
2019/10/23, , 20
2019/10/24, , 26
2019/10/25, , 28
2019/10/26, , 18
2019/10/27, , 16
2019/10/28, , 19
2019/10/29, , 21
2019/10/30, , 22
2019/10/31, , 23
2019/11/1, , 25
2019/11/2, , 22
2019/11/3, , 25
2019/11/4, , 19
2019/12/22, , 18
2019/12/23, , 21
2019/12/24, , 16
2019/12/25, , 16
2019/9/28, , 23
2019/4/8, , 10
2019/4/23, , 22
2019/4/24, , 22
2019/4/25, , 23
2019/4/26, , 24
2019/4/30, , 22
2019/5/1, , 22
2019/5/15, , 30
2019/3/1, , 18
2018/1/23, , 1
