date, pm25, o3
2019/5/26, 62, 17
2019/5/27, 52, 18
2019/5/28, 48, 19
2019/5/29, 54, 18
2019/5/30, 43, 17
2019/5/31, 43, 18
2019/6/1, 44, 24
2019/6/2, 56, 23
2019/6/3, 62, 26
2019/6/4, 65, 16
2019/6/5, 50, 7
2019/6/6, 23, 13
2019/6/7, 21, 18
2019/6/8, 24, 15
2019/6/9, 27, 14
2019/6/10, 30, 18
2019/6/11, 38, 21
2019/6/12, 40, 23
2019/6/13, 43, 23
2019/6/14, 38, 19
2019/6/15, 46, 16
2019/6/16, 26, 14
2019/6/17, 28, 8
2019/6/18, 23, 13
2019/6/19, 23, 10
2019/6/20, 53, 9
2019/6/21, 73, 9
2019/6/22, 73, 7
2019/6/23, 71, 9
2019/6/24, 72, 11
2019/6/25, 68, 15
2019/6/26, 62, 16
2019/6/27, 57, 19
2019/6/28, 48, 17
2019/6/29, 33, 14
2019/6/30, 31, 17
2019/1/1, 33, 10
2019/1/2, 23, 11
2019/1/3, 24, 15
2019/1/4, 21, 14
2019/1/5, 19, 13
2019/1/6, 25, 16
2019/1/7, 37, 15
2019/1/8, 27, 16
2019/1/9, 24, 16
2019/1/10, 24, 17
2019/1/11, 48, 15
2019/1/12, 38, 14
2019/1/13, 23, 8
2019/1/14, 27, 14
2019/1/15, 43, 13
2019/1/16, 45, 16
2019/1/17, 43, 13
2019/1/18, 33, 15
2019/1/19, 24, 7
2019/1/20, 7, 
2019/1/22, 29, 15
2019/1/23, 28, 12
2019/1/24, 23, 15
2019/1/25, 28, 16
2019/1/26, 30, 12
2019/1/27, 51, 20
2019/1/28, 41, 15
2019/1/29, 26, 16
2019/1/30, 24, 17
2019/1/31, 34, 14
2019/2/1, 42, 13
2019/2/2, 34, 12
2019/2/3, 31, 12
2019/2/4, 24, 12
2019/2/5, 31, 11
2019/2/6, 29, 18
2019/2/7, 44, 15
2019/2/8, 27, 18
2019/2/9, 36, 16
2019/2/10, 39, 12
2019/2/11, 40, 15
2019/2/12, 25, 17
2019/2/13, 18, 18
2019/2/14, 24, 17
2019/2/15, 23, 16
2019/2/16, 38, 13
2019/2/17, 32, 16
2019/2/18, 23, 15
2019/2/19, 30, 9
2019/2/20, 45, 9
2019/2/21, 42, 9
2019/2/22, 35, 10
2019/2/23, 35, 17
2019/2/24, 26, 19
2019/2/25, 34, 17
2019/2/26, 44, 12
2019/2/27, 24, 12
2019/2/28, 20, 10
2019/3/1, 21, 8
2019/3/2, 27, 10
2019/3/3, 32, 12
2019/3/4, 32, 17
2019/3/5, 26, 19
2019/3/6, 23, 22
2019/3/7, 46, 21
2019/3/8, 43, 17
2019/3/9, 30, 11
2019/3/10, 43, 9
2019/3/11, 25, 20
2019/3/12, 30, 18
2019/3/13, 34, 18
2019/3/19, 57, 25
2019/3/20, 75, 21
2019/3/21, 54, 20
2019/3/22, 48, 23
2019/3/23, 56, 26
2019/3/24, 61, 21
2019/3/25, 44, 17
2019/3/26, 34, 21
2019/3/27, 37, 22
2019/3/28, 39, 22
2019/3/29, 35, 20
2019/3/30, 28, 12
2019/3/31, 21, 18
2018/10/1, 30, 14
2018/10/2, 31, 14
2018/10/3, 32, 15
2018/10/4, 36, 15
2018/10/5, 36, 15
2018/10/6, 38, 12
2018/10/7, 35, 11
2018/10/8, 30, 
2018/10/24, 40, 14
2018/10/25, 32, 11
2018/10/26, 17, 13
2018/10/27, 22, 19
2018/10/28, 35, 18
2018/10/29, 44, 18
2018/10/30, 48, 22
2018/10/31, 47, 16
2018/11/1, 17, 9
2018/11/2, 15, 14
2018/11/3, 24, 14
2018/11/4, 36, 8
2018/11/5, 32, 8
2018/11/6, 22, 6
2018/11/7, 24, 10
2018/11/8, 27, 9
2018/11/9, 34, 12
2018/11/10, 31, 12
2018/11/11, 48, 10
2018/11/12, 40, 6
2018/11/13, 12, 3
2018/11/14, 13, 8
2018/11/15, 20, 14
2018/11/16, 32, 18
2018/11/17, 42, 17
2018/11/18, 47, 16
2018/11/19, 46, 13
2018/11/20, 44, 13
2018/11/21, 33, 12
2018/11/22, 46, 10
2018/11/23, 39, 9
2018/11/24, 20, 11
2018/11/25, 35, 8
2018/11/26, 21, 13
2018/11/27, 22, 14
2018/11/28, 33, 16
2018/11/29, 40, 17
2018/11/30, 38, 14
2018/12/1, 24, 11
2018/12/2, 31, 13
2018/12/3, 31, 12
2018/12/4, 24, 11
2018/12/5, 23, 13
2018/12/6, 32, 14
2018/12/7, 45, 11
2018/12/8, 49, 10
2018/12/9, 14, 8
2018/12/10, 18, 12
2018/12/11, 31, 13
2018/12/12, 40, 12
2018/12/13, 45, 15
2018/12/14, 21, 9
2018/12/15, 22, 9
2018/12/16, 22, 12
2018/12/17, 28, 14
2018/12/18, 27, 13
2018/12/19, 44, 12
2018/12/20, 21, 9
2018/12/21, 19, 13
2018/12/22, 25, 15
2018/12/23, 29, 13
2018/12/24, 34, 14
2018/12/25, 43, 15
2018/12/26, 35, 15
2018/12/27, 31, 13
2018/12/28, 33, 11
2018/12/29, 22, 9
2018/12/30, 26, 
2018/7/1, 24, 14
2018/7/2, 24, 12
2018/7/3, 30, 14
2018/7/4, 36, 14
2018/7/5, 27, 15
2018/7/6, 29, 14
2018/7/7, 21, 11
2018/7/8, 21, 10
2018/7/9, 23, 13
2018/7/10, 35, 21
2018/7/11, 39, 16
2018/7/12, 44, 14
2018/7/13, 39, 15
2018/7/14, 39, 15
2018/7/15, 33, 17
2018/7/16, 35, 17
2018/7/17, 42, 15
2018/7/18, 51, 16
2018/7/19, 46, 16
2018/7/20, 37, 16
2018/7/21, 64, 16
2018/7/22, 63, 18
2018/7/23, 41, 15
2018/7/24, 33, 15
2018/7/25, 29, 16
2018/7/26, 39, 15
2018/7/27, 35, 16
2018/7/28, 35, 15
2018/7/29, 41, 15
2018/7/30, 32, 13
2018/7/31, 26, 13
2018/8/1, 14, 12
2018/8/2, 13, 12
2018/8/3, 18, 9
2018/8/4, 24, 13
2018/8/5, 30, 11
2018/8/6, 29, 16
2018/8/7, 27, 12
2018/8/8, 27, 9
2018/8/9, 21, 11
2018/8/10, 20, 14
2018/8/11, 35, 17
2018/8/12, 47, 16
2018/8/13, 50, 15
2018/8/14, 40, 13
2018/8/15, 36, 8
2018/8/16, 23, 8
2018/8/17, 19, 9
2018/8/18, 23, 12
2018/8/19, 18, 7
2018/8/20, 17, 9
2018/8/21, 20, 16
2018/8/22, 36, 18
2018/8/23, 60, 15
2018/8/24, 58, 15
2018/8/25, 43, 14
2018/8/26, 49, 11
2018/8/27, 29, 10
2018/8/28, 25, 12
2018/8/29, 18, 11
2018/8/30, 18, 7
2018/8/31, 22, 9
2018/9/1, 24, 10
2018/9/2, 24, 10
2018/9/3, 24, 7
2018/9/4, 31, 8
2018/9/5, 27, 9
2018/9/6, 30, 12
2018/9/7, 31, 11
2018/9/8, 28, 11
2018/9/9, 28, 9
2018/9/10, 22, 9
2018/9/11, 23, 12
2018/9/12, 27, 10
2018/9/13, 31, 11
2018/9/14, 38, 14
2018/9/15, 52, 11
2018/9/16, 38, 12
2018/9/17, 42, 15
2018/9/18, 30, 14
2018/9/19, 35, 16
2018/9/20, 39, 15
2018/9/21, 38, 16
2018/9/22, 35, 11
2018/9/23, 31, 10
2018/9/24, 25, 12
2018/9/25, 24, 10
2018/9/26, 21, 8
2018/9/27, 21, 7
2018/9/28, 21, 10
2018/9/29, 29, 10
2018/9/30, 29, 14
2018/4/1, 33, 15
2018/4/2, 31, 13
2018/4/3, 28, 16
2018/4/4, 24, 21
2018/4/5, 24, 22
2018/4/6, 38, 16
2018/4/7, 21, 15
2018/4/8, 27, 10
2018/4/9, 38, 17
2018/4/10, 35, 22
2018/4/11, 42, 23
2018/4/12, 48, 20
2018/4/13, 40, 19
2018/4/14, 38, 17
2018/4/15, 28, 20
2018/4/16, 21, 21
2018/4/17, 26, 21
2018/4/18, 30, 21
2018/4/19, 39, 22
2018/4/20, 44, 19
2018/4/21, 48, 17
2018/4/22, 40, 22
2018/4/23, 26, 17
2018/4/24, 29, 17
2018/4/25, 28, 19
2018/4/26, 34, 18
2018/4/27, 25, 
2018/4/29, 36, 23
2018/4/30, 44, 22
2018/5/1, 46, 22
2018/5/2, 39, 21
2018/5/3, 35, 20
2018/5/4, 41, 19
2018/5/5, 38, 22
2018/5/6, 35, 24
2018/5/7, 48, 25
2018/5/8, 51, 24
2018/5/9, 48, 24
2018/5/10, 45, 22
2018/5/11, 48, 24
2018/5/12, 57, 24
2018/5/13, 61, 20
2018/5/14, 54, 14
2018/5/15, 16, 12
2018/5/16, 17, 18
2018/5/17, 24, 19
2018/5/18, 36, 18
2018/5/19, 52, 15
2018/5/20, 32, 11
2018/5/21, 16, 12
2018/5/22, 19, 13
2018/5/23, 30, 13
2018/5/24, 27, 10
2018/5/25, 21, 11
2018/5/26, 24, 10
2018/5/27, 22, 10
2018/5/28, 18, 11
2018/5/29, 27, 10
2018/5/30, 23, 11
2018/5/31, 25, 10
2018/6/1, 31, 14
2018/6/2, 33, 17
2018/6/3, 43, 21
2018/6/4, 40, 16
2018/6/5, 34, 23
2018/6/6, 41, 24
2018/6/7, 48, 19
2018/6/8, 38, 16
2018/6/9, 26, 16
2018/6/10, 26, 13
2018/6/11, 27, 11
2018/6/12, 32, 10
2018/6/13, 28, 11
2018/6/14, 23, 13
2018/6/15, 23, 12
2018/6/16, 27, 7
2018/6/17, 43, 9
2018/6/18, 59, 12
2018/6/19, 69, 16
2018/6/20, 75, 10
2018/6/21, 49, 10
2018/6/22, 63, 10
2018/6/23, 50, 9
2018/6/24, 34, 10
2018/6/25, 33, 12
2018/6/26, 30, 11
2018/6/27, 29, 14
2018/6/28, 28, 19
2018/6/29, 30, 16
2018/6/30, 33, 15
2018/1/1, 34, 15
2018/1/2, 31, 14
2018/1/3, 37, 15
2018/1/4, 25, 15
2018/1/5, 30, 8
2018/1/6, 42, 17
2018/1/7, 49, 13
2018/1/8, 26, 12
2018/1/9, 29, 14
2018/1/10, 22, 12
2018/1/11, 22, 17
2018/1/12, 15, 12
2018/1/13, 27, 14
2018/1/14, 29, 15
2018/1/15, 33, 16
2018/1/16, 42, 14
2018/1/17, 30, 15
2018/1/18, 29, 15
2018/1/19, 28, 17
2018/1/20, 38, 20
2018/1/21, 67, 14
2018/1/22, 44, 16
2018/1/23, 10, 14
2018/1/24, 16, 17
2018/1/25, 28, 17
2018/1/26, 49, 15
2018/1/27, 38, 12
2018/1/28, 26, 16
2018/1/29, 15, 15
2018/1/30, 26, 16
2018/1/31, 30, 18
2018/2/1, 68, 16
2018/2/2, 19, 13
2018/2/3, 21, 14
2018/2/4, 33, 17
2018/2/5, 34, 18
2018/2/6, 48, 11
2018/2/7, 23, 17
2018/2/8, 15, 11
2018/2/9, 37, 9
2018/2/10, 34, 11
2018/2/11, 13, 10
2018/2/12, 18, 8
2018/2/13, 22, 9
2018/2/14, 25, 12
2018/2/15, 22, 14
2018/2/16, 31, 12
2018/2/17, 29, 12
2018/2/18, 28, 15
2018/2/19, 30, 10
2018/2/20, 49, 10
2018/2/21, 47, 13
2018/2/22, 62, 15
2018/2/23, 43, 16
2018/2/24, 29, 15
2018/2/25, 28, 14
2018/2/26, 19, 16
2018/2/27, 25, 13
2018/2/28, 37, 13
2018/3/1, 29, 18
2018/3/2, 23, 20
2018/3/3, 34, 20
2018/3/4, 50, 22
2018/3/5, 53, 15
2018/3/6, 31, 16
2018/3/7, 21, 18
2018/3/8, 28, 21
2018/3/9, 37, 19
2018/3/10, 44, 15
2018/3/11, 32, 18
2018/3/12, 26, 19
2018/3/13, 33, 11
2018/3/14, 36, 22
2018/3/15, 34, 21
2018/3/16, 40, 17
2018/3/17, 43, 14
2018/3/18, 31, 10
2018/3/19, 33, 19
2018/3/20, 39, 19
2018/3/21, 34, 20
2018/3/22, 29, 21
2018/3/23, 39, 23
2018/3/24, 37, 18
2018/3/25, 51, 14
2018/3/26, 35, 16
2018/3/27, 60, 22
2018/3/28, 78, 16
2018/3/29, 42, 15
2018/3/30, 21, 20
2018/3/31, 22, 20
2017/10/1, 29, 16
2017/10/2, 36, 16
2017/10/3, 25, 15
2017/10/4, 27, 15
2017/10/10, 13, 8
2017/10/11, 26, 12
2017/10/12, 39, 12
2017/10/13, 29, 11
2017/10/14, 30, 11
2017/10/15, 28, 9
2017/10/16, 24, 18
2017/10/17, 33, 16
2017/10/18, 38, 17
2017/10/19, 38, 
2017/10/25, 25, 17
2017/10/26, 31, 18
2017/10/27, 31, 12
2017/10/28, 23, 12
2017/10/29, 22, 17
2017/10/30, 33, 10
2017/10/31, 35, 18
2017/11/1, 26, 17
2017/11/2, 32, 13
2017/11/3, 33, 15
2017/11/4, 39, 16
2017/11/5, 47, 13
2017/11/6, 36, 14
2017/11/7, 33, 10
2017/11/8, 46, 5
2017/11/9, 30, 12
2017/11/10, 23, 13
2017/11/11, 38, 13
2017/11/12, 40, 15
2017/11/13, 38, 16
2017/11/14, 40, 15
2017/11/15, 45, 17
2017/11/16, 59, 17
2017/11/17, 51, 18
2017/11/18, 48, 14
2017/11/19, 17, 14
2017/11/20, 33, 10
2017/11/21, 49, 15
2017/11/22, 43, 14
2017/11/23, 43, 16
2017/11/24, 46, 16
2017/11/25, 49, 16
2017/11/26, 35, 17
2017/11/27, 38, 18
2017/11/28, 55, 14
2017/11/29, 48, 16
2017/11/30, 52, 12
2017/12/1, 31, 15
2017/12/2, 36, 12
2017/12/3, 51, 12
2017/12/4, 54, 13
2017/12/5, 36, 12
2017/12/6, 26, 11
2017/12/7, 18, 11
2017/12/8, 15, 13
2017/12/9, 23, 12
2017/12/10, 28, 18
2017/12/11, 29, 15
2017/12/12, 28, 15
2017/12/13, 25, 16
2017/12/14, 41, 9
2017/12/15, 51, 14
2017/12/16, 41, 16
2017/12/17, 52, 13
2017/12/18, 23, 8
2017/12/19, 21, 9
2017/12/20, 21, 10
2017/12/21, 20, 10
2017/12/22, 35, 10
2017/12/23, 38, 12
2017/12/24, 24, 13
2017/12/25, 20, 13
2017/12/26, 34, 10
2017/12/27, 42, 8
2017/12/28, 27, 13
2017/12/29, 27, 14
2017/12/30, 28, 10
2017/12/31, 27, 12
2017/7/1, 55, 11
2017/7/2, 55, 9
2017/7/3, 72, 12
2017/7/4, 72, 8
2017/7/5, 57, 8
2017/7/6, 33, 12
2017/7/7, 29, 13
2017/7/8, 25, 17
2017/7/9, 33, 16
2017/7/10, 36, 11
2017/7/11, 23, 11
2017/7/12, 25, 13
2017/7/13, 31, 8
2017/7/14, 23, 11
2017/7/15, 22, 10
2017/7/16, 22, 10
2017/7/17, 19, 10
2017/7/18, 22, 13
2017/7/19, 23, 16
2017/7/20, 37, 16
2017/7/21, 39, 17
2017/7/22, 35, 12
2017/7/23, 21, 12
2017/7/24, 22, 12
2017/7/25, 40, 17
2017/7/26, 37, 19
2017/7/27, 46, 13
2017/7/28, 49, 
2017/7/31, 76, 
2017/8/2, 34, 11
2017/8/3, 26, 7
2017/8/4, 12, 11
2017/8/5, 19, 6
2017/8/6, 42, 7
2017/8/7, 47, 6
2017/8/8, 45, 7
2017/8/9, 31, 7
2017/8/10, 26, 9
2017/8/11, 20, 13
2017/8/12, 35, 14
2017/8/13, 38, 16
2017/8/14, 38, 11
2017/8/15, 27, 10
2017/8/16, 24, 9
2017/8/17, 32, 12
2017/8/18, 48, 17
2017/8/19, 51, 19
2017/8/20, 50, 13
2017/8/21, 39, 11
2017/8/22, 33, 13
2017/8/23, 34, 17
2017/8/24, 38, 17
2017/8/25, 48, 11
2017/8/26, 30, 15
2017/8/27, 33, 18
2017/8/28, 43, 13
2017/8/29, 39, 6
2017/8/30, 43, 8
2017/8/31, 29, 16
2017/9/1, 37, 14
2017/9/2, 30, 15
2017/9/3, 32, 14
2017/9/4, 30, 
2017/9/9, 35, 17
2017/9/10, 27, 13
2017/9/11, 10, 18
2017/9/12, 30, 19
2017/9/13, 45, 17
2017/9/14, 45, 10
2017/9/15, 31, 11
2017/9/16, 39, 14
2017/9/17, 45, 17
2017/9/18, 55, 14
2017/9/19, 45, 13
2017/9/25, 40, 17
2017/9/26, 43, 21
2017/9/27, 50, 17
2017/9/28, 50, 18
2017/9/29, 53, 14
2017/9/30, 51, 15
2017/4/1, 29, 22
2017/4/2, 35, 15
2017/4/3, 34, 18
2017/4/4, 32, 13
2017/4/5, 42, 19
2017/4/6, 13, 19
2017/4/7, 24, 22
2017/4/8, 31, 24
