date, pm25, pm10, o3
2020/1/2, 28, 7, 28
2020/1/3, 25, 6, 26
2020/1/4, 17, 5, 32
2020/1/5, 8, 3, 28
2020/1/6, 8, 4, 31
2020/1/7, 13, 11, 28
2020/1/8, 6, 14, 22
2020/1/9, 25, 10, 24
2020/1/10, 22, 6, 28
2020/1/11, 10, 11, 20
2020/1/12, 29, 7, 18
2020/1/13, 33, 13, 20
2020/1/14, 49, 10, 26
2020/1/15, 28, 8, 20
2020/1/16, 30, , 
2019/10/1, 4, 2, 10
2019/10/2, 6, 2, 13
2019/10/3, 4, 4, 18
2019/10/4, 4, 7, 25
2019/10/5, 5, 4, 25
2019/10/6, 4, 9, 28
2019/10/7, 19, 24, 35
2019/10/8, 7, 14, 36
2019/10/9, 11, 1, 21
2019/10/10, 3, 8, 27
2019/10/11, 6, 4, 25
2019/10/12, 6, 3, 24
2019/10/13, 5, 16, 27
2019/10/14, 25, 10, 23
2019/10/15, 12, 8, 25
2019/10/16, 8, 26, 32
2019/10/17, 23, 40, 35
2019/10/18, 23, 16, 26
2019/10/19, 21, 17, 27
2019/10/20, 24, 4, 24
2019/10/21, 15, 6, 23
2019/10/22, 18, 1, 20
2019/10/23, 29, 1, 23
2019/10/24, 26, 15, 26
2019/10/25, 18, 26, 29
2019/10/26, 14, 7, 17
2019/10/27, 9, 9, 26
2019/10/28, 11, 16, 22
2019/10/29, 15, 11, 22
2019/10/30, 10, 15, 26
2019/10/31, 8, 13, 21
2019/11/1, 15, 10, 25
2019/11/2, 13, 6, 20
2019/11/3, 12, 7, 20
2019/11/4, 23, 12, 20
2019/11/5, 16, 9, 22
2019/11/6, 15, 10, 23
2019/11/7, 11, 26, 20
2019/11/8, 19, 12, 23
2019/11/9, 16, 11, 24
2019/11/10, 17, 12, 25
2019/11/11, 11, 16, 25
2019/11/12, 14, 14, 21
2019/11/13, 21, 17, 24
2019/11/14, 35, 25, 24
2019/11/15, 24, 24, 27
2019/11/16, 32, 5, 18
2019/11/17, 18, 6, 14
2019/11/18, 18, 7, 23
2019/11/19, 14, 13, 19
2019/11/20, 22, 5, 16
2019/11/21, 16, 13, 9
2019/11/22, 17, 8, 6
2019/11/23, 12, 9, 6
2019/11/24, 14, 11, 9
2019/11/25, 21, 8, 20
2019/11/26, 18, 4, 24
2019/11/27, 7, 4, 23
2019/11/28, 16, 4, 14
2019/11/29, 11, 4, 16
2019/11/30, 3, 3, 27
2019/12/1, 8, 6, 27
2019/12/2, 14, 5, 31
2019/12/3, 8, 7, 27
2019/12/4, 13, 7, 26
2019/12/5, 25, 8, 24
2019/12/6, 15, 8, 20
2019/12/7, 20, 8, 15
2019/12/8, 22, 10, 28
2019/12/9, 22, 12, 23
2019/12/10, 22, 12, 25
2019/12/11, 32, 21, 21
2019/12/12, 48, 18, 21
2019/12/13, 54, 10, 27
2019/12/14, 24, 9, 27
2019/12/15, 16, 10, 18
2019/12/16, 40, 9, 25
2019/12/17, 24, 14, 25
2019/12/18, 24, 20, 16
2019/12/19, 41, 24, 19
2019/12/20, 53, 13, 22
2019/12/21, 35, 8, 16
2019/12/22, 15, 11, 20
2019/12/23, 35, 22, 8
2019/12/24, 60, 17, 10
2019/12/25, 60, 8, 16
2019/12/26, 35, 9, 20
2019/12/27, 23, 8, 17
2019/12/28, 31, , 
2019/7/1, 23, 6, 41
2019/7/2, 23, 12, 46
2019/7/3, 27, 8, 46
2019/7/4, 31, 4, 37
2019/7/5, 19, 9, 31
2019/7/6, 30, 10, 37
2019/7/7, 31, 18, 40
2019/7/8, 30, 10, 34
2019/7/9, 34, 11, 30
2019/7/10, 25, 13, 35
2019/7/11, 28, 23, 42
2019/7/12, 24, 13, 38
2019/7/13, 30, 15, 42
2019/7/14, 24, 19, 44
2019/7/15, 22, 10, 35
2019/7/16, 19, 5, 37
2019/7/17, 15, 15, 38
2019/7/18, 21, 23, 44
2019/7/19, 33, 7, 32
2019/7/20, 21, 6, 26
2019/7/21, 12, 8, 27
2019/7/22, 16, 20, 41
2019/7/23, 31, 20, 43
2019/7/24, 22, 15, 36
2019/7/25, 24, 22, 46
2019/7/26, 32, 18, 34
2019/7/27, 30, 15, 36
2019/7/28, 40, 6, 29
2019/7/29, 22, 10, 27
2019/7/30, 17, 11, 28
2019/7/31, 16, 12, 30
2019/8/1, 16, 14, 29
2019/8/2, 21, 14, 38
2019/8/3, 23, 12, 36
2019/8/4, 23, 12, 36
2019/8/5, 20, 18, 39
2019/8/6, 22, 19, 33
2019/8/7, 25, 19, 31
2019/8/8, 14, 27, 29
2019/8/9, 19, 15, 31
2019/8/10, 20, 6, 26
2019/8/11, 21, 6, 33
2019/8/12, 20, 10, 30
2019/8/13, 6, 7, 26
2019/8/14, 14, 11, 31
2019/8/15, 11, 7, 37
2019/8/16, 10, 10, 36
2019/8/17, 18, 4, 26
2019/8/18, 8, 10, 30
2019/8/19, 14, 11, 32
2019/8/20, 20, 14, 23
2019/8/21, 7, 18, 27
2019/8/22, 10, 16, 33
2019/8/23, 13, 15, 31
2019/8/24, 11, 8, 25
2019/8/25, 14, 6, 32
2019/8/26, 5, 14, 25
2019/8/27, 6, 12, 27
2019/8/28, 9, 14, 28
2019/8/29, 12, 15, 20
2019/8/30, 9, 7, 24
2019/8/31, 7, 9, 22
2019/9/1, 20, 10, 25
2019/9/2, 28, 14, 27
2019/9/3, 22, 14, 26
2019/9/4, 18, 19, 31
2019/9/5, 22, 13, 29
2019/9/6, 10, 10, 17
2019/9/7, 12, 3, 15
2019/9/8, 3, 6, 27
2019/9/9, 19, 6, 24
2019/9/10, 21, 4, 23
2019/9/11, 6, 4, 22
2019/9/12, 12, 5, 18
2019/9/13, 7, 10, 29
2019/9/14, 19, 6, 27
2019/9/15, 29, 22, 37
