date, o3, no2
2019/1/28, 26, 7
2019/1/29, 26, 9
2019/1/30, 23, 4
2019/1/31, 29, 2
2019/2/1, 32, 5
2019/2/2, 30, 9
2019/2/3, 25, 18
2019/2/4, 24, 15
2019/2/5, 30, 20
2019/2/6, 22, 21
2019/2/7, 21, 13
2019/2/8, 23, 9
2019/2/9, 29, 10
2019/2/10, 29, 14
2019/2/11, 23, 6
2019/2/12, 33, 2
2019/2/13, 37, 2
2019/2/14, 37, 3
2019/2/15, 36, 2
2019/2/16, 36, 2
2019/2/17, 35, 3
2019/2/18, 34, 11
2019/2/19, 37, 3
2019/2/20, 39, 2
2019/2/21, 39, 3
2019/2/22, 39, 19
2019/2/23, 26, 11
2019/2/24, 40, 1
2019/2/25, 40, 1
2019/2/26, 41, 6
2019/2/27, 40, 18
2019/2/28, 34, 13
2019/3/1, 31, 7
2019/3/2, 31, 16
2019/3/3, 27, 11
2019/3/4, 27, 11
2019/3/5, 19, 7
2019/3/6, 27, 13
2019/3/7, 29, 16
2019/3/8, 28, 10
2019/3/9, 37, 11
2019/3/10, 37, 21
2019/3/11, 28, 8
2019/3/12, 43, 13
2019/3/13, 27, 5
2019/3/14, 37, 4
2019/3/15, 39, 17
2019/3/16, 34, 23
2019/3/17, 26, 7
2019/3/18, 38, 3
2019/3/19, 34, 1
2019/3/20, 38, 1
2019/3/21, 41, 1
2019/3/22, 44, 1
2019/3/23, 42, 2
2019/3/24, 37, 3
2019/3/25, 40, 2
2019/3/26, 43, 1
2019/3/27, 42, 1
2019/3/28, 44, 2
2019/3/29, 41, 2
2019/3/30, 39, 4
2019/3/31, 37, 9
2018/10/1, 23, 7
2018/10/2, 37, 3
2018/10/3, 36, 2
2018/10/4, 39, 2
2018/10/5, 37, 3
2018/10/6, 36, 19
2018/10/7, 29, 16
2018/10/8, 29, 8
2018/10/9, 32, 9
2018/10/10, 32, 7
2018/10/11, 23, 9
2018/10/12, 22, 4
2018/10/13, 31, 5
2018/10/14, 29, 5
2018/10/15, 31, 11
2018/10/16, 27, 14
2018/10/17, 27, 8
2018/10/18, 26, 7
2018/10/19, 30, 2
2018/10/20, 35, 14
2018/10/21, 28, 4
2018/10/22, 31, 3
2018/10/23, 33, 3
2018/10/24, 38, 10
2018/10/25, 34, 21
2018/10/26, 16, 9
2018/10/27, 30, 6
2018/10/28, 27, 5
2018/10/29, 31, 5
2018/10/30, 29, 12
2018/10/31, 24, 13
2018/11/1, 22, 18
2018/11/2, 18, 13
2018/11/3, 22, 15
2018/11/4, 23, 6
2018/11/5, 30, 21
2018/11/6, 25, 16
2018/11/7, 28, 15
2018/11/8, 25, 10
2018/11/9, 27, 16
2018/11/10, 19, 6
2018/11/11, 20, 20
2018/11/12, 16, 9
2018/11/13, 29, 5
2018/11/14, 27, 3
2018/11/15, 25, 4
2018/11/16, 25, 4
2018/11/17, 27, 4
2018/11/18, 29, 6
2018/11/19, 29, 5
2018/11/20, 28, 11
2018/11/21, 25, 13
2018/11/22, 27, 13
2018/11/23, 24, 22
2018/11/24, 27, 3
2018/11/25, 28, 6
2018/11/26, 28, 21
2018/11/27, 17, 23
2018/11/28, 17, 19
2018/11/29, 22, 10
2018/11/30, 22, 17
2018/12/1, 24, 15
2018/12/2, 22, 20
2018/12/3, 14, 23
2018/12/4, 11, 19
2018/12/5, 8, 17
2018/12/6, 19, 15
2018/12/7, 17, 11
2018/12/8, 20, 5
2018/12/9, 26, 14
2018/12/10, 28, 15
2018/12/11, 23, 17
2018/12/12, 22, 7
2018/12/13, 30, 9
2018/12/14, 27, 17
2018/12/15, 22, 11
2018/12/16, 26, 15
2018/12/17, 26, 7
2018/12/18, 27, 18
2018/12/19, 24, 17
2018/12/20, 17, 12
2018/12/21, 26, 3
2018/12/22, 28, 12
2018/12/23, 27, 12
2018/12/24, 17, 7
2018/12/25, 27, 3
2018/12/26, 28, 12
2018/12/27, 27, 15
2018/12/28, 27, 2
2018/12/29, 29, 2
2018/12/30, 30, 
2018/7/1, 22, 12
2018/7/2, 37, 10
2018/7/3, 38, 10
2018/7/4, 31, 11
2018/7/5, 30, 19
2018/7/6, 31, 10
2018/7/7, 40, 4
2018/7/8, 34, 13
2018/7/9, 30, 15
2018/7/10, 31, 14
2018/7/11, 30, 13
2018/7/12, 31, 9
2018/7/13, 31, 10
2018/7/14, 30, 9
2018/7/15, 23, 13
2018/7/16, 28, 15
2018/7/17, 33, 20
2018/7/18, 31, 18
2018/7/19, 25, 13
2018/7/20, 31, 17
2018/7/21, 30, 14
2018/7/22, 31, 6
2018/7/23, 34, 15
2018/7/24, 30, 15
2018/7/25, 24, 13
2018/7/26, 32, 16
2018/7/27, 29, 12
2018/7/28, 26, 13
2018/7/29, 23, 11
2018/7/30, 28, 16
2018/7/31, 29, 7
2018/8/1, 32, 3
2018/8/2, 31, 5
2018/8/3, 29, 12
2018/8/4, 25, 7
2018/8/5, 31, 12
2018/8/6, 31, 19
2018/8/7, 37, 21
2018/8/8, 26, 11
2018/8/9, 21, 10
2018/8/10, 32, 5
2018/8/11, 36, 4
2018/8/12, 32, 15
2018/8/13, 28, 10
2018/8/14, 27, 15
2018/8/15, 27, 12
2018/8/16, 23, 11
2018/8/17, 31, 3
2018/8/18, 40, 1
2018/8/19, 37, 1
2018/8/20, 34, 2
2018/8/21, 41, 2
2018/8/22, 44, 7
2018/8/23, 40, 12
2018/8/24, 28, 19
2018/8/25, 27, 11
2018/8/26, 39, 1
2018/8/27, 38, 4
2018/8/28, 33, 9
2018/8/29, 29, 7
2018/8/30, 33, 1
2018/8/31, 34, 1
2018/9/1, 36, 2
2018/9/2, 36, 12
2018/9/3, 29, 10
2018/9/4, 24, 12
2018/9/5, 24, 9
2018/9/6, 32, 13
2018/9/7, 33, 22
2018/9/8, 18, 15
2018/9/9, 25, 10
2018/9/10, 35, 3
2018/9/11, 36, 7
2018/9/12, 32, 14
2018/9/13, 27, 13
2018/9/14, 29, 10
2018/9/15, 35, 2
2018/9/16, 34, 2
2018/9/17, 36, 13
2018/9/18, 29, 8
2018/9/19, 30, 3
2018/9/20, 36, 6
2018/9/21, 32, 7
2018/9/22, 28, 3
2018/9/23, 39, 6
2018/9/24, 42, 3
2018/9/25, 40, 2
2018/9/26, 39, 3
2018/9/27, 38, 3
2018/9/28, 37, 2
2018/9/29, 35, 
2018/4/1, 39, 12
2018/4/2, 38, 8
2018/4/3, 24, 15
2018/4/4, 24, 2
2018/4/5, 41, 5
2018/4/6, 40, 5
2018/4/7, 42, 6
2018/4/8, 38, 5
2018/4/9, 39, 4
2018/4/10, 37, 3
2018/4/11, 39, 12
2018/4/12, 47, 8
2018/4/13, 37, 14
2018/4/14, 33, 12
2018/4/15, 30, 10
2018/4/16, 31, 11
2018/4/17, 37, 3
2018/4/18, 45, 2
2018/4/19, 46, 2
2018/4/20, 42, 3
2018/4/21, 39, 2
2018/4/22, 40, 7
2018/4/23, 41, 9
2018/4/24, 35, 17
2018/4/25, 30, 13
2018/4/26, 34, 15
2018/4/27, 35, 9
2018/4/28, 32, 10
2018/4/29, 37, 14
2018/4/30, 33, 12
2018/5/1, 35, 17
2018/5/2, 36, 15
2018/5/3, 37, 12
2018/5/4, 33, 6
2018/5/5, 43, 2
2018/5/6, 43, 6
2018/5/7, 44, 18
2018/5/8, 36, 3
2018/5/9, 45, 5
2018/5/10, 38, 14
2018/5/11, 36, 8
2018/5/12, 35, 16
2018/5/13, 29, 20
2018/5/14, 38, 11
2018/5/15, 44, 3
2018/5/16, 44, 5
2018/5/17, 42, 3
2018/5/18, 47, 3
2018/5/19, 46, 11
2018/5/20, 44, 15
2018/5/21, 39, 14
2018/5/22, 36, 12
2018/5/23, 45, 15
2018/5/24, 32, 10
2018/5/25, 29, 15
2018/5/26, 33, 9
2018/5/27, 34, 6
