date, pm25, pm10, no2, so2, co
2020/1/2, 115, 31, 12, 1, 4
2020/1/3, 88, 37, 9, 1, 4
2020/1/4, 101, 17, 9, 1, 2
2020/1/5, 57, 25, 16, 1, 3
2020/1/6, 68, 51, 20, 1, 6
2020/1/7, 132, 58, 20, 1, 6
2020/1/8, 153, 44, 13, , 4
2020/1/9, 131, 41, 15, 1, 4
2020/1/10, 113, 43, 18, 2, 8
2020/1/11, 114, 37, 12, 1, 7
2020/1/12, 104, 26, 12, , 4
2020/1/13, 73, 27, 12, , 5
2020/1/14, 79, 25, 14, 1, 4
2020/1/15, 74, , , , 
2019/10/1, 31, 26, 21, 15, 4
2019/10/2, 58, 10, 8, 13, 2
2019/10/3, 30, 15, 10, 13, 3
2019/10/4, 30, 16, 12, 13, 4
2019/10/5, 51, 7, 4, 13, 2
2019/10/6, 25, 11, 9, 12, 3
2019/10/7, 27, 18, 10, 13, 3
2019/10/8, 44, 35, 14, 13, 4
2019/10/9, 77, 22, 12, 13, 3
2019/10/10, 52, 17, 12, 13, 3
2019/10/11, 33, 21, 12, 16, 3
2019/10/12, 54, 30, 13, 15, 5
2019/10/13, 73, 38, 19, 15, 5
2019/10/14, 84, 46, 21, 8, 6
2019/10/15, 95, 49, 21, 2, 6
2019/10/16, 106, 33, 18, 1, 5
2019/10/17, 73, 34, 20, 1, 5
2019/10/18, 66, 37, 15, 2, 5
2019/10/19, 81, 33, 16, 1, 5
2019/10/20, 76, 53, 23, 1, 6
2019/10/21, 117, 47, 19, 2, 5
2019/10/22, 95, 46, 19, 2, 5
2019/10/23, 98, 51, 22, 1, 6
2019/10/24, 110, 56, 26, 2, 6
2019/10/25, 119, 49, 19, 3, 6
2019/10/26, 109, 56, 17, 1, 6
2019/10/27, 132, 30, 9, , 3
2019/10/28, 77, 18, 11, , 3
2019/10/29, 41, 15, 9, , 3
2019/10/30, 40, 19, 14, 1, 3
2019/10/31, 52, 25, 13, 2, 4
2019/11/1, 64, 23, 11, 1, 4
2019/11/2, 59, 20, 14, 2, 5
2019/11/3, 54, 18, 15, 2, 4
2019/11/4, 51, 22, 15, 2, 6
2019/11/5, 56, 13, 14, 2, 4
2019/11/6, 34, 22, 15, 2, 5
2019/11/7, 61, 24, 15, 1, 4
2019/11/8, 61, 26, 15, 2, 5
2019/11/9, 67, 10, 7, 2, 4
2019/11/10, 27, 14, 12, 1, 4
2019/11/11, 35, 30, 16, 2, 5
2019/11/12, 60, 38, 23, 2, 7
2019/11/13, 79, 32, 15, 3, 6
2019/11/14, 72, 30, 16, 2, 5
2019/11/15, 70, 38, 16, 2, 7
2019/11/16, 78, 28, 14, 1, 5
2019/11/17, 59, 38, 17, 1, 6
2019/11/18, 76, 32, 20, 1, 5
2019/11/19, 67, 30, 15, 1, 5
2019/11/20, 69, 29, 19, 1, 6
2019/11/21, 70, 20, 14, 1, 5
2019/11/22, 46, 23, 10, 1, 5
2019/11/23, 57, 27, 15, 2, 6
2019/11/24, 66, 35, 17, 2, 7
2019/11/25, 68, 46, 16, 2, 9
2019/11/26, 89, 46, 16, 2, 7
2019/11/27, 98, 26, 14, 2, 6
2019/11/28, 70, 16, 13, 2, 5
2019/11/29, 42, 12, 10, 1, 4
2019/11/30, 27, 26, 17, 1, 5
2019/12/1, 68, 34, 22, 1, 6
2019/12/2, 85, 40, 22, 1, 7
2019/12/3, 101, 29, 18, , 7
2019/12/4, 78, 22, 14, , 5
2019/12/5, 69, 25, 15, 1, 5
2019/12/6, 72, 23, 11, 1, 5
2019/12/7, 69, 23, 10, 1, 6
2019/12/8, 63, 29, 19, 2, 8
2019/12/9, 65, 17, 11, 1, 4
2019/12/10, 41, 34, 17, 1, 6
2019/12/11, 76, 44, 19, 1, 5
2019/12/12, 105, 31, 17, 2, 4
2019/12/13, 75, 27, 13, 2, 4
2019/12/14, 74, 23, 12, 1, 2
2019/12/15, 65, 47, 16, 5, 8
2019/12/16, 110, 45, 17, 3, 6
2019/12/17, 110, 45, 20, 2, 6
2019/12/18, 108, 47, 17, 1, 6
2019/12/19, 113, 43, 24, 3, 8
2019/12/20, 111, 32, 15, 3, 4
2019/12/21, 81, 15, 10, 2, 2
2019/12/22, 44, 6, 7, 2, 2
2019/12/23, 23, 8, 7, 1, 1
2019/12/24, 24, 24, 12, 1, 3
2019/12/25, 66, 15, 10, 1, 2
2019/12/26, 45, 19, 15, 1, 3
2019/12/27, 57, 8, 4, , 1
2019/12/28, 30, , , , 
2019/7/1, 67, 24, 10, 11, 1
2019/7/2, 59, 19, 6, 11, 
2019/7/3, 50, 19, 8, 11, 
2019/7/4, 48, 18, 5, 11, 
2019/7/5, 47, 17, 9, 11, 
2019/7/6, 46, 23, 10, 12, 1
2019/7/7, 57, 16, 7, 11, 
2019/7/8, 36, 16, 8, 11, 
2019/7/9, 30, 13, 9, 11, 
2019/7/10, 32, 15, 10, 11, 
2019/7/11, 23, 15, 9, 12, 
2019/7/12, 41, 17, 8, 12, 1
2019/7/13, 40, 11, 4, 11, 
2019/7/14, 27, 13, 8, 11, 
2019/7/15, 33, 17, 8, 11, 
2019/7/16, 41, 15, 6, 11, 
2019/7/17, 40, 18, 10, 11, 1
2019/7/18, 40, 20, 10, 13, 2
2019/7/19, 48, 19, 8, 12, 2
2019/7/20, 53, 21, 7, 12, 1
2019/7/21, 61, 17, 9, 11, 1
2019/7/22, 41, 16, 7, 11, 1
2019/7/23, 43, 15, 6, 11, 2
2019/7/24, 42, 16, 8, 11, 1
2019/7/25, 48, 21, 10, 12, 1
2019/7/26, 49, 15, 6, 11, 1
2019/7/27, 44, 16, 5, 11, 1
2019/7/28, 48, 18, 9, 11, 2
