date, pm10, no2, so2, co
2020/1/2, 10, , 5, 
2020/1/3, 7, , 6, 
2020/1/4, 22, , 5, 
2020/1/5, 56, , 6, 
2020/1/6, 332, , 5, 
2020/1/7, 999, , 4, 
2020/1/8, 145, , 10, 
2020/1/9, 10, , 5, 
2020/1/10, 17, , 13, 
2020/1/11, 54, , , 
2020/1/12, 75, , , 
2020/1/13, 48, , 7, 
2020/1/14, 65, , 8, 
2020/1/15, 82, , 14, 
2020/1/16, 84, , , 
2019/10/1, 53, , 2, 
2019/10/2, 49, , 4, 
2019/10/3, 30, , 4, 
2019/10/4, 31, , 4, 
2019/10/5, 21, , 4, 
2019/10/6, 25, , 5, 
2019/10/7, 28, , 4, 
2019/10/8, 29, , 4, 
2019/10/9, 30, , 6, 
2019/10/10, 51, , 5, 
2019/10/11, 58, , 4, 
2019/10/12, 42, , 4, 
2019/10/13, 42, , 5, 
2019/10/14, 58, , 4, 
2019/10/15, 63, , 5, 
2019/10/16, 74, , 4, 
2019/10/17, 64, , 4, 
2019/10/18, 64, , 3, 
2019/10/19, 68, , 5, 
2019/10/20, 72, , 4, 
2019/10/21, 54, , 4, 
2019/10/22, 33, , 4, 
2019/10/23, 31, , 4, 
2019/10/24, 36, , 5, 
2019/10/25, 50, , 5, 
2019/10/26, 75, , 5, 
2019/10/27, 27, , 5, 
2019/10/28, 82, , 4, 
2019/10/29, 54, , 5, 
2019/10/30, 55, , 4, 
2019/10/31, 61, , 4, 
2019/11/1, 33, , 4, 
2019/11/2, 22, , 5, 
2019/11/3, 39, , 5, 
2019/11/4, 32, , 5, 
2019/11/5, 21, , 5, 
2019/11/6, 36, , 5, 
2019/11/7, 41, , 5, 
2019/11/8, 51, 7, 5, 2
2019/11/9, 49, 7, 6, 2
2019/11/10, 46, 6, 5, 2
2019/11/11, 37, 7, 6, 4
2019/11/12, 48, 10, 6, 3
2019/11/13, 73, 8, 5, 3
2019/11/14, 71, 7, 6, 2
2019/11/15, 102, 10, 6, 3
2019/11/16, 139, 9, 5, 5
2019/11/17, 59, 10, 6, 5
2019/11/18, 72, 8, 4, 5
2019/11/19, 80, 10, 5, 4
2019/11/20, 68, 8, 6, 2
2019/11/21, 63, 7, 5, 2
2019/11/22, 56, , 5, 1
2019/11/23, 50, , 6, 
2019/11/24, 55, 7, 3, 3
2019/11/25, 50, 5, 5, 2
2019/11/26, 40, 7, 6, 4
2019/11/27, 46, 5, 6, 4
2019/11/28, 56, 5, 5, 2
2019/11/29, 34, 5, 6, 3
2019/11/30, 40, 5, 5, 2
2019/12/1, 35, 7, 5, 2
2019/12/2, 16, 7, 6, 4
2019/12/3, 42, 8, 4, 4
2019/12/4, 57, 7, 5, 1
2019/12/5, 29, 8, 5, 2
2019/12/6, 17, 9, 5, 5
2019/12/7, 60, 8, 4, 4
2019/12/8, 60, 9, 5, 3
2019/12/9, 46, 9, 5, 5
2019/12/10, 56, 9, 4, 6
2019/12/11, 55, 6, 5, 3
2019/12/12, 45, 5, 5, 2
2019/12/13, 57, 5, 5, 2
2019/12/14, 62, 8, 7, 3
2019/12/15, 30, 8, 7, 7
2019/12/16, 63, 9, 5, 6
2019/12/17, 69, 10, 6, 7
2019/12/18, 73, 8, 5, 6
2019/12/19, 87, , 5, 
2019/12/20, 83, , 2, 
2019/12/21, 63, , 5, 
2019/12/22, 30, , 5, 
2019/12/23, 17, , 4, 
2019/12/24, 22, , 4, 
2019/12/25, 33, , 4, 
2019/12/26, 31, , 4, 
2019/12/27, 25, , 4, 
2019/12/28, 53, , , 
2019/7/1, 22, , 3, 
2019/7/2, 31, , 1, 
2019/7/3, 48, , 3, 
2019/7/4, 49, , 2, 
2019/7/5, 39, , 2, 
2019/7/6, 29, , 1, 
2019/7/7, 26, , 3, 
2019/7/8, 34, , 2, 
2019/7/9, 44, , 2, 
2019/7/10, 43, , 3, 
2019/7/11, 33, , 7, 
2019/7/12, 18, , 12, 
2019/7/13, 28, , 13, 
2019/7/14, 39, , 14, 
2019/7/15, 32, , 13, 
2019/7/16, 29, , 13, 
2019/7/17, 25, , 13, 
2019/7/18, 19, , 12, 
2019/7/19, 29, , 13, 
2019/7/20, 35, , 13, 
2019/7/21, 30, , 13, 
2019/7/22, 34, , 12, 
2019/7/23, 39, , 14, 
2019/7/24, 28, , 14, 
2019/7/25, 24, , 14, 
2019/7/26, 28, , 13, 
2019/7/27, 35, , 13, 
2019/7/28, 34, , 12, 
2019/7/29, 38, , 14, 
2019/7/30, 36, , 13, 
2019/7/31, 47, , 10, 
2019/8/1, 35, , 2, 
2019/8/2, 35, , , 
2019/8/3, 31, , , 
2019/8/4, 41, , 1, 
2019/8/5, 27, , 2, 
2019/8/6, 25, , 7, 
2019/8/7, 27, , 2, 
2019/8/8, 35, , 4, 
2019/8/9, 40, , 2, 
2019/8/10, 28, , 3, 
2019/8/11, 28, , 4, 
2019/8/12, 26, , 3, 
2019/8/13, 31, , 3, 
2019/8/14, 33, , 4, 
2019/8/15, 39, , 3, 
2019/8/16, 38, , 3, 
2019/8/17, 29, , 2, 
2019/8/18, 23, , 2, 
2019/8/19, 23, , 3, 
2019/8/20, 24, , 4, 
2019/8/21, 29, , 5, 
2019/8/22, 32, , 3, 
2019/8/23, 40, , 3, 
2019/8/24, 38, , 2, 
2019/8/25, 41, , 3, 
2019/8/26, 45, , 2, 
2019/8/27, 41, , 2, 
2019/8/28, 36, , 2, 
2019/8/29, 34, , 1, 
2019/8/30, 35, , 3, 
2019/8/31, 34, , 2, 
2019/9/1, 31, , 2, 
2019/9/2, 37, , 3, 
2019/9/3, 38, , 2, 
2019/9/4, 35, , 2, 
2019/9/5, 33, , 2, 
2019/9/6, 38, , 4, 
2019/9/7, 32, , 2, 
2019/9/8, 213, , 2, 
2019/9/9, 35, , 3, 
2019/9/10, 31, , 3, 
2019/9/11, 37, , 2, 
2019/9/12, 35, , 2, 
2019/9/13, 26, , 3, 
2019/9/14, 30, , 2, 
2019/9/15, 28, , 3, 
2019/9/16, 43, , 3, 
2019/9/17, 42, , 3, 
2019/9/18, 45, , 6, 
2019/9/19, 46, , 14, 
2019/9/20, 49, , 1, 
2019/9/21, 22, , 1, 
2019/9/22, 23, , 4, 
2019/9/23, 33, , 6, 
2019/9/24, 109, , 1, 
2019/9/25, 25, , 1, 
2019/9/26, 45, , 1, 
2019/9/27, 40, , , 
2019/9/28, 31, , 1, 
2019/9/29, 33, , , 
2019/9/30, 40, , 3, 
2019/4/1, 33, , 2, 
2019/4/2, 27, , 3, 
2019/4/3, 45, , 4, 
2019/4/4, 46, , 3, 
2019/4/5, 49, , 2, 
2019/4/6, 35, , 3, 
2019/4/7, 67, , 3, 
2019/4/8, 75, , 3, 
2019/4/9, 52, , 2, 
2019/4/10, 14, , 2, 
2019/4/11, 60, , 3, 
2019/4/12, 27, , 4, 
2019/4/13, 29, , 3, 
2019/4/14, 30, , 3, 
2019/4/15, 28, , 4, 
2019/4/16, 21, , 3, 
2019/4/17, 26, , 3, 
2019/4/18, 27, , 3, 
2019/4/19, 19, , 2, 
2019/4/20, 61, , 3, 
2019/4/21, 20, , 3, 
2019/4/22, 26, 20, 3, 1
2019/4/23, 34, 30, 3, 2
2019/4/24, 49, , , 
2019/4/29, 120, 8, 4, 3
2019/4/30, 33, 21, 4, 
2019/5/1, 25, 21, 5, 
2019/5/2, 20, 24, 3, 1
2019/5/3, 26, 47, 4, 1
2019/5/4, 31, 36, 4, 
2019/5/5, 26, 33, 6, 
2019/5/6, 43, , 6, 
2019/5/7, 16, , 5, 
2019/5/8, 22, , 5, 
2019/5/9, 27, , 5, 
2019/5/10, 22, , 3, 
2019/5/11, 25, , 5, 
2019/5/12, 34, , 5, 
2019/5/13, 38, , 3, 
2019/5/14, 46, , 5, 
2019/5/15, 39, , 4, 
2019/5/16, 26, , 2, 
2019/5/17, 24, , 3, 
2019/5/18, 32, , 2, 
2019/5/19, 41, , 4, 
2019/5/20, 29, , 3, 
2019/5/21, 28, , 4, 
2019/5/22, 35, , 5, 
2019/5/23, 42, , 10, 
2019/5/24, 22, , 1, 
2019/5/25, 15, , 3, 
2019/5/26, 31, , 3, 
2019/5/27, 41, , 3, 
2019/5/28, 45, , 2, 
2019/5/29, 25, , 1, 
2019/5/30, 32, , 2, 
2019/5/31, 44, , 3, 
2019/6/1, 43, , 2, 
2019/6/2, 40, , 1, 
2019/6/3, 25, , 3, 
2019/6/4, 23, , 2, 
2019/6/5, 24, , 2, 
2019/6/6, 26, , 3, 
2019/6/7, 39, , 3, 
2019/6/8, 32, , 1, 
2019/6/9, 30, , 1, 
2019/6/10, 35, , 1, 
2019/6/11, 41, , 3, 
2019/6/12, 48, , 2, 
2019/6/13, 53, , 1, 
2019/6/14, 45, , , 
2019/6/15, 37, , 4, 
2019/6/16, 34, , 2, 
2019/6/17, 39, , 2, 
2019/6/18, 38, , 4, 
2019/6/19, 41, , 1, 
2019/6/20, 42, , 2, 
2019/6/21, 39, , 2, 
2019/6/22, 179, , , 
2019/6/25, 58, , 2, 
2019/6/26, 40, , , 
2019/6/27, 38, , 2, 
2019/6/28, 38, , 1, 
2019/6/29, 35, , 3, 
2019/6/30, 29, , 2, 
2019/1/1, 28, , 3, 
2019/1/2, 56, , 2, 
2019/1/3, 50, , 2, 
2019/1/4, 138, , 3, 
2019/1/5, 33, , 2, 
2019/1/6, 30, , 3, 
2019/1/7, 26, , 3, 
2019/1/8, 27, , 5, 
2019/1/9, 39, , 4, 
2019/1/10, 27, , 3, 
2019/1/11, 48, , 3, 
2019/1/12, 25, , 3, 
2019/1/13, 37, , 6, 
