date, pm25, pm10, no2, co
2020/1/2, 151, 64, 47, 
2020/1/3, 152, 51, 35, 
2020/1/4, 119, 46, 43, 
2020/1/5, 102, 48, 31, 
2020/1/6, 114, 55, 31, 
2020/1/7, 132, 58, 33, 
2020/1/8, 134, 71, 53, 
2020/1/9, 155, 79, 52, 
2020/1/10, 161, 73, 55, 
2020/1/11, 159, 55, 44, 
2020/1/12, 142, 65, 39, 
2020/1/13, 154, 74, 48, 
2020/1/14, 161, , , 
2019/10/1, 55, 17, 29, 
2019/10/2, 30, 17, 38, 
2019/10/3, 34, 27, 31, 
2019/10/4, 55, 37, 38, 
2019/10/5, 68, 40, 27, 
2019/10/6, 87, 12, 28, 
2019/10/7, 21, 31, 35, 
2019/10/8, 65, 32, 31, 
2019/10/9, 70, 33, 37, 
2019/10/10, 78, 44, 31, 
2019/10/11, 89, 53, 39, 
2019/10/12, 112, 56, 37, 
2019/10/13, 127, 53, 35, 
2019/10/14, 114, 46, 26, 
2019/10/15, 97, 16, 44, 
2019/10/16, 13, 28, 38, 
2019/10/17, 50, 16, 37, 
2019/10/18, 53, 25, 24, 
2019/10/19, 59, 15, 18, 
2019/10/20, 46, 13, 35, 
2019/10/21, 21, 27, 33, 
2019/10/22, 55, 47, 43, 
2019/10/23, 82, 30, 30, 
2019/10/24, 70, 24, 30, 
2019/10/25, 46, 27, 36, 
2019/10/26, 57, 29, 37, 
2019/10/27, 61, 45, 32, 
2019/10/28, 91, 42, 33, 
2019/10/29, 102, 31, 21, 
2019/10/30, 72, 26, 23, 
2019/10/31, 63, 23, 22, 
2019/11/1, 57, 30, 20, 
2019/11/2, 72, 8, 17, 
2019/11/3, 21, 24, 37, 
2019/11/4, 50, 29, 32, 
2019/11/5, 63, 16, 33, 
2019/11/6, 50, 28, 37, 
2019/11/7, 59, 11, 36, 
2019/11/8, 25, 24, 39, 
2019/11/9, 57, 32, 29, 
2019/11/10, 87, 21, 34, 
2019/11/11, 59, 20, 32, 
2019/11/12, 55, 39, 42, 
2019/11/13, 74, 29, 38, 
2019/11/14, 63, 24, 30, 
2019/11/15, 59, 23, 32, 
2019/11/16, 65, 15, 33, 
2019/11/17, 42, 30, 32, 
2019/11/18, 74, 21, 40, 
2019/11/19, 50, 33, 28, 
2019/11/20, 65, 32, 27, 
2019/11/21, 78, 35, 23, 
2019/11/22, 68, 8, 22, 
2019/11/23, 21, 13, 28, 
2019/11/24, 34, 34, 37, 
2019/11/25, 59, 37, 38, 
2019/11/26, 78, 27, 24, 
2019/11/27, 61, 33, 24, 
2019/11/28, 68, 42, , 
2019/11/29, 97, 32, , 
2019/11/30, 85, 31, , 
2019/12/1, 80, 26, 49, 
2019/12/2, 57, 23, 55, 
2019/12/3, 57, 23, 64, 
2019/12/4, 57, 51, 72, 
2019/12/5, 114, 61, 63, 
2019/12/6, 142, 42, 41, 
