date, pm25, pm10, no2
2019/4/4, 39, 25, 17
2019/4/5, 66, 39, 10
2019/4/6, 99, 49, 12
2019/4/7, 125, 81, 17
2019/4/8, 174, 48, 14
2019/4/9, 114, 28, 8
2019/4/10, 60, 22, 9
2019/4/11, 51, 25, 12
2019/4/12, 57, 18, 9
2019/4/13, 47, 28, 8
2019/4/14, 75, 33, 12
2019/4/15, 78, 31, 12
2019/4/16, 70, 38, 14
2019/4/17, 90, 34, 14
2019/4/18, 67, 30, 12
2019/4/19, 60, 32, 11
2019/4/20, 67, 39, 7
2019/4/21, 84, 37, 9
2019/4/22, 77, 32, 11
2019/4/23, 52, 29, 10
2019/4/24, 45, 10, 10
2019/4/25, 16, 12, 9
2019/4/26, 23, 16, 5
2019/4/27, 31, 9, 7
2019/4/28, 23, 23, 20
2019/4/29, 59, 27, 11
2019/4/30, 67, 40, 8
2019/5/1, 99, 39, 20
2019/5/2, 102, 15, 11
2019/5/3, 34, 10, 5
2019/5/4, 19, 12, 5
2019/5/5, 27, 18, 14
2019/5/6, 42, 19, 15
2019/5/7, 49, 15, 13
2019/5/8, 34, 13, 12
2019/5/9, 27, 14, 12
2019/5/10, 41, 19, 7
2019/5/11, 50, 8, 5
2019/5/12, 17, 13, 8
2019/5/13, 24, 16, 6
2019/5/14, 31, 20, 9
2019/5/15, 40, 23, 10
2019/5/16, 41, 26, 9
2019/5/17, 66, 34, 12
2019/5/18, 86, 43, 8
2019/5/19, 116, 23, 11
2019/5/20, 63, 22, 10
2019/5/21, 55, 21, 10
2019/5/22, 47, 23, 18
2019/5/23, 46, 28, 20
2019/5/24, 56, 24, 13
2019/5/25, 62, 22, 8
2019/5/26, 52, 14, 9
2019/5/27, 28, 14, 11
2019/5/28, 32, 17, 10
2019/5/29, 39, 13, 4
2019/5/30, 29, 15, 7
2019/5/31, 33, 19, 11
2019/6/1, 45, 20, 12
2019/6/2, 40, 21, 12
2019/6/3, 38, 22, 15
2019/6/4, 47, 17, 10
2019/6/5, 41, 13, 7
2019/6/6, 30, 13, 10
2019/6/7, 26, 16, 2
2019/6/8, 22, 12, 4
2019/6/9, 24, 17, 6
2019/6/10, 47, 16, 7
2019/6/11, 35, 21, 14
2019/6/12, 58, 10, 7
2019/6/13, 15, 13, 11
2019/6/14, 25, 14, 12
2019/6/15, 39, 11, 7
2019/6/16, 26, 13, 11
2019/6/17, 25, 21, 14
2019/6/18, 45, 22, 16
2019/6/19, 47, 23, 9
2019/6/20, 52, 15, 7
2019/6/21, 29, 18, 6
2019/6/22, 46, 21, 7
2019/6/23, 54, 23, 11
2019/6/24, 55, 35, 15
2019/6/25, 72, 35, 13
2019/6/26, 79, 19, 5
2019/6/27, 38, 24, 5
2019/6/28, 47, 23, 9
2019/6/29, 43, 23, 11
2019/6/30, 46, 20, 8
2019/1/1, 49, 22, 14
2019/1/2, 40, 21, 21
2019/1/3, 31, 22, 19
2019/1/4, 56, 14, 16
2019/1/5, 37, 25, 17
2019/1/6, 68, 33, 18
2019/1/7, 80, 18, 11
2019/1/8, 40, 15, 13
2019/1/9, 27, 22, 24
2019/1/10, 35, 16, 16
2019/1/11, 43, 14, 10
2019/1/12, 37, 10, 6
2019/1/13, 24, 15, 17
2019/1/14, 28, 17, 16
2019/1/15, 42, 18, 9
2019/1/16, 47, 13, 13
2019/1/17, 32, 24, 27
2019/1/18, 58, 22, 21
2019/1/19, 65, 25, 19
2019/1/20, 69, 45, 39
2019/1/21, 104, 38, 21
2019/1/22, 100, 33, 17
2019/1/23, 90, 39, 21
2019/1/24, 103, 38, 23
2019/1/25, 105, 17, 13
2019/1/26, 50, 9, 7
2019/1/27, 19, 10, 12
2019/1/28, 19, 15, 18
2019/1/29, 38, 18, 20
2019/1/30, 53, 23, 23
2019/1/31, 68, 24, 25
2019/2/1, 66, 30, 20
2019/2/2, 83, 17, 18
2019/2/3, 47, 15, 14
2019/2/4, 44, 20, 13
2019/2/5, 60, 18, 18
2019/2/6, 56, 17, 8
2019/2/7, 35, 11, 9
2019/2/8, 23, 15, 6
2019/2/9, 32, 9, 6
2019/2/10, 19, 18, 18
2019/2/11, 36, 30, 22
2019/2/12, 67, 29, 17
2019/2/13, 73, 35, 34
2019/2/14, 79, 30, 35
2019/2/15, 64, 35, 26
2019/2/16, 84, 37, 25
2019/2/17, 96, 38, 28
2019/2/18, 76, 23, 14
2019/2/19, 53, 28, 17
2019/2/20, 63, 39, 19
2019/2/21, 87, 44, 24
2019/2/22, 109, 29, 17
2019/2/23, 74, 27, 26
2019/2/24, 66, 40, 31
2019/2/25, 75, 42, 34
2019/2/26, 79, 47, 30
2019/2/27, 92, 46, 19
2019/2/28, 104, 24, 14
2019/3/1, 61, 26, 13
2019/3/2, 65, 13, 5
2019/3/3, 33, 11, 6
2019/3/4, 18, 13, 10
2019/3/5, 22, 13, 11
2019/3/6, 29, 12, 7
2019/3/7, 22, 15, 10
2019/3/8, 33, 16, 6
2019/3/9, 37, 14, 6
2019/3/10, 29, 14, 8
2019/3/11, 27, 18, 9
2019/3/12, 34, 17, 8
2019/3/13, 34, 15, 9
2019/3/14, 32, 13, 9
2019/3/15, 30, 10, 6
2019/3/16, 23, 9, 5
2019/3/17, 18, 16, 15
2019/3/18, 29, 26, 23
2019/3/19, 57, 26, 19
2019/3/20, 62, 34, 21
2019/3/21, 82, 42, 19
2019/3/22, 105, 37, 12
2019/3/23, 97, 16, 8
2019/3/24, 37, 21, 10
2019/3/25, 42, 21, 15
2019/3/26, 43, 19, 19
2019/3/27, 45, 26, 18
2019/3/28, 64, 35, 20
2019/3/29, 83, 34, 19
2019/3/30, 80, 33, 7
2019/3/31, 85, 24, 10
2018/10/1, 20, 16, 12
2018/10/2, 31, 21, 13
2018/10/3, 36, 22, 15
2018/10/4, 45, 29, 26
2018/10/5, 57, 28, 22
2018/10/6, 59, 13, 6
2018/10/7, 26, 24, 22
2018/10/8, 44, 33, 30
2018/10/9, 59, 35, 26
2018/10/10, 72, 18, 17
2018/10/11, 35, 14, 12
2018/10/12, 26, 17, 15
2018/10/13, 34, 20, 14
2018/10/14, 47, 27, 23
2018/10/15, 52, 34, 32
2018/10/16, 62, 34, 23
2018/10/17, 68, 19, 15
2018/10/18, 42, 23, 14
2018/10/19, 50, 27, 19
2018/10/20, 63, 37, 25
2018/10/21, 86, 22, 18
2018/10/22, 48, 24, 14
2018/10/23, 44, 17, 13
2018/10/24, 36, 24, 12
2018/10/25, 58, 22, 13
2018/10/26, 49, 8, 12
2018/10/27, 18, 9, 7
2018/10/28, 22, 13, 10
2018/10/29, 39, 9, 11
2018/10/30, 25, 15, 16
2018/10/31, 38, 13, 15
2018/11/1, 33, 15, 15
2018/11/2, 34, 22, 24
2018/11/3, 60, 29, 19
2018/11/4, 80, 29, 14
2018/11/5, 77, 25, 20
2018/11/6, 58, 10, 13
2018/11/7, 17, , 17
2018/11/9, 53, 9, 11
2018/11/10, 19, 9, 8
2018/11/11, 20, 12, 19
2018/11/12, 28, 17, 13
2018/11/13, 39, 19, 21
2018/11/14, 44, 21, 22
2018/11/15, 53, 19, 16
2018/11/16, 57, 26, 16
2018/11/17, 72, 26, 12
2018/11/18, 72, 15, 10
