date, pm25, no2, co
2018/10/22, 36, 12, 2
2018/10/23, 32, 14, 3
2018/10/24, 15, 7, 3
2018/10/25, 28, 6, 3
2018/10/26, 32, 3, 2
2018/10/27, 14, 5, 3
2018/10/28, 20, 6, 2
2018/10/29, 30, 10, 3
2018/10/30, 46, 12, 4
2018/10/31, 42, 8, 2
2018/11/1, 21, 3, 2
2018/11/2, 13, 10, 3
2018/11/3, 20, 8, 3
2018/11/4, 28, 5, 2
2018/11/5, 28, 6, 2
2018/11/6, 16, 4, 2
2018/11/7, 27, 6, 3
2018/11/8, 33, 9, 3
2018/11/9, 33, 5, 3
2018/11/10, 37, 5, 3
2018/11/11, 34, 7, 3
2018/11/12, 55, 24, 6
2018/11/13, 42, 14, 4
2018/11/14, 28, 6, 3
2018/11/15, 25, 5, 2
2018/11/16, 58, 11, 4
2018/11/17, 54, 9, 3
2018/11/18, 57, 9, 4
2018/11/19, 50, 13, 4
2018/11/20, 45, 13, 3
2018/11/21, 47, 8, 3
2018/11/22, 13, 2, 2
2018/11/23, 35, 4, 2
2018/11/24, 35, 4, 2
2018/11/25, 58, 5, 2
2018/11/26, 29, 5, 2
2018/11/27, 22, 8, 2
2018/11/28, 40, 8, 3
2018/11/29, 60, 8, 2
2018/11/30, 74, 15, 4
2018/12/1, 43, 4, 2
2018/12/2, 24, 3, 2
2018/12/3, 20, 6, 3
2018/12/4, 22, 11, 3
2018/12/5, 41, 13, 3
2018/12/6, 46, 7, 2
2018/12/7, 36, 13, 3
2018/12/8, 45, 8, 3
2018/12/9, 52, 11, 3
2018/12/10, 70, 16, 3
2018/12/11, 84, 12, 3
2018/12/12, 63, 9, 2
2018/12/13, 59, 13, 2
2018/12/14, 54, 13, 3
2018/12/15, 48, 5, 2
2018/12/16, 52, 7, 2
2018/12/17, 45, 10, 3
2018/12/18, 23, 11, 3
2018/12/19, 54, 18, 3
2018/12/20, 49, 16, 3
2018/12/21, 28, 7, 2
2018/12/22, 31, 5, 2
2018/12/23, 55, 7, 2
2018/12/24, 43, 5, 2
2018/12/25, 47, 4, 2
2018/12/26, 59, 15, 4
2018/12/27, 52, 5, 2
2018/12/28, 22, 4, 1
2018/12/29, 31, 4, 3
2018/12/30, 32, 2, 2
2020/1/1, , 6, 1
2019/7/12, , 6, 3
2018/10/1, , 10, 3
2018/10/2, , 8, 3
2018/10/3, , 4, 2
2018/10/4, , 6, 2
2018/10/5, , 3, 2
2018/10/6, , 4, 2
2018/7/1, , 4, 3
2018/7/2, , 7, 2
2018/7/3, , 5, 1
2018/7/4, , 4, 1
2018/7/5, , 7, 1
2018/7/6, , 6, 1
2018/7/7, , 1, 
2018/7/8, , 2, 
2018/7/9, , 11, 2
2018/7/10, , 14, 3
2018/7/11, , 5, 2
2018/7/12, , 1, 2
2018/7/13, , 5, 3
2018/7/14, , 6, 3
2018/7/15, , 4, 3
2018/7/16, , 9, 3
2018/7/17, , 8, 3
2018/7/18, , 4, 3
2018/7/19, , 2, 2
2018/7/20, , 3, 2
2018/7/21, , 1, 1
2018/7/22, , 4, 2
2018/7/23, , 5, 2
2018/7/24, , 6, 2
2018/7/25, , 10, 4
2018/7/26, , 9, 3
2018/7/27, , 12, 3
2018/7/28, , 6, 3
2018/7/29, , 4, 3
2018/7/30, , 3, 2
2018/7/31, , 2, 2
2018/8/1, , 8, 3
2018/8/2, , 9, 3
2018/8/3, , 9, 3
2018/8/4, , 6, 3
2018/8/5, , 5, 3
2018/8/6, , 7, 3
2018/8/7, , 12, 3
2018/8/8, , 11, 3
2018/8/9, , 13, 4
2018/8/10, , 7, 2
2018/8/11, , 3, 2
2018/8/12, , 2, 2
2018/8/13, , 5, 2
2018/8/14, , 14, 4
2018/8/15, , 14, 4
2018/8/16, , 5, 2
2018/8/17, , 7, 2
2018/8/18, , 4, 2
2018/8/19, , 1, 2
2018/8/20, , 3, 2
2018/8/21, , 5, 2
2018/8/22, , 6, 2
2018/8/23, , 11, 3
2018/8/24, , 7, 3
2018/8/25, , 3, 3
2018/8/26, , 5, 4
2018/8/27, , 8, 4
2018/8/28, , 6, 2
2018/8/29, , 8, 2
2018/8/30, , 3, 2
2018/8/31, , 3, 2
2018/9/1, , 2, 2
2018/9/2, , 2, 2
2018/9/3, , 4, 2
2018/9/4, , 4, 2
2018/9/5, , 8, 2
2018/9/6, , 8, 2
2018/9/7, , 6, 2
2018/9/8, , 1, 2
2018/9/10, , 4, 2
2018/9/11, , 7, 3
2018/9/12, , 2, 2
2018/9/13, , 1, 2
2018/9/14, , 4, 2
2018/9/15, , 1, 1
2018/9/16, , 1, 2
2018/9/17, , 2, 2
2018/9/18, , 11, 4
2018/9/19, , 7, 3
2018/9/20, , 4, 2
2018/9/21, , 6, 2
2018/9/22, , 1, 1
2018/9/24, , 2, 1
2018/9/25, , 3, 2
2018/9/26, , 9, 3
2018/9/27, , 5, 2
2018/9/28, , 9, 3
2018/9/29, , 5, 3
2018/9/30, , 3, 2
2018/4/1, , 4, 3
2018/4/2, , 8, 2
2018/4/3, , 6, 2
2018/4/4, , 4, 3
2018/4/5, , 10, 3
2018/4/6, , 8, 3
2018/4/7, , 6, 3
2018/4/8, , 4, 3
2018/4/9, , 7, 5
2018/4/10, , 26, 3
2018/4/11, , 13, 3
2018/4/12, , 13, 3
2018/4/13, , 14, 4
2018/4/14, , 7, 3
2018/4/15, , 3, 4
2018/4/16, , 7, 3
2018/4/17, , 8, 2
2018/4/18, , 9, 2
2018/4/19, , 7, 3
2018/4/20, , 14, 3
2018/4/21, , 10, 2
2018/4/22, , 2, 1
2018/4/23, , 3, 1
2018/4/24, , 3, 1
2018/4/25, , 9, 3
2018/4/26, , 12, 2
2018/4/27, , 11, 2
2018/4/28, , 5, 2
2018/4/29, , 6, 4
2018/4/30, , 19, 3
2018/5/1, , 18, 2
2018/5/2, , 10, 1
2018/5/3, , 10, 1
2018/5/4, , 7, 1
2018/5/5, , 6, 1
2018/5/6, , 5, 1
2018/5/7, , 7, 2
2018/5/8, , 11, 1
2018/5/9, , 5, 1
2018/5/10, , 8, 1
2018/5/11, , 4, 1
2018/5/12, , 4, 2
2018/5/13, , 8, 2
2018/5/14, , 12, 2
2018/5/15, , 10, 1
2018/5/16, , 4, 1
2018/5/17, , 6, 1
2018/5/18, , 1, 2
2018/5/19, , 3, 2
2018/5/20, , 5, 1
2018/5/21, , 2, 3
2018/5/22, , 12, 2
2018/5/23, , 11, 2
2018/5/24, , 10, 2
2018/5/25, , 9, 3
2018/5/26, , 8, 2
2018/5/27, , 4, 2
2018/5/28, , 4, 2
2018/5/29, , 5, 1
2018/5/30, , 3, 1
2018/5/31, , 5, 3
2018/6/1, , 13, 1
2018/6/2, , 4, 2
2018/6/3, , 4, 2
2018/6/4, , 5, 2
2018/6/5, , 10, 2
2018/6/6, , 6, 2
2018/6/7, , 7, 2
2018/6/8, , 4, 2
2018/6/9, , 3, 2
2018/6/10, , 1, 2
2018/6/11, , 1, 2
2018/6/12, , 3, 3
2018/6/13, , 9, 3
2018/6/14, , 12, 2
2018/6/15, , 6, 3
2018/6/16, , 5, 3
2018/6/17, , 5, 2
2018/6/18, , 9, 2
2018/6/19, , 4, 2
2018/6/20, , 5, 2
2018/6/21, , 5, 2
2018/6/22, , 2, 3
2018/6/23, , 5, 3
2018/6/24, , 5, 2
2018/6/25, , 4, 2
2018/6/26, , 2, 2
2018/6/27, , 7, 4
2018/6/28, , 11, 3
2018/6/29, , 11, 3
2018/6/30, , 4, 3
2018/1/1, , 19, 3
2018/1/2, , 13, 3
2018/1/3, , 16, 2
2018/1/4, , 13, 3
2018/1/5, , 8, 3
2018/1/6, , 9, 3
2018/1/7, , 17, 2
2018/1/8, , 10, 2
2018/1/9, , 16, 1
2018/1/10, , 14, 1
2018/1/11, , 7, 2
2018/1/12, , 4, 3
2018/1/13, , 1, 4
2018/1/14, , 2, 3
2018/1/15, , 1, 4
2018/1/16, , 1, 3
2018/1/17, , 2, 2
2018/1/18, , 12, 2
2018/1/19, , 11, 2
2018/1/20, , 11, 2
2018/1/21, , 14, 1
2018/1/22, , 8, 1
2018/1/23, , 9, 2
2018/1/24, , 11, 2
2018/1/25, , 11, 2
2018/1/26, , 10, 1
2018/1/27, , 6, 3
2018/1/28, , 15, 2
2018/1/29, , 10, 2
2018/1/30, , 10, 2
2018/1/31, , 14, 1
2018/2/1, , 11, 2
2018/2/2, , 7, 2
2018/2/3, , 7, 1
2018/2/4, , 5, 2
2018/2/5, , 9, 3
2018/2/6, , 16, 3
2018/2/7, , 16, 3
2018/2/8, , 20, 3
2018/2/9, , 24, 3
2018/2/10, , 21, 2
2018/2/11, , 10, 2
2018/2/12, , 12, 1
2018/2/13, , 7, 2
2018/2/14, , 12, 2
2018/2/15, , 13, 2
2018/2/16, , 9, 2
2018/2/17, , 7, 2
2018/2/18, , 6, 1
2018/2/19, , 8, 1
2018/2/20, , 6, 2
2018/2/21, , 6, 1
2018/2/22, , 3, 2
2018/2/23, , 7, 1
2018/2/24, , 3, 1
2018/2/25, , 3, 3
2018/2/26, , 15, 3
2018/2/27, , 21, 3
2018/2/28, , 22, 2
2018/3/1, , 7, 2
2018/3/2, , 5, 2
2018/3/3, , 5, 2
2018/3/4, , 7, 2
2018/3/5, , 4, 2
2018/3/6, , 7, 3
2018/3/7, , 12, 2
2018/3/8, , 10, 2
2018/3/9, , 13, 3
2018/3/10, , 16, 2
2018/3/11, , 7, 2
2018/3/12, , 11, 2
2018/3/13, , 9, 2
2018/3/14, , 7, 3
2018/3/15, , 11, 3
2018/3/16, , 10, 4
2018/3/17, , 20, 4
2018/3/18, , 20, 2
2018/3/19, , 5, 1
2018/3/20, , 2, 2
2018/3/21, , 6, 2
2018/3/22, , 9, 2
2018/3/23, , 12, 2
2018/3/24, , 5, 1
2018/3/25, , 1, 1
2018/3/26, , 3, 1
2018/3/27, , 7, 2
2018/3/28, , 9, 2
2018/3/29, , 10, 3
2018/3/30, , 8, 3
2018/3/31, , 9, 2
2017/10/1, , 2, 2
2017/10/2, , 6, 2
2017/10/3, , 8, 2
2017/10/4, , 10, 3
2017/10/5, , 13, 2
2017/10/6, , 12, 1
2017/10/7, , 5, 1
2017/10/8, , 2, 2
2017/10/9, , 8, 6
2017/10/10, , 12, 
2017/10/11, , 2, 2
2017/10/12, , 4, 2
2017/10/13, , 9, 2
2017/10/14, , 7, 1
2017/10/15, , 3, 2
2017/10/16, , 8, 
2017/10/18, , 11, 3
2017/10/19, , 15, 2
2017/10/20, , 11, 2
2017/10/21, , 9, 2
2017/10/22, , 5, 1
2017/10/23, , 4, 1
2017/10/24, , 6, 2
2017/10/25, , 11, 3
2017/10/26, , 14, 1
2017/10/27, , 7, 2
2017/10/28, , 6, 2
2017/10/29, , 7, 2
2017/10/30, , 10, 2
2017/10/31, , 9, 2
2017/11/1, , 9, 1
2017/11/2, , 6, 1
2017/11/3, , 6, 1
2017/11/4, , 3, 1
2017/11/5, , 4, 2
2017/11/6, , 6, 
2017/11/7, , 5, 3
2017/11/8, , 15, 2
2017/11/9, , 13, 2
2017/11/10, , 5, 2
2017/11/11, , 5, 3
2017/11/12, , 14, 3
2017/11/13, , 16, 2
2017/11/14, , 16, 1
2017/11/15, , 10, 2
2017/11/16, , 7, 2
2017/11/17, , 6, 1
2017/11/18, , 6, 1
2017/11/19, , 4, 2
2017/11/20, , 6, 2
2017/11/21, , 8, 2
2017/11/22, , 10, 2
2017/11/23, , 6, 2
2017/11/24, , 9, 2
2017/11/25, , 5, 1
2017/11/26, , 5, 3
2017/11/27, , 16, 1
2017/11/28, , 8, 2
2017/11/29, , 8, 2
2017/11/30, , 14, 3
2017/12/1, , 19, 3
2017/12/2, , 17, 4
2017/12/3, , 22, 2
2017/12/4, , 12, 1
2017/12/5, , 7, 2
2017/12/6, , 7, 3
2017/12/7, , 10, 2
2017/12/8, , 9, 2
2017/12/9, , 12, 2
2017/12/10, , 8, 2
2017/12/11, , 11, 1
2017/12/12, , 8, 1
2017/12/13, , 8, 2
2017/12/14, , 15, 3
2017/12/15, , 22, 2
2017/12/16, , 11, 3
2017/12/17, , 13, 2
2017/12/18, , 15, 1
2017/12/19, , 9, 2
2017/12/20, , 12, 1
2017/12/21, , 5, 3
2017/12/22, , 13, 2
2017/12/23, , 11, 2
2017/12/24, , 12, 1
2017/12/25, , 4, 2
2017/12/26, , 8, 3
2017/12/27, , 14, 3
2017/12/28, , 16, 2
2017/12/29, , 13, 2
2017/12/30, , 9, 
2017/7/1, , 5, 2
2017/7/2, , 7, 1
2017/7/3, , 6, 1
2017/7/4, , 2, 1
2017/7/5, , 6, 3
2017/7/6, , 12, 2
2017/7/7, , 10, 1
2017/7/8, , 4, 1
2017/7/9, , 6, 1
2017/7/10, , 6, 2
2017/7/11, , 10, 1
2017/7/12, , 9, 2
2017/7/13, , 8, 2
2017/7/14, , 8, 1
2017/7/15, , 3, 1
2017/7/16, , 5, 1
2017/7/17, , 6, 1
2017/7/18, , 3, 3
2017/7/19, , 14, 3
2017/7/20, , 14, 3
2017/7/21, , 11, 2
2017/7/22, , 5, 3
2017/7/23, , 7, 2
2017/7/24, , 7, 1
2017/7/25, , 5, 1
2017/7/26, , 6, 3
2017/7/27, , 10, 2
2017/7/28, , 2, 2
2017/7/29, , 3, 2
2017/7/30, , 5, 3
2017/7/31, , 10, 3
2017/8/1, , 13, 3
2017/8/2, , 12, 2
2017/8/3, , 6, 2
2017/8/4, , 6, 2
2017/8/5, , 4, 2
2017/8/6, , 5, 2
2017/8/7, , 8, 2
2017/8/8, , 8, 3
2017/8/9, , 11, 2
2017/8/10, , 4, 2
2017/8/11, , 5, 3
2017/8/12, , 7, 1
2017/8/13, , 3, 2
2017/8/14, , 4, 3
2017/8/15, , 12, 1
2017/8/16, , 3, 1
2017/8/17, , 5, 2
2017/8/18, , 8, 3
2017/8/19, , 8, 2
2017/8/20, , 4, 3
2017/8/21, , 9, 2
2017/8/22, , 9, 2
2017/8/23, , 8, 2
2017/8/24, , 5, 2
2017/8/25, , 8, 1
2017/8/26, , 4, 1
2017/8/27, , 2, 2
2017/8/28, , 3, 2
2017/8/29, , 5, 3
2017/8/30, , 11, 3
2017/8/31, , 13, 1
2017/9/1, , 1, 1
2017/9/2, , 2, 3
2017/9/3, , 5, 2
2017/9/4, , 4, 
2017/9/9, , 1, 1
2017/9/10, , 1, 1
2017/9/11, , 1, 1
2017/9/12, , 3, 1
2017/9/13, , 7, 1
2017/9/14, , 6, 2
2017/9/15, , 7, 2
2017/9/16, , 5, 2
2017/9/17, , 5, 2
2017/9/18, , 9, 1
2017/9/19, , 6, 2
2017/9/20, , 9, 3
2017/9/21, , 10, 2
