date, pm25, pm10, o3, so2
2020/1/1, 44, 19, 15, 
2020/1/2, 36, 17, 10, 
2020/1/3, 33, 14, 14, 
2020/1/4, 30, , 15, 1
2020/1/5, 23, , 13, 1
2020/1/6, 31, , 15, 1
2020/1/7, 40, , 16, 
2020/1/8, 30, 27, 15, 
2020/1/9, 25, 24, 13, 
2020/1/10, 30, 28, 11, 
2020/1/11, 41, 26, 10, 
2020/1/12, 34, 26, 13, 
2020/1/13, 39, 26, 13, 
2020/1/14, 31, 36, 15, 
2020/1/15, 33, 18, 9, 
2020/1/16, 34, , , 
2019/10/1, 37, 18, 16, 1
2019/10/2, 29, 19, 17, 
2019/10/3, 30, 18, 13, 1
2019/10/4, 26, 12, 9, 
2019/10/5, 22, 16, 13, 
2019/10/6, 33, 13, 11, 
2019/10/7, 26, 11, 14, 
2019/10/8, 20, 12, 11, 1
2019/10/9, 23, 15, 12, 
2019/10/10, 21, 18, 17, 
2019/10/11, 26, 16, 18, 
2019/10/12, 27, 16, 18, 
2019/10/13, 29, 21, 20, 
2019/10/14, 31, 18, 18, 
2019/10/15, 26, 28, 11, 
2019/10/16, 36, 17, 14, 
2019/10/17, 26, 21, 10, 1
2019/10/18, 45, 12, 10, 
2019/10/19, 23, 19, 12, 
2019/10/20, 24, 19, 7, 
2019/10/21, 43, 22, 8, 
2019/10/22, 40, 20, 18, 1
2019/10/23, 30, 21, 11, 
2019/10/24, 37, 15, 9, 
2019/10/25, 29, 15, 10, 
2019/10/26, 29, 16, 10, 
2019/10/27, 32, 19, 11, 
2019/10/28, 26, 15, 10, 
2019/10/29, 28, 18, 11, 
2019/10/30, 22, 26, 11, 
2019/10/31, 23, 25, 17, 
2019/11/1, 29, 25, 14, 
2019/11/2, 39, 17, 14, 
2019/11/3, 36, 24, 16, 
2019/11/4, 38, 17, 13, 1
2019/11/5, 33, 14, 9, 
2019/11/6, 29, 17, 15, 
2019/11/7, 29, 23, 11, 
2019/11/8, 30, , 14, 
2019/11/9, 23, , 16, 
2019/11/10, 33, , 16, 
2019/11/11, 28, , 16, 
2019/11/12, 22, 19, 13, 1
2019/11/13, 20, 20, 10, 
2019/11/14, 27, 10, 8, 
2019/11/15, 16, 8, 11, 
2019/11/16, 15, 11, 10, 
2019/11/17, 34, 25, 13, 
2019/11/18, 38, 34, 18, 
2019/11/19, 51, 39, 17, 1
2019/11/20, 54, 29, 18, 
2019/11/21, 47, 33, 18, 
2019/11/22, 36, 33, 19, 
2019/11/23, 40, 13, 12, 
2019/11/24, 23, 16, 14, 
2019/11/25, 29, 23, 15, 1
2019/11/26, 40, 28, 18, 
2019/11/27, 39, 29, 11, 
2019/11/28, 44, 22, 16, 
2019/11/29, 37, 35, 16, 
2019/11/30, 35, 27, 13, 
2019/12/1, 33, 17, 13, 
2019/12/2, 21, 20, 11, 1
2019/12/3, 26, 26, 10, 1
2019/12/4, 36, 33, 16, 
2019/12/5, 59, 36, 17, 1
2019/12/6, 60, , 15, 
2019/12/7, 61, , 15, 
2019/12/8, 35, 45, 16, 
2019/12/9, 23, 32, 11, 
2019/12/10, 34, 24, 9, 
2019/12/11, 28, 17, 11, 
2019/12/12, 19, 16, 7, 
2019/12/13, 18, 15, 14, 
2019/12/14, 27, 16, 14, 
2019/12/15, 37, 23, 15, 
2019/12/16, 29, 22, 8, 
2019/12/17, 30, 9, 10, 
2019/12/18, 22, 13, 15, 
2019/12/19, 24, 18, 15, 
2019/12/20, 28, 13, 13, 
2019/12/21, 22, 8, 11, 
2019/12/22, 17, 9, 14, 
2019/12/23, 17, 10, 11, 
2019/12/24, 18, 22, 15, 1
2019/12/25, 36, 20, 12, 1
2019/12/26, 38, 14, 8, 
2019/12/27, 27, 7, 11, 
2019/12/28, 16, , , 
2019/7/1, 25, 24, 15, 
2019/7/2, 40, 28, 17, 
2019/7/3, 39, 24, 18, 
2019/7/4, 51, 26, 18, 
2019/7/5, 52, 18, 11, 
2019/7/6, 29, 12, 14, 
2019/7/7, 21, 25, 17, 
2019/7/8, 39, 21, 16, 
2019/7/9, 41, 23, 12, 
2019/7/10, 44, 15, 12, 1
2019/7/11, 29, 22, 11, 1
2019/7/12, 41, 32, 11, 
2019/7/13, 56, 50, 10, 
2019/7/14, 71, 45, 14, 1
2019/7/15, 66, 30, 17, 
2019/7/16, 47, 22, 13, 1
2019/7/17, 30, 19, 16, 2
2019/7/18, 28, 25, 16, 1
2019/7/19, 31, 18, 13, 1
