date, pm25, o3, no2, co
2020/1/2, 31, , 19, 5
2020/1/3, 39, , 10, 4
2020/1/4, 31, , 10, 4
2020/1/5, 29, , 15, 4
2020/1/6, 20, , 14, 4
2020/1/7, 23, , 12, 3
2020/1/8, 27, , 13, 3
2020/1/9, 45, , 12, 3
2020/1/10, 42, , 13, 3
2020/1/11, 27, , 11, 2
2020/1/12, 24, , 16, 3
2020/1/13, 45, , 14, 3
2020/1/14, 46, , 16, 4
2020/1/15, 60, , 7, 2
2020/1/16, 32, , , 
2019/10/1, 13, 7, 6, 4
2019/10/2, 15, 8, 7, 4
2019/10/3, 15, 14, 6, 3
2019/10/4, 12, 13, 3, 3
2019/10/5, 10, 17, 3, 3
2019/10/6, 11, 19, 13, 5
2019/10/7, 19, 28, 7, 4
2019/10/8, 14, 30, 5, 4
2019/10/9, 20, 27, 6, 4
2019/10/10, 27, 21, 3, 3
2019/10/11, 13, 23, 2, 3
2019/10/12, 13, 17, 5, 4
2019/10/13, 12, 18, 10, 2
2019/10/14, 18, 14, 12, 1
2019/10/15, 22, 12, 11, 1
2019/10/16, 18, 22, 10, 1
2019/10/17, 27, 30, 5, 
2019/10/18, 25, 24, 10, 1
2019/10/19, 34, 23, 11, 2
2019/10/20, 37, 21, 7, 3
2019/10/21, 15, 19, 8, 3
2019/10/22, 13, 16, 12, 3
2019/10/23, 22, 17, 16, 4
2019/10/24, 22, 22, 12, 4
2019/10/25, 26, 25, 8, 3
2019/10/26, 26, 13, 10, 3
2019/10/27, 29, 18, 10, 3
2019/10/28, 25, 15, 16, 4
2019/10/29, 23, 14, 14, 4
2019/10/30, 25, 16, 13, 4
2019/10/31, 40, 11, 14, 4
2019/11/1, 31, 15, 11, 4
2019/11/2, 22, 13, 14, 5
2019/11/3, 40, 10, 14, 4
2019/11/4, 33, , 12, 3
2019/11/5, 22, , 13, 4
2019/11/6, 26, , 16, 4
2019/11/7, 28, , 16, 4
2019/11/8, 37, , 13, 4
2019/11/9, 44, , 7, 3
2019/11/10, 27, , 11, 3
2019/11/11, 20, , 9, 3
2019/11/12, 18, , 11, 4
2019/11/13, 35, , 12, 4
2019/11/14, 42, , 18, 5
2019/11/15, 42, , 7, 4
2019/11/16, 54, , 9, 5
2019/11/17, 47, , 9, 4
2019/11/18, 33, , 14, 6
2019/11/19, 41, , 11, 5
2019/11/20, 38, , 10, 5
2019/11/21, 24, , 10, 4
2019/11/22, 21, , 12, 5
2019/11/23, 24, , 14, 5
2019/11/24, 25, , 11, 5
2019/11/25, 16, , 11, 5
2019/11/26, 17, , 8, 4
2019/11/27, 15, , 7, 4
2019/11/28, 19, , 9, 4
2019/11/29, 30, , 6, 4
2019/11/30, 18, , 7, 4
2019/12/1, 17, , 19, 5
2019/12/2, 30, , 19, 5
2019/12/3, 31, , 19, 6
2019/12/4, 31, , 22, 7
2019/12/5, 54, , 14, 5
2019/12/6, 32, , 13, 5
2019/12/7, 35, , 11, 6
2019/12/8, 45, , 13, 4
2019/12/9, 38, , 14, 3
2019/12/10, 49, , 17, 3
2019/12/11, 54, , 19, 3
2019/12/12, 57, , 24, 4
2019/12/13, 83, , 14, 3
2019/12/14, 55, , 17, 3
2019/12/15, 37, , 24, 3
2019/12/16, 42, , 38, 3
2019/12/17, 51, , 26, 3
2019/12/18, 36, , 28, 7
2019/12/19, 70, , 12, 3
2019/12/20, 68, , 16, 4
2019/12/21, 67, , 18, 5
2019/12/22, 45, , 22, 7
2019/12/23, 60, , 12, 4
2019/12/24, 72, , 9, 4
2019/12/25, 73, , 8, 4
2019/12/26, 47, , 14, 4
2019/12/27, 51, , 18, 4
2019/12/28, 49, , , 
2019/7/1, 15, 41, 15, 5
2019/7/2, 20, 32, 12, 6
2019/7/3, 27, 31, 5, 4
2019/7/4, 30, 21, 11, 5
2019/7/5, 46, 23, 7, 5
2019/7/6, 35, 34, 5, 4
2019/7/7, 53, 35, 4, 4
2019/7/8, 51, 31, 5, 5
2019/7/9, 59, 25, 6, 4
2019/7/10, 13, 35, 12, 5
2019/7/11, 37, 31, 6, 4
2019/7/12, 31, 34, 6, 4
2019/7/13, 24, 35, 3, 4
2019/7/14, 9, 30, 4, 4
2019/7/15, 26, 29, 11, 5
2019/7/16, 25, 31, 7, 4
2019/7/17, 15, 38, 7, 4
2019/7/18, 20, 31, 10, 5
2019/7/19, 30, 22, 9, 5
2019/7/20, 22, 21, 11, 5
2019/7/21, 31, 18, 12, 4
2019/7/22, 22, 28, 14, 5
2019/7/23, 33, 37, 7, 4
2019/7/24, 36, 36, 5, 4
2019/7/25, 30, 37, 5, 4
2019/7/26, 34, 28, 8, 4
2019/7/27, 21, 26, 6, 5
2019/7/28, 28, 19, 9, 4
2019/7/29, 16, 24, 11, 4
2019/7/30, 19, 32, 14, 4
2019/7/31, 23, 35, 5, 4
2019/8/1, 24, 41, 8, 4
2019/8/2, 37, 43, 9, 5
2019/8/3, 38, 40, 11, 5
2019/8/4, 42, 24, 12, 5
2019/8/5, 38, 23, , 5
2019/8/6, 33, 22, , 4
2019/8/7, 25, 19, 13, 4
2019/8/8, 20, 25, 14, 5
2019/8/9, 34, 20, 10, 4
2019/8/10, 27, 21, 10, 5
2019/8/11, 30, 17, 15, 6
2019/8/12, 34, 28, 10, 5
2019/8/13, 23, 17, 12, 4
2019/8/14, 22, 29, 9, 4
2019/8/15, 23, 24, 8, 4
2019/8/16, 19, 32, 6, 4
2019/8/17, 30, 25, 6, 4
2019/8/18, 13, 26, 10, 4
2019/8/19, 16, 24, 11, 5
2019/8/20, 16, 19, 14, 5
2019/8/21, 23, 15, 13, 4
2019/8/22, 15, 26, 7, 3
2019/8/23, 25, 24, 4, 3
2019/8/24, 17, 26, 3, 3
2019/8/25, 21, 24, 7, 4
2019/8/26, 21, 19, 6, 4
2019/8/27, 16, 17, 9, 4
2019/8/28, 15, 20, 11, 4
2019/8/29, 17, 17, 15, 5
2019/8/30, 20, 24, 9, 4
2019/8/31, 25, 21, 5, 4
2019/9/1, 24, 23, 5, 4
2019/9/2, 23, 20, 9, 4
2019/9/3, 17, 25, 10, 4
2019/9/4, 26, 22, 7, 4
2019/9/5, 19, 21, 10, 5
2019/9/6, 18, 10, 10, 5
2019/9/7, 26, 10, 4, 3
2019/9/8, 16, 10, 4, 3
2019/9/9, 13, 14, 8, 5
2019/9/10, 20, 7, 7, 5
2019/9/11, 12, 7, 4, 4
2019/9/12, 8, 9, 5, 4
2019/9/13, 11, 17, 7, 4
2019/9/14, 20, 30, 10, 6
2019/9/15, 38, 26, 8, 5
2019/9/16, 23, 35, 4, 4
2019/9/17, 32, 29, 6, 4
2019/9/18, 29, 35, 12, 5
2019/9/19, 22, 30, 6, 4
2019/9/20, 30, 25, 3, 4
2019/9/21, 29, 17, 7, 4
2019/9/22, 16, 20, 11, 5
2019/9/23, 21, 24, 11, 5
2019/9/24, 22, 20, 10, 4
2019/9/25, 12, 23, 7, 3
2019/9/26, 13, 21, 11, 4
2019/9/27, 21, 17, 6, 4
2019/9/28, 19, 13, 3, 3
2019/9/29, 10, 16, 5, 5
2019/9/30, 21, 5, 6, 4
2019/4/1, 35, 29, 9, 4
2019/4/2, 26, 28, 18, 4
2019/4/3, 30, 30, 10, 3
2019/4/4, 18, 21, 13, 4
2019/4/5, 9, 18, 10, 4
2019/4/6, 9, 21, 11, 5
2019/4/7, 10, 28, 15, 4
2019/4/8, 10, 24, 12, 4
2019/4/9, 16, 23, 9, 3
2019/4/10, 12, 33, 5, 2
2019/4/11, 10, 27, 8, 3
2019/4/12, 15, 30, 14, 4
2019/4/13, 20, 33, 23, 5
2019/4/14, 27, 34, 19, 4
2019/4/15, 23, 33, 26, 5
2019/4/16, 36, 27, 15, 4
2019/4/17, 28, 30, 15, 4
2019/4/18, 15, 31, 19, 5
2019/4/19, 23, 41, 18, 5
2019/4/20, 40, 32, 8, 4
2019/4/21, 39, 24, 11, 4
2019/4/22, 15, 31, 16, 4
2019/4/23, 26, 41, 14, 4
2019/4/24, 31, 37, 17, 4
2019/4/25, 36, 31, 12, 4
