date, pm25, pm10, o3, no2, so2, co, aqi
2020/1/2, 161, 96, 8, 39, 8, 15, 
2020/1/3, 168, 88, 8, 40, 8, 14, 
2020/1/4, 164, 70, 7, 34, 8, 12, 
2020/1/5, 153, 61, 9, 33, 3, 9, 
2020/1/6, 150, 39, 23, 21, 3, 4, 
2020/1/7, 83, 57, 17, 28, 3, 9, 
2020/1/8, 126, 61, 14, 29, 3, 10, 
2020/1/9, 131, 96, 16, 33, 4, 18, 
2020/1/10, 184, 32, 21, 17, 2, 4, 
2020/1/11, 70, 51, 15, 29, 4, 7, 
2020/1/12, 113, 37, 24, 24, 3, , 
2020/1/13, 98, 41, 19, 27, 3, , 
2020/1/14, 94, 78, 10, 34, 7, 5, 
2020/1/15, 157, 121, 11, 35, 5, 3, 
2020/1/16, 208, , , , , , 
2019/10/1, 116, 65, 88, 9, 6, 6, 
2019/10/2, 114, 74, 106, 9, 5, 5, 
2019/10/3, 134, 29, 30, 3, 4, 2, 
2019/10/4, 69, 19, 31, 9, 3, 1, 
2019/10/5, 45, 47, 11, 17, 4, 3, 
2019/10/6, 80, 63, 27, 13, 4, 5, 
2019/10/7, 116, 36, 26, 10, 3, 1, 
2019/10/8, 49, 55, 33, 16, 5, 4, 
2019/10/9, 89, 48, 35, 10, 5, 3, 
2019/10/10, 97, 61, 21, 16, 2, 5, 
2019/10/11, 119, 52, 8, 20, 6, 7, 
2019/10/12, 83, 50, 6, 19, 4, 9, 
2019/10/13, 77, 45, 25, 13, 1, 4, 
2019/10/14, 72, 42, 24, 17, 3, 3, 
2019/10/15, 78, 55, 12, 22, 2, 4, 
2019/10/16, 101, 50, 8, 20, 1, 6, 
2019/10/17, 126, 65, 23, 21, 2, 7, 
2019/10/18, 138, 96, 26, 33, 2, 11, 
2019/10/19, 173, 111, 30, 28, 1, 8, 
2019/10/20, 167, 60, 23, 23, 2, 4, 
2019/10/21, 80, 76, 24, 30, 4, 6, 
2019/10/22, 111, 99, 57, 29, 4, 7, 
2019/10/23, 155, 90, 12, 25, 2, 7, 
2019/10/24, 149, 25, 26, 8, 1, 1, 
2019/10/25, 53, 60, 21, 21, 5, 4, 
2019/10/26, 104, 72, 25, 28, 4, 5, 
2019/10/27, 141, 82, 31, 15, 2, 2, 
2019/10/28, 101, 78, 27, 24, 5, 4, 
2019/10/29, 122, 95, 15, 34, 5, 6, 
2019/10/30, 144, 73, 29, 25, 3, 5, 
2019/10/31, 117, 67, 14, 28, 6, 8, 
2019/11/1, 105, 47, 10, 22, 1, 3, 
2019/11/2, 83, 51, 15, 16, 2, 4, 
2019/11/3, 113, 71, 25, 21, 2, 7, 
2019/11/4, 149, 69, 22, 22, 3, 7, 
2019/11/5, 136, 67, 23, 21, 2, 4, 
2019/11/6, 124, 62, 20, 21, 3, 5, 
2019/11/7, 108, 70, 15, 25, 2, 5, 
2019/11/8, 122, 102, 10, 35, 2, 9, 
2019/11/9, 173, 72, 30, 20, 1, 5, 
2019/11/10, 117, 57, 24, 21, 2, 3, 
2019/11/11, 86, 75, 20, 30, 6, 6, 
2019/11/12, 132, 50, 24, 14, 1, 1, 
2019/11/13, 83, 55, 19, 22, 4, 1, 
2019/11/14, 90, 67, 6, 27, 5, 5, 
2019/11/15, 125, 66, 8, 23, 8, 8, 
2019/11/16, 125, 109, 16, 20, 4, 4, 
2019/11/17, 145, 54, 23, 12, 2, , 
2019/11/18, 69, 72, 18, 25, 5, , 
2019/11/19, 112, 105, 7, 35, 8, , 
2019/11/20, 162, 109, 4, 40, 8, , 
2019/11/21, 168, 126, 4, 45, 9, , 
2019/11/22, 183, 123, 20, 40, 6, , 
2019/11/23, 188, 51, 25, 9, 3, , 
2019/11/24, 72, 44, 15, 18, 3, , 
2019/11/25, 76, 73, 11, 30, 8, 7, 
2019/11/26, 143, 38, 23, 17, 5, , 
2019/11/27, 69, 64, 10, 27, 6, 1, 
2019/11/28, 126, 73, 4, 31, 7, 6, 
2019/11/29, 153, 83, 7, 23, 3, , 
2019/11/30, 170, 37, 21, 16, 3, , 
2019/12/1, 71, 31, 35, 14, 3, , 
2019/12/2, 62, 60, 12, 29, 7, , 
2019/12/3, 107, 52, 5, 31, 6, , 
2019/12/4, 115, 58, 12, 23, 6, 3, 
2019/12/5, 112, 78, 8, 28, 6, 9, 
2019/12/6, 142, 68, 14, 30, 5, 8, 
2019/12/7, 136, 107, 4, 31, 3, 15, 
2019/12/8, 191, 140, 6, 33, 4, 17, 
2019/12/9, 212, 148, 5, 40, 5, 21, 
2019/12/10, 218, 80, 25, 24, 5, 11, 
2019/12/11, 127, 51, 14, 22, 6, 6, 
2019/12/12, 94, 53, 23, 22, 5, 6, 
2019/12/13, 101, 29, 15, 21, 3, 2, 
2019/12/14, 77, 72, 2, 37, 7, 11, 
2019/12/15, 158, 61, 3, 32, 3, 10, 
2019/12/16, 154, 36, 26, 14, 2, 4, 
2019/12/17, 91, 34, 15, 21, 2, 5, 
2019/12/18, 91, 37, 24, 17, 2, 4, 
2019/12/19, 84, 38, 15, 24, 6, 5, 
2019/12/20, 81, 60, 9, 32, 5, 9, 
2019/12/21, 126, 80, 6, 37, 6, 12, 
2019/12/22, 162, 72, 9, 29, 4, 12, 
2019/12/23, 145, 81, 9, 27, 4, 13, 
2019/12/24, 166, 83, 10, 28, 4, 10, 
2019/12/25, 170, 45, 19, 22, 3, 5, 
2019/12/26, 90, 81, 9, 30, 7, 10, 
2019/12/27, 142, 91, 14, 36, 11, 16, 
2019/12/28, 162, 98, 1, 40, 8, 20, 
2019/12/29, 171, , , , , , 
2019/7/1, 51, 45, 103, 11, 5, 4, 
2019/7/2, 65, 49, 91, 15, 5, 4, 
2019/7/3, 76, 57, 115, 19, 8, 4, 
2019/7/4, 78, 44, 62, 9, 6, 4, 
2019/7/5, 77, 35, 54, 9, 6, 10, 
2019/7/6, 74, 20, 41, 7, 2, 2, 
2019/7/7, 54, 33, 66, 7, 3, 3, 
2019/7/8, 65, 58, 45, 19, 4, 4, 
2019/7/9, 100, 54, 44, 12, 4, 6, 
2019/7/10, 121, 45, 65, 14, 4, 3, 
2019/7/11, 99, 55, 101, 18, 5, 4, 
2019/7/12, 86, 71, 84, 21, 6, 6, 
2019/7/13, 133, 37, 85, 11, 5, 3, 
2019/7/14, 63, 60, 95, 11, 6, 6, 
2019/7/15, 130, 51, 85, 11, 7, 7, 
2019/7/16, 100, 46, 46, 9, 4, 4, 
2019/7/17, 117, 62, 75, 12, 4, 6, 
2019/7/18, 160, 69, 64, 14, 5, 6, 
2019/7/19, 155, 57, 35, 14, 6, 5, 
2019/7/20, 137, 70, 79, 14, 5, 7, 
2019/7/21, 164, 73, 37, 13, 4, 9, 
2019/7/22, 159, 33, 56, 4, 3, 5, 
2019/7/23, 104, 51, 74, 11, 6, 5, 
2019/7/24, 127, 34, 79, 9, 9, 4, 
