date, pm25, pm10, o3, no2, so2, co, aqi
2020/1/2, 181, 127, 17, 35, 34, 14, 
2020/1/3, 206, 165, 27, 37, 27, 15, 
2020/1/4, 272, 103, 4, 35, 17, 11, 
2020/1/5, 201, 68, 4, 25, 9, 10, 
2020/1/6, 157, 59, 9, 25, 12, 9, 
2020/1/7, 138, 56, 24, 23, 14, 11, 
2020/1/8, 124, 74, 37, 24, 15, 19, 
2020/1/9, 162, 118, 19, 31, 18, 19, 
2020/1/10, 205, 67, 19, 25, 14, 12, 
2020/1/11, 122, 74, 17, 24, 22, 12, 
2020/1/12, 150, 59, 18, 27, 18, , 
2020/1/13, 121, 55, 24, 25, 18, , 
2020/1/14, 125, 85, 17, 29, 21, 4, 
2020/1/15, 170, 138, 14, 32, 23, 8, 
2020/1/16, 239, , , , , , 
2019/10/1, 119, 69, 71, 13, 6, 5, 
2019/10/2, 127, 79, 105, 16, 8, 5, 
2019/10/3, 135, 44, 34, 9, 3, 4, 
2019/10/4, 76, 22, 31, 14, 5, 7, 
2019/10/5, 38, 44, 22, 21, 7, 6, 
2019/10/6, 71, 45, 32, 14, 4, 4, 
2019/10/7, 94, 45, 30, 16, 4, 5, 
2019/10/8, 66, 64, 40, 20, 7, 5, 
2019/10/9, 98, 52, 29, 14, 4, 5, 
2019/10/10, 126, 56, 31, 18, 6, 4, 
2019/10/11, 103, 41, 34, 17, 6, 3, 
2019/10/12, 57, 44, 21, 15, 10, 3, 
2019/10/13, 54, 30, 25, 14, 5, 8, 
2019/10/14, 45, 47, 27, 22, 7, 7, 
2019/10/15, 67, 57, 9, 27, 7, 6, 
2019/10/16, 98, 63, 27, 25, 6, 6, 
2019/10/17, 131, 87, 34, 26, 7, 6, 
2019/10/18, 160, 99, 61, 17, 7, 9, 
2019/10/19, 174, 110, 41, 21, 7, 6, 
2019/10/20, 163, 108, 31, 28, 10, 7, 
2019/10/21, 122, 117, 63, 25, 16, 11, 
2019/10/22, 167, 90, 44, 22, 6, 5, 
2019/10/23, 155, 71, 38, 18, 5, 5, 
2019/10/24, 140, 36, 26, 15, 6, 5, 
2019/10/25, 44, 54, 25, 22, 7, 5, 
2019/10/26, 76, 77, 29, 24, 11, 6, 
2019/10/27, 137, 126, 32, 17, 7, 5, 
2019/10/28, 119, 85, 31, 20, 8, 5, 
2019/10/29, 97, 141, 27, 31, 13, 7, 
2019/10/30, 158, 111, 33, 31, 10, 6, 
2019/10/31, 151, 49, 34, 15, 8, 2, 
2019/11/1, 66, 56, 14, 25, 9, 4, 
2019/11/2, 96, 39, 19, 20, 6, 6, 
2019/11/3, 71, 45, 28, 22, 6, 6, 
2019/11/4, 62, 63, 35, 26, 8, 5, 
2019/11/5, 130, 76, 32, 28, 12, 9, 
2019/11/6, 134, 52, 26, 19, 7, 6, 
