date, pm10, no2
2020/1/3, 28, 32
2020/1/4, 18, 30
2020/1/5, 19, 25
2020/1/6, 12, 33
2020/1/7, 13, 30
2020/1/8, 12, 31
2020/1/9, 12, 32
2020/1/10, 18, 36
2020/1/11, 9, 24
2020/1/12, 9, 30
2020/1/13, 26, 36
2020/1/14, 24, 31
2020/1/15, 17, 33
2020/1/16, 8, 23
2019/10/1, 9, 14
2019/10/2, 5, 11
2019/10/3, 7, 17
2019/10/4, 13, 9
2019/10/5, 7, 7
2019/10/6, 7, 12
2019/10/7, 6, 16
2019/10/8, 13, 14
2019/10/9, 11, 11
2019/10/10, 7, 19
2019/10/11, 13, 17
2019/10/12, 14, 11
2019/10/13, 16, 15
2019/10/14, 18, 16
2019/10/15, 11, 16
2019/10/16, 7, 17
2019/10/17, 15, 17
2019/10/18, 11, 15
2019/10/19, 9, 7
2019/10/20, 8, 16
2019/10/21, 8, 14
2019/10/22, 12, 10
2019/10/23, 12, 16
2019/10/24, 13, 14
2019/10/25, 12, 17
2019/10/26, 14, 14
2019/10/27, 17, 19
2019/10/28, 19, 18
2019/10/29, 12, 15
2019/10/30, 14, 15
2019/10/31, 16, 15
2019/11/1, 14, 18
2019/11/2, 13, 11
2019/11/3, 7, 21
2019/11/4, 9, 17
2019/11/5, 9, 14
2019/11/6, 7, 24
2019/11/7, 22, 26
2019/11/8, 16, 20
2019/11/9, 8, 14
2019/11/10, 9, 14
2019/11/11, 14, 18
2019/11/12, 10, 23
2019/11/13, 16, 12
2019/11/14, 10, 20
2019/11/15, 9, 19
2019/11/16, 14, 15
2019/11/17, 8, 17
2019/11/18, 9, 15
2019/11/19, 16, 18
2019/11/20, 15, 22
2019/11/21, 20, 21
2019/11/22, 12, 8
2019/11/23, 10, 14
2019/11/24, 19, 21
2019/11/25, 27, 21
2019/11/26, 24, 23
2019/11/27, 11, 20
2019/11/28, 9, 33
2019/11/29, 12, 26
2019/11/30, 11, 11
2019/12/1, 8, 15
2019/12/2, 10, 14
2019/12/3, 13, 29
2019/12/4, 19, 30
2019/12/5, 15, 35
2019/12/6, 14, 24
2019/12/7, 16, 23
2019/12/8, 14, 17
2019/12/9, 10, 25
2019/12/10, 10, 32
2019/12/11, 17, 23
2019/12/12, 10, 19
2019/12/13, 9, 24
2019/12/14, 14, 22
2019/12/15, 11, 15
2019/12/16, 9, 13
2019/12/17, 7, 23
2019/12/18, 15, 22
2019/12/19, 23, 19
2019/12/20, 14, 27
2019/12/21, 11, 22
2019/12/22, 10, 18
2019/12/23, 12, 31
2019/12/24, 18, 23
2019/12/25, 20, 36
2019/12/26, 18, 37
2019/12/27, 28, 32
2019/12/28, 14, 
2019/7/1, 19, 13
2019/7/2, 22, 11
2019/7/3, 20, 13
2019/7/4, 21, 15
2019/7/5, 20, 17
2019/7/6, 20, 12
2019/7/7, 16, 16
2019/7/8, 19, 16
2019/7/9, 21, 15
2019/7/10, 23, 22
2019/7/11, 22, 17
2019/7/12, 18, 15
2019/7/13, 16, 11
2019/7/14, 13, 16
2019/7/15, 10, 14
2019/7/16, 13, 17
2019/7/17, 15, 17
2019/7/18, 16, 20
2019/7/19, 22, 21
2019/7/20, 18, 13
2019/7/21, 17, 17
2019/7/22, 22, 17
2019/7/23, 21, 17
2019/7/24, 21, 18
2019/7/25, 26, 18
2019/7/26, 16, 20
2019/7/27, 14, 5
2019/7/28, 8, 9
2019/7/29, 15, 11
2019/7/30, 17, 10
2019/7/31, 20, 18
2019/8/1, 20, 19
2019/8/2, 21, 19
2019/8/3, 15, 15
2019/8/4, 14, 19
2019/8/5, 17, 18
2019/8/6, 26, 18
2019/8/7, 18, 11
2019/8/8, 17, 12
2019/8/9, 16, 13
2019/8/10, 20, 9
2019/8/11, 18, 11
2019/8/12, 15, 12
2019/8/13, 17, 13
2019/8/14, 2, 11
2019/8/15, 9, 12
2019/8/16, 9, 18
2019/8/17, 10, 14
2019/8/18, 13, 15
2019/8/19, 12, 15
2019/8/20, 8, 13
2019/8/21, 10, 11
2019/8/22, 17, 12
2019/8/23, 17, 11
2019/8/24, 15, 11
2019/8/25, 12, 18
2019/8/26, 16, 13
2019/8/27, 16, 16
2019/8/28, 17, 14
2019/8/29, 17, 16
2019/8/30, 16, 9
2019/8/31, 13, 10
2019/9/1, 14, 10
2019/9/2, 12, 9
2019/9/3, 12, 10
2019/9/4, 13, 14
2019/9/5, 11, 15
2019/9/6, 9, 14
2019/9/7, 9, 11
2019/9/8, 6, 7
2019/9/9, 12, 8
2019/9/10, 12, 9
2019/9/11, 13, 8
2019/9/12, 12, 17
2019/9/13, 15, 17
2019/9/14, 13, 10
2019/9/15, 13, 14
2019/9/16, 22, 15
2019/9/17, 27, 18
2019/9/18, 20, 14
2019/9/19, 24, 14
2019/9/20, 16, 15
2019/9/21, 12, 7
2019/9/22, 8, 7
2019/9/23, 5, 15
2019/9/24, 8, 14
2019/9/25, 8, 14
2019/9/26, 8, 13
2019/9/27, 10, 8
2019/9/28, 9, 11
2019/9/29, 11, 7
2019/9/30, 12, 12
2019/4/1, 16, 25
2019/4/2, 22, 19
2019/4/3, 15, 27
2019/4/4, 10, 26
2019/4/5, 11, 19
2019/4/6, 14, 16
2019/4/7, 8, 13
2019/4/8, 10, 22
2019/4/9, 13, 19
2019/4/10, 13, 16
2019/4/11, 19, 15
2019/4/12, 33, 15
2019/4/13, 24, 10
2019/4/14, 18, 18
2019/4/15, 14, 18
2019/4/16, 13, 13
2019/4/17, 11, 22
2019/4/18, 14, 24
2019/4/19, 18, 17
2019/4/20, 11, 12
2019/4/21, 10, 8
2019/4/22, 33, 13
2019/4/23, 13, 14
2019/4/24, 8, 11
2019/4/25, 8, 19
2019/4/26, 8, 11
2019/4/27, 14, 6
2019/4/28, 14, 12
2019/4/29, 15, 12
2019/4/30, 14, 10
2019/5/1, 10, 18
2019/5/2, 14, 16
2019/5/3, 9, 9
2019/5/4, 8, 5
2019/5/5, 4, 12
2019/5/6, 10, 18
2019/5/7, 10, 14
2019/5/8, 8, 20
2019/5/9, 9, 15
2019/5/10, 7, 12
2019/5/11, 7, 5
2019/5/12, 6, 12
2019/5/13, 9, 12
2019/5/14, 14, 14
2019/5/15, 12, 13
2019/5/16, 12, 15
2019/5/17, 16, 15
2019/5/18, 12, 8
2019/5/19, 11, 18
2019/5/20, 7, 14
2019/5/21, 11, 14
2019/5/22, 13, 17
2019/5/23, 13, 18
2019/5/24, 15, 17
2019/5/25, 15, 9
2019/5/26, 7, 13
2019/5/27, 10, 8
2019/5/28, 7, 19
2019/5/29, 9, 14
2019/5/30, 8, 15
2019/5/31, 11, 14
2019/6/1, 12, 8
2019/6/2, 11, 15
2019/6/3, 15, 12
2019/6/4, 15, 19
2019/6/5, 18, 17
2019/6/6, 15, 12
2019/6/7, 18, 14
2019/6/8, 10, 10
2019/6/9, 11, 8
2019/6/10, 11, 18
2019/6/11, 10, 12
2019/6/12, 8, 13
2019/6/13, 12, 15
2019/6/14, 25, 11
2019/6/15, 24, 7
2019/6/16, 10, 12
2019/6/17, 12, 14
2019/6/18, 13, 10
2019/6/19, 14, 10
2019/6/20, 19, 12
2019/6/21, 13, 10
2019/6/22, 10, 8
2019/6/23, 9, 8
2019/6/24, 16, 7
2019/6/25, 30, 7
2019/6/26, 37, 9
2019/6/27, 35, 17
2019/6/28, 33, 15
2019/6/29, 17, 8
2019/6/30, 23, 13
2019/1/1, 27, 23
2019/1/2, 18, 31
2019/1/3, 17, 36
2019/1/4, 24, 34
2019/1/5, 30, 30
2019/1/6, 24, 22
2019/1/7, 16, 24
2019/1/8, 25, 23
2019/1/9, 21, 25
2019/1/10, 13, 33
2019/1/11, 20, 32
2019/1/12, 25, 34
2019/1/13, 29, 16
2019/1/14, 11, 24
2019/1/15, 8, 34
2019/1/16, 11, 32
2019/1/17, 21, 32
2019/1/18, 14, 29
2019/1/19, 10, 36
2019/1/20, 24, 28
2019/1/21, 12, 32
2019/1/22, 16, 36
2019/1/23, 31, 27
2019/1/24, 24, 33
