date, pm25, pm10, o3, so2, co
2020/1/2, 25, 16, 11, , 1
2020/1/3, 13, 16, 12, , 1
2020/1/4, 16, 14, 17, , 1
2020/1/5, 17, 16, 17, , 1
2020/1/6, 13, 18, 18, , 1
2020/1/7, 15, 23, 19, , 1
2020/1/8, 16, 29, 18, , 1
2020/1/9, 16, 36, 16, , 1
2020/1/10, 22, 32, 12, , 1
2020/1/11, 26, 32, 13, , 1
2020/1/12, 21, 31, 14, , 1
2020/1/13, 17, 36, 15, , 1
2020/1/14, 17, 24, 15, , 1
2020/1/15, 13, 21, , , 2
2020/1/16, 5, , , , 
2019/10/1, 20, , 12, , 1
2019/10/2, 10, , 14, , 1
2019/10/3, 12, , 10, , 1
2019/10/4, 11, , 8, , 1
2019/10/5, 10, , 14, , 1
2019/10/6, 18, , 8, , 1
2019/10/7, 8, , 11, , 1
2019/10/8, 11, , 10, , 1
2019/10/9, 7, , 12, , 1
2019/10/10, 9, , 13, , 1
2019/10/11, 8, , 16, , 1
2019/10/12, 14, , 14, , 1
2019/10/13, 10, , 14, , 1
2019/10/14, 12, , 14, , 1
2019/10/15, 11, , 10, , 1
2019/10/16, 15, , 7, , 1
2019/10/17, 16, , 13, , 2
2019/10/18, 25, , 8, , 1
2019/10/19, 20, , 8, , 1
2019/10/20, 19, , 13, , 1
2019/10/21, 17, 13, 12, , 1
2019/10/22, 12, 14, 10, , 1
2019/10/23, 14, 17, 7, , 
2019/10/24, 14, 20, 10, , 1
2019/10/25, 13, 12, 9, , 1
2019/10/26, 12, 10, 10, , 1
2019/10/27, 14, 14, 10, , 1
2019/10/28, 10, 15, 9, , 1
2019/10/29, 11, 12, 9, , 1
2019/10/30, 9, 13, 11, , 1
2019/10/31, 9, 15, 17, , 1
2019/11/1, 9, 14, 14, , 1
2019/11/2, 11, 11, 14, , 1
2019/11/3, 9, 14, 13, , 1
2019/11/4, 6, 15, 10, , 1
2019/11/5, 11, 22, 11, , 1
2019/11/6, 11, 21, 13, , 1
2019/11/7, 11, 16, 13, , 1
2019/11/8, 13, 17, 14, , 1
2019/11/9, 9, 14, 17, , 1
2019/11/10, 11, 15, 17, , 1
2019/11/11, 8, 19, 13, , 1
2019/11/12, 11, 40, 12, , 1
2019/11/13, 13, 16, 12, , 1
2019/11/14, 8, 13, 10, , 2
2019/11/15, 9, 12, 14, , 1
2019/11/16, 11, 11, 12, , 1
2019/11/17, 22, 19, 14, , 1
2019/11/18, 22, 20, 19, , 1
2019/11/19, 19, 29, 19, , 1
2019/11/20, 35, 25, 19, , 2
2019/11/21, 21, 21, 16, , 2
2019/11/22, 22, 22, 16, , 2
2019/11/23, 22, 13, 13, , 1
2019/11/24, 17, 19, 15, , 1
2019/11/25, 27, 24, 17, , 3
2019/11/26, 19, 27, 21, , 4
2019/11/27, 25, 19, 17, , 3
2019/11/28, 31, 22, 18, , 1
2019/11/29, 18, 18, 17, , 2
2019/11/30, 14, 15, 14, , 3
2019/12/1, 15, 19, 16, , 1
2019/12/2, 14, 17, 11, , 1
2019/12/3, 18, 24, 12, , 2
2019/12/4, 26, 30, 20, , 2
2019/12/5, 39, 22, 19, , 3
2019/12/6, 26, 25, 22, , 3
2019/12/7, 31, 18, 17, , 2
2019/12/8, 26, 20, 14, , 2
2019/12/9, 12, 23, 11, , 1
2019/12/10, 15, 23, 8, , 1
2019/12/11, 8, 18, 9, , 1
2019/12/12, 14, 17, 9, , 1
2019/12/13, 8, 16, 12, , 1
2019/12/14, 15, 14, 17, , 1
2019/12/15, 13, 26, 12, , 1
2019/12/16, 17, 23, 10, , 1
2019/12/17, 12, 18, 9, , 1
2019/12/18, 14, 17, 15, , 1
2019/12/19, 13, 26, 16, , 1
2019/12/20, 13, 22, 15, , 
2019/12/21, 15, 19, 15, , 
2019/12/22, 12, 12, 15, , 1
2019/12/23, 13, 14, 15, , 1
2019/12/24, 8, 13, 14, , 1
2019/12/25, 9, 20, 13, , 1
2019/12/26, 13, 17, 13, , 1
2019/12/27, 13, 17, 12, , 1
2019/12/28, 12, , , , 
2019/7/1, 11, , 15, , 1
2019/7/2, 20, , 13, , 2
2019/7/3, 32, , 13, , 1
2019/7/4, 34, , 8, , 1
2019/7/5, 45, , 9, , 1
2019/7/6, 31, , 10, , 2
2019/7/7, 37, , 10, , 1
2019/7/8, 23, , 11, , 1
2019/7/9, 25, , 13, , 1
