date, pm25, pm10, no2, so2, co
2020/1/2, 104, , 17, 2, 6
2020/1/3, 112, , 16, 3, 8
2020/1/4, 150, , 18, 3, 7
2020/1/5, 109, , 19, 3, 9
2020/1/6, 85, , 17, 5, 12
2020/1/7, 98, , 13, 3, 9
2020/1/8, 98, , 15, 3, 6
2020/1/9, 92, , 13, 2, 4
2020/1/10, 60, , 14, 2, 6
2020/1/11, 89, , 16, 4, 10
2020/1/12, 174, , 22, 4, 12
2020/1/13, 193, 69, 21, 7, 14
2020/1/14, 202, 46, 16, 3, 8
2020/1/15, 117, 9, 7, , 5
2020/1/16, 37, , , , 
2019/10/1, 65, 20, 6, 3, 4
2019/10/2, 38, 37, 13, 3, 5
2019/10/3, 73, 44, 16, 4, 6
2019/10/4, 91, 35, 7, 3, 4
2019/10/5, 78, 34, 12, 3, 4
2019/10/6, 45, 48, 20, 4, 6
2019/10/7, 95, 51, 13, 5, 11
2019/10/8, 119, 54, 25, 4, 8
2019/10/9, 95, 44, , 4, 6
2019/10/10, 70, 65, , 4, 7
2019/10/11, 130, 45, , 3, 5
2019/10/12, 85, 43, 12, 4, 4
2019/10/13, 76, 41, 13, 3, 4
2019/10/14, 75, 26, 14, 3, 3
2019/10/15, 38, 33, 18, 4, 5
2019/10/16, 60, 36, 13, 4, 6
2019/10/17, 68, 40, 19, 4, 6
2019/10/18, 77, 46, 21, 4, 7
2019/10/19, 93, 51, 22, 3, 8
2019/10/20, 105, 45, 20, 3, 8
2019/10/21, 100, 45, 22, 3, 6
2019/10/22, 89, 51, 18, 3, 7
2019/10/23, 108, 44, 23, 3, 6
2019/10/24, 82, 63, 24, 4, 9
2019/10/25, 127, 39, 16, 4, 7
2019/10/26, 64, 47, 28, 5, 8
2019/10/27, 80, 63, 37, 4, 10
2019/10/28, 137, 132, 34, 6, 11
2019/10/29, 139, 140, 29, 4, 9
2019/10/30, 143, 133, 28, 4, 9
2019/10/31, 148, 97, 36, 4, 10
2019/11/1, 137, 114, 32, 4, 11
2019/11/2, 154, 51, 12, 3, 7
2019/11/3, 80, 49, 15, 3, 9
2019/11/4, 90, , 15, 4, 8
2019/11/5, 63, , 22, 4, 9
2019/11/6, 66, , 20, 3, 10
2019/11/7, 92, , 12, 3, 8
2019/11/8, 63, , 22, 3, 8
2019/11/9, 65, , 25, 4, 10
2019/11/10, 99, , 32, 5, 12
2019/11/11, 115, , 33, 4, 8
2019/11/12, 88, , 21, 5, 6
2019/11/13, 110, , 15, 4, 4
2019/11/14, 70, , 19, 4, 4
2019/11/15, 73, , 24, 4, 5
2019/11/16, 78, , 22, 4, 8
2019/11/17, 107, , 13, 3, 7
2019/11/18, 106, , 16, 7, 8
2019/11/19, 106, , 19, 3, 6
2019/11/20, 82, , 24, 3, 6
2019/11/21, 70, , 23, 4, 8
2019/11/22, 106, , 21, 3, 7
2019/11/23, 77, , 16, 3, 8
2019/11/24, 97, , 7, 2, 6
2019/11/25, 43, , 11, 3, 8
2019/11/26, 57, , 13, 2, 
2019/11/27, 66, , 7, 3, 3
2019/11/28, 56, , 15, 3, 2
2019/11/29, 65, , 22, 3, 2
2019/11/30, 63, , 13, 3, 9
2019/12/1, 67, , 19, 4, 10
2019/12/2, 131, , 32, 6, 12
2019/12/3, 160, , 38, 6, 15
2019/12/4, 164, , 24, 5, 10
2019/12/5, 127, , 10, 3, 5
2019/12/6, 48, , 26, 4, 8
2019/12/7, 98, , 36, 5, 12
2019/12/8, 151, , 46, 6, 12
2019/12/9, 149, , 45, 6, 11
2019/12/10, 156, , 35, 5, 10
2019/12/11, 165, , 27, 4, 8
2019/12/12, 107, , 33, 3, 7
2019/12/13, 97, , 30, 3, 7
2019/12/14, 126, , 22, 3, 5
2019/12/15, 62, , 15, 3, 6
2019/12/16, 91, , 17, 7, 11
2019/12/17, 135, , , 3, 6
2019/12/18, 84, , 15, 3, 8
2019/12/19, 85, , 27, 3, 7
2019/12/20, 120, , , 3, 7
2019/12/21, 86, , 14, 2, 7
2019/12/22, 58, , 14, 2, 7
2019/12/23, 93, , 18, 11, 7
2019/12/25, 78, , 13, 2, 8
2019/12/26, 81, , 20, 3, 9
2019/12/27, 145, , 30, 3, 11
2019/12/28, 152, , 15, 2, 6
2019/12/29, 109, , , , 
2019/7/1, 55, 33, 18, 4, 5
2019/7/2, 63, 34, 9, 12, 6
2019/7/3, 72, 50, 19, 4, 6
2019/7/4, 111, 44, 11, 4, 5
2019/7/5, 94, 36, 8, 4, 4
2019/7/6, 80, 38, 5, 4, 7
2019/7/7, 80, 54, 8, 5, 7
2019/7/8, 113, 19, 5, 4, 4
2019/7/9, 53, 22, 8, 8, 6
2019/7/10, 60, 46, 15, 4, 5
2019/7/11, 90, 38, 16, 4, 6
2019/7/12, 75, 13, 5, 4, 4
2019/7/13, 33, 42, 10, 5, 7
2019/7/14, 93, 39, 10, 5, 5
2019/7/15, 76, 30, 10, 7, 5
2019/7/16, 62, 34, 6, 4, 4
2019/7/17, 61, 27, 6, 4, 5
2019/7/18, 40, 17, 3, 4, 3
2019/7/19, 40, 36, 6, 4, 5
2019/7/20, 77, 52, 12, 4, 6
2019/7/21, 99, 47, 11, 4, 5
2019/7/22, 92, 48, 9, 8, 6
2019/7/23, 86, 48, 12, 3, 5
2019/7/24, 92, 48, 10, 3, 5
2019/7/25, 89, 52, 12, 4, 5
2019/7/26, 101, 50, 18, 4, 5
2019/7/27, 105, 37, 7, 4, 3
2019/7/28, 68, 36, 7, 4, 3
2019/7/29, 64, 39, 9, 17, 4
2019/7/30, 72, 32, 8, 4, 3
2019/7/31, 60, 22, 5, 4, 2
2019/8/1, 39, 22, 6, 4, 2
2019/8/2, 35, 25, 6, 4, 3
2019/8/3, 50, 17, 10, 4, 3
2019/8/4, 32, 23, 8, 4, 3
2019/8/5, 38, 28, 10, 7, 4
2019/8/6, 63, 40, 9, 4, 4
2019/8/7, 87, 35, 7, 4, 4
2019/8/8, 48, 26, 3, 4, 3
2019/8/9, 43, 18, 2, 4, 4
2019/8/10, 34, 14, 5, 4, 4
2019/8/11, 29, 29, 8, 4, 5
2019/8/12, 62, 50, 19, 7, 8
2019/8/13, 102, 54, 12, 4, 7
2019/8/14, 113, 44, 8, 5, 8
2019/8/15, 102, 59, 13, 5, 9
2019/8/16, 115, 67, 11, 5, 8
2019/8/17, 131, 40, 7, 4, 6
2019/8/18, 78, 33, 7, 5, 6
2019/8/19, 64, 32, 9, 5, 6
2019/8/20, 65, 39, 10, 5, 6
2019/8/21, 78, 54, 12, 5, 8
2019/8/22, 109, 45, 9, 5, 7
2019/8/23, 92, 43, 8, 5, 7
2019/8/24, 85, 32, 7, 4, 5
2019/8/25, 55, 36, 6, 4, 5
2019/8/26, 60, 52, 12, 6, 8
2019/8/27, 106, 22, 6, 4, 7
2019/8/28, 62, 29, 10, 5, 8
2019/8/29, 79, 50, 12, 5, 9
2019/8/30, 106, 51, 11, 5, 8
2019/8/31, 91, 18, 6, 4, 7
2019/9/1, 56, 15, 7, 4, 6
2019/9/2, 45, 23, 12, 5, 6
2019/9/3, 63, 43, 14, 5, 9
2019/9/4, 94, 24, 11, 5, 3
2019/9/5, 49, 18, 4, 5, 2
2019/9/6, 28, 34, 8, 5, 4
2019/9/7, 69, 60, 16, 6, 8
2019/9/8, 124, 36, 8, 5, 4
2019/9/9, 76, 47, 15, 6, 6
2019/9/10, 92, 44, 11, 5, 4
2019/9/11, 99, 32, 8, 5, 3
2019/9/12, 65, 34, 8, 6, 4
2019/9/13, 65, 35, 6, 5, 3
2019/9/14, 60, 26, 4, 5, 4
2019/9/15, 58, 42, 8, 6, 3
2019/9/16, 62, 48, 9, 6, 4
2019/9/17, 85, 32, 5, 5, 4
2019/9/18, 51, 36, 6, 5, 4
2019/9/19, 48, 33, 8, 5, 4
2019/9/20, 53, 26, 5, 5, 5
2019/9/21, 54, 25, 5, 5, 7
2019/9/22, 45, 50, 11, 6, 9
2019/9/23, 79, 55, 18, 8, 9
2019/9/24, 102, 60, 20, 7, 10
2019/9/25, 119, 40, 15, 5, 7
2019/9/26, 74, 38, 13, 5, 6
2019/9/27, 74, , , , 
2019/9/29, 76, 44, 10, 4, 5
2019/9/30, 94, 26, 6, 3, 4
2019/4/1, 76, 55, 22, 8, 8
2019/4/2, 92, 58, 24, 4, 6
2019/4/3, 126, 46, 16, 3, 5
2019/4/4, 124, 62, 17, 5, 8
2019/4/5, 143, 61, 18, 7, 7
2019/4/6, 131, 74, 20, 8, 9
2019/4/7, 137, 76, 24, 6, 11
2019/4/8, 145, 45, 9, 3, 6
2019/4/9, 86, 36, 10, 3, 6
2019/4/10, 84, 34, 14, 8, 8
2019/4/11, 70, 56, 22, 4, 7
2019/4/12, 138, 42, 14, 4, 5
2019/4/13, 83, 50, 12, 4, 7
2019/4/14, 112, 53, 15, 4, 7
2019/4/15, 104, 49, 13, 3, 6
2019/4/16, 63, 62, 17, 9, 7
2019/4/17, 139, 59, 15, 4, 6
2019/4/18, 96, 54, 15, 4, 6
2019/4/19, 104, 35, 16, 4, 5
2019/4/20, 61, 39, 16, 3, 6
2019/4/21, 77, 26, 20, 21, 5
2019/4/22, 54, 46, 22, 3, 10
2019/4/23, 108, 61, 22, 4, 11
2019/4/24, 145, 40, 12, 3, 7
2019/4/25, 87, 33, 9, 3, 4
2019/4/26, 61, 41, 14, 4, 5
2019/4/27, 62, 39, 14, 3, 7
2019/4/28, 88, 28, 15, 3, 6
2019/4/29, 64, 30, 13, 7, 8
2019/4/30, 71, 64, 17, 5, 9
2019/5/1, 116, 68, 24, 5, 8
2019/5/2, 89, 61, 24, 4, 6
2019/5/3, 90, 55, 17, 5, 6
2019/5/4, 86, 57, 17, 5, 8
2019/5/5, 92, 42, 6, 3, 6
2019/5/6, 71, 44, 11, 4, 5
2019/5/7, 51, 44, 14, 7, 5
2019/5/8, 63, 52, 16, 4, 4
2019/5/9, 89, 56, 16, 4, 4
2019/5/10, 95, 59, 14, 4, 4
2019/5/11, 107, 56, 14, 4, 4
2019/5/12, 100, 48, 15, 8, 4
2019/5/13, 84, 32, 11, 3, 3
2019/5/14, 67, 30, 15, 3, 4
2019/5/15, 58, 43, 17, 3, 6
2019/5/16, 92, 31, 13, 3, 4
2019/5/17, 64, 36, 10, 3, 6
2019/5/18, 92, 48, 9, 4, 8
2019/5/19, 107, 50, 11, 5, 4
2019/5/20, 83, 66, 17, 13, 6
2019/5/21, 100, 69, 18, 7, 6
2019/5/22, 115, 71, 19, 7, 6
2019/5/23, 130, 61, 13, 5, 5
2019/5/24, 108, 46, 7, 4, 5
2019/5/25, 73, 30, 8, , 5
2019/5/26, 67, 32, 7, 3, 5
2019/5/27, 84, 31, 10, 6, 4
2019/5/28, 54, 47, 24, 5, 5
2019/5/29, 80, 48, 26, 5, 6
2019/5/30, 76, 55, 17, 4, 7
2019/5/31, 128, 49, 19, 4, 7
2019/6/1, 100, 31, 10, 4, 5
2019/6/2, 59, 38, 11, 4, 5
2019/6/3, 71, 51, 15, 4, 7
2019/6/4, 98, 50, 16, 8, 8
2019/6/5, 96, 40, 7, 3, 5
2019/6/6, 67, 29, 6, 4, 5
2019/6/7, 68, 45, 9, 4, 5
2019/6/8, 72, 37, 7, 3, 5
2019/6/9, 72, 45, 8, 4, 6
2019/6/10, 101, 39, 11, 8, 8
2019/6/11, 85, 36, 8, 4, 4
2019/6/12, 73, 32, 8, 4, 4
2019/6/13, 66, 30, 6, 4, 4
2019/6/14, 66, 61, 10, 6, 6
2019/6/15, 114, 68, 14, 6, 7
2019/6/16, 141, 50, 10, 5, 5
2019/6/17, 90, 24, 10, 3, 6
2019/6/18, 43, 31, 8, 6, 6
2019/6/19, 91, 33, 12, 4, 5
2019/6/20, 74, 22, 7, 4, 5
2019/6/21, 62, 32, 4, 4, 4
2019/6/22, 81, 33, 3, 4, 5
2019/6/23, 73, 36, 6, 4, 4
2019/6/24, 73, 27, 10, 7, 6
2019/6/25, 52, 24, 13, 4, 5
2019/6/26, 53, 32, 13, 3, 6
2019/6/27, 67, 45, 10, 3, 6
2019/6/28, 79, 47, 12, 3, 8
2019/6/29, 232, 33, 10, 3, 7
2019/6/30, 95, 28, 15, 4, 6
2019/1/1, 95, 63, 17, 12, 10
2019/1/2, 146, 63, 29, 6, 9
2019/1/3, 132, 31, 30, 4, 8
2019/1/4, 76, 29, 17, 3, 8
2019/1/5, 76, 33, 16, 4, 7
2019/1/6, 76, 34, 18, 4, 7
2019/1/7, 81, 52, 18, 9, 10
2019/1/8, 120, 26, 16, 4, 5
2019/1/9, 62, 22, 16, 4, 4
2019/1/10, 65, 19, 21, 4, 5
2019/1/11, 58, 43, 21, 6, 10
2019/1/12, 102, 66, 25, 7, 15
2019/1/13, 154, 73, 28, 6, 10
2019/1/14, 155, 88, 19, 9, 12
2019/1/15, 169, 51, 15, 6, 7
2019/1/16, 88, 78, 30, 8, 12
2019/1/17, 153, 88, 34, 9, 14
2019/1/18, 163, 81, 31, 8, 12
2019/1/19, 159, 106, 23, 7, 12
2019/1/20, 159, 60, 26, 6, 9
2019/1/21, 123, 80, 33, 10, 13
2019/1/22, 160, 94, 45, 7, 13
2019/1/23, 172, 96, 48, 6, 14
2019/1/24, 175, 56, 25, 4, 8
2019/1/25, 101, 39, 11, 3, 6
2019/1/26, 59, 42, 18, 3, 6
2019/1/27, 75, 58, 29, 7, 9
2019/1/28, 123, 65, 27, 4, 8
2019/1/29, 109, 46, 20, 3, 5
2019/1/30, 67, 26, 6, , 4
2019/1/31, 42, 61, 12, 2, 8
2019/2/1, 140, 61, 13, 3, 8
2019/2/2, 128, 64, 14, 4, 12
2019/2/3, 146, 98, 11, 4, 11
2019/2/4, 140, 61, 9, 4, 4
2019/2/5, 80, 62, 11, 3, 8
2019/2/6, 134, 42, 4, 2, 6
2019/2/7, 75, 21, 2, , 4
2019/2/8, 36, , , , 
2019/2/11, 84, 33, 14, 2, 7
2019/2/12, 83, 34, 8, 3, 7
2019/2/13, 73, 39, 9, 3, 7
2019/2/14, 78, 20, 10, 2, 6
2019/2/15, 57, 47, 8, 3, 8
2019/2/16, 103, 40, 9, 4, 7
2019/2/17, 78, 22, 23, 3, 8
2019/2/18, 53, 32, 19, 3, 10
2019/2/19, 76, 46, 14, 3, 8
2019/2/20, 121, 55, 13, 3, 7
2019/2/21, 138, 50, 15, 4, 10
2019/2/22, 132, 92, 28, 6, 14
2019/2/23, 180, 91, 28, 6, 13
2019/2/24, 175, 70, 26, 5, 10
2019/2/25, 156, 49, 15, 7, 7
2019/2/26, 94, 38, 14, 3, 5
2019/2/27, 69, 40, 16, 4, 5
2019/2/28, 86, 75, 28, 5, 10
2019/3/1, 139, 60, 20, 4, 8
2019/3/2, 137, 66, 20, 5, 9
2019/3/3, 143, 80, 21, 6, 10
2019/3/4, 162, 72, 30, 7, 10
2019/3/5, 156, 69, 15, 4, 9
2019/3/6, 148, 68, 11, 4, 8
2019/3/7, 121, 45, 22, 4, 6
2019/3/8, 66, 42, 26, 4, 8
2019/3/9, 91, 49, 20, 4, 8
2019/3/10, 109, 83, 30, 8, 10
2019/3/11, 138, 90, 36, 6, 9
2019/3/12, 127, 61, 20, 5, 7
2019/3/13, 75, 41, 19, 4, 6
2019/3/14, 73, 59, 25, 7, 8
2019/3/15, 108, 64, 22, 6, 7
2019/3/16, 105, 79, 36, 8, 11
2019/3/17, 157, 43, 17, 3, 6
2019/3/18, 87, 42, 21, 3, 6
2019/3/19, 71, 37, 15, 8, 9
2019/3/20, 66, 62, 14, 3, 10
2019/3/21, 130, 29, 6, 2, 5
2019/3/22, 54, 36, 10, 5, 8
2019/3/23, 75, 53, 15, 5, 8
2019/3/24, 121, 50, 19, 5, 8
2019/3/25, 135, 58, 24, 8, 9
2019/3/26, 136, 56, 25, 6, 9
2019/3/27, 132, 57, 29, 5, 11
2019/3/28, 133, 59, 18, 4, 9
2019/3/29, 124, 65, 18, 6, 10
2019/3/30, 136, 46, 8, 3, 
2019/3/31, 56, 49, 15, 5, 8
2018/10/1, 64, 47, 19, 7, 7
2018/10/2, 92, 37, 14, 5, 5
2018/10/3, 77, 37, 9, 5, 4
2018/10/4, 81, 35, 5, 4, 5
2018/10/5, 65, 43, 11, 6, 6
2018/10/6, 82, 55, 16, 6, 7
2018/10/7, 114, 45, 15, 5, 5
2018/10/8, 68, 45, 22, 10, 7
2018/10/9, 88, 36, 12, 5, 6
2018/10/10, 71, 34, 15, 6, 7
2018/10/11, 60, 36, 19, 5, 5
2018/10/12, 69, 37, 22, 4, 5
2018/10/13, 77, 31, 22, 4, 5
2018/10/14, 66, 30, 15, 4, 4
2018/10/15, 67, 32, 12, 10, 5
2018/10/16, 78, 51, 27, 5, 6
