date, pm25, o3, so2, co
2019/4/3, 30, 28, , 
2019/4/4, 35, 30, 1, 
2019/4/5, 37, 35, 1, 
2019/4/6, 40, 30, 2, 
2019/4/7, 30, 35, , 
2019/4/8, 19, 37, , 
2019/4/9, 13, 21, , 
2019/4/10, 11, 21, , 
2019/4/11, 27, 28, , 
2019/4/12, 14, 32, , 
2019/4/13, 8, 30, , 
2019/4/14, 13, 31, 2, 
2019/4/15, 29, 36, 1, 
2019/4/16, 34, 31, 1, 
2019/4/17, 40, 32, , 
2019/4/18, 8, 34, , 
2019/4/19, 13, 40, 2, 
2019/4/20, 51, 37, 1, 
2019/4/21, 31, 34, 2, 
2019/4/22, 22, 35, , 
2019/4/23, 20, 32, 1, 
2019/4/24, 30, 33, , 
2019/4/25, 34, 35, , 
2019/4/26, 12, 30, , 
2019/4/27, 17, 32, 1, 
2019/4/28, 15, 28, , 
2019/4/29, 21, 21, , 
2019/4/30, 22, 19, , 
2019/5/1, 10, 26, , 
2019/5/2, 12, 27, 1, 
2019/5/3, 28, 36, 2, 
2019/5/4, 36, 35, , 
2019/5/5, 24, 29, , 
2019/5/6, 17, 26, , 
2019/5/7, 15, 24, , 
2019/5/8, 19, 26, , 
2019/5/9, 8, 33, , 
2019/5/10, 21, 27, , 
2019/5/11, 27, 26, , 
2019/5/12, 22, 35, , 
2019/5/13, 24, 24, 1, 
2019/5/14, 29, 39, 2, 
2019/5/15, 31, 44, 1, 
2019/5/16, 32, 26, , 
2019/5/17, 21, 28, , 
2019/5/18, 16, 30, , 
2019/5/19, 10, 21, , 
2019/5/20, 5, 22, , 
2019/5/21, 12, 31, , 
2019/5/22, 14, 28, , 
2019/5/23, 11, 25, 1, 
2019/5/24, 18, 35, , 
2019/5/25, 14, 36, 1, 
2019/5/26, 37, 30, 1, 
2019/5/27, 18, 20, , 
2019/5/28, 6, 27, , 
2019/5/29, 16, 31, , 
2019/5/30, 15, 41, , 
2019/5/31, 43, 40, , 
2019/6/1, 57, 39, , 
2019/6/2, 37, 35, 2, 
2019/6/3, 32, 33, , 
2019/6/4, 38, 46, , 
2019/6/5, 15, 41, 1, 
2019/6/6, 28, 45, 1, 
2019/6/7, 38, 45, 1, 
2019/6/8, 34, 40, 2, 
2019/6/9, 35, 34, , 
2019/6/10, 17, 32, 1, 
2019/6/11, 22, 28, , 
2019/6/12, 18, 33, , 
2019/6/13, 21, 31, 1, 
2019/6/14, 20, 32, 1, 
2019/6/15, 25, 21, , 
2019/6/16, 18, 29, , 
2019/6/17, 21, 30, , 
2019/6/18, 28, 25, , 
2019/6/19, 23, 28, , 
2019/6/20, 25, 24, , 
2019/6/21, 27, 32, 1, 
2019/6/22, 27, 33, , 
2019/6/23, 14, 31, , 
2019/6/24, 16, 35, , 
2019/6/25, 15, 40, 2, 
2019/6/26, 27, 35, 2, 
2019/6/27, 26, 32, , 
2019/6/28, 30, 36, 1, 
2019/6/29, 52, 35, , 
2019/6/30, 37, 36, , 
2019/1/1, 13, , , 
2019/1/2, 16, , , 
2019/1/3, 16, , , 
2019/1/4, 27, , , 
2019/1/5, 23, , , 
2019/1/6, 23, , , 
2019/1/7, 35, , , 
2019/1/8, 22, , , 
2019/1/9, 13, , 1, 
2019/1/10, 34, , 3, 
2019/1/11, 39, , 1, 
2019/1/12, 57, , , 
2019/1/13, 35, , , 
2019/1/14, 48, , , 
2019/1/15, 25, , , 
2019/1/16, 43, , , 
2019/1/17, 57, , 1, 
2019/1/18, 43, , 1, 
2019/1/19, 18, , , 
2019/1/20, 28, , 1, 
2019/1/21, 23, , 2, 
2019/1/22, 34, , 1, 
2019/1/23, 58, , , 
2019/1/24, 38, , 1, 
2019/1/25, 29, , 1, 
2019/1/26, 60, , 2, 
2019/1/27, 55, , 2, 
2019/1/28, 43, , , 
2019/1/29, 13, , , 
2019/1/30, 28, , 4, 
2019/1/31, 41, , 3, 
2019/2/1, 57, , , 
2019/2/2, 61, , 1, 
2019/2/3, 38, , 1, 
2019/2/4, 25, , , 
2019/2/5, 27, , , 
2019/2/6, 23, , , 
2019/2/7, 19, , , 
2019/2/8, 16, , 3, 
2019/2/9, 18, , 3, 
2019/2/10, 47, , 1, 
2019/2/11, 55, , , 
2019/2/12, 42, , 4, 
2019/2/13, 49, , 1, 
2019/2/14, 29, , , 
2019/2/15, 22, , , 
2019/2/16, 40, , , 
2019/2/17, 33, , , 
2019/2/18, 27, , 3, 
2019/2/19, 53, , 1, 
2019/2/20, 39, , , 
2019/2/21, 64, , 1, 
2019/2/22, 72, , , 
2019/2/23, 42, , , 
2019/2/24, 36, , , 
2019/2/25, 12, , , 
2019/2/26, 19, , , 
2019/2/27, 32, 31, 1, 
2019/2/28, 39, 32, 3, 
2019/3/1, 52, 37, , 
2019/3/2, 59, 30, , 
2019/3/3, 24, 33, , 
2019/3/4, 24, 34, , 
2019/3/5, 19, 38, 1, 
2019/3/6, 33, 37, , 
2019/3/7, 52, 24, 2, 
2019/3/8, 68, 21, 1, 
2019/3/9, 37, 40, , 
2019/3/10, 35, 43, 1, 
2019/3/11, 41, 26, 1, 
2019/3/12, 39, 21, 3, 
2019/3/13, 25, 29, , 
2019/3/14, 17, 32, , 
2019/3/15, 20, 30, , 
2019/3/16, 16, 30, , 
2019/3/17, 19, 34, , 
2019/3/18, 31, 33, 1, 
2019/3/19, 32, 31, , 
2019/3/20, 30, 33, , 
2019/3/21, 18, 35, , 
2019/3/22, 30, 36, 2, 
2019/3/23, 27, 26, 1, 
2019/3/24, 54, 30, , 
2019/3/25, 23, 34, 2, 
2019/3/26, 28, 34, 2, 
2019/3/27, 20, 27, , 
2019/3/28, 28, 29, , 
2019/3/29, 14, 31, , 
2019/3/30, 10, 22, , 
2019/3/31, 15, 33, , 
2018/10/1, 29, 9, 1, 
2018/10/2, 21, 25, 1, 
2018/10/3, 33, 24, , 
2018/10/4, 19, 17, , 
2018/10/5, 28, 11, , 
2018/10/6, 21, 11, , 
2018/10/7, 22, 18, 1, 
2018/10/8, 35, 23, , 
2018/10/9, 27, 21, , 
2018/10/10, 22, 27, , 
2018/10/11, 18, 22, , 
2018/10/12, 24, 23, , 
2018/10/13, 28, 15, , 
2018/10/14, 23, 24, , 
2018/10/15, 22, 26, , 
2018/10/16, 23, 25, 10, 
2018/10/17, 23, 26, , 
2018/10/18, 27, 24, , 
2018/10/19, 19, 20, , 
2018/10/20, 14, 26, , 
2018/10/21, 19, 7, , 
2018/10/22, 21, , , 
2018/10/25, 32, 27, 1, 
2018/10/26, 35, 28, , 
2018/10/27, 55, 27, , 
2018/10/28, 29, 25, 3, 
2018/10/29, 29, 22, 3, 
2018/10/30, 36, 24, , 
2018/10/31, 37, 8, , 
2018/11/1, 38, , 2, 
2018/11/2, 43, , 2, 
2018/11/3, 46, , , 
2018/11/4, 30, , 1, 
2018/11/5, 22, , , 
2018/11/6, 19, , , 
2018/11/7, 16, , , 
2018/11/8, 18, , , 
2018/11/9, 28, , 1, 
2018/11/10, 16, , , 
2018/11/11, 28, , , 
2018/11/12, 24, , , 
2018/11/13, 24, , 1, 
2018/11/14, 44, , 1, 
2018/11/15, 50, , , 
2018/11/16, 43, , , 
2018/11/17, 35, , , 
2018/11/18, 37, , , 
2018/11/19, 37, , , 
2018/11/20, 29, , , 
2018/11/21, 50, , 2, 
2018/11/22, 48, , 1, 
2018/11/23, 18, , , 
2018/11/24, 39, , , 
2018/11/25, 24, , , 
2018/11/26, 15, , , 
2018/11/27, 12, , 1, 
2018/11/28, 27, , 2, 
2018/11/29, 51, , 1, 
2018/11/30, 75, , , 
2018/12/1, 47, , , 
2018/12/2, 9, , , 
2018/12/3, 6, , , 
2018/12/4, 13, , , 
2018/12/5, 25, , , 
2018/12/6, 26, , , 
2018/12/7, 26, , , 
2018/12/8, 43, , , 
2018/12/9, 72, , , 
2018/12/10, 55, , 1, 
2018/12/11, 40, , , 
2018/12/12, 50, , , 
2018/12/13, 57, , , 
2018/12/14, 44, , 2, 
2018/12/15, 54, , 1, 
2018/12/16, 32, , , 
2018/12/17, 21, , 2, 
2018/12/18, 23, , 3, 
2018/12/19, 39, , , 
2018/12/20, 24, , , 
2018/12/21, 16, , , 
2018/12/22, 41, , , 
2018/12/23, 17, , 2, 
2018/12/24, 29, , 1, 
2018/12/25, 37, , 1, 
2018/12/26, 49, , , 
2018/12/27, 16, , , 
2018/12/28, 11, , , 
2018/12/29, 19, , , 
2018/12/30, 26, , , 
2018/7/1, 24, 38, 2, 
2018/7/2, 25, 40, 2, 
2018/7/3, 45, 32, 2, 
2018/7/4, 70, 36, 2, 
2018/7/5, 32, 30, 1, 
2018/7/6, 30, 45, 2, 
2018/7/7, 28, 41, 2, 
2018/7/8, 30, 40, , 
2018/7/9, 41, 37, , 
2018/7/10, 35, 43, 3, 
2018/7/11, 37, 45, 3, 
2018/7/12, 48, 43, 3, 
2018/7/13, 45, 41, 2, 
