date, pm25, no2, so2, co
2020/1/2, 89, 10, 2, 
2020/1/3, 58, 4, 2, 
2020/1/4, 36, 8, , 
2020/1/5, 53, 7, 1, 
2020/1/6, 67, 11, 1, 
2020/1/7, 80, 12, 2, 
2020/1/8, 62, 11, 2, 
2020/1/9, 61, 10, 2, 
2020/1/10, 52, 7, 1, 
2020/1/11, 37, 5, 2, 
2020/1/12, 49, 11, 1, 
2020/1/13, 54, 14, 2, 
2020/1/14, 57, 17, 3, 
2020/1/15, 44, , , 
2019/10/1, 33, 10, 3, 
2019/10/2, 27, 8, 8, 
2019/10/3, 40, 7, 3, 
2019/10/4, 33, 5, 2, 
2019/10/5, 30, 9, 1, 
2019/10/6, 46, 11, 2, 
2019/10/7, 59, 9, 3, 
2019/10/8, 57, 8, 3, 
2019/10/9, 51, 6, 3, 
2019/10/10, 37, 8, 4, 
2019/10/11, 34, 5, 3, 
2019/10/12, 27, 10, 4, 
2019/10/13, 50, 9, 4, 
2019/10/14, 43, 14, 4, 
2019/10/15, 87, 8, 3, 
2019/10/16, 82, 11, 4, 
2019/10/17, 46, 9, 4, 
2019/10/18, 39, 9, 3, 
2019/10/19, 38, 9, 4, 
2019/10/20, 67, 10, 4, 
2019/10/21, 95, 11, 2, 
2019/10/22, 75, 12, 2, 
2019/10/23, 77, 10, 3, 
2019/10/24, 124, 9, 2, 
2019/10/25, 73, 9, 7, 
2019/10/26, 45, 4, 3, 
2019/10/27, 30, 8, 2, 
2019/10/28, 37, 11, 2, 
2019/10/29, 40, 18, 2, 
2019/10/30, 75, 16, 2, 
2019/10/31, 86, 10, 3, 
2019/11/1, 102, 7, 4, 
2019/11/2, 60, 7, 5, 
2019/11/3, 63, 9, 2, 
2019/11/4, 74, 8, , 
2019/11/5, 63, 10, , 
2019/11/6, 41, 10, , 
2019/11/7, 66, 12, , 
2019/11/8, 100, 7, , 
2019/11/9, 97, 7, , 
2019/11/10, 75, 7, 3, 
2019/11/11, 76, 9, 1, 
2019/11/12, 79, 12, , 
2019/11/13, 71, 9, , 
2019/11/14, 78, 5, , 
2019/11/15, 77, 8, 1, 
2019/11/16, 83, 7, , 
2019/11/17, 87, 9, , 
2019/11/18, 86, 12, , 
2019/11/19, 51, 10, , 
2019/11/20, 105, 7, , 
2019/11/21, 87, 10, 1, 
2019/11/22, 90, 6, 1, 
2019/11/23, 99, 5, 1, 
2019/11/24, 102, 7, 1, 
2019/11/25, 125, 10, 2, 
2019/11/26, 103, 11, 3, 
2019/11/27, 74, 10, 3, 
2019/11/28, 50, , , 
2019/12/3, 56, 10, 1, 
2019/12/4, 80, 16, 1, 
2019/12/5, 88, 16, 2, 
2019/12/6, 81, 8, 3, 
2019/12/7, 46, 5, 3, 
2019/12/8, 31, 11, 3, 
2019/12/9, 34, 12, 1, 
2019/12/10, 46, 14, 2, 
2019/12/11, 59, 13, 2, 
2019/12/12, 78, 14, 3, 
2019/12/13, 116, 12, 4, 
2019/12/14, 61, 6, 3, 
2019/12/15, 25, 18, 2, 
2019/12/16, 53, 16, 3, 
2019/12/17, 75, 13, 2, 
2019/12/18, 46, 16, 1, 
2019/12/19, 95, 19, 4, 
2019/12/20, 114, 14, 4, 
2019/12/21, 73, 10, 3, 
2019/12/22, 68, 11, 3, 
2019/12/23, 80, 9, 2, 
2019/12/24, 61, 6, 2, 
2019/12/25, 68, 7, 1, 
2019/12/26, 45, 8, 2, 
2019/12/27, 32, 6, , 
2019/12/28, 37, , , 
2019/7/1, 33, 2, 5, 
2019/7/2, 22, 2, 4, 
2019/7/3, 18, 3, 4, 
2019/7/4, 25, 3, 5, 
2019/7/5, 20, 2, 5, 
2019/7/6, 37, 1, 5, 
2019/7/7, 23, 3, 5, 
2019/7/8, 15, 3, 5, 
2019/7/9, 20, 4, 6, 
2019/7/10, 26, 6, 2, 
2019/7/11, 28, 10, 1, 
2019/7/12, 44, 5, 1, 
2019/7/13, 43, 2, 1, 
2019/7/14, 41, 3, , 
2019/7/15, 38, 3, , 
2019/7/16, 36, 5, 1, 
2019/7/17, 33, 7, , 
2019/7/18, 27, 8, 1, 
2019/7/19, 36, 7, 1, 
2019/7/20, 44, 2, , 
2019/7/21, 30, 4, , 
2019/7/22, 32, 6, 4, 
2019/7/23, 53, 8, 3, 
2019/7/24, 48, 6, 1, 
2019/7/25, 37, 5, 1, 
2019/7/26, 35, 4, 1, 
2019/7/27, 46, 4, 1, 
2019/7/28, 50, 11, 1, 
2019/7/29, 66, 7, 2, 
2019/7/30, 57, 6, 1, 
2019/7/31, 41, 6, 11, 
2019/8/1, 34, 7, 2, 
2019/8/2, 36, 7, 1, 
2019/8/3, 47, 6, 2, 
2019/8/4, 41, 11, 2, 
2019/8/5, 42, 8, 1, 
2019/8/6, 44, 10, 2, 
2019/8/7, 54, 4, 1, 
2019/8/8, 32, 7, 1, 
2019/8/9, 33, 6, 2, 
2019/8/10, 29, 6, 1, 
2019/8/11, 31, 6, 1, 
2019/8/12, 35, 5, 1, 
2019/8/13, 30, 7, 1, 
2019/8/14, 29, 9, 2, 
2019/8/15, 30, 6, 1, 
2019/8/16, 38, 11, 2, 
2019/8/17, 41, 6, 2, 
2019/8/18, 28, 7, 1, 
2019/8/19, 32, 10, 1, 
2019/8/20, 36, 7, 1, 
2019/8/21, 33, 12, 1, 
2019/8/22, 44, 17, 1, 
2019/8/23, 52, 13, 1, 
2019/8/24, 55, 7, 1, 
2019/8/25, 43, 12, 2, 
2019/8/26, 55, 12, 2, 
2019/8/27, 66, 12, 4, 
2019/8/28, 61, 11, 2, 
2019/8/29, 60, 12, 1, 
2019/8/30, 66, 9, 2, 
2019/8/31, 58, 5, 4, 
2019/9/1, 53, 5, 1, 
2019/9/2, 17, 9, 1, 
2019/9/3, 27, 11, 2, 
2019/9/4, 46, 4, 1, 
2019/9/5, 27, 7, 1, 
2019/9/6, 21, 11, 2, 
2019/9/7, 36, 5, 1, 
2019/9/8, 28, 10, 2, 
2019/9/9, 58, 3, 2, 
2019/9/10, 22, 11, 2, 
2019/9/11, 39, 7, 1, 
2019/9/12, 42, 7, 1, 
2019/9/13, 40, 8, , 
2019/9/14, 35, 3, 2, 
2019/9/15, 25, 4, 2, 
2019/9/16, 36, 3, 2, 
2019/9/17, 18, 4, 1, 
2019/9/18, 17, 8, 1, 
2019/9/19, 23, 7, 1, 
2019/9/20, 26, 8, 2, 
2019/9/21, 46, 10, 2, 
2019/9/22, 58, 8, 2, 
2019/9/23, 65, 8, 3, 
2019/9/24, 106, 9, 4, 
2019/9/25, 136, 10, 3, 
2019/9/26, 79, 11, 2, 
2019/9/27, 54, 5, 3, 
2019/9/28, 38, 4, 4, 
2019/9/29, 26, 4, 3, 
2019/9/30, 18, 7, 3, 
2019/4/1, 50, 9, 4, 
2019/4/2, 70, 10, 6, 
2019/4/3, 96, 9, 4, 
2019/4/4, 101, 14, 4, 
2019/4/5, 108, 8, 4, 
2019/4/6, 105, 7, 3, 
2019/4/7, 91, 15, 3, 
2019/4/8, 103, 7, 2, 
2019/4/9, 60, 7, 2, 
2019/4/10, 47, 9, 1, 
2019/4/11, 37, 8, 1, 
2019/4/12, 48, 5, 1, 
2019/4/13, 60, 5, 1, 
2019/4/14, 58, 8, 1, 
2019/4/15, 51, 10, 1, 
2019/4/16, 59, 11, 2, 
2019/4/17, 64, 12, 2, 
2019/4/18, 71, 11, 6, 
2019/4/19, 64, 5, 1, 
2019/4/20, 48, 6, 2, 
2019/4/21, 48, 3, 2, 
2019/4/22, 54, 5, 3, 
2019/4/23, 88, 7, 3, 
2019/4/24, 79, 11, 3, 
2019/4/25, 74, 9, 3, 
2019/4/26, 87, 6, 3, 
2019/4/27, 53, 4, 2, 
2019/4/28, 65, 7, 2, 
2019/4/29, 59, 9, 4, 
2019/4/30, 52, 4, 3, 
2019/5/1, 69, 3, 3, 
2019/5/2, 53, 2, 3, 
2019/5/3, 29, 3, 3, 
2019/5/4, 28, 5, 6, 
2019/5/5, 29, 5, 2, 
2019/5/6, 37, 6, 2, 
2019/5/7, 33, 11, 3, 
2019/5/8, 60, 13, 3, 
2019/5/9, 59, 9, 3, 
2019/5/10, 64, 7, 3, 
2019/5/11, 45, 4, 1, 
