date, pm10, no2
2020/1/2, 32, 27
2020/1/3, 29, 
2020/1/4, 30, 17
2020/1/5, 16, 19
2020/1/6, 29, 23
2020/1/7, 24, 23
2020/1/8, 30, 23
2020/1/9, 24, 19
2020/1/10, 21, 20
2020/1/11, 20, 19
2020/1/12, 23, 25
2020/1/13, 37, 25
2020/1/14, 27, 24
2020/1/15, 26, 16
2020/1/16, 21, 
2019/10/1, 15, 17
2019/10/2, 8, 15
2019/10/3, 8, 15
2019/10/4, 16, 14
2019/10/5, 12, 12
2019/10/6, 11, 15
2019/10/7, 11, 12
2019/10/8, 13, 14
2019/10/9, 14, 12
2019/10/10, 11, 13
2019/10/11, 12, 12
2019/10/12, 11, 10
2019/10/13, 10, 15
2019/10/14, 20, 8
2019/10/15, 13, 14
2019/10/16, 9, 14
2019/10/17, 15, 12
2019/10/18, 13, 11
2019/10/19, 12, 1
2019/10/20, 7, 10
2019/10/21, 12, 19
2019/10/22, 19, 12
2019/10/23, 15, 12
2019/10/24, 13, 15
2019/10/25, 23, 13
2019/10/26, 14, 12
2019/10/27, 13, 16
2019/10/28, 17, 15
2019/10/29, 11, 17
2019/10/30, 11, 13
2019/10/31, 10, 7
2019/11/1, 6, 5
2019/11/2, 4, 7
2019/11/3, 5, 12
2019/11/4, 9, 17
2019/11/5, 10, 14
2019/11/6, 13, 13
2019/11/7, 12, 17
2019/11/8, 16, 15
2019/11/9, 11, 10
2019/11/10, 12, 16
2019/11/11, 12, 21
2019/11/12, 13, 31
2019/11/13, 15, 12
2019/11/14, 7, 13
2019/11/15, 8, 17
2019/11/16, 10, 20
2019/11/17, 11, 17
2019/11/18, 14, 18
2019/11/19, 20, 16
2019/11/20, 20, 17
2019/11/21, 13, 12
2019/11/22, 5, 4
2019/11/23, 3, 10
2019/11/24, 6, 19
2019/11/25, 18, 16
2019/11/26, 21, 16
2019/11/27, 14, 18
2019/11/28, 15, 12
2019/11/29, 11, 14
2019/11/30, 13, 12
2019/12/1, 10, 19
2019/12/2, 19, 18
2019/12/3, 22, 20
2019/12/4, 21, 22
2019/12/5, 20, 25
2019/12/6, 23, 25
2019/12/7, 21, 17
2019/12/8, 17, 24
2019/12/9, 26, 21
2019/12/10, 18, 23
2019/12/11, 24, 24
2019/12/12, 25, 19
2019/12/13, 15, 13
2019/12/14, 10, 23
2019/12/15, 14, 15
2019/12/16, 8, 6
2019/12/17, 7, 8
2019/12/18, 8, 12
2019/12/19, 11, 6
2019/12/20, 8, 16
2019/12/21, 11, 17
2019/12/22, 10, 22
2019/12/23, 9, 15
2019/12/24, 7, 14
2019/12/25, 7, 12
2019/12/26, 7, 24
2019/12/27, 17, 19
2019/12/28, 14, 
2019/7/1, 19, 17
2019/7/2, 15, 17
2019/7/3, 17, 19
2019/7/4, 18, 17
2019/7/5, 19, 16
2019/7/6, 14, 13
2019/7/7, 10, 16
2019/7/8, 14, 15
2019/7/9, 14, 20
2019/7/10, 13, 17
2019/7/11, 15, 12
2019/7/12, 12, 15
2019/7/13, 8, 12
2019/7/14, 9, 14
2019/7/15, 9, 14
2019/7/16, 11, 14
2019/7/17, 14, 19
2019/7/18, 15, 17
2019/7/19, 16, 14
2019/7/20, 14, 13
2019/7/21, 12, 15
2019/7/22, 14, 18
2019/7/23, 16, 21
2019/7/24, 18, 16
2019/7/25, 23, 15
2019/7/26, 15, 15
2019/7/27, 12, 11
2019/7/28, 12, 15
2019/7/29, 11, 12
2019/7/30, 13, 14
2019/7/31, 14, 14
2019/8/1, 13, 15
2019/8/2, 12, 13
2019/8/3, 11, 14
2019/8/4, 10, 16
2019/8/5, 17, 15
2019/8/6, 14, 12
2019/8/7, 15, 12
2019/8/8, 12, 14
2019/8/9, 13, 16
2019/8/10, 13, 8
2019/8/11, 11, 17
2019/8/12, 10, 14
2019/8/13, 9, 12
2019/8/14, 10, 10
2019/8/15, 9, 11
2019/8/16, 7, 13
2019/8/17, 12, 13
2019/8/18, 11, 18
2019/8/19, 12, 10
2019/8/20, 13, 18
2019/8/21, 8, 11
2019/8/22, 11, 14
2019/8/23, 18, 12
2019/8/24, 15, 9
2019/8/25, 10, 12
2019/8/26, 12, 15
2019/8/27, 14, 18
2019/8/28, 19, 14
2019/8/29, 17, 16
2019/8/30, 13, 11
2019/8/31, 11, 13
2019/9/1, 11, 20
2019/9/2, 11, 14
2019/9/3, 11, 13
2019/9/4, 15, 16
2019/9/5, 15, 16
2019/9/6, 13, 14
2019/9/7, 12, 12
2019/9/8, 9, 12
2019/9/9, 8, 11
2019/9/10, 11, 15
2019/9/11, 14, 14
2019/9/12, 17, 14
2019/9/13, 13, 13
2019/9/14, 13, 10
2019/9/15, 13, 14
2019/9/16, 17, 15
2019/9/17, 21, 19
2019/9/18, 19, 18
2019/9/19, 14, 15
2019/9/20, 17, 14
2019/9/21, 14, 6
2019/9/22, 11, 13
2019/9/23, 12, 8
2019/9/24, 10, 8
2019/9/25, 15, 10
2019/9/26, 13, 9
2019/9/27, 13, 16
2019/9/28, 13, 6
2019/9/29, 10, 13
2019/9/30, 12, 5
2019/4/1, 16, 11
2019/4/2, 25, 9
2019/4/3, 13, 7
2019/4/4, 7, 15
2019/4/5, 11, 8
2019/4/6, 7, 9
2019/4/7, 5, 18
2019/4/8, 11, 14
2019/4/9, 14, 15
2019/4/10, 11, 21
2019/4/11, 29, 18
2019/4/12, 32, 16
2019/4/13, 27, 14
2019/4/14, 22, 15
2019/4/15, 19, 15
2019/4/16, 10, 20
2019/4/17, 11, 18
2019/4/18, 17, 17
2019/4/19, 12, 15
2019/4/20, 11, 8
2019/4/21, 8, 7
2019/4/22, 12, 8
2019/4/23, 12, 6
2019/4/24, 10, 4
2019/4/25, 13, 11
2019/4/26, 16, 12
2019/4/27, 8, 14
2019/4/28, 7, 17
2019/4/29, 11, 17
2019/4/30, 12, 13
2019/5/1, 11, 14
2019/5/2, 13, 15
2019/5/3, 9, 13
2019/5/4, 8, 9
2019/5/5, 7, 12
2019/5/6, 10, 15
2019/5/7, 10, 10
2019/5/8, 12, 13
2019/5/9, 6, 13
2019/5/10, 12, 14
2019/5/11, 11, 12
2019/5/12, 6, 17
2019/5/13, 11, 15
2019/5/14, 14, 16
2019/5/15, 11, 14
2019/5/16, 11, 9
2019/5/17, 10, 9
2019/5/18, 6, 9
2019/5/19, 6, 17
2019/5/20, 8, 18
2019/5/21, 10, 13
2019/5/22, 11, 14
2019/5/23, 12, 13
2019/5/24, 13, 14
2019/5/25, 11, 9
2019/5/26, 7, 16
2019/5/27, 15, 13
2019/5/28, 8, 16
2019/5/29, 10, 14
2019/5/30, 10, 16
2019/5/31, 14, 14
2019/6/1, 10, 15
2019/6/2, 8, 12
2019/6/3, 13, 13
2019/6/4, 12, 13
2019/6/5, 15, 17
2019/6/6, 18, 9
2019/6/7, 16, 19
2019/6/8, 15, 10
2019/6/9, 15, 13
2019/6/10, 18, 16
2019/6/11, 20, 14
