date, pm25, pm10, no2
2020/1/2, 19, 11, 13
2020/1/3, 40, 11, 14
2020/1/4, 43, 6, 10
2020/1/5, 26, 11, 19
2020/1/6, 35, 16, 10
2020/1/7, 41, 23, 26
2020/1/8, 48, 12, 25
2020/1/9, 43, 16, 22
2020/1/10, 50, 15, 45
2020/1/11, 39, 11, 39
2020/1/12, 37, 12, 44
2020/1/13, 32, 16, 47
2020/1/14, 44, 14, 51
2020/1/15, 48, 17, 34
2020/1/16, 43, , 
2019/11/8, 42, 14, 16
2019/11/9, 40, 16, 23
2019/11/10, 48, 8, 12
2019/11/11, 26, 6, 3
2019/11/12, 24, 15, 16
2019/11/13, 40, 12, 35
2019/11/14, 43, 17, 37
2019/11/15, 52, 16, 22
2019/11/16, 59, 14, 17
2019/11/17, 54, 7, 13
2019/11/18, 25, 12, 19
2019/11/19, 45, 14, 28
2019/11/20, 45, 13, 19
2019/11/21, 49, 19, 38
2019/11/22, 55, 26, 25
2019/11/23, 50, , 
2019/11/25, 29, 11, 21
2019/11/26, 32, 9, 23
2019/11/27, 33, 6, 4
2019/11/28, 30, 17, 15
2019/11/29, 47, 12, 35
2019/11/30, 47, 9, 51
2019/12/1, 37, 13, 51
2019/12/2, 47, 13, 60
2019/12/3, 52, 16, 64
2019/12/4, 59, 11, 33
2019/12/5, 41, 6, 3
2019/12/6, 22, , 
2019/12/8, 22, 12, 10
2019/12/9, 38, , 
2019/12/12, 30, 12, 14
2019/12/13, 37, 19, 14
2019/12/14, 28, 17, 13
2019/12/15, 42, 19, 19
2019/12/16, 60, 13, 18
2019/12/17, 43, 13, 19
2019/12/18, 41, 18, 14
2019/12/19, 45, 5, 15
2019/12/20, 24, 5, 13
2019/12/21, 26, 12, 15
2019/12/22, 45, 13, 12
2019/12/23, 43, 11, 7
2019/12/24, 34, 12, 6
2019/12/25, 46, 11, 7
2019/12/26, 43, 17, 18
2019/12/27, 54, 15, 15
2019/12/28, 50, , 
2019/7/1, 26, 18, 7
2019/7/2, 42, 30, 11
2019/7/3, 40, 14, 12
2019/7/23, 74, 24, 12
2019/7/24, 69, 38, 17
2019/7/25, 81, 11, 9
2019/7/26, 47, 9, 4
2019/7/27, 41, 11, 4
2019/7/28, 43, 10, 9
2019/7/29, 37, 28, 11
2019/7/30, 51, 31, 5
2019/7/31, 49, 27, 4
2019/8/1, 47, 36, 15
2019/8/2, 45, 17, 24
2019/8/3, 44, 15, 13
2019/8/4, 39, 16, 21
2019/8/5, 46, 17, 16
2019/8/6, 45, 12, 7
2019/8/7, 40, 13, 9
2019/8/8, 40, 12, 9
2019/8/9, 34, 28, 9
2019/8/10, 43, 14, 5
2019/8/11, 40, 11, 6
2019/8/12, 38, 8, 8
2019/8/13, 37, 13, 16
2019/8/14, 44, 6, 5
2019/8/15, 30, 11, 8
2019/8/16, 42, 8, 8
2019/8/17, 35, 12, 8
2019/8/18, 42, 12, 7
2019/8/19, 41, 11, 8
