date, pm25, pm10, o3, so2
2020/1/1, 117, 20, 5, 24
2020/1/2, 61, 24, 1, 29
2020/1/3, 68, 21, 2, 31
2020/1/4, 65, 6, 25, 15
2020/1/5, 17, 15, 14, 21
2020/1/6, 50, 26, 4, 29
2020/1/7, 63, 18, 12, 38
2020/1/8, 50, 32, 4, 32
2020/1/9, 72, 29, 3, 
2020/1/10, 70, 22, 5, 30
2020/1/11, 65, 17, 10, 29
2020/1/12, 53, 26, 8, 31
2020/1/13, 63, 30, 2, 34
2020/1/14, 74, , 2, 34
2019/10/1, 42, 16, 15, 16
2019/10/3, 9, 10, 18, 17
2019/10/4, 25, 10, 12, 13
2019/10/5, 30, 7, 21, 14
2019/10/6, 17, 8, 14, 13
2019/10/7, 30, 10, 12, 9
2019/10/8, 34, 25, 1, 21
2019/10/9, 61, 7, 11, 14
2019/10/10, 21, 10, 12, 16
2019/10/11, 25, 13, 7, 16
2019/10/12, 38, 15, 12, 16
2019/10/13, 50, 20, 13, 20
2019/10/14, 53, 36, 1, 22
2019/10/15, 78, 6, 17, 22
2019/10/16, 21, 14, 10, 20
2019/10/17, 30, 25, 2, 24
2019/10/18, 55, 20, 4, 20
2019/10/19, 55, 12, 15, 19
2019/10/20, 42, 18, 3, 21
2019/10/21, 46, 18, 1, 16
2019/10/22, 42, 20, 1, 16
2019/10/23, 46, 23, 1, 17
2019/10/24, 50, 21, 1, 21
2019/10/25, 53, 20, 1, 19
2019/10/26, 50, 18, 3, 19
2019/10/27, 50, 21, 1, 19
2019/10/28, 53, 23, 1, 21
2019/10/29, 59, 16, 4, 19
2019/10/30, 50, 13, 3, 18
2019/10/31, 34, 20, 2, 17
2019/11/1, 55, 27, 2, 14
2019/11/2, 70, 12, 11, 18
2019/11/3, 46, 7, 1, 20
2019/11/4, 21, 9, 1, 21
2019/11/5, 25, 9, 2, 21
2019/11/6, 30, 13, 1, 19
2019/11/7, 38, 8, 4, 24
2019/11/8, 30, 11, 3, 19
2019/11/9, 34, 9, 3, 18
2019/11/10, 25, 11, 1, 25
2019/11/11, 34, 15, 6, 22
2019/11/12, 50, 3, 11, 32
2019/11/13, 17, 11, 2, 29
2019/11/14, 34, 13, 1, 29
2019/11/15, 46, , , 
2019/11/17, 42, 14, 5, 21
2019/11/18, 42, 13, 3, 25
2019/11/19, 46, 15, 2, 21
2019/11/20, 55, 19, 1, 18
2019/11/21, 55, 23, 1, 18
2019/11/22, 57, 20, 1, 17
2019/11/23, 57, 16, 1, 15
2019/11/24, 55, , 1, 16
2019/11/26, 50, 21, 1, 19
2019/11/27, 59, 19, 1, 17
2019/11/28, 57, 17, 1, 17
2019/11/29, 46, 13, 3, 18
2019/11/30, 38, 15, 3, 20
2019/12/1, 50, 15, 2, 21
2019/12/2, 55, 11, 15, 23
2019/12/3, 30, , 4, 25
2019/12/5, 59, 27, 4, 25
2019/12/6, 68, 24, 4, 26
2019/12/7, 68, 22, 8, 24
2019/12/8, 65, 29, 2, 29
2019/12/9, 70, 11, 18, 23
2019/12/10, 34, 18, 14, 26
2019/12/11, 46, 36, 2, 36
2019/12/12, 76, 32, 1, 31
2019/12/13, 80, 17, 5, 25
2019/12/14, 55, 20, 3, 29
2019/12/15, 61, 32, 1, 31
2019/12/16, 82, 35, 1, 30
2019/12/17, 89, 28, , 25
2019/12/18, 78, 20, , 22
2019/12/19, 61, 25, , 23
2019/12/20, 68, 10, 8, 26
2019/12/21, 38, 13, 4, 21
2019/12/22, 50, 8, 5, 26
2019/12/23, 25, 11, 11, 26
2019/12/24, 34, 9, 10, 20
2019/12/25, 34, 9, 15, 17
2019/12/26, 30, 16, 6, 25
2019/12/27, 50, , 3, 27
2019/7/1, 85, 13, 29, 10
2019/7/2, 46, 17, 20, 12
2019/7/3, 42, 11, 30, 9
2019/7/4, 38, 17, 35, 9
2019/7/5, 53, 20, 38, 13
2019/7/6, 57, 11, 29, 9
2019/7/7, 34, 8, 35, 16
2019/7/8, 25, 15, 37, 12
2019/7/9, 46, 11, 24, 8
2019/7/10, 38, 20, 35, 11
2019/7/11, 57, 11, 24, 10
2019/7/12, 38, 6, 21, 14
2019/7/13, 17, 7, 34, 6
2019/7/14, 21, 10, 30, 10
2019/7/15, 25, 10, 32, 12
2019/7/16, 34, 14, 35, 14
2019/7/17, 53, , 26, 12
2019/7/19, 55, 23, 46, 11
2019/7/20, 63, 16, 35, 8
2019/7/21, 46, 18, 29, 14
2019/7/22, 59, 24, 29, 15
2019/7/23, 72, 32, 41, 14
2019/7/24, 80, 30, 51, 16
2019/7/25, 74, 13, 19, 15
2019/7/26, 21, 12, 27, 11
2019/7/27, 34, 18, 15, 13
2019/7/28, 53, 8, 21, 12
2019/7/29, 13, 13, 38, 17
2019/7/30, 30, 14, 14, 14
2019/7/31, 21, 16, 37, 12
2019/8/1, 50, 13, 29, 12
2019/8/2, 30, 8, 18, 15
2019/8/3, 30, 11, 38, 10
2019/8/4, 34, 17, 32, 19
2019/8/5, 53, 20, 16, 21
2019/8/6, 46, 10, 7, 16
2019/8/7, 34, 12, 20, 13
2019/8/8, 42, 20, 26, 14
2019/8/9, 53, 23, 26, 15
2019/8/10, 59, 20, 27, 9
2019/8/11, 59, 19, 19, 18
2019/8/12, 46, 8, 17, 13
2019/8/13, 21, 5, 29, 18
2019/8/14, 17, 9, 25, 9
2019/8/15, 25, 8, 8, 8
2019/8/16, 21, 11, 21, 17
2019/8/17, 34, 15, 28, 11
2019/8/18, 50, 16, 16, 30
2019/8/19, 42, 13, 8, 20
2019/8/20, 38, 9, 16, 11
2019/8/21, 30, 10, 18, 18
2019/8/22, 38, 15, 8, 17
2019/8/23, 50, 12, 14, 11
2019/8/24, 38, 12, 11, 12
2019/8/25, 42, 13, 15, 13
2019/8/26, 30, 19, 20, 20
2019/8/27, 53, 26, 25, 16
2019/8/28, 68, 21, 15, 19
2019/8/29, 57, 14, 19, 17
2019/8/30, 38, , 32, 
2019/9/2, 21, 6, 17, 12
2019/9/3, 13, 12, 23, 14
2019/9/4, 38, 13, 20, 15
2019/9/5, 38, 10, 17, 16
2019/9/6, 25, 8, 4, 17
2019/9/7, 21, 6, 9, 12
2019/9/8, 17, 7, 12, 11
2019/9/9, 17, 10, 16, 13
2019/9/10, 25, 13, 15, 12
2019/9/11, 34, 13, 16, 18
2019/9/12, 38, 16, 16, 15
2019/9/13, 42, 20, 20, 12
2019/9/14, 50, 20, 28, 12
2019/9/15, 57, 21, 13, 13
2019/9/16, 57, 27, 25, 14
2019/9/17, 61, 17, 29, 14
2019/9/18, 42, 12, 28, 11
2019/9/19, 38, 14, 26, 8
2019/9/20, 34, 15, 21, 14
2019/9/21, 38, 15, 18, 10
2019/9/22, 38, 14, 5, 19
2019/9/23, 38, 8, 10, 11
2019/9/24, 21, 12, 23, 14
2019/9/25, 25, 9, 12, 10
2019/9/26, 21, , 4, 16
2019/9/28, 50, 18, 22, 8
2019/9/29, 50, , 25, 13
2019/4/1, 53, 23, 35, 20
2019/4/2, 63, 21, 23, 16
2019/4/3, 63, 14, 17, 25
2019/4/4, 42, 7, 24, 13
2019/4/5, 17, 16, 18, 14
2019/4/6, 53, 9, 20, 10
2019/4/7, 34, 11, 8, 25
2019/4/8, 34, 14, 14, 23
2019/4/9, 46, 13, 14, 24
2019/4/10, 46, 13, 12, 19
2019/4/11, 38, 14, 17, 18
2019/4/12, 46, 13, 15, 14
2019/4/13, 46, 10, 24, 10
2019/4/14, 34, 10, 20, 22
2019/4/15, 34, 32, 21, 23
2019/4/16, 68, 41, 27, 24
2019/4/17, 76, 45, 25, 26
2019/4/18, 85, 19, 25, 21
2019/4/19, 55, 14, 19, 23
2019/4/20, 50, 13, 36, 13
2019/4/21, 50, 15, 32, 11
2019/4/22, 53, 19, 24, 23
2019/4/23, 55, 14, 14, 23
2019/4/24, 42, 12, 17, 12
2019/4/25, 34, 11, 20, 19
2019/4/26, 30, 4, 18, 23
2019/4/27, 13, 2, 26, 6
2019/4/28, 13, 3, 25, 17
2019/4/29, 13, 10, 23, 22
2019/4/30, 30, 11, 26, 24
2019/5/1, 34, 15, 32, 23
2019/5/2, 42, 8, 19, 20
2019/5/3, 25, 8, 16, 16
2019/5/4, 25, 1, 32, 10
2019/5/5, 5, 3, 34, 10
2019/5/6, 17, 11, 28, 19
2019/5/7, 34, 22, 17, 27
2019/5/8, 59, 7, 21, 26
2019/5/9, 21, 10, 27, 21
2019/5/10, 38, 14, 15, 19
2019/5/11, 50, 1, 21, 8
2019/5/12, 13, 3, 30, 11
2019/5/13, 13, 7, 41, 9
2019/5/14, 30, 15, 19, 12
2019/5/15, 50, 12, 31, 13
2019/5/16, 46, 13, 27, 21
2019/5/17, 46, 13, 16, 18
2019/5/18, 42, 7, 15, 14
2019/5/19, 25, 11, 12, 20
2019/5/20, 30, 9, 6, 18
2019/5/21, 25, 8, 21, 16
2019/5/22, 17, 9, 30, 19
2019/5/23, 30, 17, 36, 11
2019/5/24, 46, 16, 26, 11
2019/5/25, 50, 9, 26, 6
2019/5/26, 25, 15, 7, 13
2019/5/27, 38, 9, 14, 19
2019/5/28, 17, 3, 23, 5
2019/5/31, 5, 9, 21, 13
2019/6/1, 13, 11, 26, 11
2019/6/2, 38, , 36, 14
2019/6/4, 55, 26, 22, 15
2019/6/5, 68, 23, 33, 10
2019/6/6, 61, 18, 35, 11
2019/6/7, 53, 20, 47, 14
2019/6/8, 57, 24, 38, 13
2019/6/9, 61, 26, 30, 9
2019/6/10, 50, 32, 26, 14
2019/6/11, 57, 37, 27, 11
2019/6/12, 65, 22, 42, 11
2019/6/13, 46, 19, 48, 11
2019/6/14, 30, 28, 42, 14
2019/6/15, 65, 22, 32, 11
2019/6/16, 50, 14, 36, 5
2019/6/17, 42, 20, 40, 9
2019/6/18, 55, 21, 41, 8
2019/6/19, 53, 14, 47, 9
2019/6/20, 38, 16, 32, 14
2019/6/21, 50, 11, 11, 10
2019/6/22, 21, 7, 22, 9
2019/6/23, 9, 13, 32, 8
2019/6/24, 38, 26, 50, 9
2019/6/25, 65, 32, 60, 10
2019/6/26, 76, 30, 42, 18
2019/6/27, 74, 26, 50, 15
2019/6/28, 61, 20, 50, 7
2019/6/29, 46, 27, 55, 8
2019/6/30, 70, 31, 58, 14
2019/3/1, 72, 12, , 
2019/3/2, 21, 19, 29, 11
2019/3/3, 53, 28, 26, 22
2019/3/4, 72, 10, 28, 11
2019/3/5, 25, 23, 16, 22
2019/3/6, 59, 28, 20, 22
2019/3/7, 68, 20, 13, 17
2019/3/8, 59, 19, 21, 16
2019/3/9, 55, 19, 26, 15
2019/3/10, 55, 8, 26, 14
2019/3/11, 13, 9, 31, 11
2019/3/12, 9, 13, 9, 21
2019/3/13, 25, 12, 25, 16
2019/3/14, 21, 12, 26, 12
2019/3/15, 38, , 10, 22
2019/3/20, 30, 18, 32, 19
2019/3/21, 50, 19, 26, 20
2019/3/22, 50, 17, 26, 20
2019/3/23, 50, 18, 24, 12
2019/3/24, 53, 14, 35, 14
2019/3/25, 38, 8, 40, 9
2019/3/26, 13, 10, 37, 15
2019/3/27, 21, 15, 19, 12
2019/3/28, 38, 17, 31, 12
2019/3/29, 50, 20, 32, 13
2019/3/30, 57, 20, 35, 13
2019/3/31, 59, 18, 38, 17
2018/10/1, 46, 5, 12, 35
2018/10/2, 21, 11, 4, 27
2018/10/3, 25, 12, 10, 20
2018/10/4, 30, 16, 4, 38
2018/10/5, 42, 18, , 29
2018/10/6, 50, 15, 2, 17
2018/10/7, 50, 16, 6, 24
2018/10/8, 46, 15, 9, 27
2018/10/9, 42, 21, 10, 30
2018/10/10, 57, 29, 5, 32
2018/10/11, 70, 27, 1, 30
2018/10/12, 65, 22, 11, 29
2018/10/13, 59, 20, 11, 27
2018/10/14, 59, 28, 10, 35
2018/10/15, 70, 30, 3, 32
2018/10/16, 72, , 3, 24
2018/10/18, 63, 28, 1, 29
2018/10/19, 59, 23, 9, 28
2018/10/20, 59, 15, 4, 19
2018/10/21, 46, 20, 4, 33
2018/10/22, 46, 25, 1, 35
2018/10/23, 57, 19, 13, 19
2018/10/24, 42, 29, 9, 38
2018/10/25, 53, 30, , 31
2018/10/26, 63, 24, 2, 22
2018/10/27, 61, 5, 5, 22
2018/10/28, 13, 10, 12, 25
2018/10/29, 25, 8, 11, 22
2018/10/30, 13, 12, , 22
2018/10/31, 34, 12, , 19
2018/11/1, 42, 17, , 18
2018/11/2, 55, 18, , 13
2018/11/3, 50, 12, 1, 11
2018/11/4, 34, 20, , 17
2018/11/5, 57, 21, , 19
2018/11/6, 59, 21, , 18
2018/11/7, 61, 20, , 16
2018/11/8, 55, 26, , 20
2018/11/9, 65, 23, 1, 18
2018/11/10, 63, 24, 3, 19
2018/11/11, 63, 18, 3, 20
2018/11/12, 53, 20, 1, 21
2018/11/13, 55, 20, 1, 15
2018/11/14, 50, 19, 1, 17
2018/11/15, 57, 29, , 20
2018/11/16, 72, 22, 3, 20
2018/11/17, 63, 19, 3, 19
2018/11/18, 59, 31, 4, 23
2018/11/19, 87, 19, 2, 
2018/11/20, 59, 17, 1, 20
2018/11/21, 55, 23, 1, 24
2018/11/22, 63, 28, 1, 28
2018/11/23, 74, 12, 3, 19
2018/11/24, 46, 13, 1, 16
2018/11/25, 46, 14, 3, 17
2018/11/26, 42, , , 19
2018/7/1, 61, 22, 29, 19
2018/7/2, 59, 19, 26, 20
2018/7/3, 50, 13, 9, 18
2018/7/4, 34, 15, 2, 16
2018/7/5, 42, 7, 29, 18
2018/7/6, 25, 8, 17, 20
2018/7/7, 25, 10, 11, 14
2018/7/8, 30, 14, 20, 20
2018/7/9, 46, 20, 23, 25
2018/7/10, 53, 13, 32, 19
2018/7/11, 46, 14, 48, 15
2018/7/12, 42, 15, 15, 15
2018/7/13, 50, 13, 29, 13
2018/7/14, 46, 9, 26, 10
2018/7/15, 25, 10, 12, 9
2018/7/16, 34, 10, 14, 16
2018/7/17, 34, 13, 30, 18
2018/7/18, 38, 17, 28, 18
2018/7/19, 53, 22, 33, 21
2018/7/20, 57, 10, 32, 19
2018/7/21, 25, 7, 20, 13
2018/7/22, 25, 11, 17, 14
2018/7/23, 38, 14, 25, 17
2018/7/24, 50, 17, 33, 19
2018/7/25, 53, 16, 32, 20
2018/7/26, 53, 18, 42, 18
2018/7/27, 55, 15, 31, 16
2018/7/28, 42, 14, 35, 14
2018/7/29, 50, 20, 35, 17
2018/7/30, 61, 20, 35, 18
2018/7/31, 59, 20, 32, 18
2018/8/1, 61, 16, 33, 15
2018/8/2, 42, 17, 21, 19
2018/8/3, 50, 17, 33, 14
2018/8/4, 50, 18, 25, 12
2018/8/5, 53, 16, 20, 6
2018/8/6, 46, 13, 24, 5
2018/8/7, 46, 20, 44, 16
2018/8/8, 61, 16, 13, 10
2018/8/9, 50, 14, 39, 7
2018/8/10, 38, 10, 17, 4
2018/8/11, 30, 14, 16, 10
2018/8/12, 42, 16, 23, 8
2018/8/13, 46, 9, 30, 2
2018/8/14, 17, 7, 7, 10
2018/8/15, 17, 11, 9, 10
2018/8/16, 34, 15, 17, 8
2018/8/17, 46, 12, 32, 4
2018/8/18, 21, 10, 23, 5
2018/8/19, 30, 11, 19, 4
2018/8/20, 34, 11, 26, 5
2018/8/21, 30, 14, 39, 4
2018/8/22, 38, 12, 33, 5
2018/8/23, 34, 13, 20, 10
2018/8/24, 38, 10, 8, 10
2018/8/25, 25, 2, 18, 3
2018/8/26, 9, 10, 11, 5
2018/8/27, 34, 12, 5, 11
2018/8/28, 38, 14, 5, 9
2018/8/29, 42, 14, 9, 10
2018/8/30, 38, 11, 7, 9
2018/8/31, 34, 6, 15, 7
2018/9/1, 13, 9, 10, 6
