date, pm25, pm10, no2, so2, co
2019/8/25, 64, 11, 6, , 2
2019/8/26, 29, 9, 5, , 2
2019/8/27, 23, 23, 8, , 4
2019/8/28, 60, 22, 7, , 4
2019/8/29, 51, 12, 5, , 2
2019/8/30, 26, 19, 8, , 3
2019/8/31, 51, 30, 7, , 3
2019/9/1, 77, 13, 3, , 2
2019/9/2, 25, 15, 5, , 2
2019/9/3, 30, 10, 2, , 1
2019/9/4, 26, 8, 3, , 1
2019/9/5, 26, 7, 2, , 1
2019/9/6, 13, 20, 5, , 4
2019/9/7, 45, 20, 5, , 4
2019/9/8, 61, 8, 3, , 1
2019/9/9, 21, 13, 3, , 2
2019/9/10, 30, 16, 6, , 2
2019/9/11, 33, 18, 9, , 4
2019/9/12, 46, 9, 4, , 2
2019/9/13, 27, 7, 3, , 2
2019/9/14, 26, 6, 2, , 2
2019/9/15, 19, 9, 4, 9, 2
2019/9/16, 31, 10, 2, , 
2019/9/17, 21, 14, 5, , 
2019/9/18, 30, 19, 7, , 4
2019/9/19, 51, 13, 7, , 3
2019/9/20, 30, 12, 1, , 1
2019/9/21, 27, 13, 1, , 1
2019/9/22, 29, 16, 5, , 2
2019/9/23, 38, 9, 4, , 2
2019/9/24, 15, 8, 4, , 2
2019/9/25, 25, 6, 3, , 2
2019/9/26, 18, 9, 4, , 2
2019/9/27, 21, 15, 3, , 2
2019/9/28, 45, 7, 3, , 2
2019/9/29, 24, 8, 3, , 2
2019/9/30, 21, 7, 4, , 2
2019/4/1, 15, 10, 6, , 1
2019/4/2, 24, 8, 4, , 1
2019/4/3, 21, 9, 4, , 1
2019/4/4, 18, 7, 4, , 1
2019/4/5, 22, 11, 4, , 1
2019/4/6, 35, 11, 3, , 1
2019/4/7, 35, 14, 3, , 2
2019/4/8, 33, 15, 2, 86, 1
2019/4/9, 30, 12, 3, , 1
2019/4/10, 29, 13, 4, , 1
2019/4/11, 34, 18, 3, , 1
2019/4/12, 45, 15, 6, , 3
2019/4/13, 37, 15, 4, , 2
2019/4/14, 40, 12, 5, , 2
2019/4/15, 29, 12, 6, , 2
2019/4/16, 36, 16, 6, , 4
2019/4/17, 47, 12, 5, , 2
2019/4/18, 36, 17, 3, , 3
2019/4/19, 45, 12, 5, , 3
2019/4/20, 37, 15, 1, , 1
2019/4/21, 39, 18, 4, , 3
2019/4/22, 49, 11, 3, , 2
2019/4/23, 33, 13, 5, , 2
2019/4/24, 44, 11, 3, , 2
2019/4/25, 33, 18, 3, , 14
2019/4/26, 42, 8, 3, , 31
2019/4/27, 20, 9, 2, , 2
2019/4/28, 23, 8, 3, , 80
2019/4/29, 21, 16, 8, , 
2019/4/30, 44, 13, 7, , 
2019/5/1, 36, 15, 8, , 1
2019/5/2, 39, 17, 6, , 1
2019/5/3, 33, 26, 4, , 
2019/5/4, 61, 23, 7, , 2
2019/5/5, 62, 15, 3, , 2
