date, pm25, no2, so2
2019/5/22, 70, , 
2019/5/23, 57, , 
2019/5/24, 47, , 
2019/5/25, 39, , 
2019/5/26, 40, , 
2019/5/27, 42, , 
2019/5/28, 48, , 
2019/5/29, 46, , 
2019/5/30, 31, , 
2019/5/31, 41, , 
2019/6/1, 37, , 
2019/6/2, 25, , 
2019/6/3, 28, , 
2019/6/4, 28, , 
2019/6/5, 19, , 
2019/6/6, 25, , 
2019/6/7, 26, , 
2019/6/8, 37, , 
2019/6/9, 46, , 
2019/6/10, 30, , 
2019/6/11, 38, , 
2019/6/12, 46, , 
2019/6/13, 28, , 
2019/6/14, 42, , 
2019/6/15, 34, , 
2019/6/16, 37, , 
2019/6/17, 23, , 
2019/6/18, 36, , 
2019/6/19, 45, , 
2019/6/20, 61, , 
2019/6/21, 59, , 
2019/6/22, 52, , 
2019/6/23, 50, , 
2019/6/24, 35, , 
2019/6/25, 33, , 
2019/6/26, 52, , 
2019/6/27, 65, , 
2019/6/28, 62, , 
2019/6/29, 68, , 
2019/6/30, 35, , 
2019/1/1, 73, , 
2019/1/2, 30, , 
2019/1/3, 35, , 
2019/1/4, 41, , 
2019/1/5, 49, , 
2019/1/6, 44, , 
2019/1/7, 32, , 
2019/1/8, 28, , 
2019/1/9, 12, , 
2019/1/10, 29, , 
2019/1/11, 27, , 
2019/1/12, 19, , 
2019/1/13, 29, , 
2019/1/14, 54, , 
2019/1/15, 51, , 
2019/1/16, 47, , 
2019/1/17, 23, , 
2019/1/18, 38, , 
2019/1/19, 12, , 
2019/1/22, 34, , 
2019/1/23, 18, , 
2019/1/24, 36, , 
2019/1/25, 26, , 
2019/1/26, 24, , 
2019/1/27, 29, , 
2019/1/28, 39, , 
2019/1/29, 13, , 
2019/1/30, 21, , 
2019/1/31, 25, , 
2019/2/1, 28, , 
2019/2/2, 47, , 
2019/2/3, 42, , 
2019/2/4, 59, , 
2019/2/5, 70, , 
2019/2/6, 63, , 
2019/2/7, 40, , 
2019/2/8, 30, , 
2019/2/9, 40, , 
2019/2/10, 23, , 
2019/2/11, 48, , 
2019/2/12, 21, , 
2019/2/13, 29, , 
2019/2/14, 28, , 
2019/2/15, 45, , 
2019/2/16, 57, , 
2019/2/17, 45, , 
2019/2/18, 19, , 
2019/2/19, 23, , 
2019/2/20, 21, , 
2019/2/21, 24, , 
2019/2/22, 33, , 
2019/2/23, 33, , 
2019/2/24, 20, , 
2019/2/25, 27, , 
2019/2/26, 42, , 
2019/2/27, 40, , 
2019/2/28, 40, , 
2019/3/1, 80, , 
2019/3/2, 70, , 
2019/3/3, 28, , 
2019/3/4, 31, , 
2019/3/5, 29, , 
2019/3/6, 47, , 
2019/3/7, 35, , 
2019/3/8, 32, , 
2019/3/9, 38, , 
2019/3/10, 52, , 
2019/3/11, 51, , 
2019/3/12, 47, , 
2019/3/13, 38, , 
2019/3/14, 38, , 
2019/3/15, 14, , 
2019/3/16, 15, , 
2019/3/18, 44, , 
2019/3/19, 49, , 
2019/3/20, 51, , 
2019/3/21, 33, , 
2019/3/22, 42, , 
2019/3/23, 35, , 
2019/3/24, 33, , 
2019/3/25, 40, , 
2019/3/26, 25, , 
2019/3/27, 38, , 
2019/3/28, 30, , 
2019/3/29, 30, , 
2019/3/30, 20, , 
2019/3/31, 15, , 
2018/10/1, 25, , 
2018/10/2, 28, , 
2018/10/3, 25, , 
2018/10/5, 35, , 
2018/10/6, 24, , 
2018/10/7, 25, , 
2018/10/8, 27, , 
2018/10/9, 25, , 
2018/10/10, 18, , 
2018/10/11, 17, , 
2018/10/12, 31, , 
2018/10/13, 24, , 
2018/10/14, 30, , 
2018/10/15, 10, , 
2018/10/16, 10, , 
2018/10/17, 13, , 
2018/10/18, 30, , 
2018/10/19, 25, , 
2018/10/20, 18, , 
2018/10/21, 22, , 
2018/10/22, 31, , 
2018/10/23, 22, , 
2018/10/24, 27, , 
2018/10/25, 16, , 
2018/10/26, 36, , 
2018/10/27, 46, , 
2018/10/28, 40, , 
2018/10/29, 32, , 
2018/10/30, 28, , 
2018/10/31, 31, , 
2018/11/1, 17, , 
2018/11/2, 25, , 
2018/11/3, 21, , 
2018/11/4, 21, , 
2018/11/5, 46, , 
2018/11/6, 52, , 
2018/11/7, 52, , 
2018/11/8, 30, , 
2018/11/9, 17, , 
2018/11/10, 17, , 
2018/11/11, 26, , 
2018/11/12, 14, , 
2018/11/13, 22, , 
2018/11/14, 23, , 
2018/11/15, 46, , 
2018/11/16, 45, , 
2018/11/17, 44, , 
2018/11/18, 27, , 
2018/11/19, 21, , 
2018/11/20, 41, , 
2018/11/21, 48, , 
2018/11/22, 42, , 
2018/11/23, 37, , 
2018/11/24, 36, , 
2018/11/25, 27, , 
2018/11/26, 19, , 
2018/11/27, 37, , 
2018/11/28, 24, , 
2018/11/29, 28, , 
2018/11/30, 32, , 
2018/12/1, 32, , 
2018/12/2, 24, , 
2018/12/3, 11, , 
2018/12/4, 14, , 
2018/12/5, 33, , 
2018/12/6, 30, , 
2018/12/7, 12, , 
2018/12/8, 10, , 
2018/12/9, 26, , 
2018/12/10, 27, , 
2018/12/11, 43, , 
2018/12/12, 31, , 
2018/12/13, 24, , 
2018/12/14, 9, , 
2018/12/15, 21, , 
2018/12/16, 36, , 
2018/12/17, 42, , 
2018/12/18, 45, , 
2018/12/19, 42, , 
2018/12/20, 20, , 
2018/12/21, 14, , 
2018/12/22, 28, , 
2018/12/23, 21, , 
2018/12/24, 42, , 
2018/12/25, 31, , 
2018/12/26, 21, , 
2018/12/27, 14, , 
2018/12/28, 18, , 
2018/12/29, 24, , 
2018/12/30, 47, , 
2018/7/1, 102, , 
2018/7/2, 75, , 
2018/7/3, 73, , 
2018/7/4, 57, , 
2018/7/5, 58, , 
2018/7/6, 43, , 
2018/7/7, 32, , 
2018/7/8, 29, , 
2018/7/9, 46, , 
2018/7/10, 65, , 
2018/7/11, 56, , 
2018/7/12, 54, , 
2018/7/13, 49, , 
2018/7/14, 41, , 
2018/7/15, 86, , 
2018/7/16, 102, , 
2018/7/17, 75, , 
2018/7/18, 64, , 
2018/7/19, 56, , 
2018/7/20, 58, , 
2018/7/21, 64, , 
2018/7/22, 68, , 
2018/7/23, 55, , 
2018/7/24, 54, , 
2018/7/25, 59, , 
2018/7/26, 54, , 
2018/7/27, 53, , 
2018/7/28, 63, , 
2018/7/29, 68, , 
2018/7/30, 45, , 
2018/7/31, 44, , 
2018/8/1, 36, , 
2018/8/2, 47, , 
2018/8/3, 53, , 
2018/8/4, 41, , 
2018/8/5, 49, , 
2018/8/6, 27, , 
2018/8/7, 30, , 
2018/8/8, 20, , 
2018/8/9, 27, , 
2018/8/10, 38, , 
2018/8/11, 45, , 
2018/8/12, 68, , 
2018/8/13, 84, , 
2018/8/14, 83, , 
2018/8/15, 46, , 
2018/8/16, 49, , 
2018/8/17, 50, , 
2018/8/18, 47, , 
2018/8/19, 32, , 
2018/8/20, 34, , 
2018/8/21, 32, , 
2018/8/22, 30, , 
2018/8/23, 39, , 
2018/8/24, 31, , 
2018/8/25, 33, , 
2018/8/26, 44, , 
2018/8/27, 35, , 
2018/8/28, 28, , 
2018/8/29, 31, , 
2018/8/30, 30, , 
2018/8/31, 24, , 
2018/9/1, 20, , 
2018/9/2, 17, , 
2018/9/3, 35, , 
2018/9/4, 28, , 
2018/9/5, 26, , 
2018/9/6, 26, , 
2018/9/7, 33, , 
2018/9/8, 25, , 
2018/9/9, 16, , 
2018/9/10, 17, , 
2018/9/11, 23, , 
2018/9/12, 24, , 
2018/9/13, 27, , 
2018/9/14, 25, , 
2018/9/15, 24, , 
2018/9/16, 18, , 
2018/9/17, 18, , 
2018/9/18, 31, , 
2018/9/19, 32, , 
2018/9/20, 24, , 
2018/9/21, 27, , 
2018/9/22, 18, , 
2018/9/23, 9, , 
2018/9/24, 24, , 
2018/9/25, 23, , 
2018/9/26, 27, , 
2018/9/27, 20, , 
2018/9/28, 39, , 
2018/9/29, 22, , 
2018/9/30, 29, , 
2018/4/1, 54, , 
2018/4/2, 53, , 
2018/4/3, 59, , 
2018/4/4, 30, , 
2018/4/5, 44, , 
2018/4/6, 52, , 
2018/4/7, 34, , 
2018/4/8, 52, , 
2018/4/9, 63, 5, 
2018/4/10, 51, 8, 1
2018/4/11, 51, 3, 
2018/4/12, 47, 2, 
2018/4/13, 66, , 
2018/4/14, 68, 3, 
2018/4/15, 47, 10, 
2018/4/16, 48, , 
2018/4/17, 47, , 
2018/4/18, 58, , 
2018/4/19, 35, , 
2018/4/20, 48, , 
2018/4/21, 66, , 
2018/4/22, 29, , 
2018/4/23, 39, , 
2018/4/24, 51, , 
2018/4/25, 46, , 
2018/4/26, 33, , 
2018/4/27, 48, , 
2018/4/28, 57, , 
2018/4/29, 50, , 
2018/4/30, 51, , 
2018/5/1, 48, , 
2018/5/2, 52, , 
2018/5/3, 63, , 
2018/5/4, 42, , 
2018/5/5, 42, , 
2018/5/6, 53, , 
2018/5/7, 55, , 
2018/5/16, 47, , 
2018/5/17, 47, , 
2018/5/18, 54, , 
2018/5/21, 43, , 
2018/5/22, 42, , 
2018/5/23, 34, , 
2018/5/24, 34, , 
2018/5/25, 20, , 
2018/5/30, 39, , 
2018/5/31, 35, , 
2018/6/1, 57, , 
2018/6/2, 50, , 
2018/6/3, 45, , 
2018/6/4, 37, , 
2018/6/5, 38, , 
2018/6/6, 39, , 
2018/6/7, 35, , 
2018/6/8, 33, , 
2018/6/9, 44, , 
2018/6/10, 71, , 
2018/6/11, 56, , 
2018/6/12, 38, , 
2018/6/13, 39, , 
2018/6/14, 31, , 
2018/6/15, 29, , 
2018/6/16, 38, , 
2018/6/17, 33, , 
2018/6/18, 21, , 
2018/6/19, 17, , 
2018/6/20, 21, , 
2018/6/21, 38, , 
2018/6/22, 60, , 
2018/6/23, 47, , 
2018/6/24, 40, , 
2018/6/25, 36, , 
2018/6/26, 37, , 
2018/6/27, 34, , 
2018/6/28, 37, , 
2018/6/29, 65, , 
2018/6/30, 101, , 
2018/1/1, 31, , 
2018/1/2, 32, , 
2018/1/3, 43, , 
2018/1/4, 53, , 
2018/1/5, 47, , 
2018/1/6, 59, , 
2018/1/7, 32, , 
2018/1/8, 24, , 
2018/1/9, 40, , 
2018/1/10, 49, , 
2018/1/11, 27, , 
2018/1/12, 18, , 
2018/1/13, 30, , 
2018/1/14, 58, , 
2018/1/15, 43, , 
2018/1/16, 17, , 
2018/1/17, 34, , 
2018/1/18, 53, , 
2018/1/19, 55, , 
2018/1/20, 44, , 
2018/1/21, 44, , 
2018/1/22, 28, , 
2018/1/23, 25, , 
2018/1/24, 49, , 
2018/1/25, 48, , 
2018/1/26, 42, , 
2018/1/27, 35, , 
2018/1/28, 27, , 
2018/1/29, 23, , 
2018/1/30, 39, , 
2018/1/31, 46, , 
2018/2/1, 31, , 
2018/2/2, 25, , 
2018/2/3, 48, , 
2018/2/4, 64, , 
2018/2/5, 59, , 
2018/2/6, 63, , 
2018/2/7, 56, , 
2018/2/8, 58, , 
2018/2/9, 54, , 
2018/2/10, 69, , 
2018/2/11, 48, , 
2018/2/12, 47, , 
2018/2/13, 66, , 
2018/2/14, 51, , 
2018/2/15, 42, , 
2018/2/16, 36, , 
2018/2/17, 41, , 
2018/2/18, 53, , 
2018/2/19, 48, , 
2018/2/20, 51, , 
2018/2/21, 21, , 
2018/2/22, 25, , 
2018/2/23, 40, , 
2018/2/24, 56, , 
2018/2/25, 26, , 
2018/2/26, 37, , 
2018/2/27, 51, , 
2018/2/28, 54, , 
2018/3/1, 41, , 
2018/3/2, 58, , 
2018/3/3, 61, , 
2018/3/4, 48, , 
2018/3/5, 36, , 
2018/3/6, 19, , 
2018/3/7, 28, , 
2018/3/8, 39, , 
2018/3/9, 41, , 
2018/3/10, 47, , 
2018/3/11, 47, , 
2018/3/12, 41, , 
2018/3/13, 48, , 
2018/3/14, 63, , 
2018/3/15, 54, , 
2018/3/16, 45, , 
2018/3/17, 61, , 
2018/3/18, 63, , 
2018/3/19, 49, , 
2018/3/20, 19, , 
2018/3/21, 35, , 
2018/3/22, 43, , 
2018/3/23, 48, , 
2018/3/24, 53, , 
2018/3/25, 52, , 
2018/3/26, 58, , 
2018/3/27, 50, , 
2018/3/28, 23, , 
2018/3/29, 35, , 
2018/3/30, 40, , 
2018/3/31, 57, , 
2017/10/1, 68, , 
2017/10/2, 52, , 
2017/10/3, 35, , 
