date, pm10, no2, co
2020/1/1, 12, 5, 5
2020/1/2, 16, 5, 6
2020/1/3, 16, 6, 5
2020/1/4, 16, 7, 4
2020/1/5, 13, 8, 5
2020/1/6, 16, 6, 4
2020/1/7, 20, 8, 5
2020/1/8, 18, 11, 8
2020/1/9, 23, 13, 8
2020/1/10, 26, 11, 6
2020/1/11, 26, 4, 4
2020/1/12, 16, 7, 5
2020/1/13, 22, 16, 
2020/1/14, 32, , 
2019/10/1, 21, 9, 3
2019/10/2, 24, 7, 3
2019/10/3, 21, 11, 7
2019/10/4, 17, 8, 3
2019/10/5, 17, 5, 1
2019/10/6, 12, 14, 6
2019/10/7, 23, 13, 5
2019/10/8, 34, 11, 4
2019/10/9, 27, , 
2019/10/15, 26, 7, 4
2019/10/16, 14, 9, 4
2019/10/17, 11, 14, 8
2019/10/18, 21, 7, 3
2019/10/19, 22, 9, 3
2019/10/20, 14, 9, 3
2019/10/21, 17, 10, 4
2019/10/22, 20, 10, 4
2019/10/23, 23, 13, 4
2019/10/24, 24, 11, 5
2019/10/25, 27, 8, 3
2019/10/26, 21, 10, 4
2019/10/27, 24, 11, 6
2019/10/28, 26, 9, 4
2019/10/29, 15, 9, 4
2019/10/30, 19, 6, 3
2019/10/31, 16, 11, 8
2019/11/1, 27, 9, 5
2019/11/2, 27, 8, 3
2019/11/3, 20, , 
2019/11/5, 22, 7, 3
2019/11/6, 19, 9, 5
2019/11/7, 28, 8, 4
2019/11/8, 31, 4, 3
2019/11/9, 20, 4, 2
2019/11/10, 13, 5, 3
2019/11/11, 17, 8, 5
2019/11/12, 19, 18, 6
2019/11/13, 34, 9, 6
2019/11/14, 30, 8, 3
2019/11/15, 19, 8, 5
2019/11/16, 19, 10, 4
2019/11/17, 14, 14, 6
2019/11/18, 31, 10, 7
2019/11/19, 25, 11, 6
2019/11/20, 23, 11, 7
2019/11/21, 32, 8, 5
2019/11/22, 24, 3, 3
2019/11/23, 21, 4, 3
2019/11/24, 16, 10, 7
2019/11/25, 21, 13, 8
2019/11/26, 21, 13, 6
2019/11/27, 26, 8, 4
2019/11/28, 28, 15, 10
2019/11/29, 29, 7, 6
2019/11/30, 34, 8, 6
2019/12/1, 22, 8, 5
2019/12/2, 23, , 
2019/12/3, 19, 11, 9
2019/12/4, 22, 11, 7
2019/12/5, 23, , 
2019/12/10, 30, 10, 7
2019/12/11, 35, 8, 7
2019/12/12, 42, 7, 5
2019/12/13, 30, 9, 6
2019/12/14, 23, 12, 7
2019/12/15, 20, 13, 7
2019/12/16, 20, 8, 7
2019/12/17, 23, 7, 5
2019/12/18, 16, 11, 7
2019/12/19, 21, 10, 10
2019/12/20, 26, 7, 6
2019/12/21, 21, 9, 5
2019/12/22, 23, 6, 4
2019/12/23, 20, 4, 5
2019/12/24, 15, 7, 5
2019/12/25, 15, 10, 6
2019/12/26, 24, , 
2019/7/1, 17, 5, 2
2019/7/2, 20, 6, 3
2019/7/10, 31, 16, 8
2019/7/11, 34, 16, 10
2019/7/12, 31, 14, 8
2019/7/13, 32, 12, 6
2019/7/14, 22, 17, 10
2019/7/15, 25, 10, 5
2019/7/16, 24, 9, 4
2019/7/17, 18, 14, 9
2019/7/18, 32, 12, 7
2019/7/19, 34, 8, 5
2019/7/20, 26, 10, 4
2019/7/21, 23, , 
2019/7/23, 25, 14, 7
2019/7/24, 23, , 
2019/7/26, 14, 14, 7
2019/7/27, 25, 8, 4
2019/7/28, 15, 13, 7
2019/7/29, 22, 10, 6
2019/7/30, 24, , 
2019/8/2, 24, 12, 6
2019/8/3, 22, 7, 4
2019/8/4, 13, 8, 4
2019/8/5, 15, , 
2019/8/8, 23, 14, 8
2019/8/9, 22, 9, 4
2019/8/10, 21, , 
2019/8/12, 20, 12, 7
2019/8/13, 20, 8, 4
2019/8/14, 18, 12, 7
2019/8/15, 17, 19, 10
2019/8/16, 35, 12, 6
2019/8/17, 35, 11, 4
2019/8/18, 21, 12, 5
2019/8/19, 20, 10, 5
2019/8/20, 17, 11, 5
2019/8/21, 11, 18, 9
2019/8/22, 21, 13, 7
2019/8/23, 29, 9, 5
2019/8/24, 15, 10, 5
2019/8/25, 12, 17, 8
2019/8/26, 28, 12, 5
2019/8/27, 25, 11, 5
2019/8/28, 25, 14, 8
2019/8/29, 31, 16, 8
2019/8/30, 32, 13, 6
2019/8/31, 30, 10, 3
2019/9/1, 21, 12, 5
2019/9/2, 24, 12, 5
