date, pm25, o3, so2, co
2020/1/2, 31, 19, , 4
2020/1/3, 29, 25, , 4
2020/1/4, 20, 25, , 4
2020/1/5, 21, 25, 1, 4
2020/1/6, 23, 24, , 5
2020/1/7, 24, 25, , 5
2020/1/8, 24, , , 5
2020/1/9, 27, , , 7
2020/1/10, 42, , , 6
2020/1/11, 11, , , 6
2020/1/12, 23, , , 6
2020/1/13, 29, 10, , 7
2020/1/14, 34, 10, , 6
2020/1/15, 38, , , 
2019/10/1, 44, 19, , 4
2019/10/2, 10, 13, , 4
2019/10/3, 15, 18, , 5
2019/10/4, 16, 23, , 5
2019/10/5, 19, 26, 1, 5
2019/10/6, 25, 22, 1, 6
2019/10/7, 28, 29, , 9
2019/10/8, 33, 33, , 8
2019/10/9, 35, 34, , 7
2019/10/10, 28, 25, , 7
2019/10/11, 24, 29, , 6
2019/10/12, 14, 25, , 7
2019/10/13, 19, 16, , 7
2019/10/14, 16, , , 
2019/10/16, 15, 17, , 3
2019/10/17, 18, 22, 1, 5
2019/10/18, 26, 26, , 4
2019/10/19, 31, 26, , 5
2019/10/20, 43, 23, 1, 5
2019/10/21, 32, 20, , 4
2019/10/22, 16, 24, , 5
2019/10/23, 27, 20, , 5
2019/10/24, 23, 17, 1, 4
2019/10/25, 29, 16, , 4
2019/10/26, 30, 25, , 3
2019/10/27, 29, 14, , 4
2019/10/28, 40, 18, , 3
2019/10/29, 23, 15, , 3
2019/10/30, 18, 19, , 3
2019/10/31, 16, 20, , 4
2019/11/1, 24, 19, , 4
2019/11/2, 23, 22, , 4
2019/11/3, 18, 21, , 5
2019/11/4, 30, 22, , 5
2019/11/5, 25, 14, , 7
2019/11/6, 37, 24, , 5
2019/11/7, 20, 20, , 6
2019/11/8, 22, 20, 1, 6
2019/11/9, 33, 19, , 6
2019/11/10, 32, 22, , 7
2019/11/11, 21, 25, , 7
2019/11/12, 22, 19, , 7
2019/11/13, 27, 19, , 6
2019/11/14, 36, 20, , 3
2019/11/15, 36, 27, 1, 2
2019/11/16, 23, 21, 1, 3
2019/11/17, 35, 13, 1, 5
2019/11/18, 56, 10, , 4
2019/11/19, 42, 9, , 5
2019/11/20, 40, 14, , 3
2019/11/21, 26, 19, , 2
2019/11/22, 32, 12, , 3
2019/11/23, 34, 15, , 4
2019/11/24, 32, 9, 1, 5
2019/11/25, 40, 18, 1, 6
2019/11/26, 39, 20, , 3
2019/11/27, 24, 21, , 3
2019/11/28, 19, 19, , 4
2019/11/29, 17, 21, , 4
2019/11/30, 22, 19, , 4
2019/12/1, 20, 25, , 4
2019/12/2, 21, 16, , 5
2019/12/3, 22, 22, , 5
