date, pm25, pm10, so2, co
2019/4/17, 12, , , 2
2019/4/18, 31, , , 3
2019/4/19, 48, , , 2
2019/4/20, 38, , , 2
2019/4/21, 27, , , 2
2019/4/22, 24, , , 2
2019/4/23, 29, , , 2
2019/4/24, 23, , , 2
2019/4/25, 19, , , 2
2019/4/26, 29, , , 1
2019/4/27, 13, , , 2
2019/4/28, 22, , , 3
2019/4/29, 23, , , 2
2019/4/30, 26, , , 3
2019/5/1, 27, , , 2
2019/5/2, 41, , , 2
2019/5/3, 35, , , 3
2019/5/4, 41, , , 2
2019/5/5, 30, , , 2
2019/5/6, 18, , , 3
2019/5/7, 23, , 1, 2
2019/5/8, 24, , , 2
2019/5/9, 26, , , 3
2019/5/10, 36, , , 1
2019/5/11, 18, , , 1
2019/5/12, 16, , , 1
2019/5/13, 18, , , 2
2019/5/14, 16, , , 2
2019/5/15, 17, , , 3
2019/5/16, 31, , , 5
2019/5/17, 59, , , 2
2019/5/18, 24, , , 3
2019/5/19, 34, , , 3
2019/5/20, 57, , , 1
2019/5/21, 13, , , 1
2019/5/22, 14, , , 3
2019/5/23, 30, , , 1
2019/5/24, 23, , , 3
2019/5/25, 20, , , 2
2019/5/26, 29, , , 2
2019/5/27, 23, , , 2
2019/5/28, 34, , , 2
2019/5/29, 23, , , 2
2019/5/30, 30, , , 4
2019/5/31, 41, , , 3
2019/6/1, 49, , , 3
2019/6/2, 41, , , 1
2019/6/3, 21, , , 2
2019/6/4, 17, , , 3
2019/6/5, 40, , , 2
2019/6/6, 37, , , 3
2019/6/7, 29, , , 2
2019/6/8, 28, , , 2
2019/6/9, 23, , , 1
2019/6/10, 24, , , 1
2019/6/11, 15, , , 2
2019/6/12, 19, , , 1
2019/6/13, 15, , , 2
2019/6/14, 23, , , 3
2019/6/15, 29, , , 3
2019/6/16, 46, , , 3
2019/6/17, 35, , , 2
2019/6/18, 31, , , 2
2019/6/19, 23, , , 2
2019/6/20, 30, , , 1
2019/6/21, 24, , , 1
2019/6/22, 17, , , 1
2019/6/23, 22, , , 3
2019/6/24, 33, , , 2
2019/6/25, 49, , , 3
2019/6/26, 38, , , 2
2019/6/27, 31, , , 4
2019/6/28, 38, , , 3
2019/6/29, 48, , , 1
2019/6/30, 28, , , 1
2019/1/1, 18, 8, , 2
2019/1/2, 21, , , 2
2019/1/3, 25, , , 4
2019/1/4, 51, , , 3
2019/1/5, 33, , , 1
2019/1/6, 33, , , 1
2019/1/7, 14, , , 3
2019/1/8, 35, , , 2
2019/1/9, 22, , , 1
2019/1/10, 8, , , 1
2019/1/11, 13, , , 1
2019/1/12, 21, , , 2
2019/1/13, 20, , , 2
2019/1/14, 22, , , 3
2019/1/15, 45, , , 4
2019/1/16, 47, , , 2
2019/1/17, 19, , , 3
2019/1/18, 42, , , 3
2019/1/19, 48, , , 1
2019/1/20, 17, , , 1
2019/1/21, 15, , , 2
2019/1/22, 22, , , 4
2019/1/23, 35, , , 2
2019/1/24, 30, , , 2
2019/1/25, 29, , , 3
2019/1/26, 33, , , 4
2019/1/27, 44, , , 2
2019/1/28, 34, , , 3
2019/1/29, 40, , , 2
2019/1/30, 34, , , 2
2019/1/31, 25, , , 2
2019/2/1, 34, , , 4
2019/2/2, 59, , , 5
2019/2/3, 104, , , 11
2019/2/4, 103, , , 9
2019/2/5, 84, , , 2
2019/2/6, 25, , , 2
2019/2/7, 24, , , 3
2019/2/8, 33, , , 1
2019/2/9, 14, , , 2
2019/2/10, 28, , , 3
2019/2/11, 45, , , 2
2019/2/12, 19, , , 2
2019/2/13, 19, , , 2
2019/2/14, 30, , , 4
2019/2/15, 43, , , 1
2019/2/16, 32, , , 2
2019/2/17, 22, , , 2
2019/2/18, 29, , , 1
2019/2/19, 19, , , 2
2019/2/20, 33, , , 2
2019/2/21, 20, , , 2
2019/2/22, 40, , , 2
2019/2/23, 35, , , 2
2019/2/24, 32, , , 1
2019/2/25, 19, , , 1
2019/2/26, 16, , , 2
2019/2/27, 18, , , 2
