date, pm25, pm10, no2, co
2020/1/2, 33, 11, 6, 5
2020/1/3, 21, 12, 15, 6
2020/1/4, 20, 11, 8, 4
2020/1/5, 19, 20, 13, 6
2020/1/6, 24, 34, 16, 6
2020/1/7, 25, 30, 15, 6
2020/1/8, 30, 18, 10, 7
2020/1/9, 31, 15, 6, 6
2020/1/10, 40, 17, 11, 9
2020/1/11, 38, 17, 10, 6
2020/1/12, 38, 19, 12, 7
2020/1/13, 55, 23, 11, 7
2020/1/14, 52, 19, 6, 4
2020/1/15, 54, 19, 4, 1
2020/1/16, 57, , , 
2019/10/1, 37, 23, 15, 2
2019/10/2, 38, 12, 5, 
2019/10/3, 20, 19, 11, 6
2019/10/4, 36, 20, 8, 5
2019/10/5, 45, 12, 6, 3
2019/10/6, 21, 15, 13, 4
2019/10/7, 23, 20, 18, 6
2019/10/8, 28, 22, 14, 6
2019/10/9, 41, 22, 5, 5
2019/10/10, 34, 13, 6, 5
2019/10/11, 17, 21, 15, 5
2019/10/12, 27, 19, 17, 5
2019/10/13, 28, 23, 16, 6
2019/10/14, 38, 23, 8, 5
2019/10/15, 44, 23, 10, 4
2019/10/16, 30, 33, 20, 6
2019/10/17, 37, 23, 15, 7
2019/10/18, 36, 18, 10, 8
2019/10/19, 36, 23, 15, 14
2019/10/20, 46, 26, 4, 4
2019/10/21, 17, 29, 10, 4
2019/10/22, 31, 31, 17, 5
2019/10/23, 27, 8, 6, 3
2019/10/24, 19, 6, 5, 2
2019/10/25, 18, 12, 10, 6
2019/10/26, 26, 14, 9, 4
2019/10/27, 28, 21, 4, 3
2019/10/28, 29, 14, 7, 3
2019/10/29, 27, 8, 3, 2
2019/10/30, 22, 10, 10, 5
2019/10/31, 21, 16, 15, 5
2019/11/1, 24, 20, 10, 5
2019/11/2, 38, 19, 20, 6
2019/11/3, 37, 24, 21, 6
2019/11/4, 49, 24, 18, 6
2019/11/5, 38, 26, 17, 7
2019/11/6, 54, 16, 8, 3
2019/11/7, 40, 21, 18, 6
2019/11/8, 33, 19, 12, 5
2019/11/9, 48, 16, 14, 6
2019/11/10, 44, 12, 5, 3
2019/11/11, 24, 15, 13, 5
2019/11/12, 31, 22, 19, 5
2019/11/13, 33, 22, 18, 5
2019/11/14, 40, 21, 24, 9
2019/11/15, 48, , , 
2019/11/17, 37, 29, 13, 5
2019/11/18, 32, 29, 19, 7
2019/11/19, 30, 22, 14, 6
2019/11/20, 49, 11, 4, 4
2019/11/21, 30, 9, 3, 
2019/11/22, 28, 14, 7, 5
2019/11/23, 39, 10, 14, 5
2019/11/24, 24, 19, 21, 7
2019/11/25, 40, 29, 12, 5
2019/11/26, 38, 9, 5, 3
2019/11/27, 21, 10, 7, 5
2019/11/28, 27, 9, 8, 6
2019/11/29, 25, 8, 3, 3
2019/11/30, 13, 9, 2, 3
2019/12/1, 9, 16, 16, 7
2019/12/2, 22, 17, 14, 7
2019/12/3, 28, 30, 18, 6
2019/12/4, 26, 24, 15, 6
2019/12/5, 29, 18, 5, 4
2019/12/6, 44, 24, 19, 8
2019/12/7, 44, 25, 15, 7
2019/12/8, 52, 16, 5, 3
2019/12/9, 20, 22, 17, 7
2019/12/10, 26, 21, 16, 6
2019/12/11, 28, 24, 17, 6
2019/12/12, 37, 32, 21, 8
2019/12/13, 52, 23, 10, 5
2019/12/14, 40, 24, 6, 4
2019/12/15, 61, 17, 4, 3
2019/12/16, 56, 20, 11, 7
2019/12/17, 42, 26, 20, 6
2019/12/18, 32, 30, 22, 6
2019/12/19, 29, 25, 18, 7
2019/12/20, 48, 25, 13, 7
2019/12/21, 64, 17, 11, 6
2019/12/22, 48, 26, 22, 8
2019/12/23, 52, 24, 20, 8
2019/12/24, 43, 16, 12, 6
2019/12/25, 32, 23, 8, 4
2019/12/26, 46, 39, 9, 7
2019/12/27, 76, 14, 5, 5
2019/12/28, 41, , , 
2019/7/1, 44, 31, 11, 6
2019/7/2, 48, 21, 12, 6
2019/7/3, 34, 28, 7, 6
2019/7/4, 52, 48, 7, 6
2019/7/5, 67, 20, 7, 5
2019/7/6, 34, 17, 9, 5
2019/7/7, 36, 18, 12, 6
2019/7/8, 28, 22, 13, 7
2019/7/9, 37, 27, 12, 7
2019/7/10, 52, 18, 11, 5
2019/7/11, 29, 22, 14, 6
2019/7/12, 40, 19, 13, 7
2019/7/13, 38, 14, 6, 5
2019/7/14, 30, 14, 7, 4
2019/7/15, 20, 27, 13, 6
2019/7/16, 35, 27, 11, 6
2019/7/17, 43, 26, 9, 5
2019/7/18, 34, 26, 9, 6
2019/7/19, 35, 23, , 6
2019/7/20, 37, 36, , 5
2019/7/21, 53, 16, , 4
2019/7/22, 25, 17, , 5
2019/7/23, 28, 22, , 6
2019/7/24, 36, 27, , 5
2019/7/25, 45, 28, , 6
2019/7/26, 55, 28, , 7
2019/7/27, 59, 20, , 6
2019/7/28, 47, 34, 17, 5
2019/7/29, 52, 32, 16, 7
2019/7/30, 51, 37, 17, 5
2019/7/31, 51, 34, 16, 1
2019/8/1, 53, 27, 14, 1
2019/8/2, 53, 13, 11, 1
2019/8/3, 33, 12, 12, 1
2019/8/4, 31, 22, 12, 1
2019/8/5, 46, 25, 14, 2
2019/8/6, 50, 28, 16, 1
2019/8/7, 47, 27, 14, 1
2019/8/8, 46, 16, 12, 2
2019/8/9, 37, 26, 13, 1
2019/8/10, 47, 21, 11, 1
2019/8/11, 39, 22, 11, 2
2019/8/12, 36, 13, 15, 1
2019/8/13, 29, 13, 13, 1
2019/8/14, 23, 24, 18, 2
2019/8/15, 39, 24, 14, 1
2019/8/16, 48, 23, 13, 1
2019/8/17, 45, 18, 8, 1
2019/8/18, 40, 28, 15, 1
2019/8/19, 48, 26, 14, 2
2019/8/20, 40, 37, 14, 1
2019/8/21, 54, 23, 14, 1
2019/8/22, 38, 12, 11, 1
2019/8/23, 19, 14, 11, 1
2019/8/24, 29, 10, 9, 1
2019/8/25, 22, 24, 10, 1
2019/8/26, 48, 13, , 1
2019/8/27, 24, 19, , 1
2019/8/28, 29, 25, , 1
2019/8/29, 48, 12, , 1
2019/8/30, 25, 12, , 1
2019/8/31, 28, 13, , 1
2019/9/1, 31, 23, , 1
2019/9/2, 58, 28, , 1
2019/9/3, 60, 28, 24, 2
2019/9/4, 55, 30, 21, 3
2019/9/5, 55, 32, 18, 5
2019/9/6, 56, 28, 22, 4
2019/9/7, 55, 21, 15, 3
2019/9/8, 42, 24, 16, 4
2019/9/9, 38, 22, 15, 3
2019/9/10, 39, 22, 15, 3
2019/9/11, 40, 19, 14, 3
2019/9/12, 28, 9, 14, 3
2019/9/13, 18, 20, 19, 4
2019/9/14, 44, 28, 21, 4
2019/9/15, 63, 31, 28, 6
2019/9/16, 61, 29, 25, 5
2019/9/17, 52, 20, 22, 5
2019/9/18, 30, 19, 17, 6
2019/9/19, 27, 12, 11, 3
2019/9/20, 21, 15, , 3
2019/9/21, 37, 14, , 3
2019/9/22, 31, 18, , 2
2019/9/23, 37, 13, 17, 3
2019/9/24, 25, 18, 15, 2
2019/9/25, 27, 14, 13, 1
2019/9/26, 22, 21, 14, 2
2019/9/27, 32, 16, 11, 3
2019/9/28, 30, 15, 7, 1
2019/9/29, 36, 18, 10, 2
2019/9/30, 39, 20, 13, 2
2019/4/1, 38, 24, 13, 2
2019/4/2, 36, 22, 12, 2
2019/4/3, 34, 11, 10, 2
2019/4/4, 27, 20, 17, 4
2019/4/5, 36, 13, 9, 3
2019/4/6, 32, 13, 7, 2
2019/4/7, 34, 17, 9, 3
2019/4/8, 32, 31, 17, 3
2019/4/9, 36, 26, 14, 3
2019/4/10, 35, 20, 3, 1
