date, pm25, pm10, o3, so2
2020/1/2, 25, 17, , 1
2020/1/3, 41, 10, , 
2020/1/4, 29, 10, , 
2020/1/5, 31, 11, , 
2020/1/6, 16, 10, , 
2020/1/7, 19, 9, , 
2020/1/8, 17, 12, , 
2020/1/9, 28, 24, , 
2020/1/10, 65, 7, , 
2020/1/11, 24, 8, , 
2020/1/12, 25, 11, , 
2020/1/13, 43, 14, , 
2020/1/14, 51, 15, , 
2020/1/15, 54, 22, , 
2020/1/16, 72, , , 
2019/10/1, 32, 6, 10, 
2019/10/2, 14, 5, 16, 
2019/10/3, 8, 7, 18, 
2019/10/4, 17, 11, 21, 
2019/10/5, 31, 9, 23, 
2019/10/6, 17, 9, 24, 
2019/10/7, 17, 11, 30, 1
2019/10/8, 23, 17, 40, 
2019/10/9, 37, 17, 29, 
2019/10/10, 42, 8, 24, 
2019/10/11, 19, 9, 28, 
2019/10/12, 16, 5, 21, 
2019/10/13, 14, 5, 20, 
2019/10/14, 15, 14, 25, 
2019/10/15, 29, 7, 19, 
2019/10/16, 12, 10, 18, 
2019/10/17, 25, 17, 26, 
2019/10/18, 41, 16, 27, 1
2019/10/19, 36, 13, 23, 
2019/10/20, 38, 14, 22, 
2019/10/21, 33, 5, , 
2019/10/22, 7, 7, , 
2019/10/23, 14, 6, , 
2019/10/24, 19, 9, , 
2019/10/25, 25, 17, , 
2019/10/26, 49, 21, , 
2019/10/27, 54, 11, , 
2019/10/28, 27, 11, , 
2019/10/29, 34, 12, , 
2019/10/30, 32, 10, , 
2019/10/31, 29, 16, , 
2019/11/1, 39, 9, , 
2019/11/2, 26, 10, , 
2019/11/3, 27, 9, , 
2019/11/4, 27, 9, , 
2019/11/5, 23, 9, , 
2019/11/6, 30, 15, , 
2019/11/7, 22, 13, , 
2019/11/8, 31, 22, , 
2019/11/9, 39, 16, , 
2019/11/10, 44, 5, , 
2019/11/11, 11, 13, , 
2019/11/12, 17, 11, , 
2019/11/13, 29, 17, , 
2019/11/14, 52, 24, , 1
2019/11/15, 63, 27, , 
2019/11/16, 77, 26, , 
2019/11/17, 77, 16, , 
2019/11/18, 49, 16, , 
2019/11/19, 50, 18, , 
2019/11/20, 55, 9, , 
2019/11/21, 29, 7, , 
2019/11/22, 20, 12, , 
2019/11/23, 35, 14, , 
2019/11/24, 38, 15, , 
2019/11/25, 41, 10, , 
2019/11/26, 29, 5, , 
2019/11/27, 15, 4, , 
2019/11/28, 14, 8, , 
2019/11/29, 27, 12, , 
2019/11/30, 42, 4, , 
2019/12/1, 15, 6, , 
2019/12/2, 14, 10, , 
2019/12/3, 33, 9, , 
2019/12/4, 23, 13, , 
2019/12/5, 47, 12, , 
2019/12/6, 36, 13, , 
2019/12/7, 44, 22, , 
2019/12/8, 66, 19, , 
2019/12/9, 58, 12, , 
2019/12/10, 34, 14, , 
2019/12/11, 36, 17, , 
2019/12/12, 46, 25, , 
2019/12/13, 70, 25, , 
2019/12/14, 71, 10, , 
2019/12/15, 27, 24, , 1
2019/12/16, 37, 15, , 
2019/12/17, 48, 13, , 
2019/12/18, 24, 34, , 1
2019/12/19, 66, 33, , 1
2019/12/20, 87, 24, , 1
2019/12/21, 66, 16, , 
2019/12/22, 51, 19, , 
2019/12/23, 56, 24, , 1
2019/12/24, 71, 13, , 
2019/12/25, 44, 13, , 
2019/12/26, 43, 16, , 
2019/12/27, 55, 24, , 
2019/12/28, 73, , , 
2019/7/1, 30, 22, 36, 
2019/7/2, 45, 19, 38, 
2019/7/3, 45, 20, 36, 
2019/7/4, 47, 17, 36, 1
2019/7/5, 44, 35, 29, 
2019/7/6, 90, 34, 30, 
2019/7/7, 88, 53, 39, 
2019/7/8, 123, 34, 47, 1
2019/7/9, 74, 15, 36, 
2019/7/10, 30, 14, 39, 
2019/7/11, 32, 18, 40, 
2019/7/12, 43, 20, 34, 
2019/7/13, 34, 16, 40, 1
2019/7/14, 39, 18, 31, 1
2019/7/15, 30, 18, 33, 1
2019/7/16, 31, 14, 37, 1
2019/7/17, 29, 11, 33, 1
2019/7/18, 24, 17, 37, 1
2019/7/19, 35, 14, 28, 
2019/7/20, 27, 11, 26, 1
2019/7/21, 21, 11, 28, 1
2019/7/22, 21, 17, 32, 
2019/7/23, 41, 21, 38, 1
2019/7/24, 53, 23, 38, 1
2019/7/25, 57, 19, 37, 1
2019/7/26, 50, 23, 40, 1
2019/7/27, 54, 24, 41, 1
2019/7/28, 55, 12, 31, 1
2019/7/29, 26, 11, 28, 1
2019/7/30, 17, 12, 39, 1
