date, pm10, no2, so2
2020/1/2, 16, 25, 3
2020/1/3, 19, 18, 3
2020/1/4, 23, 13, 3
2020/1/5, 12, 16, 3
2020/1/6, 10, 30, 5
2020/1/7, 15, 34, 4
2020/1/8, 30, 30, 5
2020/1/9, 25, 35, 4
2020/1/10, 24, 38, 4
2020/1/11, 27, 31, 5
2020/1/12, 28, 32, 6
2020/1/13, 29, 40, 4
2020/1/14, 35, 37, 2
2020/1/15, 38, 12, 3
2020/1/16, 29, , 
2019/11/21, 7, 8, 
2019/11/22, 7, 9, 
2019/11/23, 9, 10, 
2019/11/24, 9, 10, 
2019/11/25, 10, 11, 
2019/11/26, 10, 13, 
2019/11/27, 12, 14, 
2019/11/28, 13, 11, 
2019/11/29, 11, 16, 
2019/11/30, 10, 15, 
2019/12/1, 10, 12, 
2019/12/2, 11, 14, 
2019/12/3, 11, 15, 
2019/12/4, 10, 20, 
2019/12/5, 10, 17, 
2019/5/7, 10, 6, 4
2019/5/8, 9, 7, 5
2019/5/9, 15, 7, 4
2019/5/10, 21, 7, 4
2019/5/11, 16, 6, 5
2019/5/12, 19, 6, 3
2019/5/13, 14, 5, 4
2019/5/14, 19, 6, 4
2019/5/15, 21, 7, 4
2019/5/16, 19, 7, 4
2019/5/17, 17, 7, 5
2019/5/18, 18, 7, 4
2019/5/19, 23, 7, 4
2019/5/20, 20, 7, 4
2019/5/21, 11, 6, 4
2019/5/22, 9, 7, 5
2019/5/23, 10, 6, 4
2019/5/24, 9, 6, 3
2019/5/25, 11, 6, 3
2019/5/26, 11, 6, 5
2019/5/27, 19, 8, 3
2019/5/28, 22, 7, 5
2019/5/29, 19, 7, 4
2019/5/30, 13, 7, 4
2019/5/31, 14, 6, 4
2019/6/1, 14, 6, 4
2019/6/2, 18, 5, 5
2019/6/3, 16, 7, 4
2019/6/4, 14, 6, 5
2019/6/5, 17, 7, 4
2019/6/6, 19, 7, 4
2019/6/7, 21, 7, 5
2019/6/8, 27, 7, 4
2019/6/9, 28, 7, 4
2019/6/10, 18, 7, 4
2019/6/11, 8, 7, 4
2019/6/12, 9, 6, 4
2019/6/13, 9, 7, 5
2019/6/14, 24, 8, 6
2019/6/15, 44, 6, 5
2019/6/16, 32, 6, 5
2019/6/17, 30, 6, 6
2019/6/18, 25, 6, 5
2019/6/19, 25, 6, 5
2019/6/20, 30, 7, 5
2018/10/1, 15, 16, 9
2018/10/2, 17, 14, 4
2018/10/4, 824, 22, 4
2018/10/5, 999, 17, 5
2018/7/1, 11, 13, 4
2018/7/2, 9, 17, 6
2018/7/3, 12, 17, 11
2018/7/4, 20, 13, 6
2018/7/5, 18, 15, 4
2018/7/6, 17, 12, 7
2018/7/7, 19, 10, 4
2018/7/8, 22, 10, 4
2018/7/9, 17, 12, 4
2018/7/10, 13, 12, 8
2018/7/11, 12, 13, 4
2018/7/12, 16, 12, 7
2018/7/13, 17, 10, 7
2018/7/14, 12, 11, 6
2018/7/15, 12, 11, 4
2018/7/16, 14, 13, 5
2018/7/17, 14, 10, 4
2018/7/18, 16, 9, 4
2018/7/19, 12, 12, 5
2018/7/20, 13, 10, 4
2018/7/21, 14, 9, 5
