date, pm25, no2
2019/5/26, 35, 6
2019/5/27, 31, 10
2019/5/28, 48, 8
2019/5/29, 38, 6
2019/5/30, 32, 6
2019/5/31, 26, 9
2019/6/1, 50, 4
2019/6/2, 51, 5
2019/6/3, 20, 8
2019/6/4, 19, 12
2019/6/5, 55, 10
2019/6/6, 47, 8
2019/6/7, 41, 5
2019/6/8, 40, 3
2019/6/9, 30, 7
2019/6/10, 22, 5
2019/6/11, 15, 6
2019/6/12, 26, 6
2019/6/13, 15, 5
2019/6/14, 16, 12
2019/6/15, 38, 10
2019/6/16, 52, 8
2019/6/17, 33, 10
2019/6/18, 33, 9
2019/6/19, 35, 7
2019/6/20, 34, 4
2019/6/21, 19, 4
2019/6/22, 19, 5
2019/6/23, 23, 12
2019/6/24, 52, 5
2019/6/25, 27, 8
2019/6/26, 32, 10
2019/6/27, 40, 13
2019/6/28, 46, 7
2019/6/29, 43, 4
2019/6/30, 31, 5
2019/1/1, 18, 15
2019/1/2, 23, 13
2019/1/3, 27, 21
2019/1/4, 47, 10
2019/1/5, 20, 9
2019/1/6, 17, 9
2019/1/7, 9, 18
2019/1/8, 33, 6
2019/1/9, 10, 4
2019/1/10, 18, 9
2019/1/11, 23, 15
2019/1/12, 37, 10
2019/1/13, 45, 14
2019/1/14, 33, 20
2019/1/15, 58, 21
2019/1/16, 46, 14
2019/1/17, 29, 20
2019/1/18, 59, 16
2019/1/19, 60, 8
2019/1/20, 18, 3
2019/1/21, 13, 13
2019/1/22, 27, 20
2019/1/23, 31, 13
2019/1/24, 22, 9
2019/1/25, 26, 19
2019/1/26, 37, 20
2019/1/27, 43, 12
2019/1/28, 37, 20
2019/1/29, 48, 10
2019/1/30, 33, 11
2019/1/31, 22, 20
2019/2/1, 55, 26
2019/2/2, 84, 32
2019/2/3, 98, 33
2019/2/4, 91, 28
2019/2/5, 60, 18
2019/2/6, 47, 14
2019/2/7, 37, 9
2019/2/8, 30, 5
2019/2/9, 25, 16
2019/2/10, 41, 12
2019/2/11, 50, 18
2019/2/12, 26, 11
2019/2/13, 25, 21
2019/2/14, 25, 15
2019/2/15, 34, 5
2019/2/16, 26, 11
2019/2/17, 29, 9
2019/2/18, 26, 8
2019/2/19, 25, 14
2019/2/20, 28, 16
2019/2/21, 26, 14
2019/2/22, 42, 15
2019/2/23, 51, 8
2019/2/24, 16, 5
2019/2/25, 16, 13
2019/2/26, 25, 11
2019/2/27, 26, 9
2019/2/28, 39, 13
2019/3/1, 42, 14
2019/3/2, 48, 13
2019/3/3, 46, 7
2019/3/4, 35, 8
2019/3/5, 25, 6
2019/3/6, 36, 15
2019/3/7, 39, 22
2019/3/8, 60, 11
2019/3/9, 62, 11
2019/3/10, 44, 6
2019/3/11, 20, 10
2019/3/12, 21, 26
2019/3/13, 43, 17
2019/3/14, 32, 12
2019/3/15, 30, 2
2019/3/16, 9, 6
2019/3/17, 13, 12
2019/3/18, 18, 18
2019/3/19, 25, 21
2019/3/20, 33, 11
2019/3/21, 12, 4
2019/3/22, 12, 3
2019/3/23, 8, 15
2019/3/24, 16, 18
2019/3/25, 35, 7
2019/3/26, 10, 13
2019/3/27, 13, 11
2019/3/28, 13, 29
2019/3/29, 38, 15
2019/3/30, 46, 5
2019/3/31, 22, 5
2018/10/1, 53, 12
2018/10/2, 54, 11
2018/10/3, 48, 15
2018/10/4, 46, 9
2018/10/5, 45, 11
2018/10/6, 53, 14
2018/10/7, 56, 12
2018/10/8, 62, 11
2018/10/9, 45, 10
2018/10/10, 32, 9
2018/10/11, 28, 5
2018/10/12, 26, 6
2018/10/13, 32, 11
2018/10/14, 37, 13
2018/10/15, 50, 8
2018/10/16, 23, 9
2018/10/17, 33, 9
2018/10/18, 24, 15
2018/10/19, 41, 7
2018/10/20, 38, 3
2018/10/21, 21, 11
2018/10/22, 27, 13
2018/10/23, 31, 7
2018/10/24, 23, 12
2018/10/25, 33, 18
2018/10/26, 47, 6
2018/10/27, 19, 9
2018/10/28, 29, 9
2018/10/29, 27, 15
2018/10/30, 38, 22
2018/10/31, 56, 19
2018/11/1, 55, 10
2018/11/2, 26, 5
2018/11/3, 22, 11
2018/11/4, 32, 10
2018/11/5, 21, 12
2018/11/6, 16, 18
2018/11/7, 28, 10
2018/11/8, 20, 12
2018/11/9, 24, 6
2018/11/10, 21, 10
2018/11/11, 27, 18
2018/11/12, 46, 10
2018/11/13, 25, 8
2018/11/14, 26, 10
2018/11/15, 21, 9
2018/11/16, 25, 11
2018/11/17, 43, 19
2018/11/18, 58, 25
2018/11/19, 73, 13
2018/11/20, 48, 11
2018/11/21, 37, 4
2018/11/22, 22, 9
2018/11/23, 20, 14
2018/11/24, 38, 16
2018/11/25, 42, 16
2018/11/26, 43, 5
2018/11/27, 13, 5
2018/11/30, 54, 18
2018/12/1, 65, 16
2018/12/2, 24, 8
2018/12/3, 23, 11
2018/12/4, 14, 16
2018/12/5, 30, 14
2018/12/6, 28, 12
2018/12/7, 21, 18
2018/12/8, 43, 11
2018/12/9, 43, 16
2018/12/10, 53, 25
2018/12/11, 54, 22
2018/12/12, 61, 21
2018/12/13, 62, 21
2018/12/14, 45, 11
2018/12/15, 15, 6
2018/12/16, 9, 9
2018/12/17, 20, 10
2018/12/18, 16, 27
2018/12/19, 44, 23
2018/12/20, 37, 14
2018/12/21, 19, 4
2018/12/22, 12, 11
2018/12/23, 32, 8
2018/12/24, 30, 8
2018/12/25, 26, 19
2018/12/26, 53, 23
2018/12/27, 63, 19
2018/12/28, 33, 9
2018/12/29, 24, 13
2018/12/30, 36, 
2018/7/1, 59, 13
2018/7/2, 67, 10
2018/7/3, 60, 6
2018/7/4, 50, 7
2018/7/5, 32, 6
2018/7/6, 37, 3
2018/7/7, 26, 5
2018/7/8, 26, 13
2018/7/9, 41, 10
2018/7/10, 47, 8
2018/7/11, 49, 6
2018/7/12, 47, 7
2018/7/13, 53, 7
2018/7/14, 48, 9
2018/7/15, 57, 14
