date, pm25, pm10
2019/5/21, 15, 15
2019/5/22, 17, 23
2019/5/23, 28, 19
2019/5/24, 30, 10
2019/5/25, 18, 6
2019/5/26, 12, 13
2019/5/27, 27, 16
2019/5/28, 29, 25
2019/5/29, 37, 26
2019/5/30, 42, 25
2019/5/31, 55, 26
2019/6/1, 55, 19
2019/6/2, 41, 30
2019/6/3, 18, 39
2019/6/4, 62, 26
2019/6/5, 37, 9
2019/6/6, 14, 12
2019/6/7, 13, 10
2019/6/8, 13, 9
2019/6/9, 17, 17
2019/6/10, 18, 13
2019/6/11, 21, 
2019/6/18, 20, 35
2019/6/19, 21, 13
2019/6/20, 13, 11
2019/6/21, 15, 15
2019/6/22, 20, 14
2019/6/23, 14, 16
2019/6/24, 14, 19
2019/6/25, 21, 21
2019/6/26, 25, 8
2019/6/27, 15, 11
2019/6/28, 19, 14
2019/6/29, 22, 14
2019/6/30, 28, 26
2019/1/1, 36, 33
2019/1/2, 50, 8
2019/1/3, 14, 18
2019/1/4, 16, 20
2019/1/5, 24, 6
2019/1/6, 16, 10
2019/1/7, 16, 11
2019/1/8, 28, 9
2019/1/9, 24, 13
2019/1/10, 35, 7
2019/1/11, 19, 7
2019/1/12, 24, 8
2019/1/13, 36, 10
2019/1/14, 37, 13
2019/1/15, 33, 19
2019/1/16, 29, 13
2019/1/17, 22, 15
2019/1/18, 20, 9
2019/1/19, 21, 11
2019/1/20, 27, 8
2019/1/21, 36, 7
2019/1/22, 18, 9
2019/1/23, 26, 11
2019/1/24, 45, 8
2019/1/25, 47, 10
2019/1/26, 50, 6
2019/1/27, 34, 13
2019/1/28, 44, 17
2019/1/29, 47, 13
2019/1/30, 53, 17
2019/1/31, 61, 28
2019/2/1, 73, 5
2019/2/2, 21, 5
2019/2/3, 24, 12
2019/2/4, 24, 11
2019/2/5, 26, 10
2019/2/6, 29, 15
2019/2/7, 41, 10
2019/2/8, 44, 12
2019/2/9, 29, 11
2019/2/10, 27, 12
2019/2/11, 35, 9
2019/2/12, 25, 8
2019/2/13, 34, 7
2019/2/14, 22, 7
2019/2/15, 28, 8
2019/2/16, 30, 6
2019/2/17, 26, 19
2019/2/18, 44, 20
2019/2/19, 57, 12
2019/2/20, 50, 14
2019/2/21, 45, 9
2019/2/22, 27, 10
2019/2/23, 45, 8
2019/2/24, 38, 15
2019/2/25, 26, 13
2019/2/26, 19, 10
2019/2/27, 20, 8
2019/2/28, 30, 14
2019/3/1, 49, 7
2019/3/2, 24, 9
2019/3/3, 22, 18
2019/3/4, 17, 19
2019/3/5, 15, 8
2019/3/6, 17, 8
2019/3/7, 27, 10
2019/3/8, 35, 12
2019/3/9, 29, 16
2019/3/10, 45, 16
2019/3/11, 40, 8
2019/3/12, 31, 11
2019/3/13, 39, 28
2019/3/14, 41, 41
2019/3/15, 35, 38
2019/3/16, 36, 31
2019/3/17, 38, 74
2019/3/18, 40, 69
2019/3/19, 36, 57
2019/3/20, 28, 46
2019/3/21, 41, 36
2019/3/22, 36, 20
2019/3/23, 26, 16
2019/3/24, 32, 34
2019/3/25, 22, 15
2019/3/26, 22, 34
2019/3/27, 22, 21
2019/3/28, 21, 33
2019/3/29, 37, 23
2019/3/30, 40, 16
2019/3/31, 33, 28
2018/10/1, 26, 100
2018/10/2, 37, 16
2018/10/3, 17, 17
2018/10/4, 22, 32
2018/10/5, 28, 10
2018/10/6, 29, 13
2018/10/7, 43, 13
2018/10/8, 42, 6
2018/10/9, 20, 18
2018/10/10, 18, 26
2018/10/11, 25, 25
2018/10/12, 32, 16
2018/10/13, 28, 15
2018/10/14, 42, 25
2018/10/15, 37, 34
2018/10/16, 48, 42
2018/10/17, 55, 39
2018/10/18, 62, 41
2018/10/19, 61, 34
2018/10/20, 62, 37
2018/10/21, 62, 43
2018/10/22, 62, 49
2018/10/23, 55, 27
2018/10/24, 44, 22
2018/10/25, 28, 10
2018/10/26, 16, 13
2018/10/27, 28, 8
2018/10/28, 26, 11
2018/10/29, 21, 11
2018/10/30, 29, 13
2018/10/31, 33, 20
2018/11/1, 35, 11
2018/11/2, 11, 8
2018/11/3, 18, 8
2018/11/4, 17, 12
2018/11/5, 15, 12
2018/11/6, 15, 21
2018/11/7, 43, 26
2018/11/8, 60, 32
2018/11/9, 80, 19
2018/11/10, 76, 25
2018/11/11, 86, 25
2018/11/12, 77, 24
