date, pm25, pm10, no2, so2, co
2019/8/17, 45, 22, 20, , 7
2019/8/18, 46, 25, 27, 1, 8
2019/8/19, 58, 28, 39, 2, 8
2019/8/20, 59, 30, 28, 1, 8
2019/8/21, 53, 28, 16, 1, 8
2019/8/22, 55, 33, 35, 1, 7
2019/8/23, 67, 27, 23, 1, 7
2019/8/24, 55, 25, 21, 1, 7
2019/8/25, 59, 30, 25, 1, 7
2019/8/26, 64, 34, 27, 1, 8
2019/8/27, 63, 36, 28, 1, 8
2019/8/28, 65, 39, 24, 1, 7
2019/8/29, 64, 41, 27, 1, 7
2019/8/30, 70, 41, 31, 1, 7
2019/8/31, 74, 34, 24, 1, 6
2019/9/1, 64, 30, 27, 1, 6
2019/9/2, 59, 29, 22, , 5
2019/9/3, 58, 24, 12, , 4
2019/9/4, 46, 23, 23, 1, 7
2019/9/5, 41, 30, 30, 1, 8
2019/9/6, 54, 27, 26, 1, 7
2019/9/7, 49, 23, 26, 1, 6
2019/9/8, 46, 21, 21, 1, 7
2019/9/9, 33, 28, 42, 1, 7
2019/9/10, 43, 31, 34, 1, 6
2019/9/11, 38, 33, 31, 1, 6
2019/9/12, 52, 47, 25, , 5
2019/9/13, 63, 36, 20, , 5
2019/9/14, 51, 25, 27, 1, 5
2019/9/15, 43, 36, 38, 1, 9
2019/9/16, 59, 32, 31, 1, 9
2019/9/17, 56, 32, 36, 1, 9
2019/9/18, 70, 29, 33, 1, 7
2019/9/19, 58, 35, 15, , 4
2019/9/20, 51, 28, 28, 1, 7
2019/9/21, 45, 31, 30, , 7
2019/9/22, 54, 33, 26, 1, 8
2019/9/23, 56, 28, 21, , 7
2019/9/24, 38, 27, 27, 1, 8
2019/9/25, 39, 27, 29, 1, 8
2019/9/26, 48, 31, 34, 1, 8
2019/9/27, 51, 33, 33, 1, 9
2019/9/28, 48, 24, 27, 1, 8
2019/9/29, 40, 27, 31, 1, 9
2019/9/30, 47, 28, 30, 1, 10
