date, pm25, o3, so2
2020/1/2, 9, 32, 
2020/1/3, 10, 33, 
2020/1/4, 14, 31, 
2020/1/5, 14, 22, 
2020/1/6, 13, 28, 
2020/1/7, 8, 30, 
2020/1/8, 14, 19, 
2020/1/9, 12, 22, 
2020/1/10, 8, 32, 
2020/1/11, 10, 28, 
2020/1/12, 11, 29, 
2020/1/13, 9, 28, 
2020/1/14, 13, 28, 
2020/1/15, 10, , 
2019/10/1, 17, 18, 
2019/10/2, 23, 20, 
2019/10/3, 14, 13, 
2019/10/4, 13, 19, 
2019/10/5, 15, 15, 
2019/10/6, 21, 23, 
2019/10/7, 14, 24, 
2019/10/8, 13, 24, 
2019/10/9, 20, 19, 
2019/10/10, 29, 19, 
2019/10/11, 37, 14, 
2019/10/12, 40, 21, 
2019/10/13, 31, 16, 
2019/10/14, 33, 14, 
2019/10/15, 37, 27, 
2019/10/16, 20, 22, 
2019/10/17, 17, 21, 
2019/10/18, 14, 19, 
2019/10/19, 15, 19, 
2019/10/20, 15, 21, 
2019/10/21, 17, 23, 
2019/10/22, 22, 13, 
2019/10/23, 23, 4, 
2019/10/24, 34, 29, 
2019/10/25, 24, 21, 
2019/10/26, 23, 22, 
2019/10/27, 19, 20, 
2019/10/28, 23, 31, 
2019/10/29, 22, 13, 
2019/10/30, 42, 15, 
2019/10/31, 51, 10, 
2019/11/1, 53, 10, 
2019/11/2, 59, 10, 
2019/11/3, 53, 9, 
2019/11/4, 51, 6, 
2019/11/5, 51, 6, 
2019/11/6, 43, 11, 
2019/11/7, 40, 8, 
2019/11/8, 41, 12, 
2019/11/9, 40, 11, 
2019/11/10, 40, 21, 
2019/11/11, 33, 8, 
2019/11/12, 30, 8, 
2019/11/13, 31, 7, 
2019/11/14, 29, 18, 
2019/11/15, 25, 15, 
2019/11/16, 14, 25, 
2019/11/17, 11, 17, 
2019/11/18, 18, 17, 
2019/11/19, 23, 27, 
2019/11/20, 22, 10, 
2019/11/21, 35, 4, 
2019/11/22, 41, 18, 
2019/11/23, 27, 29, 
2019/11/24, 20, 22, 
2019/11/25, 15, 27, 
2019/11/26, 16, 29, 
2019/11/27, 13, 25, 
2019/11/28, 29, 21, 
2019/11/29, 35, 17, 
2019/11/30, 42, 17, 
2019/12/1, 34, 11, 
2019/12/2, 40, 14, 
2019/12/3, 25, 20, 
2019/12/4, 21, 14, 
2019/12/5, 23, 8, 
2019/12/6, 30, 2, 
2019/12/7, 24, 9, 
2019/12/8, 28, 6, 
2019/12/9, 21, 2, 
2019/12/10, 18, 12, 
2019/12/11, 19, 23, 
2019/12/12, 15, 22, 
2019/12/13, 16, 19, 
2019/12/14, 18, 18, 
2019/12/15, 14, 17, 
2019/12/16, 19, 13, 
2019/12/17, 28, 23, 
2019/12/18, 24, 21, 
2019/12/19, 10, 24, 
2019/12/20, 13, 22, 
2019/12/21, 15, 20, 
2019/12/22, 18, 14, 
2019/12/23, 29, 9, 
2019/12/24, 30, 18, 
2019/12/25, 21, 15, 
2019/12/26, 21, 14, 
2019/12/27, 17, 7, 
2019/12/28, 18, , 
2019/7/1, 15, 19, 
2019/7/2, 9, 21, 
2019/7/3, 14, 23, 
2019/7/4, 18, 14, 
2019/7/5, 27, 26, 
2019/7/6, 12, 17, 
2019/7/7, 11, 27, 
2019/7/8, 13, 28, 
2019/7/9, 15, 12, 
2019/7/10, 9, 20, 
2019/7/11, 10, 22, 
2019/7/12, 9, 20, 
2019/7/13, 13, 23, 
2019/7/14, 11, 20, 
2019/7/15, 12, 22, 
2019/7/16, 9, 14, 
2019/7/17, 13, 23, 
2019/7/18, 14, 21, 
2019/7/19, 14, 28, 
2019/7/20, 18, 34, 
2019/7/21, 23, 24, 
2019/7/22, 14, 20, 
2019/7/23, 11, 25, 
2019/7/24, 12, 29, 
2019/7/25, 14, 28, 
2019/7/26, 15, 24, 
2019/7/27, 12, 28, 
2019/7/28, 10, 25, 
2019/7/29, 13, 28, 
2019/7/30, 18, 24, 
2019/7/31, 14, 33, 
2019/8/1, 13, 28, 
2019/8/2, 17, 31, 
2019/8/3, 32, 32, 
2019/8/4, 34, 42, 
2019/8/5, 30, 35, 
2019/8/6, 22, 23, 
2019/8/7, 16, 27, 
2019/8/8, 21, 26, 
2019/8/9, 9, 21, 
2019/8/10, 10, 20, 
2019/8/11, 13, 25, 
2019/8/12, 8, 33, 
2019/8/13, 19, 29, 
2019/8/14, 17, 26, 
2019/8/15, 13, 25, 
2019/8/16, 25, 24, 
2019/8/17, 25, 22, 
2019/8/18, 11, 30, 
2019/8/19, 11, 35, 
2019/8/20, 21, 20, 
2019/8/21, 16, 24, 
2019/8/22, 22, 20, 
2019/8/23, 19, 20, 
2019/8/24, 15, 27, 
2019/8/25, 19, 30, 
2019/8/26, 24, 29, 
2019/8/27, 28, 29, 
2019/8/28, 17, 30, 
2019/8/29, 23, 23, 
2019/8/30, 18, 30, 
2019/8/31, 21, 27, 
2019/9/1, 20, 26, 
2019/9/2, 20, 23, 
2019/9/3, 10, 28, 
2019/9/4, 16, 24, 
2019/9/5, 19, 30, 
2019/9/6, 14, 23, 
2019/9/7, 11, 16, 
2019/9/8, 9, 20, 
2019/9/9, 9, 23, 
2019/9/10, 10, 19, 
2019/9/11, 13, 11, 
2019/9/12, 13, 16, 
2019/9/13, 7, 21, 
2019/9/14, 8, 24, 
2019/9/15, 10, 19, 
2019/9/16, 10, 16, 
2019/9/17, 9, 12, 
2019/9/18, 9, 12, 
2019/9/19, 15, 14, 
2019/9/20, 19, 17, 
2019/9/21, 19, 11, 
2019/9/22, 11, 10, 
2019/9/23, 13, 21, 
2019/9/24, 22, 24, 
2019/9/25, 28, 22, 
2019/9/26, 17, 23, 
2019/9/27, 13, 22, 
2019/9/28, 10, 24, 
2019/9/29, 10, 20, 
2019/9/30, 20, 20, 
2019/4/1, 31, , 
2019/4/2, 25, , 
2019/4/3, 17, , 
2019/4/4, 19, , 
2019/4/5, 12, , 
2019/4/6, 9, , 
2019/4/7, 16, , 
2019/4/8, 18, , 
2019/4/9, 25, , 
2019/4/10, 10, , 
2019/4/11, 10, , 
2019/4/12, 21, , 
2019/4/13, 17, , 
2019/4/14, 16, , 
2019/4/15, 21, , 
2019/4/16, 18, 23, 
2019/4/17, 13, 20, 
2019/4/18, 17, 30, 
2019/4/19, 13, 29, 
2019/4/20, 20, 28, 
2019/4/21, 20, 28, 
2019/4/22, 21, 32, 
2019/4/23, 11, 38, 
2019/4/24, 25, 30, 
2019/4/25, 18, 36, 
2019/4/26, 15, 34, 
2019/4/27, 11, 33, 
2019/4/28, 13, 34, 
2019/4/29, 18, 38, 
2019/4/30, 15, 33, 
2019/5/1, 21, 30, 
2019/5/2, 18, 29, 
2019/5/3, 12, 26, 
2019/5/4, 19, 30, 
2019/5/5, 12, 27, 
2019/5/6, 17, 27, 
2019/5/7, 16, 30, 
2019/5/8, 22, 30, 
2019/5/9, 23, 40, 
2019/5/10, 23, 35, 
2019/5/11, 22, 23, 
2019/5/12, 21, 31, 
2019/5/13, 27, 21, 
2019/5/14, 25, 28, 
2019/5/15, 13, 29, 
2019/5/16, 16, 32, 
2019/5/17, 13, 32, 
2019/5/18, 21, 36, 
2019/5/19, 17, 27, 
2019/5/20, 11, 28, 
2019/5/21, 17, 28, 
2019/5/22, 17, 29, 
2019/5/23, 24, 26, 
2019/5/24, 20, 22, 
2019/5/25, 18, 21, 
2019/5/26, 30, 35, 
2019/5/27, 26, 28, 
2019/5/28, 35, 24, 
2019/5/29, 31, 30, 
2019/5/30, 38, 33, 
2019/5/31, 24, 28, 
2019/6/1, 17, 29, 
2019/6/2, 17, 31, 
2019/6/3, 16, 31, 
2019/6/4, 17, 24, 
2019/6/5, 17, 29, 
2019/6/6, 9, 26, 
2019/6/7, 9, 25, 
2019/6/8, 9, 25, 
2019/6/9, 16, 28, 
2019/6/10, 11, 29, 
2019/6/11, 15, 39, 
2019/6/12, 26, 24, 
2019/6/13, 27, 25, 
2019/6/14, 15, 29, 
2019/6/15, 16, 25, 
2019/6/16, 14, 20, 
2019/6/17, 10, 23, 
2019/6/18, 10, 21, 
2019/6/19, 14, 19, 
2019/6/20, 14, 27, 
2019/6/21, 20, 18, 
