date, pm25, aqi
2019/3/12, 26, 
2019/3/13, 26, 
2019/3/14, 20, 
2019/3/15, 30, 
2019/3/16, 13, 
2019/3/17, 26, 
2019/3/18, 20, 
2019/3/19, 23, 
2019/3/20, 24, 
2019/3/21, 25, 
2019/3/22, 20, 
2019/3/27, 13, 
2019/3/28, 18, 
2019/3/29, 36, 
2019/3/30, 32, 
2019/3/31, 32, 
2018/10/4, 47, 
2018/10/5, 37, 
2018/10/6, 30, 
2018/10/7, 30, 
2018/10/8, 27, 
2018/10/9, 30, 
2018/10/10, 30, 
2018/10/11, 30, 
2018/10/12, 32, 
2018/10/13, 17, 
2018/10/14, 22, 
2018/10/15, 33, 
2018/10/16, 47, 
2018/10/17, 40, 
2018/10/18, 43, 
2018/10/19, 28, 
2018/10/20, 32, 11
2018/10/21, 28, 
2018/10/22, 36, 
2018/10/23, 40, 
2018/10/25, 49, 
2018/10/26, 32, 
2018/11/7, 31, 
2018/11/8, 29, 
2018/11/9, 38, 
2018/11/10, 34, 
2018/11/11, 25, 
2018/11/12, 32, 
2018/11/13, 22, 
2018/11/14, 41, 
2018/11/15, 41, 
2018/11/16, 35, 
2018/11/17, 30, 
2018/11/18, 31, 
2018/11/19, 33, 
2018/11/20, 32, 
2018/11/21, 33, 
2018/11/22, 31, 
2018/11/23, 30, 
2018/11/24, 30, 
2018/11/25, 41, 
2018/11/26, 37, 
2018/11/27, 39, 
2018/11/28, 34, 
2018/11/29, 39, 
2018/11/30, 37, 
2018/12/1, 35, 
2018/12/2, 34, 
2018/12/3, 46, 
2018/12/4, 47, 
2018/12/5, 43, 
2018/12/6, 39, 
2018/12/7, 44, 
2018/12/8, 43, 
2018/12/9, 32, 
2018/12/10, 36, 
2018/12/11, 43, 
2018/12/12, 46, 
2018/12/13, 47, 
2018/12/14, 48, 
2018/12/15, 53, 11
2018/12/16, 51, 
2018/12/17, 53, 
2018/12/18, 48, 
2018/12/19, 46, 
2018/12/20, 46, 
2018/12/21, 48, 
2018/12/22, 41, 
2018/12/23, 40, 
2018/12/24, 46, 
2018/12/25, 47, 
2018/12/26, 48, 
2018/12/27, 45, 
2018/12/28, 50, 
2018/12/29, 51, 
2018/12/30, 50, 
2018/9/6, 71, 
2018/9/7, 70, 
2018/9/8, 66, 
2018/9/9, 62, 
2018/9/10, 66, 
2018/9/11, 63, 
2018/9/12, 44, 
2018/9/13, 52, 
2018/9/15, 24, 
2018/9/16, 42, 
2018/9/17, 56, 
2018/9/18, 41, 
2018/9/19, 76, 
2018/9/20, 121, 
2018/9/21, 125, 
2018/9/22, 43, 
2018/9/23, 25, 
2018/9/24, 35, 
2018/9/25, 34, 
2018/9/26, 62, 
2020/1/11, , 22
2019/11/30, , 22
2019/12/14, , 22
2019/12/21, , 22
2019/9/14, , 22
2019/9/28, , 22
2019/6/8, , 11
2019/1/26, , 
2019/2/9, , 11
2019/3/23, , 
2018/11/3, , 
2018/7/1, , 11
2018/7/15, , 
2018/7/29, , 
2018/8/12, , 
2018/8/26, , 
2018/5/18, , 17
2018/5/19, , 17
2018/5/20, , 17
2018/5/21, , 14
2018/5/22, , 16
2018/5/23, , 14
2018/5/24, , 16
2018/5/25, , 12
2018/5/26, , 14
2018/5/27, , 15
2018/5/28, , 18
2018/5/29, , 16
2018/5/30, , 13
2018/5/31, , 18
2018/6/1, , 26
2018/6/2, , 34
2018/6/3, , 63
2018/6/4, , 58
2018/6/5, , 56
2018/6/6, , 63
2018/6/7, , 125
2018/6/8, , 67
2018/6/9, , 19
2018/6/12, , 76
2018/6/13, , 94
2018/6/14, , 78
2018/6/15, , 52
2018/6/16, , 14
2018/6/17, , 26
2018/6/18, , 43
2018/6/19, , 34
2018/6/20, , 13
2018/6/21, , 56
2018/6/22, , 31
2017/12/31, , 120
2017/4/2, , 54
2017/4/9, , 54
2017/4/30, , 54
2017/5/7, , 54
2017/5/25, , 120
2017/1/8, , 54
