date, pm25, pm10, no2, so2, co
2019/4/17, 49, , , , 
2019/4/18, 45, , , , 
2019/4/19, 59, , , , 
2019/4/20, 58, , , , 
2019/4/21, 46, , , , 
2019/4/22, 42, , , , 
2019/4/23, 58, , , , 
2019/4/24, 34, , , , 
2019/4/25, 99, , , , 
2019/4/26, 55, , , , 
2019/4/27, 18, , , , 
2019/4/28, 31, , , , 
2019/4/29, 49, , , , 
2019/4/30, 59, , , , 
2019/5/1, 52, , , , 
2019/5/2, 46, , , , 
2019/5/3, 46, , , , 
2019/5/4, 35, , , , 
2019/5/5, 20, , , , 
2019/5/6, 40, , , , 
2019/5/7, 63, , , , 
2019/5/8, 33, , , , 
2019/5/9, 41, , , , 
2019/5/10, 46, , , , 
2019/5/11, 20, , , , 
2019/5/12, 37, , , , 
2019/5/13, 61, , , , 
2019/5/14, 27, , , , 
2019/5/15, 66, , , , 
2019/5/16, 46, , , , 
2019/5/17, 56, , , , 
2019/5/18, 56, , , , 
2019/5/19, 57, , , , 
2019/5/20, 27, , , , 
2019/5/21, 20, , , , 
2019/5/22, 35, , , , 
2019/5/23, 47, , , , 
2019/5/24, 29, , , , 
2019/5/25, 44, , , , 
2019/5/26, 42, , , , 
2019/5/27, 28, , , , 
2019/5/28, 50, , , , 
2019/5/29, 50, , , , 
2019/5/30, 28, , , , 
2019/5/31, 49, , , , 
2019/6/1, 69, , , , 
2019/6/2, 40, , , , 
2019/6/3, 26, , , , 
2019/6/4, 49, , , , 
2019/6/5, 65, , , , 
2019/6/6, 45, , , , 
2019/6/7, 44, , , , 
2019/6/8, 35, , , , 
2019/6/9, 28, , , , 
2019/6/10, 21, , , , 
2019/6/11, 20, , , , 
2019/6/12, 35, , , , 
2019/6/13, 29, , , , 
2019/6/14, 22, , , , 
2019/6/15, 50, , , , 
2019/6/16, 41, , , , 
2019/6/17, 39, , , , 
2019/6/18, 52, , , , 
2019/6/19, 58, , , , 
2019/6/20, 48, , , , 
2019/6/21, 75, , , , 
2019/6/22, 12, , , , 
2019/6/23, 23, , , , 
2019/6/24, 49, , , , 
2019/6/25, 45, , , , 
2019/6/26, 53, , , , 
2019/6/27, 53, , , , 
2019/6/28, 61, , , , 
2019/6/29, 60, , , , 
2019/6/30, 35, , , , 
2019/1/1, 22, , , , 
2019/1/2, 41, , , , 
2019/1/3, 38, , , , 
2019/1/4, 74, , , , 
2019/1/5, 52, , , , 
2019/1/6, 35, , , , 
2019/1/7, 23, , , , 
2019/1/8, 32, , , , 
2019/1/9, 24, , , , 
2019/1/10, 21, , , , 
2019/1/11, 40, , , , 
2019/1/12, 51, , , , 
2019/1/13, 54, , , , 
2019/1/14, 47, , , , 
2019/1/15, 53, , , , 
2019/1/16, 38, , , , 
2019/1/17, 37, , , , 
2019/1/18, 59, , , , 
2019/1/19, 48, , , , 
2019/1/20, 17, , , , 
2019/1/21, 33, , , , 
2019/1/22, 43, , , , 
2019/1/23, 56, , , , 
2019/1/24, 26, , , , 
2019/1/25, 34, , , , 
2019/1/26, 40, , , , 
2019/1/27, 42, , , , 
2019/1/28, 43, , , , 
2019/1/29, 45, , , , 
2019/1/30, 28, , , , 
2019/1/31, 35, , , , 
2019/2/1, 52, , , , 
2019/2/2, 90, , , , 
2019/2/3, 75, , , , 
2019/2/4, 74, , , , 
2019/2/5, 46, , , , 
2019/2/6, 50, , , , 
2019/2/7, 41, , , , 
2019/2/8, 20, , , , 
2019/2/9, 26, , , , 
2019/2/10, 46, , , , 
2019/2/11, 60, , , , 
2019/2/12, 19, , , , 
2019/2/13, 24, , , , 
2019/2/14, 32, , , , 
2019/2/15, 33, , , , 
2019/2/16, 33, , , , 
2019/2/17, 31, , , , 
2019/2/18, 41, , , , 
2019/2/19, 33, , , , 
2019/2/20, 28, , , , 
2019/2/21, 33, , , , 
2019/2/22, 64, , , , 
2019/2/23, 47, , , , 
2019/2/24, 18, , , , 
2019/2/25, 26, , , , 
2019/2/26, 31, , , , 
2019/2/27, 38, , , , 
2019/2/28, 45, , , , 
2019/3/1, 51, , , , 
2019/3/2, 65, , , , 
2019/3/3, 63, , , , 
2019/3/4, 28, , , , 
2019/3/5, 50, , , , 
2019/3/6, 45, , , , 
2019/3/7, 57, , , , 
2019/3/8, 60, , , , 
2019/3/9, 55, , , , 
2019/3/10, 32, , , , 
2019/3/11, 35, , , , 
2019/3/12, 44, , , , 
2019/3/13, 45, , , , 
2019/3/14, 39, , , , 
2019/3/15, 27, , , , 
2019/3/16, 20, , , , 
2019/3/17, 24, , , , 
2019/3/18, 33, , , , 
2019/3/19, 51, , , , 
2019/3/20, 52, , , , 
2019/3/21, 59, , , , 
2019/3/22, 36, , , , 
2019/3/23, 23, , , , 
2019/3/24, 58, , , , 
2019/3/25, 49, , , , 
2019/3/26, 26, , , , 
2019/3/27, 37, , , , 
2019/3/28, 41, , , , 
2019/3/29, 60, , , , 
2019/3/30, 57, , , , 
2019/3/31, 19, , , , 
2018/10/1, 59, , , , 
2018/10/2, 46, , , , 
