date, pm25, pm10
2019/5/21, 22, 9
2019/5/22, 19, 17
2019/5/23, 36, 18
2019/5/24, 35, 10
2019/5/25, 28, 11
2019/5/26, 28, 11
2019/5/27, 26, 8
2019/5/28, 18, 8
2019/5/29, 18, 16
2019/5/30, 33, 14
2019/5/31, 36, 9
2019/6/1, 21, 9
2019/6/2, 18, 10
2019/6/3, 23, 9
2019/6/4, 22, 9
2019/6/5, 24, 8
2019/6/6, 16, 9
2019/6/7, 17, 9
2019/6/8, 13, 10
2019/6/9, 23, 14
2019/6/10, 33, 10
2019/6/11, 24, 8
2019/6/12, 19, 11
2019/6/13, 28, 15
2019/6/14, 35, 15
2019/6/15, 34, 12
2019/6/16, 24, 9
2019/6/17, 20, 9
2019/6/18, 20, 6
2019/6/19, 11, 8
2019/6/20, 17, 9
2019/6/21, 18, 9
2019/6/22, 19, 14
2019/6/23, 37, 12
2019/6/24, 33, 6
2019/6/25, 11, 10
2019/6/26, 15, 15
2019/6/27, 27, 6
2019/6/28, 8, 4
2019/6/29, 5, 5
2019/6/30, 8, 11
2019/3/22, 11, 10
2019/3/23, 17, 42
2019/3/24, 71, 32
2019/3/25, 54, 30
2019/3/26, 52, 20
2019/3/27, 45, 10
2019/3/28, 23, 19
2019/3/29, 38, 25
2019/3/30, 54, 43
2019/3/31, 86, 20
2020/1/1, , 30
2019/11/14, , 58
2019/3/21, , 7
