date, pm25, pm10, o3, so2, co
2019/7/9, , 24, , , 7
2019/7/10, , 25, , , 7
2019/7/11, , 28, , , 7
2019/7/12, , 29, , , 7
2019/7/13, , 20, , , 6
2019/7/14, , 28, , , 6
2019/7/15, , 23, , , 7
2019/7/16, , 19, , , 7
2019/7/17, , 22, , , 7
2019/7/18, , 21, , , 6
2019/7/19, , 23, , , 7
2019/7/20, , 22, , , 8
2019/7/21, , 25, , , 9
2019/7/22, , 32, , , 8
2019/7/23, , 39, , , 7
2019/7/24, , 24, , , 7
2019/7/25, , 25, , , 9
2019/7/26, , 39, , , 9
2019/7/27, , 22, , , 8
2019/7/28, , 21, , , 8
2019/7/29, , 38, , , 8
2019/7/30, , 24, , , 10
2019/7/31, , 33, , , 10
2019/8/1, , 44, , , 9
2019/8/2, , 33, , , 9
2019/8/3, , 29, , , 9
2019/8/4, , 28, , , 9
2019/8/5, , 36, , , 9
2019/8/6, , 36, , , 9
2019/8/7, , 30, , , 9
2019/8/8, , 41, , , 8
2019/8/9, , 22, , , 7
2019/8/10, , 16, , , 6
2019/8/11, , 11, , , 7
2019/8/12, , 17, , , 8
2019/8/13, , 26, , , 8
2019/8/14, , 28, , , 7
2019/8/15, , 24, , , 8
2019/8/16, , 21, , , 8
2019/8/17, , 18, , , 8
2019/8/18, , 17, , , 9
2019/8/19, , 28, , , 9
2019/8/20, , 34, , , 9
2019/8/21, , 42, , , 7
2019/8/22, , 24, , , 9
2019/8/23, , 22, , , 9
2019/8/24, , 22, , , 8
2019/8/25, , 19, , , 7
2019/8/26, , 27, , , 8
2019/8/27, , 39, , , 10
2019/8/28, , 50, , , 9
2019/8/29, , 48, , , 9
2019/8/30, , 34, , , 10
2019/8/31, , 23, , , 9
2019/9/1, , 21, , , 8
2019/9/2, , 22, , , 9
2019/9/3, , 35, , , 10
2019/9/4, , 43, , , 9
2019/9/5, , 44, , , 9
2019/9/6, , 22, , , 10
2019/9/7, , 21, , , 8
2019/9/8, , 17, , , 9
2019/9/9, , 17, , , 9
2019/9/10, , 17, , , 6
2019/9/11, , 15, , , 6
2019/9/12, , 18, , 1, 5
2019/9/13, , 18, , , 5
2019/9/14, , 17, , , 4
2019/9/15, , 23, , , 4
2019/9/16, , 39, , , 2
2019/9/17, , 6, , , 3
2019/9/18, , 13, , , 3
2019/9/19, , 12, , , 2
2019/9/20, , 9, , 1, 3
2019/9/21, , 11, , , 3
2019/9/22, , 13, , , 2
2019/9/23, , 12, , 1, 3
2019/9/24, , 12, , , 3
2019/9/25, , 15, , 1, 3
2019/9/26, , 16, , 1, 3
2019/9/27, , 13, , , 3
2019/9/28, , 15, , , 1
2019/9/29, , 7, , , 3
2019/9/30, , 12, , , 2
2019/3/31, , 9, , 1, 4
2019/4/2, , 9, , 1, 4
2019/4/3, , 13, , , 5
2019/4/5, , 8, , , 4
2019/4/6, , 9, , , 4
2019/4/8, , 5, , , 3
2019/4/9, , 5, 3, , 3
2019/4/10, , 5, 2, , 4
2019/4/12, , 9, , , 5
2019/4/14, , 8, , , 4
2019/4/16, , 14, , , 4
2019/4/18, , 24, , , 6
2019/4/19, , 12, 15, , 4
2019/4/20, , 4, , , 3
2019/4/23, , 13, , , 4
2019/4/24, , 18, , , 5
2019/4/25, , 16, , , 4
2019/4/26, , 17, , , 4
2019/4/27, , 8, , , 4
2019/4/29, , 13, , , 4
2019/5/6, , 23, , , 4
2019/5/8, , 17, , , 5
2019/5/10, , 18, , , 5
2019/5/11, , 18, , , 5
2019/5/13, , 27, , , 5
2019/5/15, , 15, , , 5
2019/5/16, , 5, , , 5
2019/5/17, , 9, , , 6
2019/5/21, , 11, , , 6
2019/5/22, , 12, 2, , 5
2019/5/24, , 7, , , 6
2019/5/28, , 7, , , 6
2019/5/29, , 7, , , 7
2019/5/31, , 6, 5, , 7
2019/6/2, , 13, , , 7
2019/6/7, , 6, , , 5
2019/6/8, , 8, , , 5
2019/6/16, , 18, , , 6
2019/6/18, , 15, , , 5
2019/6/20, , 9, , , 5
2019/6/21, , 11, , , 6
2019/6/23, , 10, , , 5
2019/6/24, , 17, , , 6
2019/6/25, , 21, , , 6
2019/6/28, , 17, , , 7
2019/1/1, , 6, , , 6
2019/1/2, , 8, , , 6
2019/1/3, , 11, , , 7
2019/1/4, , 15, , 1, 9
2019/1/5, , 18, , 1, 9
2019/1/6, , 13, , 1, 6
2019/1/7, , 5, , , 7
2019/1/8, , 9, , , 8
2019/1/9, , 14, , , 7
2019/1/10, , 9, , 1, 4
2019/1/11, , 10, , 1, 5
2019/1/12, , 9, , , 3
2019/1/13, , 10, , , 4
2019/1/14, , 15, , 1, 4
2019/1/15, , 10, , 1, 6
2019/1/16, , 9, , 1, 6
2019/1/17, , 11, , 1, 4
2019/1/18, , 5, , , 4
2019/1/19, , 6, , , 4
2019/1/20, , 9, , 1, 5
2019/1/21, , 3, , , 3
