date, pm10, o3, no2, so2
2020/1/2, 30, , 16, 
2020/1/3, 36, , 23, 
2020/1/4, 46, , 23, 
2020/1/5, 62, , 25, 
2020/1/6, 24, , 26, 
2020/1/7, 19, , 28, 
2020/1/8, 37, , 19, 
2020/1/9, 48, , 21, 
2020/1/10, 51, , 30, 
2020/1/11, 55, , 26, 
2020/1/12, 60, , 19, 
2020/1/13, 40, , 29, 
2020/1/14, 60, , 30, 
2020/1/15, 69, , 17, 
2020/1/16, 61, , , 
2019/10/1, 33, , 28, 
2019/10/2, 40, , 25, 
2019/10/3, 42, , 18, 
2019/10/4, 32, , 15, 
2019/10/5, 12, , 15, 
2019/10/6, 19, , 18, 
2019/10/7, 14, , 20, 
2019/10/8, 18, , 28, 
2019/10/9, 38, , 29, 
2019/10/10, 51, , 20, 
2019/10/11, 35, , 27, 
2019/10/12, 24, , 32, 
2019/10/13, 52, , 47, 
2019/10/14, 57, , 25, 
2019/10/15, 52, , 23, 
2019/10/16, 28, , 31, 
2019/10/17, 37, , 33, 
2019/10/18, 43, , 35, 
2019/10/19, 43, , 24, 
2019/10/20, 41, , 27, 
2019/10/21, 43, , 20, 
2019/10/22, 44, , 30, 
2019/10/23, 41, , 18, 
2019/10/24, 44, , 23, 
2019/10/25, 29, , 23, 
2019/10/26, 42, , 29, 
2019/10/27, 47, , 38, 
2019/10/28, 63, , 20, 
2019/10/29, 60, , 21, 
2019/10/30, 31, , 26, 
2019/10/31, 19, , 27, 
2019/11/1, 20, , 25, 
2019/11/2, 30, , 28, 
2019/11/3, 33, , 28, 
2019/11/4, 46, , 25, 
2019/11/5, 32, , 30, 
2019/11/6, 54, , 27, 
2019/11/7, 37, , 29, 
2019/11/8, 52, , 29, 
2019/11/9, 45, , 22, 
2019/11/10, 36, , 23, 
2019/11/11, 24, , 27, 
2019/11/12, 41, , 26, 
2019/11/13, 41, , 23, 
2019/11/14, 47, , 19, 
2019/11/15, 37, , 18, 
2019/11/16, 34, , 18, 
2019/11/17, 30, , 21, 
2019/11/18, 30, , 22, 
2019/11/19, 47, , 21, 
2019/11/20, 44, , 18, 
2019/11/21, 28, , 17, 
2019/11/22, 15, , 15, 
