date, pm25, pm10
2019/5/24, 16, 5
2019/5/25, 12, 3
2019/5/26, 5, 6
2019/5/27, 12, 9
2019/5/28, 11, 13
2019/5/29, 19, 22
2019/5/30, 39, 30
2019/5/31, 68, 31
2019/6/1, 70, 20
2019/6/2, 40, 18
2019/6/3, 28, 16
2019/6/4, 13, 18
2019/6/5, 22, 2
2019/6/6, 4, 5
2019/6/7, 6, 4
2019/6/8, 11, 7
2019/6/9, 11, 8
2019/6/10, 16, 11
2019/6/11, 19, 9
2019/6/12, 23, 12
2019/6/13, 14, 13
2019/6/14, 13, 9
2019/6/15, 10, 10
2019/6/16, 14, 14
2019/6/17, 12, 15
2019/6/18, 19, 19
2019/6/19, 14, 3
2019/6/20, 3, 2
2019/6/21, 10, 6
2019/6/22, 13, 8
2019/6/23, 17, 6
2019/6/24, 9, 11
2019/6/25, 15, 13
2019/6/26, 17, 16
2019/6/27, 28, 11
2019/6/28, 20, 11
2019/6/29, 12, 9
2019/6/30, 18, 12
2019/1/1, 37, 7
2019/1/2, 32, 8
2019/1/3, 33, 4
2019/1/4, 13, 6
2019/1/5, 28, 5
2019/1/6, 15, 2
2019/1/7, 9, 9
2019/1/8, 32, 9
2019/1/9, 36, 27
2019/1/10, 86, 12
2019/1/11, 41, 4
2019/1/12, 20, 5
2019/1/13, 17, 5
2019/1/14, 17, 7
2019/1/15, 19, 18
2019/1/16, 39, 9
2019/1/17, 20, 12
2019/1/18, 49, 13
2019/1/19, 49, 9
2019/1/20, 42, 7
2019/1/21, 28, 7
2019/1/22, 31, 4
2019/1/23, 20, 9
2019/1/24, 37, 8
2019/1/25, 40, 12
2019/1/26, 45, 8
2019/1/27, 37, 9
2019/1/28, 24, 15
2019/1/29, 32, 25
2019/1/30, 60, 34
2019/1/31, 78, 44
2019/2/1, 105, 12
2019/2/2, 29, 33
2019/2/3, 20, 14
2019/2/4, 14, 20
2019/2/5, 18, 11
2019/2/6, 25, 7
2019/2/7, 21, 17
2019/2/8, 30, 14
2019/2/9, 38, 7
2019/2/10, 34, 13
2019/2/11, 48, 10
2019/2/12, 41, 4
2019/2/13, 21, 5
2019/2/14, 24, 6
2019/2/15, 27, 5
2019/2/16, 15, 8
2019/2/17, 27, 10
2019/2/18, 42, 14
2019/2/19, 59, 10
2019/2/20, 41, 11
2019/2/21, 33, 13
2019/2/22, 51, 7
2019/2/23, 24, 5
2019/2/24, 20, 6
2019/2/25, 20, 4
2019/2/26, 26, 4
2019/2/27, 25, 8
2019/2/28, 41, 12
2019/3/1, 16, 9
2019/3/2, 22, 3
2019/3/3, 22, 8
2019/3/4, 32, 14
2019/3/5, 49, 8
2019/3/6, 34, 5
2019/3/7, 18, 7
2019/3/8, 26, 9
2019/3/9, 30, 11
2019/3/10, 42, 19
2019/3/11, 47, 12
2019/3/12, 38, 3
2019/3/13, 15, 5
2019/3/14, 27, 14
2019/3/15, 47, 18
2019/3/16, 46, 15
2019/3/17, 48, 16
2019/3/18, 42, 22
2019/3/19, 50, 22
2019/3/20, 51, 20
2019/3/21, 39, 26
2019/3/22, 50, 25
2019/3/23, 46, 7
2019/3/24, 22, 15
2019/3/25, 27, 13
2019/3/26, 37, 8
2019/3/27, 25, 8
2019/3/28, 17, 18
2019/3/29, 36, 13
2019/3/30, 40, 8
2019/3/31, 33, 11
2018/10/1, 45, 9
2018/10/2, 39, 7
2018/10/3, 21, 9
2018/10/4, 25, 14
2018/10/5, 41, 10
2018/10/6, 36, 13
2018/10/7, 47, 9
2018/10/8, 33, 5
2018/10/9, 10, 4
2018/10/10, 10, 11
2018/10/11, 28, 15
2018/10/12, 42, 6
2018/10/13, 18, 11
2018/10/14, 40, 15
2018/10/15, 48, 17
2018/10/16, 46, 17
2018/10/17, 52, 22
2018/10/18, 60, 26
2018/10/19, 63, 26
2018/10/20, 67, 23
2018/10/21, 58, 35
2018/10/22, 54, 25
2018/10/23, 58, 27
2018/10/24, 64, 19
2018/10/25, 44, 7
2018/10/26, 27, 12
2018/10/27, 35, 9
2018/10/28, 30, 7
2018/10/29, 25, 9
2018/10/30, 33, 10
2018/10/31, 39, 16
2018/11/1, 55, 6
2018/11/2, 22, 11
2018/11/3, 34, 5
2018/11/4, 15, 8
2018/11/5, 23, 9
2018/11/6, 32, 13
2018/11/7, 44, 21
2018/11/8, 61, 30
2018/11/9, 85, 21
2018/11/10, 71, 20
2018/11/11, 61, 21
2018/11/12, 62, 23
2018/11/13, 64, 33
2018/11/14, 87, 37
2018/11/15, 91, 7
2018/11/16, 26, 13
2018/11/17, 43, 24
2018/11/18, 69, 22
2018/11/19, 56, 19
2018/11/20, 53, 12
2018/11/21, 45, 18
2018/11/22, 61, 10
2018/11/23, 37, 7
2018/11/24, 26, 13
2018/11/25, 37, 22
2018/11/26, 59, 19
2018/11/27, 58, 11
2018/11/28, 40, 17
2018/11/29, 60, 17
2018/11/30, 53, 11
2018/12/1, 38, 10
2018/12/2, 44, 8
2018/12/3, 30, 12
2018/12/4, 40, 17
2018/12/5, 46, 12
2018/12/6, 28, 16
2018/12/7, 43, 13
2018/12/8, 40, 20
2018/12/9, 60, 25
2018/12/10, 75, 10
2018/12/11, 35, 3
2018/12/12, 7, 5
2018/12/13, 12, 28
2018/12/14, 42, 20
2018/12/15, 49, 16
2018/12/16, 37, 22
2018/12/17, 54, 3
2018/12/18, 11, 4
2018/12/19, 15, 19
2018/12/20, 38, 3
2018/12/21, 5, 14
2018/12/22, 29, 6
2018/12/23, 25, 10
2018/12/24, 40, 3
2018/12/25, 17, 6
2018/12/26, 37, 7
2018/12/27, 27, 8
2018/12/28, 33, 2
2018/12/29, 11, 3
2018/12/30, 7, 
2018/7/1, 22, 12
2018/7/2, 11, 6
2018/7/3, 14, 8
2018/7/4, 26, 16
2018/7/5, 27, 24
2018/7/6, 45, 17
2018/7/7, 31, 13
2018/7/8, 26, 20
2018/7/9, 37, 23
2018/7/10, 33, 18
2018/7/11, 27, 17
2018/7/12, 27, 20
2018/7/13, 29, 26
2018/7/14, 35, 18
2018/7/15, 32, 23
2018/7/16, 36, 27
2018/7/17, 42, 31
2018/7/18, 48, 29
2018/7/19, 55, 27
2018/7/20, 48, 21
2018/7/21, 43, 14
2018/7/22, 34, 20
2018/7/23, 38, 22
2018/7/24, 32, 15
2018/7/25, 34, 17
2018/7/26, 38, 18
2018/7/27, 41, 13
2018/7/28, 44, 14
2018/7/29, 44, 21
2018/7/30, 48, 29
2018/7/31, 59, 28
2018/8/1, 63, 27
2018/8/2, 50, 25
2018/8/3, 46, 27
2018/8/4, 67, 20
2018/8/5, 56, 23
2018/8/6, 51, 37
2018/8/7, 69, 48
2018/8/8, 105, 50
2018/8/9, 102, 45
2018/8/10, 98, 48
2018/8/11, 97, 38
2018/8/12, 74, 52
2018/8/13, 131, 59
2018/8/14, 140, 57
2018/8/15, 137, 55
2018/8/16, 126, 53
2018/8/17, 115, 55
2018/8/18, 118, 92
2018/8/19, 184, 46
2018/8/20, 115, 55
2018/8/21, 136, 38
2018/8/22, 92, 48
2018/8/23, 117, 59
2018/8/24, 139, 64
2018/8/25, 157, 42
2018/8/26, 107, 10
2018/8/27, 30, 14
2018/8/28, 36, 20
2018/8/29, 52, 17
2018/8/30, 46, 22
2018/8/31, 46, 17
2018/9/1, 38, 20
2018/9/2, 45, 20
2018/9/3, 50, 20
2018/9/4, 47, 24
2018/9/5, 63, 40
2018/9/6, 96, 40
2018/9/7, 91, 26
2018/9/8, 57, 21
2018/9/9, 53, 20
2018/9/10, 39, 13
2018/9/11, 24, 12
2018/9/12, 28, 9
2018/9/13, 18, 8
2018/9/14, 21, 15
2018/9/15, 39, 10
2018/9/16, 27, 10
2018/9/17, 21, 9
2018/9/18, 27, 12
2018/9/19, 34, 13
2018/9/20, 41, 12
2018/9/21, 26, 10
2018/9/22, 23, 5
2018/9/23, 18, 7
2018/9/24, 18, 8
2018/9/25, 20, 11
2018/9/26, 25, 17
2018/9/27, 27, 7
2018/9/28, 12, 6
2018/9/29, 15, 5
2018/9/30, 17, 18
2018/4/1, 23, 13
2018/4/2, 26, 8
2018/4/3, 27, 10
2018/4/4, 34, 12
2018/4/5, 35, 12
2018/4/6, 20, 9
2018/4/7, 30, 4
2018/4/8, 17, 8
2018/4/9, 12, 13
2018/4/10, 25, 6
2018/4/11, 20, 2
2018/4/12, 13, 6
2018/4/13, 8, 6
2018/4/14, 10, 9
2018/4/15, 23, 2
2018/4/16, 10, 3
2018/4/17, 8, 9
2018/4/18, 13, 12
2018/4/19, 21, 14
2018/4/20, 25, 12
2018/4/21, 30, 12
2018/4/22, 21, 23
2018/4/23, 15, 11
2018/4/24, 29, 27
2018/4/25, 32, 18
2018/4/26, 36, 31
2018/4/27, 28, 20
2018/4/28, 36, 6
2018/4/29, 16, 4
2018/4/30, 15, 7
2018/5/1, 16, 11
2018/5/2, 25, 14
2018/5/3, 29, 20
2018/5/4, 29, 16
2018/5/5, 26, 18
2018/5/6, 19, 6
2018/5/7, 14, 13
2018/5/8, 20, 9
2018/5/9, 19, 5
2018/5/10, 21, 4
2018/5/11, 13, 10
2018/5/12, 34, 12
2018/5/13, 33, 15
2018/5/14, 35, 19
2018/5/15, 40, 22
2018/5/16, 39, 10
2018/5/17, 28, 3
2018/5/18, 10, 11
2018/5/19, 13, 9
2018/5/20, 19, 14
2018/5/21, 24, 17
2018/5/22, 30, 
2018/5/23, 21, 12
2018/5/24, 23, 17
2018/5/25, 30, 9
2018/5/26, 19, 13
2018/5/27, 30, 14
2018/5/28, 28, 20
2018/5/29, 26, 12
2018/5/30, 15, 9
2018/5/31, 18, 4
2018/6/1, 15, 10
2018/6/2, 24, 13
2018/6/3, 26, 8
2018/6/4, 13, 11
