date, pm25, o3, no2, so2
2020/1/2, 33, 20, 7, 
2020/1/3, 40, 23, 1, 
2020/1/4, 18, 25, 1, 
2020/1/5, 14, 28, 2, 
2020/1/6, 17, 22, 11, 1
2020/1/7, 32, 26, 2, 
2020/1/8, 25, 24, 4, 
2020/1/9, 17, 20, 9, 
2020/1/10, 35, 21, 4, 
2020/1/11, 18, 25, 1, 
2020/1/12, 12, 23, 4, 
2020/1/13, 26, 17, 4, 
2020/1/14, 40, 16, 6, 
2020/1/15, 32, 13, 4, 
2020/1/16, 39, , , 
2019/10/1, 24, 12, 1, 
2019/10/2, 23, 15, , 
2019/10/3, 12, 20, 1, 
2019/10/4, 16, 22, , 
2019/10/5, 14, 24, 1, 
2019/10/6, 24, 19, 3, 
2019/10/7, 24, 21, 1, 
2019/10/8, 22, 20, 1, 
2019/10/9, 19, 20, 2, 
2019/10/10, 21, 26, 2, 
2019/10/11, 18, 22, 2, 
2019/10/12, 18, 29, 1, 1
2019/10/13, 17, 20, 1, 
2019/10/14, 17, 22, 3, 
2019/10/15, 24, 23, 3, 
2019/10/16, 24, 16, , 
2019/10/17, 18, 20, 1, 
2019/10/18, 17, 20, 1, 
2019/10/19, 25, 21, 2, 
2019/10/20, 30, 29, 2, 
2019/10/21, 41, 23, 2, 
2019/10/22, 20, 23, 4, 
2019/10/23, 24, 21, 3, 
2019/10/24, 19, 17, 2, 
2019/10/25, 17, 23, 2, 
2019/10/26, 24, 23, 1, 
2019/10/27, 16, 24, 3, 1
2019/10/28, 33, 20, 5, 
2019/10/29, 41, 16, 1, 
2019/10/30, 18, 13, 2, 
2019/10/31, 11, 21, 1, 
2019/11/1, 12, 16, 4, 
2019/11/2, 31, 21, 2, 
2019/11/3, 23, 23, 4, 
2019/11/4, 18, 21, 3, 
2019/11/5, 28, 23, 5, 
2019/11/6, 27, 23, 2, 
2019/11/7, 28, 20, 2, 
2019/11/8, 28, 21, 5, 1
2019/11/9, 20, 19, 4, 
2019/11/10, 34, 23, 1, 
2019/11/11, 14, 27, 1, 
2019/11/12, 11, 24, 4, 
2019/11/13, 13, 23, 8, 
2019/11/14, 40, 29, 6, 
2019/11/15, 50, 28, 2, 
2019/11/16, 13, 27, 2, 
2019/11/17, 16, 19, 4, 
2019/11/18, 21, 18, 6, 
2019/11/19, 26, 15, 7, 
2019/11/20, 59, 17, 7, 
2019/11/21, 47, 24, 1, 
2019/11/22, 13, 17, 7, 1
2019/11/23, 23, 13, 6, 
2019/11/24, 61, 12, 10, 
2019/11/25, 67, 12, 8, 
2019/11/26, 57, 18, 5, 
2019/11/27, 60, 24, 1, 
2019/11/28, 17, 21, 1, 
2019/11/29, 13, 22, 2, 
2019/11/30, 17, 26, 1, 
2019/12/1, 13, 28, 1, 
2019/12/2, 11, 23, 12, 
2019/12/3, 37, 18, 11, 
2019/12/4, 66, 20, 2, 
2019/12/5, 42, 25, 7, 
2019/12/6, 26, 22, 6, 
2019/12/7, 20, 22, 7, 
2019/12/8, 27, 19, 6, 
2019/12/9, 32, 26, 2, 
2019/12/10, 22, 28, 4, 
2019/12/11, 23, 23, 6, 
2019/12/12, 25, 21, 6, 
2019/12/13, 35, 20, 3, 
2019/12/14, 37, 29, 1, 
2019/12/15, 16, 24, 7, 1
2019/12/16, 27, 21, 6, 
2019/12/17, 41, 27, 2, 
2019/12/18, 22, 20, 9, 
2019/12/19, 22, 24, 6, 
2019/12/20, 27, 24, 4, 
2019/12/21, 31, 16, 11, 
2019/12/22, 72, 23, 9, 
2019/12/23, 62, 20, 3, 
2019/12/24, 18, 18, 4, 
2019/12/25, 44, 17, 4, 
2019/12/26, 35, 18, 5, 
2019/12/27, 44, 24, 1, 
2019/12/28, 27, , , 
2019/7/1, 22, 29, 2, 
2019/7/2, 36, 43, 1, 
2019/7/3, 26, 35, 3, 
2019/7/4, 45, 43, 2, 
2019/7/5, 46, 27, 2, 
2019/7/6, 40, 19, , 
2019/7/7, 20, 24, 2, 
2019/7/8, 16, 30, 1, 
2019/7/9, 22, 40, 3, 
2019/7/10, 29, 34, 2, 
2019/7/11, 41, 17, 1, 
2019/7/12, 16, 37, 2, 
2019/7/13, 37, 17, , 
2019/7/14, 15, 28, 1, 1
2019/7/15, 13, 29, 3, 
2019/7/16, 29, 26, 4, 
2019/7/17, 33, 28, 2, 
2019/7/18, 21, 32, 3, 
2019/7/19, 29, 32, 3, 
2019/7/20, 38, 24, 1, 
2019/7/21, 21, 22, 2, 
2019/7/22, 16, 23, 1, 
2019/7/23, 27, 23, 1, 
2019/7/24, 18, 40, 2, 
2019/7/25, 29, 45, 3, 2
2019/7/26, 62, 43, 2, 1
2019/7/27, 46, 38, 2, 
2019/7/28, 45, 39, 3, 
2019/7/29, 44, 30, 3, 
2019/7/30, 22, 21, 1, 
2019/7/31, 13, 24, 1, 
2019/8/1, 20, 31, 2, 
2019/8/2, 20, 40, 1, 1
2019/8/3, 18, 22, , 
2019/8/4, 26, 34, 1, 2
2019/8/5, 21, 28, 3, 
2019/8/6, 33, 33, 2, 
2019/8/7, 26, 24, 3, 
2019/8/8, 22, 19, 1, 
