date, pm25, o3, no2, so2
2019/9/18, 28, 31, 8, 
2019/9/19, 30, 46, 9, 
2019/9/20, 37, 57, 8, 
2019/9/21, 43, 44, 6, 
2019/9/22, 52, 52, 4, 
2019/9/23, 47, 24, 6, 
2019/9/24, 22, 38, 3, 
2019/9/25, 26, 36, 5, 
2019/9/26, 37, 40, 4, 
2019/9/27, 31, 36, 3, 
2019/9/28, 34, 32, 2, 
2019/9/29, 27, 26, 12, 
2019/9/30, 23, 33, 3, 
2019/4/1, 25, 38, 12, 
2019/4/2, 36, 23, 11, 
2019/4/3, 32, 42, , 
2019/4/4, 46, 30, 11, 
2019/4/5, 36, 35, 11, 
2019/4/6, 58, 47, 9, 
2019/4/7, 59, 36, 8, 
2019/4/8, 42, 36, 11, 
2019/4/9, 44, 34, 8, 
2019/4/10, 24, 34, 7, 
2019/4/11, 20, 37, 9, 
2019/4/12, 29, 32, 5, 
2019/4/13, 30, 21, 7, 
2019/4/14, 23, 36, 1, 
2019/4/15, 17, 38, 8, 
2019/4/16, 28, 37, 7, 
2019/4/17, 22, 43, 4, 
2019/4/18, 35, 32, 1, 
2019/4/19, 35, 34, 1, 
2019/4/20, 26, 34, 3, 
2019/4/21, 21, 32, 3, 
2019/4/22, 29, 43, 7, 
2019/4/23, 27, 35, 11, 
2019/4/24, 5, 30, 5, 
2019/4/25, 4, 36, 7, 
2019/4/26, 26, 41, 2, 
2019/4/27, 18, 32, 3, 
2019/4/28, 20, 37, 6, 
2019/4/29, 22, 39, 4, 
2019/4/30, 41, 34, 4, 
2019/5/1, 33, 29, 9, 
2019/5/2, 59, 23, 10, 
2019/5/3, 44, 31, 8, 
2019/5/4, 51, 23, 9, 
2019/5/5, 20, 34, 2, 
2019/5/6, 15, 31, 2, 
2019/5/7, 27, 31, 4, 
2019/5/8, 32, 30, 4, 
2019/5/9, 33, 32, 4, 
2019/5/10, 25, 34, 2, 
2019/5/11, 26, 27, 17, 
2019/5/12, 33, 28, 11, 
2019/5/13, 19, 23, , 
2019/5/14, 18, 35, 7, 
2019/5/15, 26, 45, 6, 
2019/5/16, 38, 50, 6, 
2019/5/17, 53, 45, 2, 
2019/5/18, 43, 38, 2, 
2019/5/19, 44, 46, 5, 
2019/5/20, 52, 30, 2, 
2019/5/21, 23, 39, 3, 
2019/5/22, 18, 31, 2, 
2019/5/23, 24, 39, 2, 
2019/5/24, 21, 32, 1, 
2019/5/25, 19, 40, 2, 
2019/5/26, 29, 37, 3, 
2019/5/27, 25, 32, 4, 
2019/5/28, 34, 46, 4, 
2019/5/29, 36, 41, 6, 
2019/5/30, 33, 43, 6, 
2019/5/31, 39, 55, 5, 
2019/6/1, 56, 45, 3, 
2019/6/2, 62, 30, 6, 
2019/6/3, 26, 37, 3, 
2019/6/4, 18, 47, 2, 
2019/6/5, 44, 44, 5, 
2019/6/6, 43, 46, 3, 
2019/6/7, 40, 42, 8, 
2019/6/8, 45, 37, 6, 
2019/6/9, 33, 14, 12, 
2019/6/10, 31, 32, 1, 
2019/6/11, 20, 32, , 
2019/6/12, 23, 32, , 
2019/6/13, 19, 29, , 
2019/6/14, 24, 44, , 
2019/6/15, 32, 38, , 
2019/6/16, 45, 34, , 
2019/6/17, 38, 34, , 
2019/6/18, 32, 28, , 
2019/6/19, 22, 30, , 
2019/6/20, 23, 29, , 
2019/6/21, 25, 24, , 
2019/6/22, 23, 34, , 
2019/6/23, 22, 45, , 
2019/6/24, 36, 38, , 
2019/6/25, 41, 51, , 
2019/6/26, 38, 59, , 
2019/6/27, 41, 64, , 
2019/6/28, 49, 47, , 
2019/6/29, 46, 33, , 
2019/6/30, 37, 37, , 
2019/1/1, 53, 17, 9, 
2019/1/2, 62, 18, 9, 
2019/1/3, 62, 10, 13, 
2019/1/4, 78, 15, 9, 
2019/1/5, 61, 27, 6, 
2019/1/6, 62, 23, 6, 
2019/1/7, 51, 18, 15, 
2019/1/8, 71, 23, 2, 
2019/1/9, 56, 24, 1, 
2019/1/10, 52, 30, 8, 
2019/1/11, 53, 25, 12, 
2019/1/12, 24, 19, 11, 
2019/1/13, 33, 26, 11, 
2019/1/14, 23, 21, 19, 
2019/1/15, 51, 16, 17, 
2019/1/16, 52, 23, 8, 
2019/1/17, 18, 10, 22, 
2019/1/18, 81, 16, 16, 
2019/1/19, 102, 29, 11, 
2019/1/20, 70, 30, 1, 
2019/1/21, 59, 26, 6, 
2019/1/22, 69, 20, 12, 
2019/1/23, 71, 29, 5, 
2019/1/24, 70, 28, 6, 
2019/1/25, 54, 28, 10, 
2019/1/26, 35, 26, 12, 
2019/1/27, 45, 25, 10, 
2019/1/28, 47, 23, 11, 
2019/1/29, 47, 29, 3, 
2019/1/30, 35, 28, 6, 
2019/1/31, 27, 19, 18, 
2019/2/1, 53, 20, 16, 
2019/2/2, 97, 14, 24, 
2019/2/3, 100, 15, 28, 
2019/2/4, 92, 14, 24, 
2019/2/5, 76, 21, 11, 
2019/2/6, 44, 14, 11, 
2019/2/7, 45, 29, 7, 
2019/2/8, 35, 31, 4, 
2019/2/9, 21, 28, 10, 
2019/2/10, 39, 16, 17, 
2019/2/11, 74, 19, 21, 
2019/2/12, 45, 28, 5, 
2019/2/13, 36, 30, 9, 
2019/2/14, 31, 34, 7, 
2019/2/15, 28, 34, 2, 
2019/2/16, 33, 28, 3, 
2019/2/17, 27, 28, 6, 
2019/2/18, 35, 32, 5, 
2019/2/19, 31, 24, 15, 
2019/2/20, 35, 31, 10, 
2019/2/21, 45, 35, 8, 
2019/2/22, 54, 27, 10, 
2019/2/23, 49, 30, 9, 
2019/2/24, 29, 35, 1, 
2019/2/25, 23, 32, 5, 
2019/2/26, 32, 32, 5, 
2019/2/27, 28, 32, 8, 
2019/2/28, 44, 24, 16, 
2019/3/1, 49, 29, 9, 
2019/3/2, 53, 30, 10, 
2019/3/3, 68, 36, 8, 
2019/3/4, 38, 31, 11, 
2019/3/5, 42, 29, 9, 
2019/3/6, 52, 31, 18, 
2019/3/7, 63, 35, 18, 
2019/3/8, 68, 34, 9, 
2019/3/9, 69, 32, 11, 
2019/3/10, 49, 35, 10, 
2019/3/11, 43, 38, 9, 
2019/3/12, 34, 39, 13, 
2019/3/13, 43, 41, 7, 
2019/3/14, 32, 36, 4, 
2019/3/15, 34, 35, 2, 
2019/3/16, 21, 35, 6, 
2019/3/17, 22, 30, 16, 
2019/3/18, 35, 35, 15, 
2019/3/19, 44, 38, 12, 
2019/3/20, 46, 36, 13, 
2019/3/21, 35, 35, 2, 
2019/3/22, 16, 36, 4, 
2019/3/23, 12, 38, 11, 
2019/3/24, 24, 31, 15, 
2019/3/25, 41, 35, 5, 
2019/3/26, 18, 35, 10, 
2019/3/27, 21, 40, 5, 
2019/3/28, 26, 28, 12, 
2019/3/29, 36, 43, 8, 
2019/3/30, 48, 35, 3, 
2019/3/31, 24, 36, 9, 
2018/10/1, 40, 34, , 
2018/10/2, 20, 30, , 
2018/10/3, 5, 13, , 
2018/10/5, 38, 17, 2, 
2018/10/6, 36, 22, 6, 
2018/10/7, 51, 14, 10, 
2018/10/8, 50, 18, 7, 
2018/10/9, 38, 24, 3, 
2018/10/10, 30, 14, 4, 
2018/10/11, 25, 22, 4, 
2018/10/12, 33, 24, 5, 
2018/10/13, 33, 22, 3, 
2018/10/14, 34, 19, 5, 
2018/10/15, 38, 24, 6, 
2018/10/16, 28, 27, 6, 
2018/10/17, 34, 26, 9, 
2018/10/18, 27, 31, 8, 
2018/10/19, 40, 28, 6, 
2018/10/20, 42, 26, 3, 
2018/10/21, 18, 26, 5, 
2018/10/22, 32, 30, 5, 
2018/10/23, 36, 20, 5, 
2018/10/24, 27, 20, 10, 
2018/10/25, 47, 14, 15, 
2018/10/26, 47, 23, 7, 
2018/10/27, 23, 14, 5, 
2018/10/28, 37, 20, 6, 
2018/10/29, 26, 26, 14, 
2018/10/30, 45, 33, 7, 
2018/10/31, 57, 29, 8, 
2018/11/1, 59, 26, 2, 
2018/11/2, 37, 22, 2, 
