date, pm25, so2
2020/1/2, 20, 2
2020/1/3, 15, 2
2020/1/4, 20, 2
2020/1/5, 16, 2
2020/1/6, 21, 2
2020/1/7, 17, 2
2020/1/8, 14, 2
2020/1/9, 15, 2
2020/1/10, 13, 
2020/1/11, 12, 
2020/1/12, 12, 
2020/1/13, 20, 
2020/1/14, 18, 
2020/1/15, 13, 
2019/10/1, 17, 1
2019/10/2, 13, 1
2019/10/3, 19, 1
2019/10/4, 19, 1
2019/10/5, 16, 2
2019/10/6, 13, 1
2019/10/7, 13, 1
2019/10/8, 18, 1
2019/10/9, 17, 1
2019/10/10, 16, 1
2019/10/11, 19, 1
2019/10/12, 16, 1
2019/10/13, 18, 1
2019/10/14, 15, 2
2019/10/15, 11, 1
2019/10/16, 15, 1
2019/10/17, 16, 1
2019/10/18, 16, 1
2019/10/19, 12, 1
2019/10/20, 12, 1
2019/10/21, 14, 1
2019/10/22, 16, 1
2019/10/23, 14, 1
2019/10/24, 18, 1
2019/10/25, 11, 1
2019/10/26, 15, 1
2019/10/27, 20, 1
2019/10/28, 17, 1
2019/10/29, 12, 2
2019/10/30, 14, 1
2019/10/31, 16, 1
2019/11/1, 15, 2
2019/11/2, 12, 2
2019/11/3, 17, 2
2019/11/4, 16, 1
2019/11/5, 13, 2
2019/11/6, 12, 1
2019/11/7, 13, 2
2019/11/8, 13, 1
2019/11/9, 13, 2
2019/11/10, 13, 1
2019/11/11, 14, 2
2019/11/12, 13, 1
2019/11/13, 13, 1
2019/11/14, 16, 2
2019/11/15, 14, 3
2019/11/16, 16, 1
2019/11/17, 17, 1
2019/11/18, 14, 1
2019/11/19, 15, 1
2019/11/20, 16, 2
2019/11/21, 13, 1
2019/11/22, 12, 1
2019/11/23, 16, 1
2019/11/24, 14, 1
2019/11/25, 17, 1
2019/11/26, 16, 1
2019/11/27, 19, 1
2019/11/28, 16, 1
2019/11/29, 16, 2
2019/11/30, 11, 1
2019/12/1, 11, 1
2019/12/2, 11, 2
2019/12/3, 14, 1
2019/12/4, 12, 1
2019/12/5, 11, 1
2019/12/6, 12, 2
2019/12/7, 12, 3
2019/12/8, 16, 2
2019/12/9, 15, 2
2019/12/10, 14, 2
2019/12/11, 11, 2
2019/12/12, 19, 2
2019/12/13, 18, 2
2019/12/14, 17, 2
2019/12/15, 12, 3
2019/12/16, 12, 2
2019/12/17, 16, 2
2019/12/18, 15, 2
2019/12/19, 17, 2
2019/12/20, 16, 2
2019/12/21, 13, 2
