date, pm25, pm10
2019/5/20, 59, 6
2019/5/21, 14, 7
2019/5/22, 20, 7
2019/5/23, 22, 8
2019/5/24, 23, 5
2019/5/25, 13, 4
2019/5/26, 10, 5
2019/5/27, 17, 2
2019/5/28, 9, 4
2019/5/29, 16, 5
2019/5/30, 20, 10
2019/5/31, 33, 32
2019/6/1, 94, 23
2019/6/2, 71, 3
2019/6/3, 11, 13
2019/6/4, 47, 17
2019/6/5, 52, 10
2019/6/6, 34, 21
2019/6/7, 68, 7
2019/6/8, 27, 11
2019/6/9, 38, 4
2019/6/10, 13, 5
2019/6/11, 12, 8
2019/6/12, 25, 6
2019/6/13, 18, 6
2019/6/14, 17, 20
2019/6/15, 59, 16
2019/6/16, 53, 13
2019/6/17, 41, 4
2019/6/18, 15, 6
2019/6/19, 22, 22
2019/6/20, 69, 20
2019/6/21, 65, 36
2019/6/22, 102, 29
2019/6/23, 86, 31
2019/6/24, 86, 18
2019/6/25, 59, 14
2019/6/26, 48, 13
2019/6/27, 41, 6
2019/6/28, 17, 6
2019/6/29, 21, 3
2019/6/30, 9, 4
2019/1/1, 5, 5
2019/1/2, 9, 8
2019/1/3, 18, 7
2019/1/4, 19, 5
2019/1/5, 6, 2
2019/1/6, 5, 4
2019/1/7, 5, 5
2019/1/8, 16, 3
2019/1/9, 5, 3
2019/1/10, 5, 5
2019/1/11, 9, 6
2019/1/12, 10, 8
2019/1/13, 10, 6
2019/1/14, 7, 6
2019/1/15, 11, 6
2019/1/16, 15, 6
2019/1/17, 12, 6
2019/1/18, 15, 3
2019/1/19, 6, 9
2019/1/20, 36, 7
2019/1/21, 20, 6
2019/1/22, 10, 13
2019/1/23, 34, 9
2019/1/24, 22, 12
2019/1/25, 19, 8
2019/1/26, 23, 4
2019/1/27, 6, 5
2019/1/28, 7, 6
2019/1/29, 7, 7
2019/1/30, 11, 4
2019/1/31, 14, 5
2019/2/1, 11, 7
2019/2/2, 13, 13
2019/2/3, 36, 12
2019/2/4, 37, 5
2019/2/5, 14, 6
2019/2/6, 14, 5
2019/2/7, 14, 5
2019/2/8, 17, 1
2019/2/9, 5, 2
2019/2/10, 5, 1
2019/2/11, 5, 2
2019/2/12, 5, 1
2019/2/13, 5, 2
2019/2/14, 5, 4
2019/2/15, 7, 4
2019/2/16, 9, 4
2019/2/17, 10, 4
2019/2/18, 9, 3
2019/2/19, 7, 4
2019/2/20, 7, 3
2019/2/21, 6, 3
2019/2/22, 5, 4
2019/2/23, 6, 7
2019/2/24, 10, 8
2019/2/25, 13, 9
2019/2/26, 16, 5
2019/2/27, 7, 7
2019/2/28, 9, 10
2019/3/1, 14, 7
2019/3/2, 9, 9
2019/3/3, 19, 8
2019/3/4, 17, 3
2019/3/5, 5, 2
2019/3/6, 5, 6
2019/3/7, 7, 5
2019/3/8, 9, 3
2019/3/9, 8, 8
2019/3/10, 31, 5
2019/3/11, 12, 4
2019/3/12, 10, 4
2019/3/13, 7, 5
2019/3/14, 9, 4
2019/3/15, 8, 4
2019/3/16, 7, 3
2019/3/17, 7, 2
2019/3/18, 5, 2
2019/3/19, 5, 1
2019/3/20, 5, 4
2019/3/21, 10, 2
2019/3/22, 6, 3
2019/3/23, 7, 2
2019/3/24, 7, 4
2019/3/25, 6, 4
2019/3/26, 18, 7
2019/3/27, 16, 5
2019/3/28, 10, 6
2019/3/29, 11, 2
2019/3/30, 9, 3
2019/3/31, 12, 6
2018/10/1, 15, 10
2018/10/2, 33, 4
2018/10/3, 14, 5
2018/10/4, 11, 9
2018/10/5, 28, 10
2018/10/6, 33, 9
2018/10/7, 29, 5
2018/10/8, 15, 5
2018/10/9, 11, 10
2018/10/10, 37, 12
2018/10/11, 39, 11
2018/10/12, 39, 8
2018/10/13, 24, 8
2018/10/14, 15, 7
2018/10/15, 13, 8
2018/10/16, 17, 9
2018/10/17, 27, 3
2018/10/18, 11, 4
2018/10/19, 15, 5
2018/10/20, 14, 4
2018/10/21, 8, 4
2018/10/22, 9, 5
2018/10/23, 12, 5
2018/10/24, 19, 4
2018/10/25, 10, 6
2018/10/26, 12, 4
2018/10/27, 9, 9
2018/10/28, 30, 5
2018/10/29, 20, 5
2018/10/30, 12, 3
2018/10/31, 7, 6
2018/11/1, 12, 6
2018/11/2, 12, 4
2018/11/3, 7, 3
2018/11/4, 6, 3
2018/11/5, 12, 2
2018/11/6, 7, 5
2018/11/7, 13, 3
2018/11/8, 10, 4
2018/11/9, 11, 4
2018/11/10, 12, 3
2018/11/11, 14, 5
2018/11/12, 13, 7
2018/11/13, 12, 4
2018/11/14, 8, 2
2018/11/15, 6, 4
2018/11/16, 8, 3
2018/11/17, 13, 4
2018/11/18, 15, 3
2018/11/19, 5, 6
2018/11/20, 10, 3
2018/11/21, 6, 2
2018/11/22, 5, 4
2018/11/23, 6, 1
2018/11/24, 5, 3
2018/11/25, 8, 1
2018/11/26, 6, 3
2018/11/27, 9, 2
2018/11/28, 7, 2
2018/11/29, 6, 3
2018/11/30, 6, 3
2018/12/1, 16, 3
2018/12/2, 7, 5
2018/12/3, 6, 2
2018/12/4, 6, 3
2018/12/5, 6, 5
2018/12/6, 7, 12
2018/12/7, 16, 7
2018/12/8, 9, 3
2018/12/9, 7, 4
2018/12/10, 7, 6
2018/12/11, 8, 6
2018/12/12, 6, 5
2018/12/13, 7, 5
2018/12/14, 6, 2
2018/12/15, 6, 8
2018/12/16, 7, 8
2018/12/17, 13, 4
2018/12/18, 7, 6
2018/12/19, 8, 4
2018/12/20, 6, 2
2018/12/21, 5, 2
2018/12/22, 5, 3
2018/12/23, 5, 3
2018/12/25, 7, 5
2018/12/26, 10, 5
2018/12/27, 11, 5
2018/12/28, 7, 6
2018/12/29, 9, 5
2018/12/30, 8, 
2018/7/1, 45, 22
2018/7/2, 61, 15
2018/7/3, 22, 15
2018/7/4, 27, 13
2018/7/5, 17, 11
2018/7/6, 15, 6
2018/7/7, 15, 7
2018/7/8, 19, 34
2018/7/9, 96, 33
2018/7/10, 91, 29
2018/7/11, 76, 45
2018/7/12, 121, 34
2018/7/13, 96, 34
2018/7/14, 95, 23
2018/7/15, 71, 14
2018/7/16, 27, 12
2018/7/17, 16, 14
2018/7/18, 19, 12
2018/7/19, 20, 12
2018/7/20, 27, 16
2018/7/21, 49, 18
2018/7/22, 55, 9
2018/7/23, 18, 10
2018/7/24, 16, 8
2018/7/25, 15, 9
2018/7/26, 22, 10
2018/7/27, 24, 23
2018/7/28, 69, 14
2018/7/29, 37, 6
2018/7/30, 15, 8
2018/7/31, 14, 20
2018/8/1, 60, 43
2018/8/2, 105, 31
2018/8/3, 87, 10
2018/8/4, 28, 17
2018/8/5, 33, 14
2018/8/6, 34, 6
2018/8/7, 16, 8
2018/8/8, 20, 12
2018/8/9, 20, 14
2018/8/10, 19, 12
2018/8/11, 34, 12
2018/8/12, 34, 7
2018/8/13, 18, 9
2018/8/14, 15, 
