date, pm25, o3, so2, co
2020/1/2, 39, 12, , 
2020/1/3, 47, 14, , 
2020/1/4, 21, 13, , 
2020/1/5, 25, 14, , 
2020/1/6, 62, 16, , 
2020/1/7, 40, 15, , 
2020/1/8, 40, 16, , 
2020/1/9, 41, 14, , 
2020/1/10, 35, 12, , 
2020/1/11, 40, 8, , 
2020/1/12, 22, 10, , 
2020/1/13, 25, 13, , 
2020/1/14, 31, 9, , 
2020/1/15, 17, , , 
2019/10/1, 52, 17, , 
2019/10/2, 32, 18, , 
2019/10/3, 37, 17, , 
2019/10/4, 36, 13, , 
2019/10/5, 26, 14, , 
2019/10/6, 30, 13, , 
2019/10/7, 28, 17, , 
2019/10/8, 30, 16, , 
2019/10/9, 36, 17, , 
2019/10/10, 25, 18, , 
2019/10/11, 30, 18, , 
2019/10/12, 34, 17, , 
2019/10/13, 34, 15, , 
2019/10/14, 41, 12, , 
2019/10/15, 37, 10, , 
2019/10/16, 22, 14, , 
2019/10/17, 24, 11, , 
2019/10/18, 34, 12, , 
2019/10/19, 18, 11, , 
2019/10/20, 20, 11, , 
2019/10/21, 31, 11, , 
2019/10/22, 24, 16, , 
2019/10/23, 30, 14, , 
2019/10/24, 37, 11, , 
2019/10/25, 30, 10, , 
2019/10/26, 30, 13, , 
2019/10/27, 33, 13, , 
2019/10/28, 43, 6, , 
2019/10/29, 35, 7, , 
2019/10/30, 26, 7, , 
2019/10/31, 20, 12, , 
2019/11/1, 25, 14, , 
2019/11/2, 36, 15, , 
2019/11/3, 39, 15, , 
2019/11/4, 40, 12, , 
2019/11/5, 36, 15, , 
2019/11/6, 48, 12, , 
2019/11/7, 38, 11, , 
2019/11/8, 28, 14, , 
2019/11/9, 28, 15, , 
2019/11/10, 44, 15, , 
2019/11/11, 42, 8, , 
2019/11/12, 50, 13, , 
2019/11/13, 31, 11, , 
2019/11/14, 32, 7, , 
2019/11/15, 12, 12, , 
2019/11/16, 23, 13, , 
2019/11/17, 29, 12, , 
2019/11/18, 48, 14, , 
2019/11/19, 47, 15, , 
2019/11/20, 49, 15, , 
2019/11/21, 46, 14, , 
2019/11/22, 46, 15, , 
2019/11/23, 28, 9, , 
2019/11/24, 22, 12, , 
2019/11/25, 47, 12, , 
2019/11/26, 49, 11, , 
2019/11/27, 31, 14, , 
2019/11/28, 26, 15, , 
2019/11/29, 34, 15, , 
2019/11/30, 47, 13, , 
2019/12/1, 21, 13, , 
2019/12/2, 19, 11, , 
2019/12/3, 31, 9, , 
2019/12/4, 52, 15, , 
2019/12/5, 34, 16, , 9
2019/12/6, 51, 14, , 
2019/12/7, 47, 14, , 
2019/12/8, 38, 13, , 
2019/12/9, 28, 11, , 
2019/12/10, 22, 12, , 
2019/12/11, 16, 11, , 
2019/12/12, 26, 9, , 
2019/12/13, 29, 11, , 
2019/12/14, 31, 14, , 
2019/12/15, 52, 14, , 
2019/12/16, 37, 10, , 
2019/12/17, 31, 13, , 
2019/12/18, 27, 14, , 
2019/12/19, 27, 15, , 
2019/12/20, 29, 14, , 
2019/12/21, 32, 12, , 
2019/12/22, 14, 9, , 
2019/12/23, 12, 11, , 
2019/12/24, 19, 14, , 
2019/12/25, 28, 13, , 
2019/12/26, 41, 14, , 
2019/12/27, 27, 11, , 
2019/12/28, 24, , , 
2019/7/1, 38, 15, , 
2019/7/2, 50, 17, , 
2019/7/3, 55, 15, , 
2019/7/4, 57, 13, , 
2019/7/5, 36, 11, , 
2019/7/6, 25, 12, , 
2019/7/7, 40, 13, , 
2019/7/8, 34, 15, , 
2019/7/9, 38, 14, , 
2019/7/10, 30, 5, , 
2019/7/11, 41, 9, , 
2019/7/12, 32, 9, , 
2019/7/13, 51, 10, , 
2019/7/14, 61, 11, , 
2019/7/15, 70, 12, , 
2019/7/16, 72, 11, , 
2019/7/17, 60, 9, , 
2019/7/18, 47, 9, , 
2019/7/19, 36, 13, , 
