date, pm25, pm10, o3, no2, so2, co, aqi
2020/1/2, 186, 146, 50, 29, 16, 20, 
2020/1/3, 218, 198, 4, 38, 15, 18, 
2020/1/4, 303, 178, 2, 44, 11, 24, 
2020/1/5, 292, 69, 14, 23, 6, 13, 
2020/1/6, 173, 58, 22, 17, 8, 10, 
2020/1/7, 147, 64, 11, 18, 4, 19, 
2020/1/8, 161, 75, 9, 26, 6, 19, 
2020/1/9, 168, 175, 6, 34, 8, 26, 
2020/1/10, 247, 117, 20, 26, 8, 25, 
2020/1/11, 197, 120, 11, 30, 12, 17, 
2020/1/12, 197, 147, 11, 32, 16, , 
2020/1/13, 231, 206, 13, 30, 10, , 
2020/1/14, 298, 147, 4, 32, 12, 5, 
2020/1/15, 258, 120, 8, 28, 9, 6, 
2020/1/16, 222, , , , , , 
2019/10/1, 116, 95, 105, 17, 9, 7, 
2019/10/2, 142, 101, 93, 20, 8, 7, 
2019/10/3, 143, 56, 35, 11, 5, 7, 
2019/10/4, 124, 19, 31, 9, 5, 3, 
2019/10/5, 44, 24, 29, 12, 5, 3, 
2019/10/6, 68, 40, 31, 11, 6, 6, 
2019/10/7, 94, 70, 33, 21, 7, 8, 
2019/10/8, 105, 41, 28, 16, 5, 5, 
2019/10/9, 78, 63, 25, 19, 7, 8, 
2019/10/10, 135, 72, 29, 21, 9, 7, 
2019/10/11, 149, 71, 37, 23, 10, 8, 
2019/10/12, 131, 84, 26, 25, 11, 10, 
2019/10/13, 156, 32, 21, 16, 6, 5, 
2019/10/14, 63, 46, 19, 21, 10, 6, 
2019/10/15, 75, 49, 9, 23, 9, 8, 
2019/10/16, 113, 76, 17, 22, 7, 7, 
2019/10/17, 148, 87, 32, 24, 8, 11, 
2019/10/18, 164, 78, 52, 22, 7, 9, 
2019/10/19, 151, 111, 56, 23, 10, 12, 
2019/10/20, 178, 124, 43, 21, 11, 15, 
2019/10/21, 169, 112, 20, 30, 16, 26, 
2019/10/22, 157, 78, 20, 24, 6, 12, 
2019/10/23, 159, 75, 30, 20, 7, 13, 
2019/10/24, 143, 45, 21, 18, 7, 3, 
2019/10/25, 62, 67, 19, 20, 7, 5, 
2019/10/26, 101, 72, 36, 23, 10, 9, 
2019/10/27, 114, 192, 35, 20, 12, 5, 
2019/10/28, 138, 123, 28, 23, 10, 6, 
2019/10/29, 125, 113, 27, 27, 13, 13, 
2019/10/30, 146, 76, 33, 23, 15, 7, 
2019/10/31, 102, 105, 18, 30, 18, 13, 
2019/11/1, 148, 105, 31, 30, 15, 10, 
2019/11/2, 163, 69, 17, 19, 9, 7, 
2019/11/3, 128, 63, 26, 20, 8, 6, 
2019/11/4, 114, 97, 36, 26, 9, 13, 
2019/11/5, 169, 108, 39, 28, 8, 12, 
2019/11/6, 176, 109, 7, 29, 9, 12, 
