date, pm25, pm10, so2
2020/1/2, 33, 14, 
2020/1/3, 34, 8, 
2020/1/4, 20, 8, 
2020/1/5, 21, 42, 
2020/1/6, 47, 22, 
2020/1/7, 30, 41, 
2020/1/8, 38, 52, 
2020/1/9, 51, 38, 1
2020/1/10, 42, 27, 
2020/1/11, 48, 21, 
2020/1/12, 44, 20, 
2020/1/13, 37, 19, 
2020/1/14, 31, 26, 
2020/1/15, 49, , 
2020/1/16, 39, , 
2019/10/1, 46, 32, 2
2019/10/2, 46, 28, 7
2019/10/3, 47, 28, 2
2019/10/4, 39, 22, 4
2019/10/5, 30, , 11
2019/10/8, 26, 15, 8
2019/10/9, 28, 18, 11
2019/10/10, 35, 21, 4
2019/10/11, 30, 18, 2
2019/10/12, 26, 10, 1
2019/10/13, 17, 14, 1
2019/10/14, 23, 17, 2
2019/10/15, 39, 10, 1
2019/10/16, 20, 21, 1
2019/10/17, 38, 20, 1
2019/10/18, 33, 15, 1
2019/10/19, 27, 7, 1
2019/10/20, 16, 15, 2
2019/10/21, 25, 14, 1
2019/10/22, 21, 28, 9
2019/10/23, 27, 25, 2
2019/10/24, 31, 20, 2
2019/10/25, 26, 17, 2
2019/10/26, 25, , 1
2019/10/28, 37, 21, 2
2019/10/29, 37, 22, 2
2019/10/30, 41, 12, 1
2019/10/31, 21, 13, 11
2019/11/1, 19, 15, 5
2019/11/2, 30, 14, 6
2019/11/3, 33, 24, 1
2019/11/4, 35, 20, 4
2019/11/5, 35, 26, 3
2019/11/6, 50, 32, 3
2019/11/7, 51, 15, 27
2019/11/8, 30, 15, 17
2019/11/9, 33, 19, 4
2019/11/10, 40, 32, 2
2019/11/11, 46, 15, 2
2019/11/12, 23, 22, 14
2019/11/13, 27, 22, 14
2019/11/14, 34, 9, 9
2019/11/15, 20, 9, 2
2019/11/16, 21, 9, 3
2019/11/17, 22, 17, 3
2019/11/18, 31, 19, 2
2019/11/19, 43, 17, 3
2019/11/20, 44, 24, 3
2019/11/21, 40, 32, 2
2019/11/22, 47, 15, 2
2019/11/23, 39, 9, 2
2019/11/24, 21, 33, 2
2019/11/25, 39, 34, 2
2019/11/26, 50, 29, 2
2019/11/27, 55, , 2
2019/12/2, 17, 18, 2
2019/12/3, 37, 24, 2
2019/12/4, 48, 24, 5
2019/12/5, 43, 48, 2
2019/12/6, 57, 24, 3
2019/12/7, 51, 20, 8
2019/12/8, 44, 14, 2
2019/12/9, 25, 18, 
2019/12/10, 30, 14, 4
2019/12/11, 19, 23, 1
2019/12/12, 36, 19, 2
2019/12/13, 42, 8, 
2019/12/14, 23, 14, 
2019/12/15, 49, 19, 2
2019/12/16, 38, 10, 
2019/12/17, 24, 9, 
2019/12/18, 18, 19, 1
2019/12/19, 32, 27, 1
2019/12/20, 43, 28, 1
2019/12/21, 46, 10, 
2019/12/22, 26, 7, 
2019/12/23, 19, 6, 9
2019/12/24, 11, , 3
2019/12/26, 43, 30, 1
2019/12/27, 39, 33, 1
2019/12/28, 45, , 
2019/7/1, 50, 38, 6
2019/7/2, 69, 30, 3
2019/7/3, 58, 25, 3
2019/7/4, 57, 20, 2
2019/7/5, 44, 14, 1
2019/7/6, 29, 14, 1
2019/7/7, 31, 21, 1
2019/7/8, 44, 24, 2
2019/7/9, 45, 19, 1
2019/7/10, 35, 20, 1
2019/7/11, 36, 16, 1
2019/7/12, 27, 21, 1
2019/7/13, 32, 47, 2
2019/7/14, 63, 35, 2
2019/7/15, 46, 42, 6
2019/7/16, 54, 46, 1
