date, pm25, pm10, so2, co
2020/1/2, 34, 16, , 1
2020/1/3, 28, 16, , 1
2020/1/4, 30, 14, , 1
2020/1/5, 27, 16, , 1
2020/1/6, 25, 18, , 1
2020/1/7, 31, 23, , 1
2020/1/8, 35, 29, , 1
2020/1/9, 37, 36, , 1
2020/1/10, 50, 32, , 1
2020/1/11, 52, 32, , 1
2020/1/12, 52, 31, , 1
2020/1/13, 48, 36, , 1
2020/1/14, 46, 24, , 1
2020/1/15, 29, 16, , 2
2020/1/16, 24, , , 
2019/10/22, 22, 14, , 1
2019/10/23, 24, 17, , 1
2019/10/24, 27, 20, , 
2019/10/25, 27, 12, , 1
2019/10/26, 21, 10, , 1
2019/10/27, 20, 14, , 1
2019/10/28, 26, 15, , 1
2019/10/29, 24, 12, , 1
2019/10/30, 20, 13, , 1
2019/10/31, 19, 15, , 1
2019/11/1, 23, 14, , 1
2019/11/2, 22, 11, , 1
2019/11/3, 21, 14, , 1
2019/11/4, 22, 15, , 1
2019/11/5, 19, 22, , 1
2019/11/6, 26, 21, , 1
2019/11/7, 26, 16, , 1
2019/11/8, 25, 17, , 1
2019/11/9, 23, 14, , 1
2019/11/10, 21, 15, , 1
2019/11/11, 19, 19, , 1
2019/11/12, 28, 40, , 1
2019/11/13, 33, 16, , 1
2019/11/14, 27, 13, , 1
2019/11/15, 23, 12, , 2
2019/11/16, 21, 11, , 1
2019/11/17, 33, 19, , 1
2019/11/18, 38, 20, , 1
2019/11/19, 36, 29, , 1
2019/11/20, 51, 25, , 1
2019/11/21, 39, 21, , 2
2019/11/22, 33, 22, , 2
2019/11/23, 37, 13, , 2
2019/11/24, 28, 19, , 1
2019/11/25, 38, 24, , 1
2019/11/26, 44, 27, , 3
2019/11/27, 44, 19, , 4
2019/11/28, 46, 22, , 3
2019/11/29, 32, 18, , 1
2019/11/30, 32, 15, , 2
2019/12/1, 30, 19, , 3
2019/12/2, 33, 17, , 1
2019/12/3, 28, 24, , 1
2019/12/4, 36, 30, , 2
2019/12/5, 58, 22, , 2
2019/12/6, 40, 25, , 3
2019/12/7, 51, 18, , 3
2019/12/8, 37, 20, , 2
2019/12/9, 27, 23, , 2
2019/12/10, 37, 23, , 1
2019/12/11, 37, 18, , 1
2019/12/12, 30, 17, , 1
2019/12/13, 26, 16, , 1
2019/12/14, 29, 14, , 1
2019/12/15, 28, 26, , 1
2019/12/16, 42, 23, , 1
2019/12/17, 37, 18, , 1
2019/12/18, 31, 17, , 1
2019/12/19, 30, 26, , 1
2019/12/20, 36, 22, , 1
2019/12/21, 35, 19, , 
2019/12/22, 31, 12, , 
2019/12/23, 22, 14, , 1
2019/12/24, 23, 13, , 1
2019/12/25, 24, 20, , 1
2019/12/26, 29, 17, , 1
2019/12/27, 26, 17, , 1
2019/12/28, 31, , , 1
2018/8/8, 65, , , 1
2018/8/9, 68, , , 1
2018/8/10, 66, , , 1
2018/4/1, 25, , , 
2018/4/2, 31, , , 
2018/4/3, 26, , , 
2018/4/4, 25, , , 
2018/4/5, 38, , , 
2018/4/6, 35, , , 
2018/4/7, 33, , , 
2018/4/8, 47, , , 
2018/4/9, 44, , , 
2018/4/10, 34, , , 
2018/4/11, 33, , , 
2018/4/12, 31, , , 
2018/4/13, 36, , , 
2018/4/14, 34, , , 
2018/4/15, 33, , , 
2018/4/16, 30, , , 
2018/4/17, 32, , , 
2018/4/18, 36, , , 
2018/4/19, 33, , , 
2018/4/20, 56, , , 
2018/4/21, 42, , , 
2018/4/22, 36, , , 
2018/4/23, 27, , , 
2018/4/24, 34, , , 
2018/4/25, 32, , , 
2018/4/26, 37, , , 
2018/4/27, 40, , , 
2018/4/29, 38, , , 
2018/4/30, 45, , , 
2018/5/1, 48, , , 
2018/5/2, 43, , , 
2018/5/3, 43, , , 
2018/5/4, 37, , , 
2018/5/5, 28, , , 
2018/5/6, 29, , , 
2018/5/7, 46, , , 
2018/5/8, 38, , , 
2018/5/9, 37, , , 
2018/5/10, 37, , , 
2018/5/11, 37, , , 
2018/5/12, 30, , , 
2018/5/13, 26, , , 
2018/5/14, 30, , , 2
2018/5/15, 25, , , 2
2018/5/16, 33, , , 2
2018/5/17, 28, , , 1
2018/5/18, 25, , , 2
2018/5/19, 21, , , 1
2018/5/20, 32, , , 
2018/5/21, 39, , , 
2018/5/22, 36, , , 
2018/5/23, 34, , , 1
2018/5/24, 35, , , 1
2018/5/25, 32, , , 1
2018/5/26, 26, , , 1
2018/5/27, 31, , , 1
2018/5/28, 21, , , 1
2018/5/29, 30, , , 1
2018/5/30, 42, , , 1
2018/5/31, 33, , , 2
2018/6/1, 24, , , 1
2018/6/2, 27, , , 1
2018/6/3, 37, , , 1
2018/6/4, 34, , , 1
2018/6/5, 34, , , 1
2018/6/6, 38, , , 1
2018/6/7, 46, , , 2
2018/6/8, 44, , , 2
2018/6/9, 57, , , 2
2018/6/10, 43, , , 2
2018/6/11, 34, , , 1
2018/6/12, 36, , , 1
2018/6/13, 27, , , 2
2018/6/14, 36, , , 2
2018/6/15, 57, , , 1
2018/6/16, 55, , , 1
2018/6/17, 40, , , 1
2018/6/18, 35, , , 1
2018/6/19, 36, , , 
2018/1/1, 83, , , 
2018/1/2, 18, , , 
2018/1/3, 16, , , 
2018/1/4, 28, , , 
2018/1/5, 31, , , 
2018/1/6, 22, , , 
2018/1/7, 28, , , 
2018/1/8, 36, , , 
2018/1/9, 28, , , 
2018/1/10, 37, , , 
2018/1/11, 22, , , 
2018/1/12, 25, , , 
2018/1/13, 30, , , 
2018/1/14, 28, , , 
2018/1/15, 33, , , 
2018/1/16, 28, , , 
2018/1/17, 35, , , 
2018/1/18, 40, , , 
2018/1/19, 34, , , 
2018/1/20, 39, , , 
2018/1/21, 29, , , 
2018/1/22, 35, , , 
2018/1/23, 33, , , 
2018/1/24, 41, , , 
2018/1/25, 36, , , 
2018/1/26, 37, , , 
2018/1/27, 37, , , 
2018/1/28, 42, , , 
2018/1/29, 33, , , 
2018/1/30, 27, , , 
2018/1/31, 31, , , 
2018/2/1, 35, , , 
2018/2/2, 44, , , 
2018/2/3, 42, , , 
2018/2/4, 29, , , 
2018/2/5, 35, , , 
2018/2/6, 41, , , 
2018/2/7, 33, , , 
2018/2/8, 31, , , 
2018/2/9, 29, , , 
2018/2/10, 33, , , 
2018/2/11, 38, , , 
2018/2/12, 43, , , 
2018/2/13, 35, , , 
2018/2/14, 22, , , 
2018/2/15, 23, , , 
2018/2/16, 32, , , 
2018/2/17, 29, , , 
2018/2/18, 26, , , 
2018/2/19, 30, , , 
2018/2/20, 38, , , 
2018/2/21, 34, , , 
2018/2/22, 40, , , 
2018/2/23, 35, , , 
2018/2/24, 29, , , 
2018/2/25, 26, , , 
2018/2/26, 22, , , 
2018/2/27, 39, , , 
2018/2/28, 32, , , 
2018/3/1, 35, , , 
2018/3/2, 64, , , 
2018/3/3, 32, , , 
2018/3/4, 30, , , 
2018/3/5, 30, , , 
2018/3/6, 37, , , 
2018/3/7, 40, , , 
2018/3/8, 27, , , 
2018/3/9, 44, , , 
2018/3/10, 42, , , 
2018/3/11, 37, , , 
2018/3/12, 32, , , 
2018/3/13, 33, , , 
