date, pm25, pm10, o3, so2
2020/1/3, 47, 12, 16, 2
2020/1/4, 37, 14, 29, 2
2020/1/5, 36, 16, 22, 2
2020/1/6, 38, 31, 18, 2
2020/1/7, 49, 33, 9, 2
2020/1/8, 52, 25, 13, 2
2020/1/9, 44, 18, 21, 2
2020/1/10, 40, 10, 6, 2
2020/1/11, 35, 15, 23, 2
2020/1/12, 39, 13, 22, 2
2020/1/13, 38, 18, 18, 2
2020/1/14, 37, 28, 17, 2
2020/1/15, 53, , 13, 2
2019/10/1, 55, 15, 23, 1
2019/10/2, 58, 14, 20, 1
2019/10/3, 55, 12, 20, 1
2019/10/4, 52, 11, 14, 1
2019/10/5, 53, , 19, 1
2019/10/7, 44, 10, 18, 1
2019/10/8, 45, 14, 16, 1
2019/10/9, 50, 17, 16, 1
2019/10/10, 53, 15, 19, 2
2019/10/11, 56, 14, 25, 2
2019/10/12, 48, 13, 21, 2
2019/10/13, 43, , 25, 2
2019/10/15, 55, 25, 27, 2
2019/10/16, 62, 24, 19, 1
2019/10/17, 62, 19, 18, 2
2019/10/18, 58, 33, 15, 2
2019/10/19, 66, 45, 22, 2
2019/10/20, 72, 35, 15, 1
2019/10/21, 69, 36, 16, 1
2019/10/22, 70, 29, 21, 2
2019/10/23, 64, 23, 16, 1
2019/10/24, 60, 33, 12, 1
2019/10/25, 67, 42, 16, 2
2019/10/26, 73, 27, 24, 2
2019/10/27, 65, 16, 19, 1
2019/10/28, 56, 12, 21, 1
2019/10/29, 51, , 19, 1
2019/10/31, 55, 14, 14, 
2019/11/1, 52, 18, 16, 1
2019/11/2, 59, 20, 12, 1
2019/11/3, 61, , 9, 1
2019/11/5, 60, 16, 13, 1
2019/11/6, 57, 15, 13, 2
2019/11/7, 56, 32, 14, 1
2019/11/8, 65, 19, 13, 2
2019/11/9, 58, 16, 11, 1
2019/11/10, 59, 18, 12, 1
2019/11/11, 54, 15, 14, 1
2019/11/12, 53, 19, 19, 2
2019/11/13, 55, 26, 18, 2
2019/11/15, 56, 35, 11, 2
2019/11/16, 64, 27, 10, 2
2019/11/17, 62, 26, 17, 2
2019/11/18, 63, 34, 12, 2
2019/11/19, 65, 27, 15, 2
2019/11/20, 59, , 15, 2
2019/11/22, 50, 23, 12, 2
2019/11/23, 50, 25, 12, 2
2019/11/24, 47, 31, 9, 2
2019/11/25, 51, 27, 8, 2
2019/11/26, 52, 18, 4, 2
2019/11/27, 50, 27, 7, 2
2019/11/28, 56, 24, 17, 2
2019/11/29, 56, 10, 23, 2
2019/11/30, 45, 12, 20, 2
2019/12/1, 45, 19, 19, 2
2019/12/2, 50, 12, 21, 2
2019/12/3, 40, 12, 21, 2
2019/12/4, 35, 26, 15, 2
2019/12/5, 49, 34, 11, 2
2019/12/6, 55, 24, 19, 2
2019/12/7, 47, 13, 24, 2
2019/12/8, 39, 17, 19, 2
2019/12/9, 42, 20, 20, 2
2019/12/10, 43, 22, 15, 2
2019/12/11, 41, 19, 14, 2
2019/12/12, 37, 19, 18, 2
2019/12/13, 42, 14, 13, 2
2019/12/14, 40, 14, 23, 2
2019/12/15, 37, 16, 24, 2
2019/12/16, 37, 37, 9, 2
2019/12/17, 57, 25, 26, 2
2019/12/18, 48, 18, 21, 2
2019/12/19, 42, 23, 14, 2
2019/12/20, 41, 30, 12, 2
2019/12/21, 49, 24, 5, 2
2019/12/22, 46, 21, 8, 2
2019/12/23, 37, 15, 5, 2
2019/12/24, 37, 10, 15, 2
2019/12/25, 33, 10, 20, 2
2019/12/26, 29, 9, 11, 2
2019/12/27, 29, 11, 20, 2
2019/12/28, 32, , , 
2019/7/3, 38, 14, 26, 
2019/7/4, 47, 14, 24, 
2019/7/5, 45, 12, 27, 
2019/7/6, 44, 13, 27, 
2019/7/7, 43, 11, 27, 
2019/7/8, 41, 10, 23, 
2019/7/9, 43, 11, 29, 
2019/7/10, 41, 12, 17, 
2019/7/11, 47, 16, 23, 1
2019/7/12, 56, 17, 27, 
2019/7/13, 60, , 29, 
2019/7/15, 51, 11, 28, 1
2019/7/16, 50, 8, 22, 1
2019/7/17, 42, 10, 25, 1
2019/7/18, 46, 12, 28, 1
2019/7/19, 47, 13, 30, 1
2019/7/20, 47, 20, 45, 1
2019/7/21, 56, 15, 47, 1
2019/7/22, 48, 12, 39, 1
2019/7/23, 40, 11, 29, 1
2019/7/24, 44, 16, 38, 1
2019/7/25, 50, 19, 37, 1
2019/7/26, 46, 16, 31, 1
2019/7/27, 49, 19, 65, 1
2019/7/28, 50, 22, 72, 1
2019/7/29, 55, 20, 71, 1
2019/7/30, 38, 25, 39, 1
2019/7/31, 45, 24, 31, 1
2019/8/1, 42, 18, 18, 1
2019/8/2, 42, 21, 27, 1
2019/8/3, 39, 17, 27, 1
2019/8/4, 36, 18, 27, 1
2019/8/5, 37, 24, 29, 1
2019/8/6, 40, 22, 32, 1
2019/8/7, 44, 19, 36, 1
2019/8/8, 58, 13, 37, 1
2019/8/9, 58, 10, 30, 1
2019/8/10, 57, 13, 30, 1
2019/8/11, 60, 20, 36, 1
2019/8/12, 65, 27, 41, 1
2019/8/13, 70, 19, 37, 1
2019/8/14, 63, 13, 27, 1
2019/8/15, 56, 20, 32, 1
2019/8/16, 63, 26, 37, 1
2019/8/17, 69, 35, 40, 1
2019/8/18, 80, 31, 44, 1
2019/8/19, 71, 20, 42, 1
2019/8/20, 61, 22, 36, 1
2019/8/21, 61, 13, 29, 1
2019/8/22, 57, 14, 30, 1
2019/8/23, 52, 15, 15, 1
2019/8/24, 54, 17, 34, 
2019/8/25, 57, , 9, 
2019/8/27, 77, 35, 43, 1
2019/8/28, 77, , 36, 1
2019/8/30, 75, 20, 83, 1
2019/8/31, 66, 20, 52, 1
2019/9/1, 67, 20, 43, 1
2019/9/2, 64, 16, 62, 1
2019/9/3, 58, 20, 27, 1
2019/9/4, 59, 29, 24, 1
2019/9/5, 60, 24, 34, 1
2019/9/6, 61, 41, 19, 1
2019/9/7, 69, 50, 18, 1
2019/9/8, 73, 36, 23, 1
2019/9/9, 74, 43, 25, 1
2019/9/10, 81, 33, 24, 1
2019/9/11, 67, 50, 29, 1
2019/9/12, 80, 37, 36, 1
2019/9/13, 73, 25, 23, 1
2019/9/14, 61, 23, 23, 1
2019/9/15, 58, 33, 30, 1
2019/9/16, 64, 24, 28, 1
2019/9/17, 58, 11, 22, 1
