date, pm25, co
2020/1/2, 17, 
2020/1/3, 41, 
2020/1/4, 27, 
2020/1/5, 18, 
2020/1/6, 27, 
2020/1/7, 39, 
2020/1/8, 22, 
2020/1/9, 34, 
2020/1/10, 33, 
2020/1/11, 14, 
2020/1/12, 13, 
2020/1/13, 35, 
2020/1/14, 57, 
2020/1/15, 55, 
2020/1/16, 37, 
2019/10/1, 63, 
2019/10/2, 66, 
2019/10/3, 42, 
2019/10/4, 8, 
2019/10/5, 19, 
2019/10/6, 42, 
2019/10/7, 27, 
2019/10/8, 25, 
2019/10/9, 36, 
2019/10/10, 33, 
2019/10/11, 34, 
2019/10/12, 29, 
2019/10/13, 10, 
2019/10/14, 14, 
2019/10/16, 13, 
2019/10/17, 9, 
2019/10/18, 36, 
2019/10/19, 44, 
2019/10/20, 56, 
2019/10/21, 40, 
2019/10/22, 17, 
2019/10/23, 24, 
2019/10/24, 30, 
2019/10/25, 55, 
2019/10/26, 54, 
2019/10/27, 18, 
2019/10/28, 38, 
2019/10/29, 56, 
2019/10/30, 57, 
2019/10/31, 9, 
2019/11/1, 21, 
2019/11/2, 35, 
2019/11/3, 24, 
2019/11/4, 20, 
2019/11/5, 44, 
2019/11/6, 35, 
2019/11/7, 26, 
2019/11/8, 17, 
2019/11/9, 31, 
2019/11/10, 51, 
2019/11/11, 64, 
2019/11/12, 8, 
2019/11/13, 22, 
2019/11/14, 39, 
2019/11/15, 74, 
2019/11/16, 28, 
2019/11/17, 28, 
2019/11/18, 47, 
2019/11/19, 99, 
2019/11/20, 60, 
2019/11/21, 46, 
2019/11/22, 19, 
2019/11/23, 46, 
2019/11/24, 54, 
2019/11/25, 40, 
2019/11/26, 43, 
2019/11/27, 18, 
2019/11/28, 8, 
2019/11/29, 40, 
2019/11/30, 43, 
2019/12/1, 17, 
2019/12/2, 18, 
2019/12/3, 24, 
2019/12/4, 39, 
2019/12/5, 30, 
2019/12/6, 30, 
2019/12/7, 32, 
2019/12/8, 40, 
2019/12/9, 31, 
2019/12/10, 38, 
2019/12/11, 28, 
2019/12/12, 52, 
2019/12/13, 48, 
2019/12/14, 58, 
2019/12/15, 57, 
2019/12/16, 64, 
2019/12/17, 34, 
2019/12/18, 36, 
2019/12/19, 33, 
2019/12/20, 78, 
2019/12/21, 68, 
2019/12/22, 67, 
2019/12/23, 70, 
2019/12/24, 71, 
2019/12/25, 40, 
2019/12/26, 39, 
2019/12/27, 51, 
2019/12/28, 72, 
2019/7/1, 40, 3
2019/7/2, 48, 3
2019/7/3, 32, 4
2019/7/4, 60, 4
