date, pm25, pm10, o3
2020/1/2, 14, 3, 26
2020/1/3, 12, 6, 32
2020/1/4, 9, 2, 27
2020/1/5, 12, 3, 28
2020/1/6, 10, 4, 25
2020/1/7, 13, 5, 24
2020/1/8, 15, 8, 21
2020/1/9, 32, 5, 22
2020/1/10, 28, 3, 23
2020/1/11, 10, 9, 18
2020/1/12, 20, 5, 22
2020/1/13, 14, 4, 25
2020/1/14, 22, 5, 25
2020/1/15, 24, 3, 24
2020/1/16, 12, , 
2019/10/1, 15, 4, 15
2019/10/2, 16, 3, 22
2019/10/3, 10, 5, 14
2019/10/4, 16, 5, 25
2019/10/5, 15, 4, 25
2019/10/6, 15, 5, 28
2019/10/7, 12, 7, 23
2019/10/8, 11, 4, 21
2019/10/9, 12, 3, 26
2019/10/10, 8, 7, 25
2019/10/11, 15, 10, 29
2019/10/12, 22, 6, 28
2019/10/13, 18, 8, 22
2019/10/14, 26, 5, 25
2019/10/15, 16, 11, 33
2019/10/16, 14, 14, 27
2019/10/17, 20, 5, 27
2019/10/18, 9, 5, 26
2019/10/19, 14, 7, 26
2019/10/20, 15, 4, 23
2019/10/21, 11, 4, 21
2019/10/22, 12, 5, 16
2019/10/23, 16, 5, 24
2019/10/24, 17, 8, 27
2019/10/25, 17, 7, 26
2019/10/26, 12, 5, 28
2019/10/27, 9, 4, 23
2019/10/28, 8, 5, 24
2019/10/29, 16, 3, 28
2019/10/30, 13, 7, 24
2019/10/31, 21, 5, 24
2019/11/1, 15, 3, 24
2019/11/2, 14, 4, 20
2019/11/3, 12, 4, 23
2019/11/4, 16, 7, 19
2019/11/5, 21, 5, 23
2019/11/6, 10, 3, 20
2019/11/7, 18, 4, 23
2019/11/8, 17, 6, 19
2019/11/9, 21, 5, 25
2019/11/10, 13, 3, 22
2019/11/11, 12, 3, 26
2019/11/12, 15, 5, 25
2019/11/13, 21, 4, 15
2019/11/14, 15, 4, 15
2019/11/15, 15, 4, 24
2019/11/16, 18, 3, 20
2019/11/17, 13, 3, 28
2019/11/18, 10, 2, 21
2019/11/19, 13, 4, 20
2019/11/20, 21, 3, 21
2019/11/21, 12, 3, 24
2019/11/22, 15, 3, 27
2019/11/23, 12, 6, 27
2019/11/24, 11, 4, 24
2019/11/25, 11, 5, 21
2019/11/26, 19, 6, 23
2019/11/27, 22, 6, 22
2019/11/28, 15, 4, 19
2019/11/29, 19, 6, 16
2019/11/30, 26, 4, 26
2019/12/1, 17, 3, 32
2019/12/2, 13, 3, 29
2019/12/3, 13, 3, 31
2019/12/4, 9, 9, 25
2019/12/5, 30, 5, 17
2019/12/6, 22, 5, 21
2019/12/7, 15, 9, 22
2019/12/8, 25, 7, 26
2019/12/9, 24, 4, 26
2019/12/10, 21, 5, 
2019/12/11, 23, 7, 
2019/12/12, 28, 10, 
2019/12/13, 40, 5, 
2019/12/14, 26, 9, 
2019/12/15, 38, 4, 
2019/12/16, 18, 3, 31
2019/12/17, 11, 3, 32
2019/12/18, 7, 3, 26
2019/12/19, 11, 2, 28
2019/12/20, 12, 2, 27
2019/12/21, 9, 7, 25
2019/12/22, 29, 6, 19
2019/12/23, 24, 3, 18
2019/12/24, 17, 5, 18
2019/12/25, 24, 3, 23
2019/12/26, 13, 3, 22
2019/12/27, 11, 2, 21
2019/12/28, 11, , 
2019/7/1, 23, 8, 32
2019/7/2, 21, 4, 32
2019/7/3, 17, 8, 33
2019/7/4, 21, 8, 30
2019/7/5, 21, 11, 35
2019/7/6, 27, 12, 32
2019/7/7, 25, 13, 34
2019/7/8, 30, 9, 27
2019/7/9, 26, 16, 30
2019/7/10, 19, 15, 25
2019/7/11, 26, 15, 25
2019/7/12, 36, 11, 28
2019/7/13, 33, 10, 28
2019/7/14, 22, 10, 38
2019/7/15, 20, 10, 31
2019/7/16, 21, 9, 34
2019/7/17, 18, 15, 28
2019/7/18, 18, 23, 31
2019/7/19, 19, 6, 24
2019/7/20, 21, 4, 31
2019/7/21, 22, 19, 32
2019/7/22, 22, 11, 30
2019/7/23, 30, 23, 37
2019/7/24, 50, 21, 35
2019/7/25, 21, 13, 29
2019/7/26, 21, 15, 35
2019/7/27, 26, 16, 28
2019/7/28, 21, 16, 25
2019/7/29, 21, 17, 35
2019/7/30, 24, 18, 40
2019/7/31, 30, 13, 45
2019/8/1, 34, 16, 44
2019/8/2, 35, 12, 36
2019/8/3, 22, 15, 35
2019/8/4, 34, 13, 35
2019/8/5, 32, 17, 28
2019/8/6, 34, 9, 27
2019/8/7, 23, 13, 28
2019/8/8, 23, 22, 34
2019/8/9, 34, 10, 25
2019/8/10, 28, 6, 27
2019/8/11, 23, 7, 28
2019/8/12, 20, 3, 24
2019/8/13, 22, 7, 31
2019/8/14, 21, 9, 37
2019/8/15, 25, 12, 32
2019/8/16, 28, 7, 22
2019/8/17, 15, 10, 29
2019/8/18, 20, 12, 34
2019/8/19, 23, 18, 26
2019/8/20, 18, 16, 32
2019/8/21, 22, 21, 32
2019/8/22, 33, 13, 26
2019/8/23, 32, 11, 30
2019/8/24, 27, 10, 32
2019/8/25, 19, 13, 26
2019/8/26, 20, 8, 29
2019/8/27, 15, 15, 28
2019/8/28, 18, 11, 25
2019/8/29, 15, 8, 25
2019/8/30, 16, 7, 27
2019/8/31, 22, 10, 26
2019/9/1, 29, 21, 30
2019/9/2, 21, 10, 29
2019/9/3, 20, 19, 34
2019/9/4, 25, 14, 33
2019/9/5, 27, 13, 25
2019/9/6, 21, 8, 23
2019/9/7, 16, 10, 18
2019/9/8, 10, 5, 13
2019/9/9, 15, 8, 17
2019/9/10, 11, 7, 13
2019/9/11, 8, 7, 17
2019/9/12, 10, 18, 27
2019/9/13, 16, 42, 29
2019/9/14, 15, 9, 27
2019/9/15, 16, 11, 28
2019/9/16, 30, 17, 23
2019/9/17, 30, 9, 24
