date, pm25
2018/2/7, 10
2018/2/8, 8
2018/2/9, 12
2018/2/10, 26
2018/2/11, 20
2018/2/12, 13
2018/2/13, 25
2018/2/14, 16
2018/2/15, 16
2018/2/16, 16
2018/2/17, 13
2018/2/18, 8
2018/2/19, 16
2018/2/20, 29
2018/2/21, 28
2018/2/22, 20
2018/2/23, 27
2018/2/24, 22
2018/2/25, 13
2018/2/26, 11
2018/2/27, 9
2018/2/28, 12
2018/3/1, 6
2018/3/2, 7
2018/3/3, 9
2018/3/4, 25
2018/3/5, 14
2018/3/6, 13
2018/3/7, 15
2018/3/8, 15
2018/3/9, 8
2018/3/10, 19
2018/3/11, 20
2018/3/12, 16
2018/3/13, 13
2018/3/14, 19
2018/3/15, 20
2018/3/16, 13
2018/3/17, 14
2018/3/18, 13
2018/3/19, 14
2018/3/20, 13
2018/3/21, 14
2018/3/22, 8
2018/3/23, 10
2018/3/24, 8
2018/3/25, 11
2018/3/26, 13
2018/3/27, 6
2018/3/28, 7
2018/3/29, 11
2018/3/30, 6
2018/3/31, 20
2017/10/1, 11
2017/10/2, 28
2017/10/3, 19
2017/10/4, 14
2017/10/5, 23
2017/10/6, 23
2017/10/7, 16
2017/10/8, 23
2017/10/9, 17
2017/10/10, 17
2017/10/11, 11
2017/10/12, 17
2017/10/13, 24
2017/10/14, 32
2017/10/15, 32
2017/10/16, 25
2017/10/17, 31
2017/10/18, 24
2017/10/19, 18
2017/10/20, 9
2017/10/21, 13
2017/10/22, 4
2017/10/23, 22
2017/10/24, 34
2017/10/25, 40
2017/10/26, 30
2017/10/27, 48
2017/10/28, 66
2017/10/29, 51
2017/10/30, 18
2017/10/31, 35
2017/11/1, 35
2017/11/2, 31
2017/11/3, 39
2017/11/4, 56
2017/11/5, 42
2017/11/8, 50
2017/11/9, 40
2017/11/10, 31
2017/11/11, 44
2017/11/12, 42
2017/11/13, 20
2017/11/14, 15
2017/11/15, 28
2017/11/16, 14
2017/11/17, 11
2017/11/18, 27
2017/11/19, 22
2017/11/20, 14
2017/11/21, 18
2017/11/22, 30
2017/11/23, 10
2017/11/24, 8
2017/11/25, 14
2017/11/26, 16
2017/11/27, 12
2017/11/28, 19
2017/11/29, 16
2017/11/30, 19
2017/12/1, 30
2017/12/2, 30
2017/12/3, 23
2017/12/4, 23
2017/12/5, 40
2017/12/6, 44
2017/12/7, 28
2017/12/8, 29
2017/12/9, 25
2017/12/10, 30
2017/12/11, 41
2017/12/12, 27
2017/12/13, 42
2017/12/14, 31
2017/12/15, 27
2017/12/16, 26
2017/12/17, 22
2017/12/18, 26
2017/12/19, 14
2017/12/20, 21
2017/12/21, 33
2017/12/22, 30
2017/12/23, 33
2017/12/24, 25
2017/12/25, 21
2017/12/26, 24
2017/12/27, 23
2017/12/28, 48
2017/12/29, 42
2017/12/30, 17
2017/12/31, 23
2017/7/1, 21
2017/7/2, 19
2017/7/3, 14
2017/7/4, 18
2017/7/5, 23
2017/7/6, 26
2017/7/7, 25
2017/7/8, 16
2017/7/9, 18
2017/7/10, 13
2017/7/11, 26
2017/7/12, 22
2017/7/13, 22
2017/7/14, 23
2017/7/15, 26
2017/7/16, 14
2017/7/17, 20
2017/7/18, 53
2017/7/19, 33
2017/7/20, 17
2017/7/21, 12
2017/7/22, 15
2017/7/23, 12
2017/7/24, 18
2017/7/25, 16
2017/7/26, 23
2017/7/27, 18
2017/7/28, 12
2017/7/29, 14
2017/7/30, 13
2017/7/31, 13
2017/8/1, 63
2017/8/2, 106
2017/8/3, 84
2017/8/4, 128
2017/8/5, 91
2017/8/6, 94
2017/8/7, 117
2017/8/8, 99
2017/8/9, 110
2017/8/10, 107
2017/8/11, 103
2017/8/12, 88
2017/8/13, 29
2017/8/14, 14
2017/8/15, 20
2017/8/16, 26
2017/8/17, 23
2017/8/18, 20
2017/8/19, 53
2017/8/20, 37
2017/8/21, 34
2017/8/22, 41
2017/8/23, 48
2017/8/24, 37
2017/8/25, 22
2017/8/26, 30
2017/8/27, 33
2017/8/28, 39
2017/8/29, 67
2017/8/30, 85
2017/8/31, 63
2017/9/1, 61
2017/9/2, 62
2017/9/3, 70
2017/9/4, 106
2017/9/5, 187
2017/9/9, 51
2017/9/10, 15
2017/9/11, 29
2017/9/12, 45
2017/9/13, 30
2017/9/14, 55
2017/9/15, 55
2017/9/16, 73
2017/9/17, 44
2017/9/18, 36
2017/9/19, 15
2017/9/20, 16
2017/9/21, 10
2017/9/22, 10
2017/9/23, 16
2017/9/24, 19
2017/9/25, 22
2017/9/26, 18
2017/9/27, 20
2017/9/28, 20
2017/9/29, 28
2017/9/30, 14
2017/4/1, 10
2017/4/2, 11
2017/4/3, 6
2017/4/4, 13
2017/4/5, 14
2017/4/6, 14
2017/4/7, 8
2017/4/8, 6
2017/4/9, 11
2017/4/10, 13
2017/4/11, 16
2017/4/12, 12
2017/4/13, 7
2017/4/14, 9
2017/4/15, 10
2017/4/16, 13
2017/4/17, 12
2017/4/18, 8
2017/4/19, 15
2017/4/20, 14
2017/4/21, 10
2017/4/22, 16
2017/4/23, 13
2017/4/24, 11
2017/4/25, 10
2017/4/26, 7
2017/4/27, 8
2017/4/28, 15
2017/4/29, 9
2017/4/30, 9
2017/5/1, 5
2017/5/2, 11
2017/5/3, 11
2017/5/4, 13
2017/5/5, 11
2017/5/6, 9
2017/5/7, 12
2017/5/8, 13
2017/5/9, 13
2017/5/10, 18
2017/5/11, 24
2017/5/12, 8
2017/5/13, 6
2017/5/14, 10
2017/5/15, 15
2017/5/16, 7
2017/5/17, 6
2017/5/18, 7
2017/5/19, 8
2017/5/20, 8
2017/5/21, 12
2017/5/22, 16
2017/5/23, 18
2017/5/24, 13
2017/5/25, 8
2017/5/26, 10
2017/5/27, 15
2017/5/28, 17
2017/5/29, 21
2017/5/30, 25
2017/5/31, 15
2017/6/1, 12
2017/6/2, 6
2017/6/3, 11
2017/6/4, 15
2017/6/5, 15
2017/6/6, 16
2017/6/7, 18
2017/6/8, 17
2017/6/9, 7
2017/6/10, 7
2017/6/11, 8
2017/6/12, 11
2017/6/13, 13
2017/6/14, 11
2017/6/15, 12
2017/6/16, 7
2017/6/17, 10
2017/6/18, 6
2017/6/19, 7
2017/6/20, 10
2017/6/21, 7
2017/6/22, 7
2017/6/23, 8
2017/6/24, 10
2017/6/25, 14
2017/6/26, 26
2017/6/27, 18
2017/6/28, 23
2017/6/29, 11
2017/6/30, 15
2017/1/2, 13
2017/1/3, 18
2017/1/4, 24
2017/1/5, 35
2017/1/6, 31
2017/1/7, 24
2017/1/8, 21
2017/1/9, 21
2017/1/10, 15
2017/1/11, 25
2017/1/12, 37
2017/1/13, 35
2017/1/14, 39
2017/1/15, 45
2017/1/16, 50
2017/1/17, 40
2017/1/18, 31
2017/1/19, 24
2017/1/20, 12
2017/1/21, 19
2017/1/22, 16
2017/1/23, 14
2017/1/24, 16
2017/1/25, 26
2017/1/26, 23
2017/1/27, 23
2017/1/28, 29
2017/1/29, 30
2017/1/30, 33
2017/1/31, 15
2017/2/1, 15
2017/2/2, 18
2017/2/3, 14
2017/2/4, 23
2017/2/7, 34
2017/2/8, 27
2017/2/9, 18
2017/2/10, 11
2017/2/11, 10
2017/2/12, 19
2017/2/13, 22
2017/2/14, 24
2017/2/15, 27
2017/2/16, 13
2017/2/17, 22
2017/2/18, 14
2017/2/19, 13
2017/2/20, 10
2017/2/21, 11
2017/2/22, 12
2017/2/23, 30
2017/2/24, 36
2017/2/25, 27
2017/2/26, 24
2017/2/27, 22
2017/2/28, 15
2017/3/1, 16
2017/3/2, 19
2017/3/3, 12
2017/3/4, 10
2017/3/5, 16
2017/3/6, 12
2017/3/7, 17
2017/3/8, 17
2017/3/9, 15
2017/3/10, 12
2017/3/11, 13
2017/3/12, 18
2017/3/13, 21
2017/3/14, 11
2017/3/15, 10
2017/3/16, 8
2017/3/17, 17
2017/3/18, 18
2017/3/19, 25
2017/3/20, 13
2017/3/21, 15
2017/3/22, 16
2017/3/23, 12
2017/3/24, 12
2017/3/25, 10
2017/3/26, 11
2017/3/27, 6
2017/3/28, 8
2017/3/29, 9
2017/3/30, 15
2017/3/31, 8
