date, pm25, pm10, no2, co
2020/1/2, 142, 89, 35, 23
2020/1/3, 141, 100, 38, 27
2020/1/4, 152, , 36, 63
2020/1/7, 178, 56, 11, 4
2020/1/8, 82, 72, 30, 14
2020/1/9, 135, 99, 34, 21
2020/1/10, 183, 79, 25, 16
2020/1/11, 170, 9, 14, 5
2020/1/12, 89, 69, 26, 11
2020/1/13, 143, 81, 35, 18
2020/1/14, 170, 73, 35, 16
2020/1/15, 162, , 31, 23
2019/10/1, 50, 37, 14, 
2019/10/2, 53, 12, 11, 5
2019/10/3, 28, 7, 13, 4
2019/10/4, 14, 23, 19, 6
2019/10/5, 38, 23, 16, 5
2019/10/6, 36, 9, 10, 3
2019/10/7, 21, 13, 9, 3
2019/10/8, 15, 24, 26, 5
2019/10/9, 47, 33, 25, 8
2019/10/10, 61, 30, 22, 6
2019/10/11, 59, 32, 23, 8
2019/10/12, 60, 30, 23, 7
2019/10/13, 58, 36, 24, 7
2019/10/14, 69, 45, 23, 4
2019/10/15, 67, 27, 14, 3
2019/10/16, 39, 20, 21, 4
2019/10/17, 34, 33, 26, 3
2019/10/18, 53, 39, 27, 4
2019/10/19, 68, 33, 24, 4
2019/10/20, 68, 40, 28, 6
2019/10/21, 73, 44, 29, 7
2019/10/22, 76, 42, 33, 6
2019/10/23, 77, 39, 28, 2
2019/10/24, 73, 30, 18, 1
2019/10/25, 60, 27, 17, 2
2019/10/26, 58, 33, 26, 2
2019/10/27, 72, 46, 29, 4
2019/10/28, 88, 43, 29, 5
2019/10/29, 91, 40, 27, 4
2019/10/30, 88, 32, 25, 2
2019/10/31, 73, 16, 13, 
2019/11/1, 39, 12, 17, 1
2019/11/2, 26, 18, 5, 
2019/11/3, 19, 23, 10, 1
2019/11/4, 20, 25, 6, 2
2019/11/5, 18, 18, 19, 4
2019/11/6, 17, 22, 24, 7
2019/11/7, 48, 25, 18, 4
2019/11/8, 43, 10, 19, 3
2019/11/9, 29, 11, 16, 3
2019/11/10, 35, 15, 18, 3
2019/11/11, 45, 16, 13, 3
2019/11/12, 48, , 14, 
2019/11/15, 57, 34, 11, 2
2019/11/16, 42, 27, 7, 2
2019/11/17, 34, 26, 24, 5
2019/11/18, 51, 23, 23, 4
2019/11/19, 61, 32, 28, 6
2019/11/20, 87, 32, 28, 6
2019/11/21, 90, 33, 25, 5
2019/11/22, 80, 39, 23, 4
2019/11/23, 69, 33, 17, 4
2019/11/24, 78, 23, 23, 4
2019/11/25, 65, 46, 27, 10
2019/11/26, 99, 37, 21, 7
2019/11/27, 83, 24, 15, 2
2019/11/28, 43, 21, 16, 1
2019/11/29, 36, 30, 23, 7
2019/11/30, 65, 47, 26, 8
2019/12/1, 111, 55, 30, 9
2019/12/2, 122, 28, 16, 4
2019/12/3, 66, 11, 6, 2
2019/12/4, 23, 27, 16, 4
2019/12/5, 57, 65, 28, 19
2019/12/6, 139, 74, 29, 24
2019/12/7, 169, 66, 23, 15
2019/12/8, 159, 61, 28, 16
2019/12/9, 153, 42, 15, 6
2019/12/10, 68, 27, 16, 5
2019/12/11, 55, 60, 30, 16
2019/12/12, 134, 56, 19, 11
2019/12/13, 123, 37, 21, 11
2019/12/14, 95, 61, 27, 15
2019/12/15, 141, 70, 30, 20
2019/12/16, 156, 64, 30, 12
2019/12/17, 138, 56, 29, 10
2019/12/18, 120, 34, 20, 5
2019/12/19, 116, 35, 18, 6
2019/12/23, 26, 53, 24, 9
2019/12/24, 109, 85, 23, 17
2019/12/26, 147, 67, 27, 14
2019/12/27, 125, , 14, 8
2019/7/1, 45, 29, 11, 7
2019/7/2, 66, 55, 11, 8
2019/7/3, 69, 41, 13, 7
2019/7/4, 62, 27, 10, 7
2019/7/5, 66, 25, 10, 7
2019/7/6, 63, 26, 8, 6
2019/7/7, 62, 53, 9, 6
2019/7/8, 60, 68, 8, 7
2019/7/9, 62, 58, 11, 6
2019/7/10, 60, 26, 7, 5
2019/7/11, 32, 23, 10, 6
2019/7/12, 42, 24, 7, 5
2019/7/13, 46, 9, 4, 4
2019/7/14, 19, 10, 7, 5
2019/7/15, 17, 15, 5, 6
2019/7/16, 29, 20, 10, 6
2019/7/17, 44, 22, 10, 7
2019/7/18, 55, 26, 9, 7
2019/7/19, 52, 25, 10, 7
2019/7/20, 53, 25, 10, 7
2019/7/21, 55, 26, 13, 7
2019/7/22, 56, 32, 10, 7
2019/7/23, 69, 29, 11, 6
2019/7/24, 64, 28, 14, 6
2019/7/25, 61, 28, 16, 7
2019/7/26, 62, 30, 10, 6
2019/7/27, 65, 40, 5, 6
2019/7/28, 52, 27, 5, 6
2019/7/29, 24, 30, 10, 5
2019/7/30, 38, 36, 9, 6
2019/7/31, 55, 26, 11, 6
2019/8/1, 55, 29, 16, 6
2019/8/2, 56, 28, 16, 6
2019/8/3, 57, 31, 8, 5
2019/8/4, 45, 27, 12, 5
2019/8/5, 59, 22, 13, 5
2019/8/6, 55, 27, 16, 5
2019/8/7, 59, 31, 17, 6
2019/8/8, 67, 50, 11, 6
2019/8/9, 82, 44, 12, 6
2019/8/10, 75, 38, 10, 6
2019/8/11, 70, 35, 12, 6
2019/8/12, 68, 41, 10, 5
2019/8/13, 75, 35, 4, 4
2019/8/14, 54, 19, 5, 4
2019/8/15, 28, 17, 7, 4
2019/8/16, 34, 24, 7, 4
2019/8/17, 49, 30, 7, 4
2019/8/18, 52, 32, 13, 5
2019/8/19, 55, 31, 13, 5
2019/8/20, 63, 31, 10, 5
2019/8/21, 60, 32, 8, 5
2019/8/22, 62, 30, 7, 4
2019/8/23, 65, 24, 9, 4
2019/8/24, 57, 23, 8, 4
2019/8/25, 61, 24, 9, 4
2019/8/26, 61, 30, 11, 5
2019/8/27, 71, 35, 11, 5
2019/8/28, 77, 37, 11, 4
2019/8/29, 74, 38, 11, 4
2019/8/30, 76, 38, 14, 5
2019/8/31, 75, 34, 14, 5
2019/9/1, 75, 30, 17, 5
2019/9/2, 71, 25, 13, 4
