date, pm25, pm10, o3
2019/4/8, 39, 18, 38
2019/4/9, 28, 31, 49
2019/4/10, 52, 15, 35
2019/4/11, 21, 9, 36
2019/4/12, 12, 14, 37
2019/4/13, 23, 18, 40
2019/4/14, 40, 28, 45
2019/4/15, 48, 26, 42
2019/4/16, 39, 25, 34
2019/4/17, 44, 12, 37
2019/4/18, 24, 15, 38
2019/4/19, 22, 27, 50
2019/4/20, 57, 22, 42
2019/4/21, 30, 15, 35
2019/4/22, 29, 10, 23
2019/4/23, 40, 19, 33
2019/4/24, 53, 15, 37
2019/4/25, 43, 27, 43
2019/4/26, 36, 24, 36
2019/4/27, 29, 8, 31
2019/4/28, 23, 13, 14
2019/4/29, 38, 7, 11
2019/4/30, 24, 11, 15
2019/5/1, 21, 11, 27
2019/5/2, 39, 10, 22
2019/5/3, 31, 12, 37
2019/5/4, 36, 13, 37
2019/5/5, 26, 11, 38
2019/5/6, 20, 11, 28
2019/5/7, 27, 8, 36
2019/5/8, 17, 7, 29
2019/5/9, 13, 10, 34
2019/5/10, 23, 9, 28
2019/5/11, 29, 9, 28
2019/5/12, 26, 12, 33
2019/5/13, 30, 17, 39
2019/5/14, 28, 24, 41
2019/5/15, 40, , 41
2019/5/16, 38, , 40
2019/5/17, 44, , 35
2019/5/18, 26, , 36
2019/5/19, 10, 2, 21
2019/5/20, 10, 9, 33
2019/5/21, 10, 11, 29
2019/5/22, 9, 13, 31
2019/5/23, 18, 12, 32
2019/5/24, 31, 13, 34
2019/5/25, 27, 8, 35
2019/5/26, 19, 19, 32
2019/5/27, 40, 19, 24
2019/5/28, 47, 9, 26
2019/5/29, 19, 14, 42
2019/5/30, 32, 19, 45
2019/5/31, 49, 23, 45
2019/6/1, 52, 25, 39
2019/6/2, 62, 21, 33
2019/6/3, 51, 14, 37
2019/6/4, 23, 27, 43
2019/6/5, 32, 13, 41
2019/6/6, 22, 19, 48
2019/6/7, 36, 23, 58
2019/6/8, 50, 21, 30
2019/6/9, 38, 15, 36
2019/6/10, 39, 26, 38
2019/6/11, 37, 11, 36
2019/6/12, 22, 14, 39
2019/6/13, 22, 17, 37
2019/6/20, 29, 14, 33
2019/6/21, 26, 18, 
2019/6/22, 33, 7, 
2019/6/23, 17, 10, 33
2019/6/24, 15, 18, 39
2019/6/25, 20, 17, 39
2019/6/26, 19, 44, 22
2019/6/27, 56, 42, 26
2019/6/28, 61, 39, 31
2019/6/29, 59, 27, 36
2019/6/30, 51, 23, 30
2019/1/1, 36, 9, 22
2019/1/2, 27, 13, 17
2019/1/3, 38, 15, 19
2019/1/4, 38, 11, 22
2019/1/5, 29, 14, 30
2019/1/6, 38, 10, 27
2019/1/7, 20, 10, 27
2019/1/8, 10, 10, 24
2019/1/9, 18, 16, 22
2019/1/10, 36, 10, 17
2019/1/11, 35, 8, 14
2019/1/12, 45, 8, 25
2019/1/13, 68, 6, 24
2019/1/14, 48, 9, 15
2019/1/15, 65, 10, 14
2019/1/16, 67, 8, 12
2019/1/17, 60, 5, 15
2019/1/18, 45, 7, 28
2019/1/19, 41, 10, 27
2019/1/20, 34, 9, 23
2019/1/21, 36, 9, 23
2019/1/22, 38, 6, 27
2019/1/23, 47, 9, 25
2019/1/24, 41, 9, 23
2019/1/25, 40, 9, 24
2019/1/26, 44, 5, 24
2019/1/27, 37, 9, 26
2019/1/28, 22, 8, 28
2019/1/29, 21, 36, 28
2019/1/30, 20, 24, 22
2019/1/31, 41, 24, 25
2019/2/1, 68, 9, 20
2019/2/2, 59, 12, 27
2019/2/3, 51, 10, 22
2019/2/4, 44, 10, 16
2019/2/5, 41, 10, 13
2019/2/6, 54, 15, 27
2019/2/7, 33, 10, 28
2019/2/8, 23, 8, 24
2019/2/9, 42, 5, 21
2019/2/10, 39, 4, 10
2019/2/11, 37, 10, 28
2019/2/12, 49, 11, 27
2019/2/13, 35, 13, 27
2019/2/14, 38, 9, 26
2019/2/15, 45, 8, 25
2019/2/16, 49, 8, 31
2019/2/17, 63, 9, 32
2019/2/18, 62, 9, 27
2019/2/19, 68, 6, 28
2019/2/20, 60, 15, 32
2019/2/21, 84, 13, 27
2019/2/22, 81, 4, 28
2019/2/23, 37, 9, 36
2019/2/24, 38, 11, 28
2019/2/25, 43, 18, 24
2019/3/4, 14, 10, 
2019/3/12, 16, 7, 38
2019/3/13, 24, 10, 35
2019/3/14, 16, 7, 36
2019/3/15, 13, 9, 38
2019/3/16, 18, 11, 36
2019/3/17, 41, 14, 39
2019/3/18, 36, 13, 34
2019/3/19, 47, 7, 37
2019/3/20, 34, 12, 37
2019/3/21, 39, 20, 41
2019/3/22, 45, 19, 36
2019/3/23, 57, 12, 27
2019/3/24, 57, 14, 33
2019/3/25, 62, 20, 38
2018/10/1, 33, 15, 25
2018/10/2, 28, 25, 27
2018/10/3, 29, 21, 19
2018/10/4, 21, 19, 19
2018/10/5, 37, 4, 6
2018/10/6, 13, 4, 3
2018/10/7, 11, 6, 21
2018/10/8, 13, 4, 23
2018/10/9, 9, 4, 14
2018/10/10, 5, 7, 24
2018/10/11, 14, 4, 18
2018/10/12, 14, 5, 20
2018/10/13, 15, 7, 16
2018/10/14, 26, 6, 21
2018/10/15, 23, 8, 31
2018/10/16, 22, 11, 24
2018/10/17, 20, 11, 25
2018/10/18, 24, 9, 22
2018/10/19, 23, 19, 29
