date, pm10, no2
2020/1/2, 43, 48
2020/1/3, 47, 31
2020/1/4, 32, 26
2020/1/5, 23, 44
2020/1/6, 46, 41
2020/1/7, 43, 44
2020/1/8, 44, 42
2020/1/9, 41, 32
2020/1/10, 25, 29
2020/1/11, 25, 28
2020/1/12, 31, 45
2020/1/13, 52, 41
2020/1/14, 35, 45
2020/1/15, 34, 19
2020/1/16, 22, 
2019/10/1, 34, 16
2019/10/2, 16, 16
2019/10/3, 15, 33
2019/10/4, 29, 27
2019/10/5, 26, 16
2019/10/6, 15, 19
2019/10/7, 20, 33
2019/10/8, 31, 26
2019/10/9, 23, 31
2019/10/10, 26, 38
2019/10/11, 38, 34
2019/10/12, 34, 27
2019/10/13, 26, 44
2019/10/14, 44, 24
2019/10/15, 22, 30
2019/10/16, 27, 41
2019/10/17, 32, 33
2019/10/18, 25, 36
2019/10/19, 31, 38
2019/10/20, 34, 27
2019/10/21, 21, 27
2019/10/22, 28, 31
2019/10/23, 34, 34
2019/10/24, 28, 25
2019/10/25, 21, 30
2019/10/26, 29, 28
2019/10/27, 32, 29
2019/10/28, 37, 21
2019/10/29, 29, 29
2019/10/30, 30, 28
2019/10/31, 33, 24
2019/11/1, 24, 23
2019/11/2, 17, 19
2019/11/3, 11, 29
2019/11/4, 20, 34
2019/11/5, 25, 24
2019/11/6, 18, 31
2019/11/7, 29, 32
2019/11/8, 32, 29
2019/11/9, 27, 22
2019/11/10, 18, 23
2019/11/11, 24, 31
2019/11/12, 29, 33
2019/11/13, 26, 33
2019/11/14, 20, 29
2019/11/15, 21, 31
2019/11/16, 32, 26
2019/11/17, 35, 31
2019/11/18, 36, 25
2019/11/19, 28, 39
2019/11/20, 45, 42
2019/11/21, 45, 35
2019/11/22, 29, 31
2019/11/23, 25, 31
2019/11/24, 28, 40
2019/11/25, 39, 36
2019/11/26, 42, 37
2019/11/27, 29, 33
2019/11/28, 24, 35
2019/11/29, 21, 30
2019/11/30, 27, 26
2019/12/1, 26, 16
2019/12/2, 20, 27
2019/12/3, 30, 46
2019/12/4, 53, 43
2019/12/5, 57, 54
2019/12/6, 61, 54
2019/12/7, 63, 36
2019/12/8, 43, 27
2019/12/9, 21, 26
2019/12/10, 25, 36
2019/12/11, 35, 37
2019/12/12, 28, 25
2019/12/13, 18, 29
2019/12/14, 24, 31
2019/12/15, 27, 45
2019/12/16, 39, 30
2019/12/17, 35, 33
2019/12/18, 50, 40
2019/12/19, 49, 34
2019/12/20, 28, 30
2019/12/21, 23, 21
2019/12/22, 16, 27
2019/12/23, 23, 32
2019/12/24, 31, 29
2019/12/25, 34, 28
2019/12/26, 33, 30
2019/12/27, 32, 17
2019/12/28, 19, 
2019/7/1, 23, 21
2019/7/2, 12, 29
2019/7/3, 15, 36
2019/7/4, 17, 53
2019/7/5, 25, 33
2019/7/6, 20, 31
2019/7/7, 17, 32
2019/7/8, 16, 19
2019/7/9, 11, 18
2019/7/10, 8, 45
2019/7/11, 16, 39
2019/7/12, 16, 14
2019/7/13, 9, 11
2019/7/14, 9, 11
2019/7/15, 8, 24
2019/7/16, 12, 28
2019/7/17, 13, 34
2019/7/18, 15, 36
2019/7/19, 16, 38
2019/7/20, 17, 27
2019/7/21, 16, 34
2019/7/22, 17, 54
2019/7/23, 28, 54
2019/7/24, 24, 64
2019/7/25, 10, 52
2019/7/26, 20, 16
2019/7/27, 8, 13
2019/7/28, 7, 18
2019/7/29, 9, 21
2019/7/30, 11, 19
2019/7/31, 8, 28
2019/8/1, 12, 23
2019/8/2, 9, 17
2019/8/3, 10, 29
2019/8/4, 11, 47
2019/8/5, 19, 39
2019/8/6, 20, 20
2019/8/7, 12, 23
2019/8/8, 12, 39
2019/8/9, 19, 16
2019/8/10, 9, 10
2019/8/11, 7, 16
2019/8/12, 7, 11
2019/8/13, 5, 14
2019/8/14, 7, 15
2019/8/15, 8, 16
2019/8/16, 7, 36
2019/8/17, 16, 19
2019/8/18, 13, 13
2019/8/19, 7, 15
2019/8/20, 8, 13
2019/8/21, 6, 16
2019/8/22, 9, 22
2019/8/23, 12, 38
2019/8/24, 19, 30
2019/8/25, 17, 47
2019/8/26, 20, 43
2019/8/27, 20, 35
2019/8/28, 24, 21
2019/8/29, 16, 26
2019/8/30, 16, 35
2019/8/31, 18, 19
2019/9/1, 11, 13
2019/9/2, 6, 16
2019/9/3, 8, 42
2019/9/4, 16, 10
2019/9/5, 6, 19
2019/9/6, 6, 17
2019/9/7, 7, 13
2019/9/8, 4, 27
2019/9/9, 9, 26
2019/9/10, 9, 22
2019/9/11, 9, 28
2019/9/12, 13, 25
2019/9/13, 11, 30
2019/9/14, 13, 33
2019/9/15, 16, 41
2019/9/16, 20, 19
2019/9/17, 9, 16
2019/9/18, 9, 15
2019/9/19, 8, 28
2019/9/22, 28, 23
2019/9/23, 22, 25
2019/9/24, 26, 23
2019/9/25, 21, 29
2019/9/27, 36, 23
2019/9/28, 21, 27
2019/9/29, 22, 22
2019/9/30, 20, 37
2019/4/1, 40, 52
2019/4/2, 35, 25
2019/4/3, 15, 27
2019/4/4, 12, 34
2019/4/5, 21, 42
2019/4/6, 25, 25
2019/4/7, 15, 29
2019/4/8, 18, 25
2019/4/9, 17, 23
2019/4/10, 17, 13
2019/4/11, 27, 17
2019/4/12, 21, 14
2019/4/13, 23, 12
2019/4/14, 18, 29
2019/4/15, 29, 40
2019/4/16, 21, 41
2019/4/17, 27, 43
2019/4/18, 26, 51
2019/4/19, 34, 37
2019/4/20, 26, 26
2019/4/21, 23, 26
2019/4/22, 23, 37
2019/4/23, 32, 37
2019/4/24, 26, 35
2019/4/25, 20, 27
2019/4/26, 13, 22
2019/4/27, 11, 17
2019/4/28, 11, 15
2019/4/29, 7, 14
2019/4/30, 12, 18
2019/5/1, 18, 30
2019/5/2, 21, 19
2019/5/3, 15, 15
2019/5/4, 10, 8
2019/5/5, 8, 13
2019/5/6, 9, 41
2019/5/7, 24, 24
2019/5/8, 13, 37
2019/5/9, 19, 42
2019/5/10, 18, 23
2019/5/11, 12, 10
2019/5/12, 10, 11
2019/5/13, 10, 14
2019/5/14, 11, 13
2019/5/15, 10, 23
2019/5/16, 13, 37
2019/5/17, 17, 34
2019/5/18, 20, 20
2019/5/19, 10, 21
2019/5/20, 14, 22
2019/5/21, 19, 16
2019/5/22, 11, 37
2019/5/23, 15, 33
2019/5/24, 17, 17
2019/5/25, 12, 14
2019/5/26, 8, 19
2019/5/27, 11, 18
2019/5/28, 8, 17
2019/5/29, 7, 12
2019/5/30, 8, 19
2019/5/31, 11, 32
2019/6/1, 17, 43
2019/6/2, 19, 44
2019/6/3, 18, 40
2019/6/4, 20, 60
2019/6/5, 15, 21
2019/6/6, 6, 37
2019/6/7, 6, 19
2019/6/8, 4, 18
2019/6/9, 6, 20
2019/6/10, 7, 25
2019/6/11, 8, 28
2019/6/12, 7, 43
2019/6/13, 7, 31
2019/6/14, 7, 21
2019/6/15, 5, 13
2019/6/16, 9, 33
2019/6/17, 12, 55
2019/6/18, 29, 56
2019/6/19, 24, 29
2019/6/20, 17, 21
2019/6/21, 11, 20
2019/6/22, 12, 33
2019/6/23, 16, 47
2019/6/24, 24, 52
2019/6/25, 24, 52
2019/6/26, 24, 60
2019/6/27, 36, 40
2019/6/28, 32, 53
2019/6/29, 23, 55
2019/6/30, 28, 45
2019/1/1, 17, 22
2019/1/2, 18, 18
2019/1/3, 20, 21
2019/1/4, 24, 22
2019/1/5, 25, 22
2019/1/6, 19, 27
2019/1/7, 22, 41
2019/1/8, 33, 28
2019/1/9, 19, 19
2019/1/10, 19, 23
2019/1/11, 24, 34
2019/1/12, 27, 36
2019/1/13, 27, 37
2019/1/14, 23, 33
2019/1/15, 25, 47
2019/1/16, 40, 35
2019/1/17, 25, 33
2019/1/18, 25, 37
2019/1/19, 41, 47
2019/1/20, 52, 25
2019/1/21, 34, 34
2019/1/22, 32, 32
2019/1/23, 29, 17
2019/1/24, 22, 19
2019/1/25, 26, 37
2019/1/26, 35, 26
2019/1/27, 27, 24
2019/1/28, 19, 23
2019/1/29, 20, 21
2019/1/30, 17, 22
2019/1/31, 18, 30
2019/2/1, 17, 25
2019/2/2, 20, 14
2019/2/3, 16, 23
2019/2/4, 22, 31
2019/2/5, 33, 44
2019/2/6, 43, 40
2019/2/7, 42, 34
2019/2/8, 25, 33
2019/2/9, 24, 26
2019/2/10, 20, 19
2019/2/11, 11, 17
2019/2/12, 14, 25
2019/2/13, 30, 38
2019/2/14, 44, 50
2019/2/15, 52, 42
2019/2/16, 40, 36
2019/2/17, 29, 45
2019/2/18, 29, 37
2019/2/19, 32, 50
2019/2/20, 46, 50
2019/2/21, 54, 23
2019/2/22, 30, 21
2019/2/23, 29, 36
2019/2/24, 43, 43
2019/2/25, 49, 47
2019/2/26, 54, 49
2019/2/27, 50, 47
2019/2/28, 47, 28
2019/3/1, 19, 35
2019/3/2, 27, 31
2019/3/3, 30, 32
2019/3/4, 18, 34
2019/3/5, 23, 49
2019/3/6, 40, 37
2019/3/7, 24, 37
2019/3/8, 26, 33
2019/3/9, 22, 25
2019/3/10, 19, 19
2019/3/11, 12, 43
2019/3/12, 27, 27
2019/3/13, 14, 27
2019/3/14, 18, 35
2019/3/15, 15, 37
2019/3/16, 23, 30
2019/3/17, 18, 25
2019/3/18, 13, 18
2019/3/19, 13, 22
2019/3/20, 18, 25
2019/3/21, 23, 44
2019/3/22, 38, 28
2019/3/23, 29, 27
2019/3/24, 33, 15
