date, pm25, pm10, no2, so2
2019/4/10, 82, 9, 4, 
2019/4/11, 54, 15, 3, 
2019/4/12, 50, 10, 4, 
2019/4/15, 114, 18, 7, 
2019/4/16, 61, 15, 5, 
2019/4/17, 62, 17, 6, 
2019/4/18, 63, 12, 5, 
2019/4/19, 54, 18, 4, 
2019/4/20, 70, 11, 3, 
2019/4/21, 58, 4, 1, 
2019/4/22, 39, 9, 6, 
2019/4/23, 66, 12, 5, 
2019/4/24, 57, 11, 2, 
2019/4/25, 44, 12, 3, 
2019/4/26, 48, 9, 3, 
2019/4/27, 47, 9, 2, 
2019/4/28, 39, 16, 4, 
2019/4/29, 49, 18, 5, 
2019/4/30, 55, 17, 7, 
2019/5/1, 61, 17, 6, 
2019/5/2, 65, 19, 5, 
2019/5/3, 65, 12, 4, 
2019/5/4, 61, 10, 4, 
2019/5/5, 78, 16, 5, 
2019/5/6, 48, 16, 4, 
2019/5/7, 48, 14, 4, 
2019/5/8, 47, 10, 3, 
2019/5/9, 44, 10, 4, 
2019/5/10, 55, 13, 5, 
2019/5/11, 83, 14, , 
2019/5/12, 51, 26, 3, 
2019/5/13, 56, 22, 8, 
2019/5/14, 68, 16, 5, 
2019/5/15, 67, 15, 3, 
2019/5/16, 53, 20, 5, 
2019/5/17, 58, 15, 6, 
2019/5/18, 69, 12, 2, 
2019/5/19, 77, 17, 5, 
2019/5/20, 71, 14, 8, 
2019/5/21, 51, 9, 6, 
2019/5/22, 42, 9, 8, 
2019/5/23, 43, 16, 7, 
2019/5/24, 45, 18, 6, 
2019/5/25, 77, 15, 6, 
2019/5/26, 85, 11, 4, 
2019/5/27, 52, 13, 2, 
2019/5/28, 31, 21, 5, 
2019/5/29, 47, 14, 4, 
2019/5/30, 65, 10, 3, 
2019/5/31, 45, 12, 2, 
2019/6/1, 44, 10, 3, 
2019/6/2, 46, 15, 5, 
2019/6/3, 60, 14, 6, 
2019/6/4, 74, 11, 2, 
2019/6/5, 58, 12, 5, 
2019/6/6, 65, 12, 5, 
2019/6/7, 52, 28, 1, 
2019/6/8, 74, 25, 4, 
2019/6/9, 70, 16, 7, 
2019/6/10, 62, 10, 5, 
2019/6/11, 62, 11, 7, 
2019/6/12, 34, 17, 10, 
2019/6/13, 59, 19, 8, 
2019/6/14, 58, 8, 4, 
2019/6/15, 33, 13, 2, 
2019/6/16, 32, 11, 4, 
2019/6/17, 38, 20, 9, 
2019/6/18, 50, 24, 7, 
2019/6/19, 75, 15, 3, 
2019/6/20, 52, 13, 5, 
2019/6/21, 59, 17, 8, 
2019/6/22, 61, 14, 3, 
2019/6/23, 58, 12, 7, 
2019/6/24, 53, 12, 8, 
2019/6/25, 44, 19, 9, 
2019/6/26, 35, 24, 8, 
2019/6/27, 59, 20, 9, 
2019/6/28, 64, 18, 7, 
2019/6/29, 62, 15, 5, 
2019/6/30, 65, 12, 6, 
2019/1/1, 30, 10, , 
2019/1/2, 35, 13, 1, 
2019/1/3, 37, 20, 1, 
2019/1/4, 30, 27, 1, 
2019/1/5, 53, 11, , 
2019/1/6, 42, 13, 2, 
2019/1/7, 40, 15, 2, 
2019/1/8, 32, 16, 2, 
2019/1/9, 52, 14, 1, 
2019/1/10, 44, 14, 2, 
2019/1/11, 42, 15, 1, 
2019/1/12, 41, 18, , 
2019/1/13, 38, 12, 2, 
2019/1/14, 53, 9, 4, 
2019/1/15, 49, 17, 3, 
2019/1/16, 40, 21, 2, 
2019/1/17, 30, 17, 2, 
2019/1/18, 45, 13, 2, 
2019/1/19, 39, 17, 1, 
2019/1/20, 45, 20, 1, 
2019/1/21, 48, 25, 2, 
2019/1/22, 45, 17, 2, 
2019/1/23, 55, 21, 2, 
2019/1/24, 39, 26, 4, 
2019/1/25, 51, 12, 1, 
2019/1/26, 48, 10, 1, 
2019/1/27, 47, 9, 1, 
2019/1/28, 33, 16, 2, 
2019/1/29, 39, 19, 1, 
2019/1/30, 58, 17, 1, 
2019/1/31, 52, 20, 2, 
2019/2/1, 58, 19, 3, 
2019/2/2, 50, 16, 1, 
2019/2/3, 70, 21, 1, 
2019/2/4, 61, 19, 3, 
2019/2/5, 70, 15, 3, 
2019/2/6, 65, 11, 1, 
2019/2/7, 43, 14, 2, 
2019/2/8, 57, 17, 1, 
2019/2/9, 40, 14, 2, 
2019/2/10, 53, 17, 4, 
2019/2/11, 65, 12, 3, 
2019/2/12, 55, 12, 3, 
2019/2/13, 38, 15, 3, 
2019/2/14, 42, 17, 3, 
2019/2/15, 45, 20, 1, 
2019/2/16, 43, 22, 2, 
2019/2/17, 49, 16, 4, 
2019/2/18, 56, 11, 4, 
2019/2/19, 52, 14, 4, 
2019/2/20, 61, 13, , 
2019/2/21, 35, 10, 1, 
2019/2/22, 25, 11, 2, 
2019/2/23, 18, 17, 2, 
2019/2/24, 55, 12, 4, 1
2019/2/25, 49, 11, 5, 
2019/2/26, 51, 16, 6, 
2019/2/27, 88, 17, 4, 
2019/2/28, 51, 17, 3, 
2019/3/1, 55, 14, 4, 
2019/3/2, 64, 12, 3, 
2019/3/3, 76, 21, 4, 
2019/3/4, 55, 11, 3, 
2019/3/5, 46, 18, 5, 
2019/3/6, 65, 13, 3, 
2019/3/7, 40, 10, 2, 
2019/3/8, 34, 18, 3, 
2019/3/9, 45, 14, 2, 
2019/3/10, 39, 13, 4, 
2019/3/11, 68, 12, 3, 
2019/3/12, 47, 12, 3, 
2019/3/13, 50, 14, 5, 
2019/3/14, 38, 8, 3, 
2019/3/15, 31, 10, 2, 
2019/3/16, 57, 14, 2, 
2019/3/17, 43, 16, 1, 
2019/3/18, 45, 10, 2, 
2019/3/19, 23, 19, 5, 
2019/3/20, 51, 15, 4, 
2019/3/21, 81, 13, 4, 
2019/3/22, 41, 11, 3, 
2019/3/23, 52, 8, 2, 
2019/3/24, 47, 9, 1, 
2019/3/25, 45, 9, 1, 
2019/3/26, 49, 12, 1, 
2019/3/27, 36, 8, 2, 
2019/3/28, 33, 13, 2, 
2019/3/29, 44, 13, 1, 
2019/3/30, 53, 11, , 
2019/3/31, 48, 17, 1, 
2018/10/1, 20, 7, 3, 
2018/10/2, 22, 10, 5, 
2018/10/3, 18, 9, 5, 
2018/10/4, 28, 11, 5, 
2018/10/5, 44, 13, 7, 
2018/10/6, 28, 12, 3, 
2018/10/7, 20, 13, 2, 
2018/10/8, 36, 12, 7, 
2018/10/9, 55, 12, 6, 
2018/10/10, 94, 9, 3, 
2018/10/11, 51, 14, 2, 
2018/10/12, 46, 12, 3, 
2018/10/13, 41, 13, 3, 
2018/10/14, 34, 16, 6, 
2018/10/15, 39, 14, 6, 
2018/10/16, 44, 11, 3, 
2018/10/17, 42, 13, 4, 
2018/10/18, 27, 19, 4, 
2018/10/19, 39, 14, 3, 
2018/10/20, 42, 10, 3, 
2018/10/21, 34, 7, 3, 
2018/10/22, 25, 9, 5, 
2018/10/23, 34, 9, 5, 
2018/10/24, 23, 8, 5, 
2018/10/25, 45, 15, 4, 
2018/10/26, 30, 16, 3, 
2018/10/27, 51, 4, 2, 
2018/10/28, 21, 7, 2, 
2018/10/29, 29, 11, 3, 
2018/10/30, 37, 13, 4, 
2018/10/31, 34, 19, 3, 
2018/11/1, 51, 17, 4, 
2018/11/2, 40, 17, 2, 
2018/11/3, 50, 24, , 
2018/11/4, 36, 21, 2, 
2018/11/5, 44, 23, 1, 
2018/11/6, 45, 18, 1, 
2018/11/7, 64, 12, 2, 
2018/11/8, 49, 11, 1, 
2018/11/9, 48, 16, 2, 
2018/11/23, 39, 6, , 
2018/11/24, 24, 13, 1, 
2018/11/25, 45, 29, 3, 
2018/11/26, 92, 15, 6, 
2018/11/27, 59, 15, 4, 
2018/11/28, 48, 16, 3, 
2018/11/29, 24, 12, , 
2018/11/30, 27, 16, , 
2018/12/1, 41, 22, , 
2018/12/2, 34, 8, 1, 
2018/12/3, 31, 16, 2, 
2018/12/4, 37, , , 
2018/12/6, 50, 18, 4, 
2018/12/7, 57, 22, 2, 
2018/12/8, 46, 23, 1, 
2018/12/9, 49, 25, 2, 
2018/12/10, 48, 22, 3, 
2018/12/11, 45, 9, 3, 
2018/12/12, 35, 11, 2, 
2018/12/13, 36, 8, , 
2018/12/14, 38, 8, 1, 
2018/12/15, 33, 9, 2, 
2018/12/16, 41, 7, 1, 
2018/12/17, 39, 10, 4, 
2018/12/18, 32, 10, 2, 
2018/12/19, 28, 9, 2, 
2018/12/20, 50, 9, 2, 
2018/12/21, 34, 8, 1, 
2018/12/22, 32, 6, 1, 
2018/12/23, 37, 5, 1, 
2018/12/24, 23, 7, , 
2018/12/25, 36, 22, , 
2018/12/26, 42, 26, 1, 
2018/12/27, 32, 17, 2, 
2018/12/28, 43, 14, 2, 
2018/12/29, 34, 11, 1, 
2018/12/30, 42, , , 
2018/7/27, 54, 16, 8, 
2018/7/28, 31, 14, 4, 
2018/7/29, 36, 14, 4, 
2018/7/30, 32, 14, 7, 
2018/7/31, 41, 16, 5, 
2018/8/1, 21, 9, 4, 
2018/8/2, 36, 12, 5, 
2018/8/3, 34, 16, 8, 
2018/8/4, 68, 15, 7, 
2018/8/5, 23, 11, 4, 
2018/8/6, 31, 26, 5, 
2018/8/7, 36, 13, 6, 
2018/8/8, 17, 8, 2, 
2018/8/9, 27, 14, 6, 
2018/8/10, 28, 16, 8, 
2018/8/11, 29, 15, 7, 
2018/8/12, 40, 12, 5, 
2018/8/13, 33, 13, 5, 
2018/8/14, 31, 14, 3, 
2018/8/15, 37, 20, 3, 
2018/8/16, 36, 21, 5, 
2018/8/17, 31, 17, 5, 
2018/8/18, 22, 12, 4, 
2018/8/19, 42, 14, 5, 
2018/8/20, 23, 10, 1, 
2018/8/21, 24, 9, 4, 
2018/8/22, 32, 13, 4, 
2018/8/23, 20, 8, 5, 
2018/8/24, 26, 12, 8, 
2018/8/25, 30, 14, 2, 
2018/8/26, 32, 15, 3, 
2018/8/27, 40, 18, 9, 
2018/8/28, 42, 16, 5, 
2018/8/29, 26, 10, 3, 
2018/8/30, 29, 13, 9, 
2018/8/31, 27, 10, 7, 
2018/9/1, 38, 10, 6, 
2018/9/2, 30, 16, 1, 
2018/9/3, 27, 13, 6, 
2018/9/4, 30, 11, 9, 
2018/9/5, 24, 8, 7, 1
2018/9/6, 32, 8, 8, 1
2018/9/7, 34, 14, 6, 
2018/9/8, 23, 9, 4, 
2018/9/9, 28, 12, 2, 
2018/9/10, 20, 8, 3, 
2018/9/11, 32, 11, 6, 
2018/9/12, 40, 19, 7, 
2018/9/13, 30, 13, 7, 
2018/9/14, 27, 12, 6, 
